Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Andhra Pradesh,Anantapur,53,14,4,0,
2020-04-27,Andhra Pradesh,Anantapur,53,14,4,0,
2020-04-28,Andhra Pradesh,Anantapur,54,14,4,0,
2020-04-29,Andhra Pradesh,Anantapur,58,17,4,0,
2020-04-30,Andhra Pradesh,Anantapur,61,20,4,0,
2020-05-01,Andhra Pradesh,Anantapur,67,22,4,0,
2020-05-02,Andhra Pradesh,Anantapur,71,24,4,0,
2020-05-03,Andhra Pradesh,Anantapur,78,24,4,0,
2020-05-04,Andhra Pradesh,Anantapur,78,24,4,0,
2020-05-05,Andhra Pradesh,Anantapur,80,24,4,0,
2020-05-06,Andhra Pradesh,Anantapur,80,34,4,0,
2020-05-07,Andhra Pradesh,Anantapur,83,39,4,0,
2020-05-08,Andhra Pradesh,Anantapur,99,42,4,0,
2020-05-09,Andhra Pradesh,Anantapur,102,44,4,0,
2020-05-10,Andhra Pradesh,Anantapur,107,45,4,0,
2020-05-11,Andhra Pradesh,Anantapur,115,45,4,0,
2020-05-12,Andhra Pradesh,Anantapur,115,48,4,0,
2020-05-13,Andhra Pradesh,Anantapur,118,49,4,0,
2020-05-14,Andhra Pradesh,Anantapur,118,52,4,0,
2020-05-15,Andhra Pradesh,Anantapur,122,56,4,0,
2020-05-16,Andhra Pradesh,Anantapur,122,93,4,0,
2020-05-17,Andhra Pradesh,Anantapur,122,71,4,0,
2020-05-18,Andhra Pradesh,Anantapur,122,73,4,0,
2020-05-19,Andhra Pradesh,Anantapur,122,73,4,0,
2020-05-20,Andhra Pradesh,Anantapur,136,92,4,0,19718.0
2020-05-21,Andhra Pradesh,Anantapur,136,92,4,0,19718.0
2020-05-22,Andhra Pradesh,Anantapur,136,92,4,0,19718.0
2020-05-23,Andhra Pradesh,Anantapur,136,92,4,0,19718.0
2020-05-24,Andhra Pradesh,Anantapur,136,92,4,0,19718.0
2020-05-25,Andhra Pradesh,Anantapur,136,92,4,0,19718.0
2020-05-26,Andhra Pradesh,Anantapur,136,92,4,0,19718.0
2020-05-27,Andhra Pradesh,Anantapur,206,104,4,0,24934.0
2020-05-28,Andhra Pradesh,Anantapur,209,104,4,0,26075.0
2020-05-29,Andhra Pradesh,Anantapur,209,116,4,0,26931.0
2020-05-30,Andhra Pradesh,Anantapur,209,130,4,0,26931.0
2020-05-31,Andhra Pradesh,Anantapur,216,141,4,0,28065.0
2020-06-01,Andhra Pradesh,Anantapur,220,150,4,0,29610.0
2020-06-02,Andhra Pradesh,Anantapur,223,162,4,0,30313.0
2020-06-03,Andhra Pradesh,Anantapur,231,164,4,0,30313.0
2020-06-04,Andhra Pradesh,Anantapur,238,165,4,0,30313.0
2020-06-05,Andhra Pradesh,Anantapur,255,165,4,0,30313.0
2020-06-06,Andhra Pradesh,Anantapur,274,166,4,0,30313.0
2020-06-07,Andhra Pradesh,Anantapur,288,173,4,0,30313.0
2020-06-08,Andhra Pradesh,Anantapur,306,173,4,0,37617.0
2020-06-09,Andhra Pradesh,Anantapur,306,173,5,0,39760.0
2020-06-10,Andhra Pradesh,Anantapur,351,174,5,0,41146.0
2020-06-11,Andhra Pradesh,Anantapur,366,175,5,0,42130.0
2020-06-12,Andhra Pradesh,Anantapur,403,175,5,0,42895.0
2020-06-13,Andhra Pradesh,Anantapur,418,177,5,0,43963.0
2020-06-14,Andhra Pradesh,Anantapur,463,194,5,0,45144.0
2020-06-15,Andhra Pradesh,Anantapur,485,194,6,0,46562.0
2020-06-16,Andhra Pradesh,Anantapur,513,202,6,0,47593.0
2020-06-17,Andhra Pradesh,Anantapur,580,202,6,0,48022.0
2020-06-18,Andhra Pradesh,Anantapur,642,205,6,0,48811.0
2020-06-19,Andhra Pradesh,Anantapur,692,211,6,0,49517.0
2020-06-20,Andhra Pradesh,Anantapur,789,230,6,0,49517.0
2020-06-21,Andhra Pradesh,Anantapur,800,288,6,0,52189.0
2020-06-22,Andhra Pradesh,Anantapur,870,299,7,0,52189.0
2020-06-23,Andhra Pradesh,Anantapur,938,310,7,0,52189.0
2020-06-24,Andhra Pradesh,Anantapur,1028,347,7,0,56891.0
2020-06-25,Andhra Pradesh,Anantapur,1080,347,7,0,56943.0
2020-06-26,Andhra Pradesh,Anantapur,1159,388,7,0,56943.0
2020-06-27,Andhra Pradesh,Anantapur,1320,463,7,0,58839.0
2020-06-28,Andhra Pradesh,Anantapur,1371,702,7,0,59006.0
2020-06-29,Andhra Pradesh,Anantapur,1467,838,7,0,60622.0
2020-06-30,Andhra Pradesh,Anantapur,1571,915,8,0,61491.0
2020-07-01,Andhra Pradesh,Anantapur,1689,1005,8,0,63133.0
2020-07-02,Andhra Pradesh,Anantapur,1823,1083,9,0,64442.0
2020-07-03,Andhra Pradesh,Anantapur,1972,1111,9,0,64442.0
2020-07-04,Andhra Pradesh,Anantapur,2099,1139,9,0,69291.0
2020-07-05,Andhra Pradesh,Anantapur,2186,1247,12,0,69291.0
2020-07-06,Andhra Pradesh,Anantapur,2328,1359,13,0,69291.0
2020-07-07,Andhra Pradesh,Anantapur,2481,1443,16,0,72983.0
2020-07-08,Andhra Pradesh,Anantapur,2568,1517,18,0,73838.0
2020-07-09,Andhra Pradesh,Anantapur,2659,1655,20,0,75760.0
2020-07-10,Andhra Pradesh,Anantapur,2850,1703,22,0,77969.0
2020-07-11,Andhra Pradesh,Anantapur,3161,1821,23,0,77969.0
2020-07-12,Andhra Pradesh,Anantapur,3290,1893,24,0,81338.0
2020-07-13,Andhra Pradesh,Anantapur,3466,2072,30,0,82860.0
2020-07-14,Andhra Pradesh,Anantapur,3651,2155,40,0,83643.0
2020-07-15,Andhra Pradesh,Anantapur,3813,2205,49,0,84816.0
2020-07-16,Andhra Pradesh,Anantapur,3987,2404,52,0,84816.0
2020-07-17,Andhra Pradesh,Anantapur,4284,2500,58,0,88673.0
2020-07-18,Andhra Pradesh,Anantapur,4504,2616,65,0,90302.0
2020-07-19,Andhra Pradesh,Anantapur,5141,2732,68,0,90302.0
2020-07-20,Andhra Pradesh,Anantapur,5483,3091,74,0,95135.0
2020-07-21,Andhra Pradesh,Anantapur,5941,3255,80,0,95135.0
2020-07-22,Andhra Pradesh,Anantapur,6266,3980,80,0,98727.0
2020-07-23,Andhra Pradesh,Anantapur,7282,4315,81,0,98727.0
2020-07-24,Andhra Pradesh,Anantapur,8266,4711,81,0,105278.0
2020-07-25,Andhra Pradesh,Anantapur,8989,4740,81,0,105278.0
2020-07-26,Andhra Pradesh,Anantapur,9723,4926,83,0,110936.0
2020-07-27,Andhra Pradesh,Anantapur,10247,5029,86,0,113752.0
2020-07-28,Andhra Pradesh,Anantapur,10987,5228,89,0,117522.0
2020-07-29,Andhra Pradesh,Anantapur,12358,5384,97,0,127341.0
2020-07-30,Andhra Pradesh,Anantapur,13312,5772,105,0,135270.0
2020-07-31,Andhra Pradesh,Anantapur,14699,6158,114,0,135270.0
2020-08-01,Andhra Pradesh,Anantapur,15827,6885,120,0,148153.0
2020-08-02,Andhra Pradesh,Anantapur,16523,8011,122,0,151596.0
2020-08-03,Andhra Pradesh,Anantapur,17476,9473,124,0,156081.0
2020-08-04,Andhra Pradesh,Anantapur,18801,10944,130,0,164870.0
2020-08-05,Andhra Pradesh,Anantapur,20061,12667,132,0,170380.0
2020-08-06,Andhra Pradesh,Anantapur,21173,14263,142,0,176217.0
2020-08-07,Andhra Pradesh,Anantapur,22273,15496,151,0,176217.0
2020-08-08,Andhra Pradesh,Anantapur,23249,16162,162,0,185094.0
2020-08-09,Andhra Pradesh,Anantapur,24107,16927,170,0,188546.0
2020-08-10,Andhra Pradesh,Anantapur,24738,17597,175,0,191554.0
