Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Andhra Pradesh,Krishna,177,29,8,0,
2020-04-27,Andhra Pradesh,Krishna,210,29,8,0,
2020-04-28,Andhra Pradesh,Krishna,223,29,8,0,
2020-04-29,Andhra Pradesh,Krishna,236,32,8,0,
2020-04-30,Andhra Pradesh,Krishna,246,32,8,0,
2020-05-01,Andhra Pradesh,Krishna,246,37,8,0,
2020-05-02,Andhra Pradesh,Krishna,258,44,8,0,
2020-05-03,Andhra Pradesh,Krishna,266,46,8,0,
2020-05-04,Andhra Pradesh,Krishna,278,46,8,0,
2020-05-05,Andhra Pradesh,Krishna,286,56,9,0,
2020-05-06,Andhra Pradesh,Krishna,300,117,10,0,
2020-05-07,Andhra Pradesh,Krishna,316,123,11,0,
2020-05-08,Andhra Pradesh,Krishna,322,126,11,0,
2020-05-09,Andhra Pradesh,Krishna,338,134,13,0,
2020-05-10,Andhra Pradesh,Krishna,339,137,13,0,
2020-05-11,Andhra Pradesh,Krishna,342,142,13,0,
2020-05-12,Andhra Pradesh,Krishna,346,177,14,0,
2020-05-13,Andhra Pradesh,Krishna,349,202,14,0,
2020-05-14,Andhra Pradesh,Krishna,351,203,14,0,
2020-05-15,Andhra Pradesh,Krishna,360,206,14,0,
2020-05-16,Andhra Pradesh,Krishna,367,211,14,0,
2020-05-17,Andhra Pradesh,Krishna,367,253,15,0,
2020-05-18,Andhra Pradesh,Krishna,382,263,15,0,
2020-05-19,Andhra Pradesh,Krishna,382,263,15,0,
2020-05-20,Andhra Pradesh,Krishna,396,280,15,0,18108.0
2020-05-21,Andhra Pradesh,Krishna,396,280,15,0,18108.0
2020-05-22,Andhra Pradesh,Krishna,396,280,15,0,18108.0
2020-05-23,Andhra Pradesh,Krishna,396,280,16,0,18108.0
2020-05-24,Andhra Pradesh,Krishna,396,280,16,0,18108.0
2020-05-25,Andhra Pradesh,Krishna,396,280,16,0,18108.0
2020-05-26,Andhra Pradesh,Krishna,396,280,16,0,18108.0
2020-05-27,Andhra Pradesh,Krishna,445,298,17,0,22093.0
2020-05-28,Andhra Pradesh,Krishna,445,306,17,0,22641.0
2020-05-29,Andhra Pradesh,Krishna,454,315,17,0,23545.0
2020-05-30,Andhra Pradesh,Krishna,456,322,17,0,23545.0
2020-05-31,Andhra Pradesh,Krishna,470,323,18,0,24657.0
2020-06-01,Andhra Pradesh,Krishna,477,327,18,0,25639.0
2020-06-02,Andhra Pradesh,Krishna,481,334,18,0,26588.0
2020-06-03,Andhra Pradesh,Krishna,486,337,19,0,26588.0
2020-06-04,Andhra Pradesh,Krishna,497,337,20,0,26588.0
2020-06-05,Andhra Pradesh,Krishna,505,337,22,0,26588.0
2020-06-06,Andhra Pradesh,Krishna,526,337,22,0,26588.0
2020-06-07,Andhra Pradesh,Krishna,551,342,23,0,26588.0
2020-06-08,Andhra Pradesh,Krishna,570,353,23,0,29831.0
2020-06-09,Andhra Pradesh,Krishna,570,353,24,0,34469.0
2020-06-10,Andhra Pradesh,Krishna,607,358,24,0,34664.0
2020-06-11,Andhra Pradesh,Krishna,632,365,25,0,36246.0
2020-06-12,Andhra Pradesh,Krishna,640,365,25,0,38286.0
2020-06-13,Andhra Pradesh,Krishna,665,369,27,0,40359.0
2020-06-14,Andhra Pradesh,Krishna,701,369,27,0,43226.0
2020-06-15,Andhra Pradesh,Krishna,757,380,27,0,46312.0
2020-06-16,Andhra Pradesh,Krishna,791,399,27,0,49049.0
2020-06-17,Andhra Pradesh,Krishna,821,399,27,0,50975.0
2020-06-18,Andhra Pradesh,Krishna,849,405,29,0,52824.0
2020-06-19,Andhra Pradesh,Krishna,931,428,31,0,54174.0
2020-06-20,Andhra Pradesh,Krishna,982,428,33,0,54174.0
2020-06-21,Andhra Pradesh,Krishna,1048,453,36,0,60818.0
2020-06-22,Andhra Pradesh,Krishna,1063,463,37,0,60818.0
2020-06-23,Andhra Pradesh,Krishna,1096,507,40,0,60818.0
2020-06-24,Andhra Pradesh,Krishna,1132,514,43,0,65549.0
2020-06-25,Andhra Pradesh,Krishna,1179,519,45,0,69424.0
2020-06-26,Andhra Pradesh,Krishna,1199,524,49,0,69424.0
2020-06-27,Andhra Pradesh,Krishna,1252,560,53,0,73966.0
2020-06-28,Andhra Pradesh,Krishna,1331,572,58,0,74045.0
2020-06-29,Andhra Pradesh,Krishna,1383,579,60,0,82060.0
2020-06-30,Andhra Pradesh,Krishna,1467,600,63,0,82730.0
2020-07-01,Andhra Pradesh,Krishna,1519,614,66,0,92860.0
2020-07-02,Andhra Pradesh,Krishna,1594,629,67,0,94199.0
2020-07-03,Andhra Pradesh,Krishna,1611,653,68,0,94199.0
2020-07-04,Andhra Pradesh,Krishna,1681,669,68,0,104457.0
2020-07-05,Andhra Pradesh,Krishna,1743,671,69,0,104457.0
2020-07-06,Andhra Pradesh,Krishna,1798,672,70,0,104457.0
2020-07-07,Andhra Pradesh,Krishna,1898,1000,70,0,110025.0
2020-07-08,Andhra Pradesh,Krishna,1968,1245,72,0,115195.0
2020-07-09,Andhra Pradesh,Krishna,2095,1297,73,0,117283.0
2020-07-10,Andhra Pradesh,Krishna,2175,1392,75,0,120219.0
2020-07-11,Andhra Pradesh,Krishna,2298,1440,77,0,120219.0
2020-07-12,Andhra Pradesh,Krishna,2504,1465,80,0,123334.0
2020-07-13,Andhra Pradesh,Krishna,2615,1841,83,0,126862.0
2020-07-14,Andhra Pradesh,Krishna,2744,1887,83,0,129915.0
2020-07-15,Andhra Pradesh,Krishna,2852,1960,85,0,133247.0
2020-07-16,Andhra Pradesh,Krishna,2984,2027,85,0,133247.0
2020-07-17,Andhra Pradesh,Krishna,3021,2108,86,0,139144.0
2020-07-18,Andhra Pradesh,Krishna,3151,2147,94,0,143982.0
2020-07-19,Andhra Pradesh,Krishna,3548,2207,101,0,143982.0
2020-07-20,Andhra Pradesh,Krishna,3677,2268,108,0,151888.0
2020-07-21,Andhra Pradesh,Krishna,4101,2382,108,0,151888.0
2020-07-22,Andhra Pradesh,Krishna,4252,2455,118,0,161028.0
2020-07-23,Andhra Pradesh,Krishna,4482,3260,124,0,161028.0
2020-07-24,Andhra Pradesh,Krishna,4841,3552,133,0,172264.0
2020-07-25,Andhra Pradesh,Krishna,5248,3921,139,0,172264.0
2020-07-26,Andhra Pradesh,Krishna,5580,4060,144,0,183368.0
2020-07-27,Andhra Pradesh,Krishna,5707,4196,149,0,184107.0
2020-07-28,Andhra Pradesh,Krishna,6000,4290,153,0,188477.0
2020-07-29,Andhra Pradesh,Krishna,6259,4435,157,0,192539.0
2020-07-30,Andhra Pradesh,Krishna,6530,4549,160,0,196157.0
2020-07-31,Andhra Pradesh,Krishna,6843,4641,161,0,196157.0
2020-08-01,Andhra Pradesh,Krishna,7200,4728,164,0,207173.0
2020-08-02,Andhra Pradesh,Krishna,7579,4864,175,0,212229.0
2020-08-03,Andhra Pradesh,Krishna,7819,5015,178,0,213193.0
2020-08-04,Andhra Pradesh,Krishna,8239,5293,187,0,216435.0
2020-08-05,Andhra Pradesh,Krishna,8679,5532,192,0,221205.0
2020-08-06,Andhra Pradesh,Krishna,9042,5832,198,0,226714.0
2020-08-07,Andhra Pradesh,Krishna,9462,6008,204,0,232005.0
2020-08-08,Andhra Pradesh,Krishna,9853,6247,208,0,237696.0
2020-08-09,Andhra Pradesh,Krishna,10292,6462,212,0,243161.0
2020-08-10,Andhra Pradesh,Krishna,10438,6575,212,0,243959.0
2020-08-11,Andhra Pradesh,Krishna,10780,6747,215,0,248889.0
2020-08-12,Andhra Pradesh,Krishna,11115,6991,217,0,254610.0
2020-08-13,Andhra Pradesh,Krishna,11445,7271,218,0,259241.0
2020-08-14,Andhra Pradesh,Krishna,11783,7554,220,0,264736.0
2020-08-15,Andhra Pradesh,Krishna,12081,8086,223,0,269544.0
2020-08-16,Andhra Pradesh,Krishna,12344,8727,226,0,273806.0
2020-08-17,Andhra Pradesh,Krishna,12479,9208,229,0,274439.0
2020-08-18,Andhra Pradesh,Krishna,12760,9665,232,0,276805.0
2020-08-19,Andhra Pradesh,Krishna,13041,10170,235,0,280760.0
2020-08-20,Andhra Pradesh,Krishna,13236,10532,237,0,285043.0
2020-08-21,Andhra Pradesh,Krishna,13501,10887,240,0,289496.0
2020-08-22,Andhra Pradesh,Krishna,13733,11331,243,0,293048.0
2020-08-23,Andhra Pradesh,Krishna,13875,11546,246,0,293800.0
2020-08-24,Andhra Pradesh,Krishna,14029,11754,251,0,298248.0
2020-08-25,Andhra Pradesh,Krishna,14351,12143,255,0,303328.0
2020-08-26,Andhra Pradesh,Krishna,14650,12397,260,0,303328.0
2020-08-27,Andhra Pradesh,Krishna,14966,12601,264,0,311039.0
2020-08-28,Andhra Pradesh,Krishna,15380,12822,269,0,315090.0
2020-08-29,Andhra Pradesh,Krishna,15742,13086,271,0,319232.0
2020-08-30,Andhra Pradesh,Krishna,16125,13408,276,0,324049.0
2020-08-31,Andhra Pradesh,Krishna,16284,13725,278,0,325497.0
2020-09-01,Andhra Pradesh,Krishna,16595,14073,282,0,329660.0
2020-09-02,Andhra Pradesh,Krishna,16992,14222,288,0,333850.0
2020-09-03,Andhra Pradesh,Krishna,17310,14465,295,0,337714.0
2020-09-04,Andhra Pradesh,Krishna,17688,14736,300,0,337714.0
2020-09-05,Andhra Pradesh,Krishna,18025,15076,304,0,345511.0
2020-09-06,Andhra Pradesh,Krishna,18482,15442,308,0,350955.0
2020-09-07,Andhra Pradesh,Krishna,18675,15728,313,0,353061.0
2020-09-08,Andhra Pradesh,Krishna,19064,16020,318,0,357174.0
2020-09-09,Andhra Pradesh,Krishna,19414,16305,323,0,361823.0
2020-09-10,Andhra Pradesh,Krishna,19959,16578,330,0,367350.0
2020-09-11,Andhra Pradesh,Krishna,20410,17064,337,0,371938.0
2020-09-12,Andhra Pradesh,Krishna,20877,17467,342,0,377440.0
2020-09-13,Andhra Pradesh,Krishna,21274,17853,347,0,381877.0
2020-09-14,Andhra Pradesh,Krishna,21475,18195,351,0,385806.0
2020-09-15,Andhra Pradesh,Krishna,21873,18627,357,0,385806.0
2020-09-16,Andhra Pradesh,Krishna,22269,18921,362,0,398395.0
2020-09-17,Andhra Pradesh,Krishna,22636,19387,367,0,403770.0
2020-09-18,Andhra Pradesh,Krishna,23123,19724,374,0,410202.0
2020-09-19,Andhra Pradesh,Krishna,23591,20248,381,0,410202.0
2020-09-20,Andhra Pradesh,Krishna,24030,20604,389,0,422725.0
2020-09-21,Andhra Pradesh,Krishna,24163,20916,398,0,422725.0
2020-09-22,Andhra Pradesh,Krishna,24507,21311,403,0,431064.0
