Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Andhra Pradesh,S.P.S. Nellore,72,23,2,0,
2020-04-27,Andhra Pradesh,S.P.S. Nellore,79,23,2,0,
2020-04-28,Andhra Pradesh,S.P.S. Nellore,82,24,2,0,
2020-04-29,Andhra Pradesh,S.P.S. Nellore,82,27,2,0,
2020-04-30,Andhra Pradesh,S.P.S. Nellore,84,27,2,0,
2020-05-01,Andhra Pradesh,S.P.S. Nellore,84,43,3,0,
2020-05-02,Andhra Pradesh,S.P.S. Nellore,90,44,3,0,
2020-05-03,Andhra Pradesh,S.P.S. Nellore,91,44,3,0,
2020-05-04,Andhra Pradesh,S.P.S. Nellore,91,50,3,0,
2020-05-05,Andhra Pradesh,S.P.S. Nellore,92,56,3,0,
2020-05-06,Andhra Pradesh,S.P.S. Nellore,92,56,3,0,
2020-05-07,Andhra Pradesh,S.P.S. Nellore,96,59,3,0,
2020-05-08,Andhra Pradesh,S.P.S. Nellore,96,60,3,0,
2020-05-09,Andhra Pradesh,S.P.S. Nellore,96,61,3,0,
2020-05-10,Andhra Pradesh,S.P.S. Nellore,101,62,3,0,
2020-05-11,Andhra Pradesh,S.P.S. Nellore,102,76,3,0,
2020-05-12,Andhra Pradesh,S.P.S. Nellore,111,76,3,0,
2020-05-13,Andhra Pradesh,S.P.S. Nellore,111,77,3,0,
2020-05-14,Andhra Pradesh,S.P.S. Nellore,126,78,3,0,
2020-05-15,Andhra Pradesh,S.P.S. Nellore,140,81,3,0,
2020-05-16,Andhra Pradesh,S.P.S. Nellore,149,81,3,0,
2020-05-17,Andhra Pradesh,S.P.S. Nellore,150,94,3,0,
2020-05-18,Andhra Pradesh,S.P.S. Nellore,157,94,3,0,
2020-05-19,Andhra Pradesh,S.P.S. Nellore,157,94,3,0,
2020-05-20,Andhra Pradesh,S.P.S. Nellore,182,103,3,0,16307.0
2020-05-21,Andhra Pradesh,S.P.S. Nellore,182,103,4,0,16307.0
2020-05-22,Andhra Pradesh,S.P.S. Nellore,182,103,4,0,16307.0
2020-05-23,Andhra Pradesh,S.P.S. Nellore,182,103,4,0,16307.0
2020-05-24,Andhra Pradesh,S.P.S. Nellore,182,103,4,0,16307.0
2020-05-25,Andhra Pradesh,S.P.S. Nellore,182,103,4,0,16307.0
2020-05-26,Andhra Pradesh,S.P.S. Nellore,182,103,4,0,16307.0
2020-05-27,Andhra Pradesh,S.P.S. Nellore,231,143,4,0,19995.0
2020-05-28,Andhra Pradesh,S.P.S. Nellore,233,143,4,0,20220.0
2020-05-29,Andhra Pradesh,S.P.S. Nellore,238,154,4,0,20804.0
2020-05-30,Andhra Pradesh,S.P.S. Nellore,239,174,4,0,20804.0
2020-05-31,Andhra Pradesh,S.P.S. Nellore,239,179,4,0,22378.0
2020-06-01,Andhra Pradesh,S.P.S. Nellore,255,179,4,0,22704.0
2020-06-02,Andhra Pradesh,S.P.S. Nellore,261,179,4,0,23947.0
2020-06-03,Andhra Pradesh,S.P.S. Nellore,261,179,4,0,23947.0
