Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Andhra Pradesh,Unknown,57,69,0,0,
2020-05-20,Andhra Pradesh,Unknown,0,0,0,0,
2020-05-21,Andhra Pradesh,Unknown,45,41,0,0,
2020-05-22,Andhra Pradesh,Unknown,107,67,1,0,
2020-05-23,Andhra Pradesh,Unknown,154,114,1,0,
2020-05-24,Andhra Pradesh,Unknown,220,176,1,0,
2020-05-25,Andhra Pradesh,Unknown,264,217,1,0,
2020-05-26,Andhra Pradesh,Unknown,312,272,2,0,
2020-05-27,Andhra Pradesh,Unknown,0,8,0,0,
2020-05-28,Andhra Pradesh,Unknown,0,8,0,0,
2020-05-29,Andhra Pradesh,Unknown,0,8,0,0,
2020-05-30,Andhra Pradesh,Unknown,0,8,0,0,
2020-05-31,Andhra Pradesh,Unknown,0,8,0,0,
2020-06-01,Andhra Pradesh,Unknown,0,8,0,0,
2020-06-02,Andhra Pradesh,Unknown,0,8,0,0,
2020-06-03,Andhra Pradesh,Unknown,0,8,0,0,
2020-06-04,Andhra Pradesh,Unknown,0,9,0,0,
2020-06-05,Andhra Pradesh,Unknown,0,9,0,0,
2020-06-06,Andhra Pradesh,Unknown,0,9,0,0,
2020-06-07,Andhra Pradesh,Unknown,0,9,0,0,
2020-06-08,Andhra Pradesh,Unknown,0,0,0,0,
