Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-28,Arunachal Pradesh,Changlang,1,0,0,0,
2020-05-29,Arunachal Pradesh,Changlang,1,0,0,0,
2020-05-30,Arunachal Pradesh,Changlang,2,0,0,0,
2020-05-31,Arunachal Pradesh,Changlang,2,0,0,0,
2020-06-01,Arunachal Pradesh,Changlang,16,0,0,0,10.0
2020-06-02,Arunachal Pradesh,Changlang,16,0,0,0,10.0
2020-06-03,Arunachal Pradesh,Changlang,25,0,0,0,10.0
2020-06-04,Arunachal Pradesh,Changlang,28,0,0,0,10.0
2020-06-05,Arunachal Pradesh,Changlang,31,0,0,0,10.0
2020-06-06,Arunachal Pradesh,Changlang,32,0,0,0,10.0
2020-06-07,Arunachal Pradesh,Changlang,35,0,0,0,10.0
2020-06-08,Arunachal Pradesh,Changlang,38,0,0,0,10.0
2020-06-09,Arunachal Pradesh,Changlang,38,0,0,0,10.0
2020-06-10,Arunachal Pradesh,Changlang,41,0,0,0,10.0
2020-06-11,Arunachal Pradesh,Changlang,43,0,0,0,10.0
2020-06-12,Arunachal Pradesh,Changlang,55,0,0,0,10.0
2020-06-13,Arunachal Pradesh,Changlang,59,0,0,0,10.0
2020-06-14,Arunachal Pradesh,Changlang,59,0,0,0,10.0
2020-06-15,Arunachal Pradesh,Changlang,57,0,0,0,10.0
2020-06-16,Arunachal Pradesh,Changlang,60,0,0,0,10.0
2020-06-17,Arunachal Pradesh,Changlang,60,2,0,0,10.0
2020-06-18,Arunachal Pradesh,Changlang,60,2,0,0,10.0
2020-06-19,Arunachal Pradesh,Changlang,70,2,0,0,10.0
2020-06-20,Arunachal Pradesh,Changlang,70,2,0,0,10.0
2020-06-21,Arunachal Pradesh,Changlang,70,2,0,0,10.0
2020-06-22,Arunachal Pradesh,Changlang,76,2,0,0,10.0
2020-06-23,Arunachal Pradesh,Changlang,76,16,0,0,10.0
2020-06-24,Arunachal Pradesh,Changlang,76,16,0,0,10.0
2020-06-25,Arunachal Pradesh,Changlang,77,18,0,0,10.0
2020-06-26,Arunachal Pradesh,Changlang,77,21,0,0,10.0
2020-06-27,Arunachal Pradesh,Changlang,77,25,0,0,10.0
2020-06-28,Arunachal Pradesh,Changlang,78,26,0,0,10.0
2020-06-29,Arunachal Pradesh,Changlang,81,27,0,0,10.0
2020-06-30,Arunachal Pradesh,Changlang,81,27,0,0,10.0
2020-07-01,Arunachal Pradesh,Changlang,81,30,0,0,10.0
2020-07-02,Arunachal Pradesh,Changlang,83,34,0,0,10.0
2020-07-03,Arunachal Pradesh,Changlang,89,37,0,0,10.0
2020-07-04,Arunachal Pradesh,Changlang,89,37,0,0,10.0
2020-07-05,Arunachal Pradesh,Changlang,91,37,0,0,10.0
2020-07-06,Arunachal Pradesh,Changlang,91,51,0,0,10.0
2020-07-07,Arunachal Pradesh,Changlang,91,61,0,0,10.0
2020-07-08,Arunachal Pradesh,Changlang,92,61,0,0,10.0
2020-07-09,Arunachal Pradesh,Changlang,99,64,0,0,10.0
2020-07-10,Arunachal Pradesh,Changlang,102,64,0,0,10.0
2020-07-11,Arunachal Pradesh,Changlang,102,69,0,0,10.0
2020-07-12,Arunachal Pradesh,Changlang,109,71,0,0,10.0
2020-07-13,Arunachal Pradesh,Changlang,110,74,0,0,10.0
2020-07-14,Arunachal Pradesh,Changlang,111,78,0,0,10.0
2020-07-15,Arunachal Pradesh,Changlang,111,78,0,0,10.0
2020-07-16,Arunachal Pradesh,Changlang,111,78,0,0,10.0
2020-07-17,Arunachal Pradesh,Changlang,115,78,0,0,10.0
2020-07-18,Arunachal Pradesh,Changlang,115,78,0,0,10.0
2020-07-19,Arunachal Pradesh,Changlang,115,82,0,0,10.0
2020-07-20,Arunachal Pradesh,Changlang,115,82,0,0,10.0
