Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-01,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-02,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-03,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-04,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-05,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-06,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-07,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-08,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-09,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-10,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-11,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-12,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-13,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-14,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-15,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-16,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-17,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-18,Arunachal Pradesh,Kamle,0,0,0,0,10.0
2020-06-19,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-06-20,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-06-21,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-06-22,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-06-23,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-06-24,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-06-25,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-06-26,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-06-27,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-06-28,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-06-29,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-06-30,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-01,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-02,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-03,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-04,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-05,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-06,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-07,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-08,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-09,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-10,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-11,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-12,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-13,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-14,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-15,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-16,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-17,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-18,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-19,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-20,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-21,Arunachal Pradesh,Kamle,0,0,0,0,13.0
2020-07-22,Arunachal Pradesh,Kamle,1,0,0,0,13.0
2020-07-23,Arunachal Pradesh,Kamle,1,0,0,0,13.0
2020-07-24,Arunachal Pradesh,Kamle,1,0,0,0,13.0
2020-07-25,Arunachal Pradesh,Kamle,1,0,0,0,13.0
2020-07-26,Arunachal Pradesh,Kamle,1,0,0,0,13.0
2020-07-27,Arunachal Pradesh,Kamle,1,0,0,0,79.0
2020-07-28,Arunachal Pradesh,Kamle,1,0,0,0,110.0
2020-07-29,Arunachal Pradesh,Kamle,1,0,0,0,172.0
2020-07-30,Arunachal Pradesh,Kamle,1,0,0,0,172.0
2020-07-31,Arunachal Pradesh,Kamle,1,0,0,0,251.0
2020-08-01,Arunachal Pradesh,Kamle,1,0,0,0,269.0
2020-08-02,Arunachal Pradesh,Kamle,1,0,0,0,269.0
2020-08-03,Arunachal Pradesh,Kamle,1,1,0,0,269.0
2020-08-04,Arunachal Pradesh,Kamle,1,1,0,0,269.0
2020-08-05,Arunachal Pradesh,Kamle,1,1,0,0,269.0
2020-08-06,Arunachal Pradesh,Kamle,1,1,0,0,400.0
2020-08-07,Arunachal Pradesh,Kamle,1,1,0,0,470.0
2020-08-08,Arunachal Pradesh,Kamle,1,1,0,0,527.0
2020-08-09,Arunachal Pradesh,Kamle,1,1,0,0,567.0
2020-08-10,Arunachal Pradesh,Kamle,1,1,0,0,639.0
2020-08-11,Arunachal Pradesh,Kamle,1,1,0,0,711.0
2020-08-12,Arunachal Pradesh,Kamle,1,1,0,0,782.0
2020-08-13,Arunachal Pradesh,Kamle,1,1,0,0,887.0
2020-08-14,Arunachal Pradesh,Kamle,1,1,0,0,955.0
2020-08-15,Arunachal Pradesh,Kamle,1,1,0,0,1009.0
2020-08-16,Arunachal Pradesh,Kamle,1,1,0,0,1055.0
2020-08-17,Arunachal Pradesh,Kamle,1,1,0,0,1093.0
2020-08-18,Arunachal Pradesh,Kamle,1,1,0,0,1154.0
2020-08-19,Arunachal Pradesh,Kamle,1,1,0,0,1232.0
2020-08-20,Arunachal Pradesh,Kamle,2,1,0,0,1313.0
2020-08-21,Arunachal Pradesh,Kamle,2,1,0,0,1393.0
