Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-01,Arunachal Pradesh,Kurung Kumey,0,0,0,0,73.0
2020-06-02,Arunachal Pradesh,Kurung Kumey,0,0,0,0,73.0
2020-06-03,Arunachal Pradesh,Kurung Kumey,0,0,0,0,84.0
2020-06-04,Arunachal Pradesh,Kurung Kumey,0,0,0,0,84.0
2020-06-05,Arunachal Pradesh,Kurung Kumey,0,0,0,0,84.0
2020-06-06,Arunachal Pradesh,Kurung Kumey,0,0,0,0,84.0
2020-06-07,Arunachal Pradesh,Kurung Kumey,0,0,0,0,91.0
2020-06-08,Arunachal Pradesh,Kurung Kumey,0,0,0,0,96.0
2020-06-09,Arunachal Pradesh,Kurung Kumey,0,0,0,0,96.0
2020-06-10,Arunachal Pradesh,Kurung Kumey,0,0,0,0,96.0
2020-06-11,Arunachal Pradesh,Kurung Kumey,0,0,0,0,96.0
2020-06-12,Arunachal Pradesh,Kurung Kumey,0,0,0,0,96.0
2020-06-13,Arunachal Pradesh,Kurung Kumey,0,0,0,0,96.0
2020-06-14,Arunachal Pradesh,Kurung Kumey,0,0,0,0,96.0
2020-06-15,Arunachal Pradesh,Kurung Kumey,0,0,0,0,96.0
2020-06-16,Arunachal Pradesh,Kurung Kumey,0,0,0,0,96.0
2020-06-17,Arunachal Pradesh,Kurung Kumey,0,0,0,0,96.0
2020-06-18,Arunachal Pradesh,Kurung Kumey,0,0,0,0,96.0
2020-06-19,Arunachal Pradesh,Kurung Kumey,0,0,0,0,114.0
2020-06-20,Arunachal Pradesh,Kurung Kumey,0,0,0,0,114.0
2020-06-21,Arunachal Pradesh,Kurung Kumey,0,0,0,0,114.0
2020-06-22,Arunachal Pradesh,Kurung Kumey,0,0,0,0,120.0
2020-06-23,Arunachal Pradesh,Kurung Kumey,0,0,0,0,135.0
2020-06-24,Arunachal Pradesh,Kurung Kumey,0,0,0,0,145.0
2020-06-25,Arunachal Pradesh,Kurung Kumey,0,0,0,0,145.0
2020-06-26,Arunachal Pradesh,Kurung Kumey,0,0,0,0,149.0
2020-06-27,Arunachal Pradesh,Kurung Kumey,0,0,0,0,149.0
2020-06-28,Arunachal Pradesh,Kurung Kumey,0,0,0,0,152.0
2020-06-29,Arunachal Pradesh,Kurung Kumey,0,0,0,0,155.0
2020-06-30,Arunachal Pradesh,Kurung Kumey,0,0,0,0,155.0
2020-07-01,Arunachal Pradesh,Kurung Kumey,0,0,0,0,155.0
2020-07-02,Arunachal Pradesh,Kurung Kumey,0,0,0,0,162.0
2020-07-03,Arunachal Pradesh,Kurung Kumey,0,0,0,0,162.0
2020-07-04,Arunachal Pradesh,Kurung Kumey,0,0,0,0,173.0
2020-07-05,Arunachal Pradesh,Kurung Kumey,0,0,0,0,173.0
2020-07-06,Arunachal Pradesh,Kurung Kumey,0,0,0,0,183.0
2020-07-07,Arunachal Pradesh,Kurung Kumey,0,0,0,0,183.0
2020-07-08,Arunachal Pradesh,Kurung Kumey,0,0,0,0,193.0
2020-07-09,Arunachal Pradesh,Kurung Kumey,0,0,0,0,193.0
2020-07-10,Arunachal Pradesh,Kurung Kumey,0,0,0,0,193.0
2020-07-11,Arunachal Pradesh,Kurung Kumey,0,0,0,0,198.0
2020-07-12,Arunachal Pradesh,Kurung Kumey,0,0,0,0,198.0
2020-07-13,Arunachal Pradesh,Kurung Kumey,0,0,0,0,198.0
2020-07-14,Arunachal Pradesh,Kurung Kumey,0,0,0,0,215.0
2020-07-15,Arunachal Pradesh,Kurung Kumey,0,0,0,0,215.0
2020-07-16,Arunachal Pradesh,Kurung Kumey,0,0,0,0,260.0
2020-07-17,Arunachal Pradesh,Kurung Kumey,0,0,0,0,260.0
2020-07-18,Arunachal Pradesh,Kurung Kumey,0,0,0,0,260.0
2020-07-19,Arunachal Pradesh,Kurung Kumey,0,0,0,0,260.0
2020-07-20,Arunachal Pradesh,Kurung Kumey,0,0,0,0,260.0
2020-07-21,Arunachal Pradesh,Kurung Kumey,0,0,0,0,260.0
2020-07-22,Arunachal Pradesh,Kurung Kumey,0,0,0,0,292.0
2020-07-23,Arunachal Pradesh,Kurung Kumey,0,0,0,0,293.0
2020-07-24,Arunachal Pradesh,Kurung Kumey,0,0,0,0,293.0
2020-07-25,Arunachal Pradesh,Kurung Kumey,0,0,0,0,298.0
2020-07-26,Arunachal Pradesh,Kurung Kumey,0,0,0,0,298.0
2020-07-27,Arunachal Pradesh,Kurung Kumey,0,0,0,0,298.0
2020-07-28,Arunachal Pradesh,Kurung Kumey,0,0,0,0,310.0
2020-07-29,Arunachal Pradesh,Kurung Kumey,0,0,0,0,321.0
2020-07-30,Arunachal Pradesh,Kurung Kumey,0,0,0,0,343.0
2020-07-31,Arunachal Pradesh,Kurung Kumey,0,0,0,0,350.0
2020-08-01,Arunachal Pradesh,Kurung Kumey,0,0,0,0,369.0
2020-08-02,Arunachal Pradesh,Kurung Kumey,0,0,0,0,385.0
2020-08-03,Arunachal Pradesh,Kurung Kumey,0,0,0,0,385.0
2020-08-04,Arunachal Pradesh,Kurung Kumey,0,0,0,0,415.0
2020-08-05,Arunachal Pradesh,Kurung Kumey,0,0,0,0,429.0
