Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Arunachal Pradesh,Lohit,1,1,0,0,
2020-04-27,Arunachal Pradesh,Lohit,1,1,0,0,
2020-04-28,Arunachal Pradesh,Lohit,1,1,0,0,
2020-04-29,Arunachal Pradesh,Lohit,1,1,0,0,
2020-04-30,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-01,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-02,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-03,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-04,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-05,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-06,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-07,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-08,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-09,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-10,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-11,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-12,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-13,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-14,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-15,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-16,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-17,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-18,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-19,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-20,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-21,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-22,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-23,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-24,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-25,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-26,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-27,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-28,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-29,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-30,Arunachal Pradesh,Lohit,1,1,0,0,
2020-05-31,Arunachal Pradesh,Lohit,1,1,0,0,
2020-06-01,Arunachal Pradesh,Lohit,0,1,0,0,160.0
2020-06-02,Arunachal Pradesh,Lohit,1,1,0,0,160.0
2020-06-03,Arunachal Pradesh,Lohit,1,1,0,0,223.0
2020-06-04,Arunachal Pradesh,Lohit,1,1,0,0,249.0
2020-06-05,Arunachal Pradesh,Lohit,2,1,0,0,341.0
2020-06-06,Arunachal Pradesh,Lohit,2,1,0,0,341.0
2020-06-07,Arunachal Pradesh,Lohit,2,1,0,0,341.0
2020-06-08,Arunachal Pradesh,Lohit,2,1,0,0,356.0
