Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-01,Arunachal Pradesh,Longding,0,0,0,0,274.0
2020-06-02,Arunachal Pradesh,Longding,0,0,0,0,274.0
2020-06-03,Arunachal Pradesh,Longding,0,0,0,0,317.0
2020-06-04,Arunachal Pradesh,Longding,0,0,0,0,317.0
2020-06-05,Arunachal Pradesh,Longding,0,0,0,0,340.0
2020-06-06,Arunachal Pradesh,Longding,0,0,0,0,340.0
2020-06-07,Arunachal Pradesh,Longding,0,0,0,0,364.0
2020-06-08,Arunachal Pradesh,Longding,0,0,0,0,382.0
2020-06-09,Arunachal Pradesh,Longding,0,0,0,0,406.0
2020-06-10,Arunachal Pradesh,Longding,0,0,0,0,406.0
2020-06-11,Arunachal Pradesh,Longding,1,0,0,0,406.0
2020-06-12,Arunachal Pradesh,Longding,1,0,0,0,406.0
2020-06-13,Arunachal Pradesh,Longding,1,0,0,0,406.0
2020-06-14,Arunachal Pradesh,Longding,1,0,0,0,406.0
2020-06-15,Arunachal Pradesh,Longding,1,0,0,0,406.0
2020-06-16,Arunachal Pradesh,Longding,1,0,0,0,406.0
2020-06-17,Arunachal Pradesh,Longding,1,0,0,0,406.0
2020-06-18,Arunachal Pradesh,Longding,1,0,0,0,406.0
2020-06-19,Arunachal Pradesh,Longding,1,0,0,0,678.0
2020-06-20,Arunachal Pradesh,Longding,1,1,0,0,678.0
2020-06-21,Arunachal Pradesh,Longding,1,1,0,0,705.0
2020-06-22,Arunachal Pradesh,Longding,3,1,0,0,720.0
2020-06-23,Arunachal Pradesh,Longding,3,1,0,0,743.0
2020-06-24,Arunachal Pradesh,Longding,4,1,0,0,746.0
2020-06-25,Arunachal Pradesh,Longding,4,1,0,0,746.0
2020-06-26,Arunachal Pradesh,Longding,4,1,0,0,763.0
2020-06-27,Arunachal Pradesh,Longding,4,1,0,0,786.0
2020-06-28,Arunachal Pradesh,Longding,4,1,0,0,792.0
2020-06-29,Arunachal Pradesh,Longding,4,1,0,0,792.0
2020-06-30,Arunachal Pradesh,Longding,4,1,0,0,824.0
2020-07-01,Arunachal Pradesh,Longding,4,1,0,0,837.0
2020-07-02,Arunachal Pradesh,Longding,4,1,0,0,849.0
2020-07-03,Arunachal Pradesh,Longding,4,1,0,0,855.0
2020-07-04,Arunachal Pradesh,Longding,4,1,0,0,859.0
2020-07-05,Arunachal Pradesh,Longding,4,1,0,0,871.0
