Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-01,Arunachal Pradesh,Lower Subansiri,0,0,0,0,518.0
2020-06-02,Arunachal Pradesh,Lower Subansiri,0,0,0,0,518.0
2020-06-03,Arunachal Pradesh,Lower Subansiri,0,0,0,0,588.0
2020-06-04,Arunachal Pradesh,Lower Subansiri,0,0,0,0,671.0
2020-06-05,Arunachal Pradesh,Lower Subansiri,0,0,0,0,706.0
2020-06-06,Arunachal Pradesh,Lower Subansiri,0,0,0,0,706.0
2020-06-07,Arunachal Pradesh,Lower Subansiri,0,0,0,0,753.0
2020-06-08,Arunachal Pradesh,Lower Subansiri,0,0,0,0,794.0
2020-06-09,Arunachal Pradesh,Lower Subansiri,0,0,0,0,834.0
2020-06-10,Arunachal Pradesh,Lower Subansiri,0,0,0,0,834.0
2020-06-11,Arunachal Pradesh,Lower Subansiri,0,0,0,0,834.0
2020-06-12,Arunachal Pradesh,Lower Subansiri,0,0,0,0,834.0
2020-06-13,Arunachal Pradesh,Lower Subansiri,0,0,0,0,834.0
2020-06-14,Arunachal Pradesh,Lower Subansiri,0,0,0,0,834.0
2020-06-15,Arunachal Pradesh,Lower Subansiri,0,0,0,0,834.0
2020-06-16,Arunachal Pradesh,Lower Subansiri,0,0,0,0,834.0
2020-06-17,Arunachal Pradesh,Lower Subansiri,0,0,0,0,834.0
2020-06-18,Arunachal Pradesh,Lower Subansiri,0,0,0,0,834.0
2020-06-19,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1131.0
2020-06-20,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1151.0
2020-06-21,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1188.0
2020-06-22,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1220.0
2020-06-23,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1272.0
2020-06-24,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1272.0
2020-06-25,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1327.0
2020-06-26,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1357.0
2020-06-27,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1392.0
2020-06-28,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1392.0
2020-06-29,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1444.0
2020-06-30,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1444.0
2020-07-01,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1494.0
2020-07-02,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1520.0
2020-07-03,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1520.0
2020-07-04,Arunachal Pradesh,Lower Subansiri,0,0,0,0,1622.0
2020-07-05,Arunachal Pradesh,Lower Subansiri,2,0,0,0,1622.0
2020-07-06,Arunachal Pradesh,Lower Subansiri,2,0,0,0,1685.0
2020-07-07,Arunachal Pradesh,Lower Subansiri,2,0,0,0,1712.0
2020-07-08,Arunachal Pradesh,Lower Subansiri,7,0,0,0,1741.0
2020-07-09,Arunachal Pradesh,Lower Subansiri,12,0,0,0,1741.0
2020-07-10,Arunachal Pradesh,Lower Subansiri,12,0,0,0,1791.0
2020-07-11,Arunachal Pradesh,Lower Subansiri,12,0,0,0,1836.0
2020-07-12,Arunachal Pradesh,Lower Subansiri,12,0,0,0,1836.0
2020-07-13,Arunachal Pradesh,Lower Subansiri,12,0,0,0,1836.0
2020-07-14,Arunachal Pradesh,Lower Subansiri,12,0,0,0,1913.0
2020-07-15,Arunachal Pradesh,Lower Subansiri,12,0,0,0,1952.0
2020-07-16,Arunachal Pradesh,Lower Subansiri,12,0,0,0,1979.0
2020-07-17,Arunachal Pradesh,Lower Subansiri,12,0,0,0,2044.0
2020-07-18,Arunachal Pradesh,Lower Subansiri,14,0,0,0,2044.0
2020-07-19,Arunachal Pradesh,Lower Subansiri,14,0,0,0,2147.0
2020-07-20,Arunachal Pradesh,Lower Subansiri,19,3,0,0,2235.0
2020-07-21,Arunachal Pradesh,Lower Subansiri,25,3,0,0,2297.0
2020-07-22,Arunachal Pradesh,Lower Subansiri,25,4,0,0,2399.0
2020-07-23,Arunachal Pradesh,Lower Subansiri,25,4,0,0,2547.0
2020-07-24,Arunachal Pradesh,Lower Subansiri,25,6,0,0,2687.0
2020-07-25,Arunachal Pradesh,Lower Subansiri,25,13,0,0,2869.0
2020-07-26,Arunachal Pradesh,Lower Subansiri,26,15,0,0,2964.0
2020-07-27,Arunachal Pradesh,Lower Subansiri,26,15,0,0,3163.0
2020-07-28,Arunachal Pradesh,Lower Subansiri,26,15,0,0,3347.0
2020-07-29,Arunachal Pradesh,Lower Subansiri,26,17,0,0,3752.0
2020-07-30,Arunachal Pradesh,Lower Subansiri,36,25,0,0,4398.0
2020-07-31,Arunachal Pradesh,Lower Subansiri,36,25,0,0,4923.0
2020-08-01,Arunachal Pradesh,Lower Subansiri,39,25,0,0,5458.0
2020-08-02,Arunachal Pradesh,Lower Subansiri,39,25,0,0,5558.0
2020-08-03,Arunachal Pradesh,Lower Subansiri,39,25,0,0,5875.0
2020-08-04,Arunachal Pradesh,Lower Subansiri,39,25,0,0,6051.0
2020-08-05,Arunachal Pradesh,Lower Subansiri,39,26,0,0,6209.0
2020-08-06,Arunachal Pradesh,Lower Subansiri,39,26,0,0,6450.0
2020-08-07,Arunachal Pradesh,Lower Subansiri,39,26,0,0,6630.0
2020-08-08,Arunachal Pradesh,Lower Subansiri,39,36,0,0,6980.0
2020-08-09,Arunachal Pradesh,Lower Subansiri,39,36,0,0,7050.0
2020-08-10,Arunachal Pradesh,Lower Subansiri,40,36,0,0,7305.0
2020-08-11,Arunachal Pradesh,Lower Subansiri,40,39,0,0,7434.0
2020-08-12,Arunachal Pradesh,Lower Subansiri,40,39,0,0,7674.0
2020-08-13,Arunachal Pradesh,Lower Subansiri,40,39,0,0,7858.0
2020-08-14,Arunachal Pradesh,Lower Subansiri,40,39,0,0,8058.0
2020-08-15,Arunachal Pradesh,Lower Subansiri,40,39,0,0,8160.0
2020-08-16,Arunachal Pradesh,Lower Subansiri,40,39,0,0,8381.0
