Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-01,Arunachal Pradesh,Namsai,2,0,0,0,63.0
2020-06-02,Arunachal Pradesh,Namsai,1,0,0,0,63.0
2020-06-03,Arunachal Pradesh,Namsai,1,0,0,0,63.0
2020-06-04,Arunachal Pradesh,Namsai,2,0,0,0,63.0
2020-06-05,Arunachal Pradesh,Namsai,2,0,0,0,63.0
2020-06-06,Arunachal Pradesh,Namsai,2,0,0,0,63.0
2020-06-07,Arunachal Pradesh,Namsai,2,0,0,0,63.0
2020-06-08,Arunachal Pradesh,Namsai,2,0,0,0,91.0
2020-06-09,Arunachal Pradesh,Namsai,2,0,0,0,91.0
2020-06-10,Arunachal Pradesh,Namsai,2,0,0,0,91.0
2020-06-11,Arunachal Pradesh,Namsai,2,0,0,0,91.0
2020-06-12,Arunachal Pradesh,Namsai,3,0,0,0,91.0
2020-06-13,Arunachal Pradesh,Namsai,3,2,0,0,91.0
2020-06-14,Arunachal Pradesh,Namsai,3,2,0,0,91.0
2020-06-15,Arunachal Pradesh,Namsai,3,2,0,0,91.0
2020-06-16,Arunachal Pradesh,Namsai,3,2,0,0,91.0
2020-06-17,Arunachal Pradesh,Namsai,4,2,0,0,91.0
2020-06-18,Arunachal Pradesh,Namsai,4,2,0,0,91.0
2020-06-19,Arunachal Pradesh,Namsai,4,2,0,0,168.0
2020-06-20,Arunachal Pradesh,Namsai,4,2,0,0,168.0
2020-06-21,Arunachal Pradesh,Namsai,4,2,0,0,168.0
2020-06-22,Arunachal Pradesh,Namsai,4,2,0,0,197.0
2020-06-23,Arunachal Pradesh,Namsai,4,2,0,0,197.0
2020-06-24,Arunachal Pradesh,Namsai,4,2,0,0,197.0
2020-06-25,Arunachal Pradesh,Namsai,10,2,0,0,207.0
2020-06-26,Arunachal Pradesh,Namsai,10,2,0,0,207.0
2020-06-27,Arunachal Pradesh,Namsai,10,3,0,0,207.0
2020-06-28,Arunachal Pradesh,Namsai,11,3,0,0,207.0
2020-06-29,Arunachal Pradesh,Namsai,11,3,0,0,230.0
2020-06-30,Arunachal Pradesh,Namsai,11,3,0,0,230.0
2020-07-01,Arunachal Pradesh,Namsai,12,3,0,0,230.0
2020-07-02,Arunachal Pradesh,Namsai,13,3,0,0,255.0
2020-07-03,Arunachal Pradesh,Namsai,13,3,0,0,255.0
2020-07-04,Arunachal Pradesh,Namsai,13,3,0,0,255.0
2020-07-05,Arunachal Pradesh,Namsai,15,3,0,0,255.0
2020-07-06,Arunachal Pradesh,Namsai,15,3,0,0,255.0
2020-07-07,Arunachal Pradesh,Namsai,16,4,0,0,255.0
2020-07-08,Arunachal Pradesh,Namsai,16,4,0,0,308.0
2020-07-09,Arunachal Pradesh,Namsai,16,5,0,0,308.0
2020-07-10,Arunachal Pradesh,Namsai,18,5,0,0,308.0
2020-07-11,Arunachal Pradesh,Namsai,18,5,0,0,308.0
2020-07-12,Arunachal Pradesh,Namsai,19,5,0,0,308.0
2020-07-13,Arunachal Pradesh,Namsai,21,6,0,0,308.0
2020-07-14,Arunachal Pradesh,Namsai,24,8,0,0,347.0
2020-07-15,Arunachal Pradesh,Namsai,38,8,0,0,347.0
2020-07-16,Arunachal Pradesh,Namsai,38,8,0,0,347.0
2020-07-17,Arunachal Pradesh,Namsai,39,10,0,0,347.0
2020-07-18,Arunachal Pradesh,Namsai,39,12,0,0,347.0
2020-07-19,Arunachal Pradesh,Namsai,44,14,0,0,347.0
2020-07-20,Arunachal Pradesh,Namsai,44,14,0,0,386.0
2020-07-21,Arunachal Pradesh,Namsai,47,14,0,0,386.0
2020-07-22,Arunachal Pradesh,Namsai,54,16,0,0,386.0
2020-07-23,Arunachal Pradesh,Namsai,58,16,0,0,386.0
2020-07-24,Arunachal Pradesh,Namsai,59,17,0,0,386.0
2020-07-25,Arunachal Pradesh,Namsai,59,23,0,0,417.0
2020-07-26,Arunachal Pradesh,Namsai,59,23,0,0,417.0
2020-07-27,Arunachal Pradesh,Namsai,59,23,0,0,417.0
2020-07-28,Arunachal Pradesh,Namsai,61,23,0,0,417.0
2020-07-29,Arunachal Pradesh,Namsai,67,23,0,0,417.0
2020-07-30,Arunachal Pradesh,Namsai,76,48,0,0,452.0
2020-07-31,Arunachal Pradesh,Namsai,87,48,0,0,452.0
2020-08-01,Arunachal Pradesh,Namsai,89,48,0,0,460.0
2020-08-02,Arunachal Pradesh,Namsai,89,53,0,0,469.0
2020-08-03,Arunachal Pradesh,Namsai,102,53,0,0,485.0
2020-08-04,Arunachal Pradesh,Namsai,102,55,0,0,511.0
2020-08-05,Arunachal Pradesh,Namsai,105,56,0,0,526.0
2020-08-06,Arunachal Pradesh,Namsai,160,56,0,0,551.0
2020-08-07,Arunachal Pradesh,Namsai,161,59,0,0,576.0
2020-08-08,Arunachal Pradesh,Namsai,165,62,0,0,603.0
2020-08-09,Arunachal Pradesh,Namsai,167,66,0,0,664.0
2020-08-10,Arunachal Pradesh,Namsai,171,83,0,0,712.0
2020-08-11,Arunachal Pradesh,Namsai,171,84,0,0,770.0
2020-08-12,Arunachal Pradesh,Namsai,173,84,0,0,819.0
2020-08-13,Arunachal Pradesh,Namsai,174,98,0,0,847.0
2020-08-14,Arunachal Pradesh,Namsai,179,101,1,0,868.0
2020-08-15,Arunachal Pradesh,Namsai,181,101,1,0,868.0
2020-08-16,Arunachal Pradesh,Namsai,181,101,1,0,906.0
2020-08-17,Arunachal Pradesh,Namsai,182,104,1,0,968.0
2020-08-18,Arunachal Pradesh,Namsai,183,109,1,0,1002.0
2020-08-19,Arunachal Pradesh,Namsai,186,113,1,0,1036.0
2020-08-20,Arunachal Pradesh,Namsai,186,114,1,0,1063.0
2020-08-21,Arunachal Pradesh,Namsai,190,114,1,0,1109.0
2020-08-22,Arunachal Pradesh,Namsai,191,114,1,0,1165.0
2020-08-23,Arunachal Pradesh,Namsai,191,114,1,0,1196.0
2020-08-24,Arunachal Pradesh,Namsai,191,175,1,0,1230.0
2020-08-25,Arunachal Pradesh,Namsai,194,176,1,0,1454.0
2020-08-26,Arunachal Pradesh,Namsai,195,178,1,0,1627.0
2020-08-27,Arunachal Pradesh,Namsai,195,178,1,0,1765.0
2020-08-28,Arunachal Pradesh,Namsai,195,181,1,0,1921.0
2020-08-29,Arunachal Pradesh,Namsai,195,181,1,0,2020.0
2020-08-30,Arunachal Pradesh,Namsai,195,181,1,0,2034.0
2020-08-31,Arunachal Pradesh,Namsai,196,181,1,0,2034.0
2020-09-01,Arunachal Pradesh,Namsai,196,181,1,0,2149.0
2020-09-02,Arunachal Pradesh,Namsai,198,181,1,0,2163.0
2020-09-03,Arunachal Pradesh,Namsai,198,185,1,0,2191.0
2020-09-04,Arunachal Pradesh,Namsai,199,188,1,0,2201.0
2020-09-05,Arunachal Pradesh,Namsai,201,188,1,0,2208.0
2020-09-06,Arunachal Pradesh,Namsai,201,188,1,0,2208.0
2020-09-07,Arunachal Pradesh,Namsai,204,189,1,0,2232.0
2020-09-08,Arunachal Pradesh,Namsai,207,189,1,0,2232.0
2020-09-09,Arunachal Pradesh,Namsai,209,190,1,0,2260.0
2020-09-10,Arunachal Pradesh,Namsai,210,194,1,0,2260.0
2020-09-11,Arunachal Pradesh,Namsai,211,194,1,0,2275.0
2020-09-12,Arunachal Pradesh,Namsai,212,194,1,0,2288.0
2020-09-13,Arunachal Pradesh,Namsai,212,195,1,0,2289.0
2020-09-14,Arunachal Pradesh,Namsai,212,195,1,0,2329.0
