Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-24,Arunachal Pradesh,Papum Pare,1,0,0,0,
2020-05-25,Arunachal Pradesh,Papum Pare,1,0,0,0,
2020-05-26,Arunachal Pradesh,Papum Pare,1,0,0,0,
2020-05-27,Arunachal Pradesh,Papum Pare,1,0,0,0,
2020-05-28,Arunachal Pradesh,Papum Pare,1,0,0,0,
2020-05-29,Arunachal Pradesh,Papum Pare,1,0,0,0,
2020-05-30,Arunachal Pradesh,Papum Pare,1,0,0,0,
2020-05-31,Arunachal Pradesh,Papum Pare,1,0,0,0,
2020-06-01,Arunachal Pradesh,Papum Pare,3,0,0,0,
2020-06-02,Arunachal Pradesh,Papum Pare,5,0,0,0,
2020-06-03,Arunachal Pradesh,Papum Pare,5,0,0,0,
2020-06-04,Arunachal Pradesh,Papum Pare,5,0,0,0,
2020-06-05,Arunachal Pradesh,Papum Pare,5,0,0,0,
2020-06-06,Arunachal Pradesh,Papum Pare,5,0,0,0,
2020-06-07,Arunachal Pradesh,Papum Pare,5,0,0,0,
2020-06-08,Arunachal Pradesh,Papum Pare,5,0,0,0,
2020-06-09,Arunachal Pradesh,Papum Pare,5,0,0,0,
2020-06-10,Arunachal Pradesh,Papum Pare,5,2,0,0,
2020-06-11,Arunachal Pradesh,Papum Pare,5,2,0,0,
2020-06-12,Arunachal Pradesh,Papum Pare,5,2,0,0,
2020-06-13,Arunachal Pradesh,Papum Pare,5,2,0,0,
2020-06-14,Arunachal Pradesh,Papum Pare,8,2,0,0,
2020-06-15,Arunachal Pradesh,Papum Pare,10,2,0,0,
2020-06-16,Arunachal Pradesh,Papum Pare,11,2,0,0,
2020-06-17,Arunachal Pradesh,Papum Pare,11,3,0,0,
2020-06-18,Arunachal Pradesh,Papum Pare,11,3,0,0,
2020-06-19,Arunachal Pradesh,Papum Pare,24,6,0,0,
2020-06-20,Arunachal Pradesh,Papum Pare,24,6,0,0,
2020-06-21,Arunachal Pradesh,Papum Pare,28,8,0,0,
2020-06-22,Arunachal Pradesh,Papum Pare,28,8,0,0,
2020-06-23,Arunachal Pradesh,Papum Pare,37,8,0,0,
2020-06-24,Arunachal Pradesh,Papum Pare,38,8,0,0,
2020-06-25,Arunachal Pradesh,Papum Pare,42,8,0,0,
2020-06-26,Arunachal Pradesh,Papum Pare,43,8,0,0,
2020-06-27,Arunachal Pradesh,Papum Pare,43,8,0,0,
2020-06-28,Arunachal Pradesh,Papum Pare,46,8,0,0,
2020-06-29,Arunachal Pradesh,Papum Pare,48,8,0,0,
2020-06-30,Arunachal Pradesh,Papum Pare,48,8,0,0,
2020-07-01,Arunachal Pradesh,Papum Pare,49,8,0,0,
2020-07-02,Arunachal Pradesh,Papum Pare,83,8,0,0,
2020-07-03,Arunachal Pradesh,Papum Pare,89,8,0,0,
2020-07-04,Arunachal Pradesh,Papum Pare,90,8,0,0,
2020-07-05,Arunachal Pradesh,Papum Pare,93,10,0,0,
2020-07-06,Arunachal Pradesh,Papum Pare,94,10,0,0,
2020-07-07,Arunachal Pradesh,Papum Pare,99,10,0,0,
2020-07-08,Arunachal Pradesh,Papum Pare,104,11,0,0,
2020-07-09,Arunachal Pradesh,Papum Pare,105,17,0,0,
2020-07-10,Arunachal Pradesh,Papum Pare,133,17,0,0,
2020-07-11,Arunachal Pradesh,Papum Pare,138,17,0,0,
2020-07-12,Arunachal Pradesh,Papum Pare,149,24,0,0,
2020-07-13,Arunachal Pradesh,Papum Pare,171,24,1,0,
2020-07-14,Arunachal Pradesh,Papum Pare,220,24,1,0,
2020-07-15,Arunachal Pradesh,Papum Pare,232,24,1,0,
2020-07-16,Arunachal Pradesh,Papum Pare,274,24,1,0,
2020-07-17,Arunachal Pradesh,Papum Pare,332,34,1,0,
2020-07-18,Arunachal Pradesh,Papum Pare,356,131,1,0,
2020-07-19,Arunachal Pradesh,Papum Pare,426,131,1,0,
2020-07-20,Arunachal Pradesh,Papum Pare,460,131,1,0,
2020-07-21,Arunachal Pradesh,Papum Pare,518,147,1,0,
2020-07-22,Arunachal Pradesh,Papum Pare,552,147,1,0,
2020-07-23,Arunachal Pradesh,Papum Pare,586,162,1,0,
2020-07-24,Arunachal Pradesh,Papum Pare,639,207,1,0,
2020-07-25,Arunachal Pradesh,Papum Pare,680,216,1,0,
2020-07-26,Arunachal Pradesh,Papum Pare,685,286,1,0,
2020-07-27,Arunachal Pradesh,Papum Pare,736,333,1,0,
2020-07-28,Arunachal Pradesh,Papum Pare,764,356,1,0,
2020-07-29,Arunachal Pradesh,Papum Pare,785,403,1,0,
2020-07-30,Arunachal Pradesh,Papum Pare,810,488,1,0,
2020-07-31,Arunachal Pradesh,Papum Pare,833,568,1,0,
2020-08-01,Arunachal Pradesh,Papum Pare,871,599,1,0,
2020-08-02,Arunachal Pradesh,Papum Pare,879,613,1,0,
2020-08-03,Arunachal Pradesh,Papum Pare,887,663,1,0,
2020-08-04,Arunachal Pradesh,Papum Pare,892,675,1,0,
2020-08-05,Arunachal Pradesh,Papum Pare,903,729,1,0,
2020-08-06,Arunachal Pradesh,Papum Pare,910,750,1,0,
2020-08-07,Arunachal Pradesh,Papum Pare,922,775,1,0,
2020-08-08,Arunachal Pradesh,Papum Pare,933,802,1,0,
2020-08-09,Arunachal Pradesh,Papum Pare,938,819,1,0,
2020-08-10,Arunachal Pradesh,Papum Pare,954,847,1,0,
2020-08-11,Arunachal Pradesh,Papum Pare,981,862,1,0,
2020-08-12,Arunachal Pradesh,Papum Pare,993,869,1,0,
2020-08-13,Arunachal Pradesh,Papum Pare,1018,872,1,0,
2020-08-14,Arunachal Pradesh,Papum Pare,1027,886,1,0,
2020-08-15,Arunachal Pradesh,Papum Pare,1033,891,1,0,
2020-08-16,Arunachal Pradesh,Papum Pare,1044,912,1,0,
2020-08-17,Arunachal Pradesh,Papum Pare,1057,930,1,0,
2020-08-18,Arunachal Pradesh,Papum Pare,1075,935,1,0,
2020-08-19,Arunachal Pradesh,Papum Pare,1097,943,1,0,
2020-08-20,Arunachal Pradesh,Papum Pare,1107,951,1,0,
2020-08-21,Arunachal Pradesh,Papum Pare,1123,954,1,0,
2020-08-22,Arunachal Pradesh,Papum Pare,1145,976,1,0,
2020-08-23,Arunachal Pradesh,Papum Pare,1156,985,1,0,
2020-08-24,Arunachal Pradesh,Papum Pare,1167,1005,1,0,
2020-08-25,Arunachal Pradesh,Papum Pare,1192,1024,1,0,
2020-08-26,Arunachal Pradesh,Papum Pare,1230,1039,1,0,
2020-08-27,Arunachal Pradesh,Papum Pare,1252,1062,1,0,
2020-08-28,Arunachal Pradesh,Papum Pare,1293,1085,2,0,
2020-08-29,Arunachal Pradesh,Papum Pare,1336,1089,2,0,
2020-08-30,Arunachal Pradesh,Papum Pare,1361,1102,2,0,
2020-08-31,Arunachal Pradesh,Papum Pare,1389,1137,2,0,
2020-09-01,Arunachal Pradesh,Papum Pare,1438,1151,2,0,
2020-09-02,Arunachal Pradesh,Papum Pare,1475,1174,2,0,
2020-09-03,Arunachal Pradesh,Papum Pare,1540,1213,2,0,
2020-09-04,Arunachal Pradesh,Papum Pare,1613,1242,2,0,
2020-09-05,Arunachal Pradesh,Papum Pare,1678,1263,2,0,
2020-09-06,Arunachal Pradesh,Papum Pare,1708,1306,2,0,
2020-09-07,Arunachal Pradesh,Papum Pare,1765,1354,2,0,
2020-09-08,Arunachal Pradesh,Papum Pare,1891,1398,3,0,
2020-09-09,Arunachal Pradesh,Papum Pare,1947,1424,3,0,
2020-09-10,Arunachal Pradesh,Papum Pare,2023,1461,3,0,
2020-09-11,Arunachal Pradesh,Papum Pare,2111,1518,4,0,
2020-09-12,Arunachal Pradesh,Papum Pare,2177,1567,4,0,
2020-09-13,Arunachal Pradesh,Papum Pare,2253,1637,4,0,
2020-09-14,Arunachal Pradesh,Papum Pare,2343,1682,5,0,
2020-09-15,Arunachal Pradesh,Papum Pare,2451,1739,5,0,
2020-09-16,Arunachal Pradesh,Papum Pare,2582,1802,5,0,
2020-09-17,Arunachal Pradesh,Papum Pare,2678,1854,5,0,
2020-09-18,Arunachal Pradesh,Papum Pare,2803,1906,5,0,
2020-09-19,Arunachal Pradesh,Papum Pare,2922,1953,5,0,
2020-09-20,Arunachal Pradesh,Papum Pare,3000,2012,5,0,
2020-09-21,Arunachal Pradesh,Papum Pare,3110,2110,5,0,
2020-09-22,Arunachal Pradesh,Papum Pare,3253,2158,5,0,
2020-09-23,Arunachal Pradesh,Papum Pare,3435,2203,5,0,
2020-09-24,Arunachal Pradesh,Papum Pare,3609,2238,5,0,
2020-09-25,Arunachal Pradesh,Papum Pare,3738,2282,5,0,
2020-09-26,Arunachal Pradesh,Papum Pare,3832,2353,5,0,
2020-09-27,Arunachal Pradesh,Papum Pare,3900,2384,5,0,
2020-09-28,Arunachal Pradesh,Papum Pare,4103,2430,6,0,
2020-09-29,Arunachal Pradesh,Papum Pare,4209,2509,7,0,
2020-09-30,Arunachal Pradesh,Papum Pare,4340,2553,7,0,
2020-10-01,Arunachal Pradesh,Papum Pare,4434,2649,7,0,
2020-10-02,Arunachal Pradesh,Papum Pare,4527,2698,7,0,
2020-10-03,Arunachal Pradesh,Papum Pare,4608,2814,7,0,
2020-10-04,Arunachal Pradesh,Papum Pare,4661,2916,7,0,
2020-10-05,Arunachal Pradesh,Papum Pare,4734,2996,7,0,
2020-10-06,Arunachal Pradesh,Papum Pare,4827,3074,8,0,
2020-10-07,Arunachal Pradesh,Papum Pare,4972,3457,9,0,104316.0
2020-10-08,Arunachal Pradesh,Papum Pare,5062,3604,10,0,105179.0
2020-10-09,Arunachal Pradesh,Papum Pare,5169,3667,11,0,106314.0
2020-10-10,Arunachal Pradesh,Papum Pare,5260,3733,11,0,107053.0
2020-10-11,Arunachal Pradesh,Papum Pare,5336,3861,12,0,107625.0
2020-10-12,Arunachal Pradesh,Papum Pare,5426,3916,12,0,107952.0
2020-10-13,Arunachal Pradesh,Papum Pare,5509,3956,13,0,108959.0
2020-10-14,Arunachal Pradesh,Papum Pare,5575,4007,14,0,111318.0
2020-10-15,Arunachal Pradesh,Papum Pare,5649,4091,15,0,112617.0
2020-10-16,Arunachal Pradesh,Papum Pare,5724,4150,15,0,112617.0
2020-10-17,Arunachal Pradesh,Papum Pare,5803,4239,15,0,114595.0
2020-10-18,Arunachal Pradesh,Papum Pare,5828,4356,15,0,115060.0
2020-10-19,Arunachal Pradesh,Papum Pare,5870,4431,15,0,115967.0
2020-10-20,Arunachal Pradesh,Papum Pare,5910,4558,16,0,116984.0
2020-10-21,Arunachal Pradesh,Papum Pare,5951,4622,16,0,117838.0
2020-10-22,Arunachal Pradesh,Papum Pare,5985,4668,16,0,118602.0
2020-10-23,Arunachal Pradesh,Papum Pare,6005,4752,16,0,119152.0
2020-10-24,Arunachal Pradesh,Papum Pare,6030,4812,16,0,119603.0
2020-10-25,Arunachal Pradesh,Papum Pare,6045,4842,16,0,120073.0
2020-10-26,Arunachal Pradesh,Papum Pare,6106,4900,17,0,120930.0
2020-10-27,Arunachal Pradesh,Papum Pare,6125,4915,18,0,121735.0
2020-10-28,Arunachal Pradesh,Papum Pare,6155,4971,18,0,122600.0
2020-10-29,Arunachal Pradesh,Papum Pare,6155,4971,18,0,122600.0
