Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-01,Arunachal Pradesh,Siang,0,0,0,0,54.0
2020-06-02,Arunachal Pradesh,Siang,0,0,0,0,54.0
2020-06-03,Arunachal Pradesh,Siang,0,0,0,0,54.0
2020-06-04,Arunachal Pradesh,Siang,0,0,0,0,71.0
2020-06-05,Arunachal Pradesh,Siang,0,0,0,0,71.0
2020-06-06,Arunachal Pradesh,Siang,0,0,0,0,71.0
2020-06-07,Arunachal Pradesh,Siang,0,0,0,0,71.0
2020-06-08,Arunachal Pradesh,Siang,0,0,0,0,86.0
2020-06-09,Arunachal Pradesh,Siang,0,0,0,0,86.0
2020-06-10,Arunachal Pradesh,Siang,0,0,0,0,86.0
2020-06-11,Arunachal Pradesh,Siang,0,0,0,0,86.0
2020-06-12,Arunachal Pradesh,Siang,0,0,0,0,86.0
2020-06-13,Arunachal Pradesh,Siang,0,0,0,0,86.0
2020-06-14,Arunachal Pradesh,Siang,0,0,0,0,86.0
2020-06-15,Arunachal Pradesh,Siang,0,0,0,0,86.0
2020-06-16,Arunachal Pradesh,Siang,0,0,0,0,86.0
2020-06-17,Arunachal Pradesh,Siang,0,0,0,0,86.0
2020-06-18,Arunachal Pradesh,Siang,0,0,0,0,86.0
2020-06-19,Arunachal Pradesh,Siang,0,0,0,0,99.0
2020-06-20,Arunachal Pradesh,Siang,0,0,0,0,99.0
2020-06-21,Arunachal Pradesh,Siang,0,0,0,0,99.0
2020-06-22,Arunachal Pradesh,Siang,0,0,0,0,105.0
2020-06-23,Arunachal Pradesh,Siang,0,0,0,0,105.0
2020-06-24,Arunachal Pradesh,Siang,0,0,0,0,105.0
2020-06-25,Arunachal Pradesh,Siang,0,0,0,0,112.0
2020-06-26,Arunachal Pradesh,Siang,0,0,0,0,112.0
2020-06-27,Arunachal Pradesh,Siang,0,0,0,0,112.0
2020-06-28,Arunachal Pradesh,Siang,0,0,0,0,122.0
2020-06-29,Arunachal Pradesh,Siang,0,0,0,0,122.0
2020-06-30,Arunachal Pradesh,Siang,0,0,0,0,122.0
2020-07-01,Arunachal Pradesh,Siang,0,0,0,0,122.0
2020-07-02,Arunachal Pradesh,Siang,0,0,0,0,122.0
2020-07-03,Arunachal Pradesh,Siang,0,0,0,0,122.0
2020-07-04,Arunachal Pradesh,Siang,0,0,0,0,155.0
2020-07-05,Arunachal Pradesh,Siang,0,0,0,0,155.0
2020-07-06,Arunachal Pradesh,Siang,0,0,0,0,155.0
2020-07-07,Arunachal Pradesh,Siang,0,0,0,0,155.0
2020-07-08,Arunachal Pradesh,Siang,0,0,0,0,168.0
2020-07-09,Arunachal Pradesh,Siang,0,0,0,0,168.0
2020-07-10,Arunachal Pradesh,Siang,0,0,0,0,171.0
2020-07-11,Arunachal Pradesh,Siang,0,0,0,0,171.0
2020-07-12,Arunachal Pradesh,Siang,0,0,0,0,171.0
2020-07-13,Arunachal Pradesh,Siang,0,0,0,0,171.0
2020-07-14,Arunachal Pradesh,Siang,1,0,0,0,178.0
2020-07-15,Arunachal Pradesh,Siang,1,0,0,0,182.0
2020-07-16,Arunachal Pradesh,Siang,1,0,0,0,182.0
2020-07-17,Arunachal Pradesh,Siang,1,0,0,0,182.0
2020-07-18,Arunachal Pradesh,Siang,1,0,0,0,182.0
2020-07-19,Arunachal Pradesh,Siang,1,0,0,0,182.0
2020-07-20,Arunachal Pradesh,Siang,1,0,0,0,182.0
2020-07-21,Arunachal Pradesh,Siang,1,0,0,0,182.0
2020-07-22,Arunachal Pradesh,Siang,1,0,0,0,182.0
2020-07-23,Arunachal Pradesh,Siang,1,0,0,0,221.0
2020-07-24,Arunachal Pradesh,Siang,1,0,0,0,221.0
2020-07-25,Arunachal Pradesh,Siang,2,0,0,0,229.0
2020-07-26,Arunachal Pradesh,Siang,2,0,0,0,230.0
2020-07-27,Arunachal Pradesh,Siang,2,0,0,0,232.0
2020-07-28,Arunachal Pradesh,Siang,2,0,0,0,236.0
2020-07-29,Arunachal Pradesh,Siang,2,0,0,0,236.0
2020-07-30,Arunachal Pradesh,Siang,3,1,0,0,242.0
2020-07-31,Arunachal Pradesh,Siang,3,1,0,0,248.0
2020-08-01,Arunachal Pradesh,Siang,3,1,0,0,248.0
2020-08-02,Arunachal Pradesh,Siang,3,1,0,0,283.0
2020-08-03,Arunachal Pradesh,Siang,3,1,0,0,283.0
2020-08-04,Arunachal Pradesh,Siang,3,1,0,0,306.0
2020-08-05,Arunachal Pradesh,Siang,3,3,0,0,341.0
2020-08-06,Arunachal Pradesh,Siang,3,3,0,0,367.0
2020-08-07,Arunachal Pradesh,Siang,3,3,0,0,416.0
2020-08-08,Arunachal Pradesh,Siang,3,3,0,0,473.0
2020-08-09,Arunachal Pradesh,Siang,3,3,0,0,567.0
2020-08-10,Arunachal Pradesh,Siang,3,3,0,0,636.0
2020-08-11,Arunachal Pradesh,Siang,3,3,0,0,702.0
2020-08-12,Arunachal Pradesh,Siang,3,3,0,0,797.0
2020-08-13,Arunachal Pradesh,Siang,3,3,0,0,930.0
2020-08-14,Arunachal Pradesh,Siang,3,3,0,0,930.0
2020-08-15,Arunachal Pradesh,Siang,3,3,0,0,1127.0
