Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-01,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,99.0
2020-06-02,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,99.0
2020-06-03,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,99.0
2020-06-04,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,114.0
2020-06-05,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,122.0
2020-06-06,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,122.0
2020-06-07,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,124.0
2020-06-08,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,131.0
2020-06-09,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,131.0
2020-06-10,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,131.0
2020-06-11,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,131.0
2020-06-12,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,131.0
2020-06-13,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,131.0
2020-06-14,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,131.0
2020-06-15,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,131.0
2020-06-16,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,131.0
2020-06-17,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,131.0
2020-06-18,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,131.0
2020-06-19,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,168.0
2020-06-20,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,168.0
2020-06-21,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,169.0
2020-06-22,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,169.0
2020-06-23,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,169.0
2020-06-24,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,179.0
2020-06-25,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,181.0
2020-06-26,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,193.0
2020-06-27,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,193.0
2020-06-28,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,193.0
2020-06-29,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,193.0
2020-06-30,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,200.0
2020-07-01,Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,200.0
