Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Assam,Unknown,36,27,1,0,7823.0
2020-04-27,Assam,Unknown,36,27,1,0,8117.0
2020-04-28,Assam,Unknown,38,27,1,0,8117.0
2020-04-29,Assam,Unknown,38,29,1,0,9520.0
2020-04-30,Assam,Unknown,43,29,1,0,9520.0
2020-05-01,Assam,Unknown,43,33,1,0,9520.0
2020-05-02,Assam,Unknown,43,33,1,0,11623.0
2020-05-03,Assam,Unknown,43,33,1,0,11623.0
2020-05-04,Assam,Unknown,43,33,1,0,12775.0
2020-05-05,Assam,Unknown,45,33,1,0,13442.0
2020-05-06,Assam,Unknown,46,35,1,0,13442.0
2020-05-07,Assam,Unknown,54,35,1,0,13442.0
2020-05-08,Assam,Unknown,60,35,2,0,13442.0
2020-05-09,Assam,Unknown,62,35,2,0,16167.0
2020-05-10,Assam,Unknown,63,35,2,0,18002.0
2020-05-11,Assam,Unknown,65,40,2,0,19589.0
2020-05-12,Assam,Unknown,65,40,2,0,21791.0
2020-05-13,Assam,Unknown,80,40,2,0,21791.0
2020-05-14,Assam,Unknown,87,40,2,0,25824.0
2020-05-15,Assam,Unknown,90,41,2,0,28178.0
2020-05-16,Assam,Unknown,93,41,2,0,31276.0
2020-05-17,Assam,Unknown,101,42,2,0,34376.0
2020-05-18,Assam,Unknown,116,42,4,0,37898.0
2020-05-19,Assam,Unknown,158,42,4,0,41116.0
2020-05-20,Assam,Unknown,189,49,4,3,47084.0
2020-05-21,Assam,Unknown,211,55,4,3,51730.0
2020-05-22,Assam,Unknown,226,55,4,3,55791.0
2020-05-23,Assam,Unknown,347,57,4,3,60405.0
2020-05-24,Assam,Unknown,393,58,4,3,66444.0
2020-05-25,Assam,Unknown,549,63,4,3,70029.0
2020-05-26,Assam,Unknown,683,63,4,3,72654.0
2020-05-27,Assam,Unknown,784,88,4,3,72654.0
2020-05-28,Assam,Unknown,881,104,4,3,72654.0
2020-05-29,Assam,Unknown,1058,126,4,3,92390.0
2020-05-30,Assam,Unknown,1217,164,4,3,101257.0
2020-05-31,Assam,Unknown,1340,186,4,3,109097.0
2020-06-01,Assam,Unknown,1486,285,4,3,109097.0
2020-06-02,Assam,Unknown,1560,338,4,3,120375.0
2020-06-03,Assam,Unknown,1831,414,4,3,126726.0
2020-06-04,Assam,Unknown,2116,460,4,3,133029.0
2020-06-05,Assam,Unknown,2244,510,4,3,133029.0
2020-06-06,Assam,Unknown,2474,589,4,3,146605.0
2020-06-07,Assam,Unknown,2682,637,4,3,153326.0
2020-06-08,Assam,Unknown,2836,785,4,3,153326.0
2020-06-09,Assam,Unknown,3051,1097,5,3,169842.0
2020-06-10,Assam,Unknown,3286,1249,6,3,169842.0
2020-06-11,Assam,Unknown,3431,1433,6,3,181108.0
2020-06-12,Assam,Unknown,3694,1585,8,3,188090.0
2020-06-13,Assam,Unknown,3901,1806,8,3,188090.0
2020-06-14,Assam,Unknown,4119,1961,8,3,188090.0
2020-06-15,Assam,Unknown,4310,2206,8,3,217088.0
2020-06-16,Assam,Unknown,4511,2412,8,3,227109.0
2020-06-17,Assam,Unknown,4695,2643,8,3,235214.0
2020-06-18,Assam,Unknown,4904,2849,9,3,246590.0
2020-06-19,Assam,Unknown,5006,3067,9,3,258797.0
2020-06-20,Assam,Unknown,5255,3203,9,3,273047.0
2020-06-21,Assam,Unknown,5587,3405,9,3,288306.0
2020-06-22,Assam,Unknown,5854,3566,9,3,301557.0
2020-06-23,Assam,Unknown,6057,3763,9,3,323258.0
2020-06-24,Assam,Unknown,6283,3959,9,3,336091.0
2020-06-25,Assam,Unknown,6647,4034,9,3,351753.0
2020-06-26,Assam,Unknown,6920,4248,9,3,362713.0
2020-06-27,Assam,Unknown,7166,4815,10,3,374519.0
2020-06-28,Assam,Unknown,7493,5089,11,3,385299.0
2020-06-29,Assam,Unknown,7795,5334,11,3,399393.0
2020-06-30,Assam,Unknown,8408,5648,12,3,412214.0
2020-07-01,Assam,Unknown,8956,5832,12,3,419878.0
2020-07-02,Assam,Unknown,9435,6107,14,3,428866.0
2020-07-03,Assam,Unknown,9800,6328,14,3,438882.0
2020-07-04,Assam,Unknown,11002,6744,14,3,449629.0
2020-07-05,Assam,Unknown,11737,7434,14,3,459143.0
2020-07-06,Assam,Unknown,12523,7942,14,3,471221.0
2020-07-07,Assam,Unknown,13337,8330,16,3,485156.0
2020-07-08,Assam,Unknown,14033,8727,22,3,485156.0
2020-07-09,Assam,Unknown,14601,9148,27,3,508973.0
2020-07-10,Assam,Unknown,15537,9849,35,3,525485.0
2020-07-11,Assam,Unknown,16072,10427,35,3,537831.0
2020-07-12,Assam,Unknown,16807,10895,36,3,552376.0
2020-07-13,Assam,Unknown,17808,11417,40,3,563482.0
2020-07-14,Assam,Unknown,18667,12174,46,3,575867.0
2020-07-15,Assam,Unknown,19755,12889,48,3,589202.0
2020-07-16,Assam,Unknown,20647,13555,50,3,601385.0
2020-07-17,Assam,Unknown,21865,14106,51,3,614743.0
2020-07-18,Assam,Unknown,22982,15166,53,3,632372.0
2020-07-19,Assam,Unknown,24000,16024,57,3,651179.0
2020-07-20,Assam,Unknown,25093,17096,58,3,671191.0
2020-07-21,Assam,Unknown,26773,18034,64,3,689343.0
2020-07-22,Assam,Unknown,27745,19351,66,3,703374.0
2020-07-23,Assam,Unknown,28792,20700,70,3,723287.0
2020-07-24,Assam,Unknown,29922,21762,76,3,739465.0
2020-07-25,Assam,Unknown,31087,23056,77,3,753939.0
2020-07-26,Assam,Unknown,32229,24041,79,3,774484.0
2020-07-27,Assam,Unknown,33577,25403,86,3,796226.0
2020-07-28,Assam,Unknown,34948,26619,88,3,802674.0
2020-07-29,Assam,Unknown,36296,27833,92,3,838043.0
2020-07-30,Assam,Unknown,38408,29081,94,3,879071.0
2020-07-31,Assam,Unknown,40270,30358,98,3,917395.0
2020-08-01,Assam,Unknown,41727,31443,101,3,944556.0
2020-08-02,Assam,Unknown,42905,32385,105,3,964499.0
2020-08-03,Assam,Unknown,45276,33429,109,3,1006457.0
2020-08-04,Assam,Unknown,48162,34422,115,3,1065521.0
2020-08-05,Assam,Unknown,50446,35893,121,3,1124683.0
2020-08-06,Assam,Unknown,52818,37225,126,3,1180336.0
2020-08-07,Assam,Unknown,55497,38810,132,3,1238867.0
2020-08-08,Assam,Unknown,57715,40592,140,3,1293712.0
2020-08-09,Assam,Unknown,58838,42326,145,3,1318204.0
2020-08-10,Assam,Unknown,61738,43587,151,3,1378629.0
2020-08-11,Assam,Unknown,64407,45074,155,3,1430691.0
2020-08-12,Assam,Unknown,69000,47210,161,3,1573800.0
2020-08-13,Assam,Unknown,71796,49384,169,3,1635118.0
2020-08-14,Assam,Unknown,74502,51694,175,3,1684721.0
2020-08-15,Assam,Unknown,75559,53287,182,3,1705526.0
2020-08-16,Assam,Unknown,76876,55216,189,3,1725893.0
2020-08-17,Assam,Unknown,79668,56735,197,3,1775403.0
2020-08-18,Assam,Unknown,82202,58295,203,3,1819819.0
2020-08-19,Assam,Unknown,84318,60349,213,3,1860208.0
2020-08-20,Assam,Unknown,86053,63121,221,3,1894584.0
2020-08-21,Assam,Unknown,87909,65597,227,3,1930764.0
2020-08-22,Assam,Unknown,89469,67642,234,3,1953804.0
2020-08-23,Assam,Unknown,90741,70901,242,3,1972239.0
2020-08-24,Assam,Unknown,92620,73091,252,3,2000909.0
2020-08-25,Assam,Unknown,94593,74815,260,3,2035216.0
2020-08-26,Assam,Unknown,96772,76963,274,3,2071441.0
2020-08-27,Assam,Unknown,98808,79308,278,3,2106836.0
2020-08-28,Assam,Unknown,101368,81071,286,3,2146938.0
2020-08-29,Assam,Unknown,103795,82511,289,3,2183777.0
2020-08-30,Assam,Unknown,105775,83928,296,3,2217879.0
2020-08-31,Assam,Unknown,109041,85459,306,3,2262827.0
2020-09-01,Assam,Unknown,111725,86893,315,3,2299893.0
2020-09-02,Assam,Unknown,115280,88727,323,3,2347637.0
2020-09-03,Assam,Unknown,118334,90698,330,3,2396483.0
2020-09-04,Assam,Unknown,121225,92718,345,3,2436127.0
2020-09-05,Assam,Unknown,123923,95061,352,3,2471274.0
2020-09-06,Assam,Unknown,125460,96824,360,3,2494610.0
2020-09-07,Assam,Unknown,128245,99074,370,3,2533221.0
2020-09-08,Assam,Unknown,130823,101240,378,3,2567683.0
2020-09-09,Assam,Unknown,133066,103505,396,3,2599245.0
2020-09-10,Assam,Unknown,135805,105702,414,3,2634614.0
2020-09-11,Assam,Unknown,138339,108330,430,3,2671027.0
2020-09-12,Assam,Unknown,140471,110883,453,3,2702280.0
2020-09-13,Assam,Unknown,141763,113134,469,3,2717795.0
2020-09-14,Assam,Unknown,144166,115052,482,3,2750037.0
2020-09-15,Assam,Unknown,146575,116900,492,3,2782807.0
2020-09-16,Assam,Unknown,148969,119364,511,3,2815285.0
2020-09-17,Assam,Unknown,150349,121610,528,3,2835842.0
2020-09-18,Assam,Unknown,152858,123684,540,3,2871869.0
2020-09-19,Assam,Unknown,155453,125540,548,3,2907044.0
2020-09-20,Assam,Unknown,156680,127335,562,3,2926362.0
2020-09-21,Assam,Unknown,159320,129130,578,3,2961965.0
2020-09-22,Assam,Unknown,161393,130947,586,3,2991612.0
2020-09-23,Assam,Unknown,163491,132709,597,3,3021508.0
2020-09-24,Assam,Unknown,165582,135141,608,3,3050501.0
2020-09-25,Assam,Unknown,167374,136712,625,3,3078746.0
2020-09-26,Assam,Unknown,169110,138307,638,3,3104577.0
2020-09-27,Assam,Unknown,169985,139977,655,3,3119924.0
2020-09-28,Assam,Unknown,173629,142297,667,3,3240080.0
2020-09-29,Assam,Unknown,177221,143999,680,3,3374650.0
2020-09-30,Assam,Unknown,180811,145615,697,3,3523430.0
2020-10-01,Assam,Unknown,182396,147519,711,3,3563210.0
2020-10-02,Assam,Unknown,183812,148960,721,3,3591511.0
2020-10-03,Assam,Unknown,185444,150773,735,3,3625167.0
2020-10-04,Assam,Unknown,186200,152124,749,3,3638290.0
2020-10-05,Assam,Unknown,187718,153488,760,3,3673960.0
2020-10-06,Assam,Unknown,188902,155074,778,3,3705740.0
2020-10-07,Assam,Unknown,190209,157635,785,3,3739086.0
2020-10-08,Assam,Unknown,191397,159833,794,3,3771494.0
2020-10-09,Assam,Unknown,192416,161901,802,3,3803080.0
2020-10-10,Assam,Unknown,193387,163352,811,3,3830571.0
2020-10-11,Assam,Unknown,193783,164579,816,3,3841947.0
2020-10-12,Assam,Unknown,195304,166036,826,3,3949847.0
2020-10-13,Assam,Unknown,196786,167056,830,3,4076126.0
2020-10-14,Assam,Unknown,198213,168069,834,3,4215994.0
2020-10-15,Assam,Unknown,198982,169332,843,3,4251034.0
2020-10-16,Assam,Unknown,199749,170263,853,3,4285748.0
2020-10-17,Assam,Unknown,200391,171081,865,3,4308877.0
2020-10-18,Assam,Unknown,200709,171680,868,3,4322424.0
2020-10-19,Assam,Unknown,201407,173210,875,3,4357380.0
2020-10-20,Assam,Unknown,202073,174411,884,3,4395965.0
2020-10-21,Assam,Unknown,202774,176075,889,3,4438417.0
2020-10-22,Assam,Unknown,203282,177659,896,3,4472792.0
2020-10-23,Assam,Unknown,203709,179843,900,3,4490288.0
2020-10-24,Assam,Unknown,203967,182791,902,3,4502551.0
2020-10-25,Assam,Unknown,204171,185752,906,3,4511304.0
2020-10-26,Assam,Unknown,204386,188584,908,3,4525529.0
2020-10-27,Assam,Unknown,204789,191027,914,3,4551693.0
2020-10-28,Assam,Unknown,205237,192514,917,3,4577843.0
2020-10-29,Assam,Unknown,205237,192514,917,3,4577843.0
