Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-28,Bihar,Araria,1,0,0,0,
2020-04-29,Bihar,Araria,1,0,0,0,
2020-04-30,Bihar,Araria,1,0,0,0,
2020-05-01,Bihar,Araria,1,0,0,0,
2020-05-02,Bihar,Araria,2,0,0,0,
2020-05-03,Bihar,Araria,2,0,0,0,
2020-05-04,Bihar,Araria,2,0,0,0,
2020-05-05,Bihar,Araria,2,0,0,0,
2020-05-06,Bihar,Araria,2,0,0,0,
2020-05-07,Bihar,Araria,2,0,0,0,
2020-05-08,Bihar,Araria,2,0,0,0,
2020-05-09,Bihar,Araria,2,0,0,0,
2020-05-10,Bihar,Araria,4,0,0,0,
2020-05-11,Bihar,Araria,4,0,0,0,
2020-05-12,Bihar,Araria,4,0,0,0,
2020-05-13,Bihar,Araria,4,1,0,0,
2020-05-14,Bihar,Araria,4,1,0,0,
2020-05-15,Bihar,Araria,4,1,0,0,
2020-05-16,Bihar,Araria,4,1,0,0,
2020-05-17,Bihar,Araria,4,1,0,0,
2020-05-18,Bihar,Araria,4,1,0,0,
2020-05-19,Bihar,Araria,4,1,0,0,
2020-05-20,Bihar,Araria,4,1,0,0,
2020-05-21,Bihar,Araria,4,1,0,0,
2020-05-22,Bihar,Araria,5,2,0,0,
2020-05-23,Bihar,Araria,5,2,0,0,
2020-05-24,Bihar,Araria,5,2,0,0,
2020-05-25,Bihar,Araria,11,3,0,0,
2020-05-26,Bihar,Araria,14,2,0,0,
2020-05-27,Bihar,Araria,29,5,0,0,
2020-05-28,Bihar,Araria,29,5,0,0,
2020-05-29,Bihar,Araria,30,5,0,0,
2020-05-30,Bihar,Araria,40,6,0,0,
2020-05-31,Bihar,Araria,41,6,0,0,
2020-06-01,Bihar,Araria,47,12,0,0,
2020-06-02,Bihar,Araria,59,12,0,0,
2020-06-03,Bihar,Araria,62,12,0,0,
2020-06-04,Bihar,Araria,62,13,0,0,
2020-06-05,Bihar,Araria,67,16,1,0,
2020-06-06,Bihar,Araria,73,16,1,0,
2020-06-07,Bihar,Araria,73,28,1,0,
2020-06-08,Bihar,Araria,78,29,1,0,
2020-06-09,Bihar,Araria,79,39,1,0,
2020-06-10,Bihar,Araria,83,39,1,0,
2020-06-11,Bihar,Araria,84,49,1,0,
2020-06-12,Bihar,Araria,85,59,1,0,
2020-06-13,Bihar,Araria,88,67,1,0,
2020-06-14,Bihar,Araria,88,73,1,0,
2020-06-15,Bihar,Araria,89,75,1,0,
2020-06-16,Bihar,Araria,92,75,1,0,
2020-06-17,Bihar,Araria,100,80,1,0,
2020-06-18,Bihar,Araria,103,80,1,0,
2020-06-19,Bihar,Araria,103,80,1,0,
2020-06-20,Bihar,Araria,103,81,1,0,
2020-06-21,Bihar,Araria,103,81,1,0,
2020-06-22,Bihar,Araria,103,82,1,0,
2020-06-23,Bihar,Araria,103,82,1,0,
2020-06-24,Bihar,Araria,103,82,1,0,
2020-06-25,Bihar,Araria,103,82,1,0,
2020-06-26,Bihar,Araria,116,85,1,0,
2020-06-27,Bihar,Araria,116,100,1,0,
2020-06-28,Bihar,Araria,126,100,1,0,
2020-06-29,Bihar,Araria,127,100,1,0,
2020-06-30,Bihar,Araria,127,102,1,0,
2020-07-01,Bihar,Araria,130,102,1,0,
2020-07-02,Bihar,Araria,131,102,1,0,
2020-07-03,Bihar,Araria,133,111,1,0,
2020-07-04,Bihar,Araria,133,116,1,0,
2020-07-05,Bihar,Araria,138,116,1,0,
2020-07-06,Bihar,Araria,138,116,1,0,
2020-07-07,Bihar,Araria,141,116,1,0,
2020-07-08,Bihar,Araria,149,117,2,0,
2020-07-09,Bihar,Araria,157,121,2,0,
2020-07-10,Bihar,Araria,161,122,2,0,
2020-07-11,Bihar,Araria,166,124,2,0,
2020-07-12,Bihar,Araria,180,125,2,0,
2020-07-13,Bihar,Araria,181,127,2,0,
2020-07-14,Bihar,Araria,196,136,2,0,
2020-07-15,Bihar,Araria,213,145,2,0,
2020-07-16,Bihar,Araria,213,149,2,0,
2020-07-17,Bihar,Araria,223,153,2,0,
2020-07-18,Bihar,Araria,247,157,2,0,
2020-07-19,Bihar,Araria,278,167,2,0,
2020-07-20,Bihar,Araria,281,179,2,0,
2020-07-21,Bihar,Araria,300,179,2,0,8405.0
2020-07-22,Bihar,Araria,300,198,2,0,8405.0
2020-07-23,Bihar,Araria,314,198,2,0,8405.0
2020-07-24,Bihar,Araria,314,215,2,0,8405.0
2020-07-25,Bihar,Araria,369,232,4,0,8637.0
2020-07-26,Bihar,Araria,390,256,4,0,8776.0
2020-07-27,Bihar,Araria,420,286,4,0,8853.0
2020-07-28,Bihar,Araria,476,303,4,0,8853.0
2020-07-29,Bihar,Araria,524,340,5,0,9427.0
2020-07-30,Bihar,Araria,553,347,5,0,9834.0
2020-07-31,Bihar,Araria,620,395,6,0,9834.0
2020-08-01,Bihar,Araria,674,398,7,0,10809.0
2020-08-02,Bihar,Araria,703,400,7,0,11137.0
2020-08-03,Bihar,Araria,727,404,7,0,11492.0
2020-08-04,Bihar,Araria,764,420,7,0,12468.0
2020-08-05,Bihar,Araria,797,441,7,0,13556.0
2020-08-06,Bihar,Araria,874,454,7,0,15499.0
2020-08-07,Bihar,Araria,956,488,7,0,15499.0
2020-08-08,Bihar,Araria,1062,538,8,0,21607.0
2020-08-09,Bihar,Araria,1156,574,8,0,24847.0
2020-08-10,Bihar,Araria,1192,636,9,0,24847.0
