Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Bihar,Banka,2,0,0,0,
2020-04-27,Bihar,Banka,2,0,0,0,
2020-04-28,Bihar,Banka,3,0,0,0,
2020-04-29,Bihar,Banka,3,0,0,0,
2020-04-30,Bihar,Banka,3,0,0,0,
2020-05-01,Bihar,Banka,3,0,0,0,
2020-05-02,Bihar,Banka,3,0,0,0,
2020-05-03,Bihar,Banka,3,0,0,0,
2020-05-04,Bihar,Banka,3,0,0,0,
2020-05-05,Bihar,Banka,3,0,0,0,
2020-05-06,Bihar,Banka,3,0,0,0,
2020-05-07,Bihar,Banka,3,0,0,0,
2020-05-08,Bihar,Banka,4,0,0,0,
2020-05-09,Bihar,Banka,4,0,0,0,
2020-05-10,Bihar,Banka,6,0,0,0,
2020-05-11,Bihar,Banka,6,0,0,0,
2020-05-12,Bihar,Banka,7,0,0,0,
2020-05-13,Bihar,Banka,11,0,0,0,
2020-05-14,Bihar,Banka,15,0,0,0,
2020-05-15,Bihar,Banka,15,0,0,0,
2020-05-16,Bihar,Banka,32,0,0,0,
2020-05-17,Bihar,Banka,40,0,0,0,
2020-05-18,Bihar,Banka,40,1,0,0,
2020-05-19,Bihar,Banka,40,1,0,0,
2020-05-20,Bihar,Banka,51,1,0,0,
2020-05-21,Bihar,Banka,52,1,0,0,
2020-05-22,Bihar,Banka,64,1,0,0,
2020-05-23,Bihar,Banka,70,1,0,0,
2020-05-24,Bihar,Banka,90,1,0,0,
2020-05-25,Bihar,Banka,90,2,0,0,
2020-05-26,Bihar,Banka,105,5,0,0,
2020-05-27,Bihar,Banka,105,7,0,0,
2020-05-28,Bihar,Banka,105,7,0,0,
2020-05-29,Bihar,Banka,111,23,0,0,
2020-05-30,Bihar,Banka,112,49,0,0,
2020-05-31,Bihar,Banka,112,49,0,0,
2020-06-01,Bihar,Banka,118,59,0,0,
2020-06-02,Bihar,Banka,123,59,0,0,
2020-06-03,Bihar,Banka,123,66,0,0,
2020-06-04,Bihar,Banka,127,67,0,0,
2020-06-05,Bihar,Banka,128,67,0,0,
2020-06-06,Bihar,Banka,130,80,0,0,
2020-06-07,Bihar,Banka,132,80,0,0,
2020-06-08,Bihar,Banka,137,80,0,0,
2020-06-09,Bihar,Banka,148,80,0,0,
2020-06-10,Bihar,Banka,150,95,0,0,
2020-06-11,Bihar,Banka,150,95,0,0,
2020-06-12,Bihar,Banka,152,95,0,0,
2020-06-13,Bihar,Banka,168,95,0,0,
2020-06-14,Bihar,Banka,172,95,0,0,
2020-06-15,Bihar,Banka,175,95,0,0,
2020-06-16,Bihar,Banka,176,128,0,0,
2020-06-17,Bihar,Banka,177,130,0,0,
2020-06-18,Bihar,Banka,177,130,0,0,
2020-06-19,Bihar,Banka,184,130,0,0,
2020-06-20,Bihar,Banka,202,130,0,0,
2020-06-21,Bihar,Banka,211,168,0,0,
2020-06-22,Bihar,Banka,212,168,0,0,
2020-06-23,Bihar,Banka,221,168,0,0,
2020-06-24,Bihar,Banka,222,168,0,0,
2020-06-25,Bihar,Banka,223,172,0,0,
2020-06-26,Bihar,Banka,223,172,0,0,
