Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Bihar,Bhojpur,2,1,0,0,
2020-04-27,Bihar,Bhojpur,9,1,0,0,
2020-04-28,Bihar,Bhojpur,9,1,0,0,
2020-04-29,Bihar,Bhojpur,11,1,0,0,
2020-04-30,Bihar,Bhojpur,11,1,0,0,
2020-05-01,Bihar,Bhojpur,12,1,0,0,
2020-05-02,Bihar,Bhojpur,18,1,0,0,
2020-05-03,Bihar,Bhojpur,18,1,0,0,
2020-05-04,Bihar,Bhojpur,18,1,0,0,
2020-05-05,Bihar,Bhojpur,18,1,0,0,
2020-05-06,Bihar,Bhojpur,18,1,0,0,
2020-05-07,Bihar,Bhojpur,18,10,0,0,
2020-05-08,Bihar,Bhojpur,18,10,0,0,
2020-05-09,Bihar,Bhojpur,19,10,0,0,
2020-05-10,Bihar,Bhojpur,20,18,0,0,
2020-05-11,Bihar,Bhojpur,20,18,0,0,
2020-05-12,Bihar,Bhojpur,21,18,0,0,
2020-05-13,Bihar,Bhojpur,28,18,0,0,
2020-05-14,Bihar,Bhojpur,29,18,0,0,
2020-05-15,Bihar,Bhojpur,30,18,0,0,
2020-05-16,Bihar,Bhojpur,36,18,0,0,
2020-05-17,Bihar,Bhojpur,36,18,0,0,
2020-05-18,Bihar,Bhojpur,38,18,0,0,
2020-05-19,Bihar,Bhojpur,38,18,0,0,
2020-05-20,Bihar,Bhojpur,38,18,0,0,
2020-05-21,Bihar,Bhojpur,38,18,0,0,
2020-05-22,Bihar,Bhojpur,39,23,0,0,
2020-05-23,Bihar,Bhojpur,39,23,0,0,
2020-05-24,Bihar,Bhojpur,40,23,0,0,
2020-05-25,Bihar,Bhojpur,47,23,0,0,
2020-05-26,Bihar,Bhojpur,47,23,0,0,
2020-05-27,Bihar,Bhojpur,47,23,0,0,
2020-05-28,Bihar,Bhojpur,54,25,0,0,
2020-05-29,Bihar,Bhojpur,66,25,0,0,
2020-05-30,Bihar,Bhojpur,81,25,2,0,
2020-05-31,Bihar,Bhojpur,83,25,2,0,
2020-06-01,Bihar,Bhojpur,89,34,2,0,
2020-06-02,Bihar,Bhojpur,89,34,2,0,
2020-06-03,Bihar,Bhojpur,93,39,2,0,
2020-06-04,Bihar,Bhojpur,93,39,2,0,
2020-06-05,Bihar,Bhojpur,99,39,2,0,
2020-06-06,Bihar,Bhojpur,103,39,2,0,
2020-06-07,Bihar,Bhojpur,111,39,2,0,
2020-06-08,Bihar,Bhojpur,112,39,2,0,
2020-06-09,Bihar,Bhojpur,110,74,2,0,
2020-06-10,Bihar,Bhojpur,129,74,2,0,
2020-06-11,Bihar,Bhojpur,138,75,2,0,
2020-06-12,Bihar,Bhojpur,140,75,2,0,
2020-06-13,Bihar,Bhojpur,146,75,2,0,
2020-06-14,Bihar,Bhojpur,145,75,2,0,
2020-06-15,Bihar,Bhojpur,145,75,2,0,
2020-06-16,Bihar,Bhojpur,150,80,2,0,
2020-06-17,Bihar,Bhojpur,150,80,2,0,
2020-06-18,Bihar,Bhojpur,150,80,2,0,
2020-06-19,Bihar,Bhojpur,150,91,2,0,
2020-06-20,Bihar,Bhojpur,150,127,2,0,
2020-06-21,Bihar,Bhojpur,157,127,2,0,
2020-06-22,Bihar,Bhojpur,159,127,2,0,
2020-06-23,Bihar,Bhojpur,160,137,2,0,
2020-06-24,Bihar,Bhojpur,165,137,2,0,
2020-06-25,Bihar,Bhojpur,166,137,2,0,
2020-06-26,Bihar,Bhojpur,166,137,2,0,
2020-06-27,Bihar,Bhojpur,209,138,2,0,
