Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Bihar,Gaya,6,5,0,0,
2020-04-27,Bihar,Gaya,6,5,0,0,
2020-04-28,Bihar,Gaya,6,5,0,0,
2020-04-29,Bihar,Gaya,6,5,0,0,
2020-04-30,Bihar,Gaya,6,5,0,0,
2020-05-01,Bihar,Gaya,6,5,0,0,
2020-05-02,Bihar,Gaya,6,5,0,0,
2020-05-03,Bihar,Gaya,6,5,0,0,
2020-05-04,Bihar,Gaya,6,5,0,0,
2020-05-05,Bihar,Gaya,6,5,0,0,
2020-05-06,Bihar,Gaya,6,5,0,0,
2020-05-07,Bihar,Gaya,6,6,0,0,
2020-05-08,Bihar,Gaya,6,6,0,0,
2020-05-09,Bihar,Gaya,6,6,0,0,
2020-05-10,Bihar,Gaya,8,6,0,0,
2020-05-11,Bihar,Gaya,8,6,0,0,
2020-05-12,Bihar,Gaya,8,6,0,0,
2020-05-13,Bihar,Gaya,8,6,0,0,
2020-05-14,Bihar,Gaya,8,6,0,0,
2020-05-15,Bihar,Gaya,8,6,0,0,
2020-05-16,Bihar,Gaya,8,6,0,0,
2020-05-17,Bihar,Gaya,8,6,0,0,
2020-05-18,Bihar,Gaya,8,6,0,0,
2020-05-19,Bihar,Gaya,11,6,0,0,
2020-05-20,Bihar,Gaya,11,6,0,0,
2020-05-21,Bihar,Gaya,18,6,0,0,
2020-05-22,Bihar,Gaya,31,6,0,0,
2020-05-23,Bihar,Gaya,41,6,0,0,
2020-05-24,Bihar,Gaya,44,6,0,0,
2020-05-25,Bihar,Gaya,48,8,0,0,
2020-05-26,Bihar,Gaya,53,6,0,0,
2020-05-27,Bihar,Gaya,53,8,0,0,
2020-05-28,Bihar,Gaya,65,8,0,0,
2020-05-29,Bihar,Gaya,68,11,0,0,
2020-05-30,Bihar,Gaya,73,12,0,0,
2020-05-31,Bihar,Gaya,79,15,0,0,
2020-06-01,Bihar,Gaya,81,20,0,0,
2020-06-02,Bihar,Gaya,86,20,0,0,
2020-06-03,Bihar,Gaya,91,21,0,0,
2020-06-04,Bihar,Gaya,95,29,0,0,
2020-06-05,Bihar,Gaya,105,36,0,0,
2020-06-06,Bihar,Gaya,109,36,0,0,
2020-06-07,Bihar,Gaya,117,36,0,0,
2020-06-08,Bihar,Gaya,123,36,0,0,
2020-06-09,Bihar,Gaya,120,37,0,0,
2020-06-10,Bihar,Gaya,125,41,0,0,
2020-06-11,Bihar,Gaya,129,48,0,0,
2020-06-12,Bihar,Gaya,130,54,0,0,
2020-06-13,Bihar,Gaya,134,72,0,0,
2020-06-14,Bihar,Gaya,135,72,0,0,
2020-06-15,Bihar,Gaya,141,77,0,0,
2020-06-16,Bihar,Gaya,145,110,0,0,
2020-06-17,Bihar,Gaya,159,112,0,0,
2020-06-18,Bihar,Gaya,162,116,1,0,
2020-06-19,Bihar,Gaya,162,117,1,0,
2020-06-20,Bihar,Gaya,172,122,1,0,
2020-06-21,Bihar,Gaya,172,126,2,0,
2020-06-22,Bihar,Gaya,172,126,2,0,
2020-06-23,Bihar,Gaya,172,133,2,0,
2020-06-24,Bihar,Gaya,184,139,2,0,
2020-06-25,Bihar,Gaya,184,139,2,0,
2020-06-26,Bihar,Gaya,193,139,2,0,
2020-06-27,Bihar,Gaya,193,140,2,0,
2020-06-28,Bihar,Gaya,199,140,2,0,
2020-06-29,Bihar,Gaya,202,164,2,0,
2020-06-30,Bihar,Gaya,210,164,3,0,
2020-07-01,Bihar,Gaya,215,165,3,0,
2020-07-02,Bihar,Gaya,224,166,3,0,
2020-07-03,Bihar,Gaya,232,167,3,0,
2020-07-04,Bihar,Gaya,266,173,3,0,
2020-07-05,Bihar,Gaya,275,178,3,0,
2020-07-06,Bihar,Gaya,276,187,3,0,
2020-07-07,Bihar,Gaya,306,194,3,0,
2020-07-08,Bihar,Gaya,321,198,3,0,
2020-07-09,Bihar,Gaya,331,198,3,0,
2020-07-10,Bihar,Gaya,332,223,3,0,
2020-07-11,Bihar,Gaya,370,241,3,0,
2020-07-12,Bihar,Gaya,405,257,3,0,
2020-07-13,Bihar,Gaya,470,273,5,0,
2020-07-14,Bihar,Gaya,522,304,7,0,
2020-07-15,Bihar,Gaya,565,308,9,0,
2020-07-16,Bihar,Gaya,607,331,10,0,
2020-07-17,Bihar,Gaya,632,359,11,0,
2020-07-18,Bihar,Gaya,768,373,13,0,
2020-07-19,Bihar,Gaya,826,384,13,0,
2020-07-20,Bihar,Gaya,889,418,13,0,
2020-07-21,Bihar,Gaya,987,432,13,0,16000.0
2020-07-22,Bihar,Gaya,1070,483,13,0,16500.0
2020-07-23,Bihar,Gaya,1189,531,13,0,17500.0
2020-07-24,Bihar,Gaya,1336,624,14,0,19000.0
2020-07-25,Bihar,Gaya,1470,764,14,0,19500.0
2020-07-26,Bihar,Gaya,1583,842,14,0,20000.0
2020-07-27,Bihar,Gaya,1674,922,14,0,20500.0
2020-07-28,Bihar,Gaya,1819,1002,17,0,20500.0
2020-07-29,Bihar,Gaya,1891,1094,19,0,21700.0
2020-07-30,Bihar,Gaya,1957,1150,19,0,22500.0
2020-07-31,Bihar,Gaya,2083,1253,21,0,22500.0
2020-08-01,Bihar,Gaya,2209,1327,21,0,22500.0
2020-08-02,Bihar,Gaya,2300,1403,22,0,22500.0
2020-08-03,Bihar,Gaya,2391,1493,23,0,22500.0
2020-08-04,Bihar,Gaya,2454,1554,23,0,22500.0
2020-08-05,Bihar,Gaya,2530,1677,24,0,22500.0
2020-08-06,Bihar,Gaya,2607,1729,26,0,22500.0
2020-08-07,Bihar,Gaya,2694,1826,26,0,22500.0
2020-08-08,Bihar,Gaya,2790,1916,28,0,22500.0
2020-08-09,Bihar,Gaya,2873,2007,28,0,22500.0
2020-08-10,Bihar,Gaya,2965,2131,29,0,54000.0
2020-08-11,Bihar,Gaya,3137,2282,29,0,54000.0
2020-08-12,Bihar,Gaya,3244,2353,29,0,65000.0
2020-08-13,Bihar,Gaya,3423,2424,31,0,68500.0
2020-08-14,Bihar,Gaya,3555,2541,32,0,68500.0
2020-08-15,Bihar,Gaya,3693,2629,33,0,68500.0
2020-08-16,Bihar,Gaya,3708,2776,37,0,77000.0
2020-08-17,Bihar,Gaya,3748,2910,38,0,84000.0
2020-08-18,Bihar,Gaya,3812,3001,39,0,87000.0
2020-08-19,Bihar,Gaya,3890,3071,40,0,92000.0
2020-08-20,Bihar,Gaya,3948,3205,40,0,92000.0
2020-08-21,Bihar,Gaya,4013,3329,42,0,102000.0
2020-08-22,Bihar,Gaya,4096,3473,42,0,113000.0
2020-08-23,Bihar,Gaya,4177,3609,42,0,118000.0
2020-08-24,Bihar,Gaya,4232,3727,42,0,124000.0
2020-08-25,Bihar,Gaya,4279,3820,42,0,124000.0
2020-08-26,Bihar,Gaya,4347,3874,42,0,132000.0
2020-08-27,Bihar,Gaya,4447,3942,42,0,140000.0
2020-08-28,Bihar,Gaya,4483,4013,42,0,145000.0
2020-08-29,Bihar,Gaya,4536,4046,42,0,150000.0
2020-08-30,Bihar,Gaya,4582,4069,42,0,155000.0
2020-08-31,Bihar,Gaya,4634,4116,42,0,160000.0
2020-09-01,Bihar,Gaya,4671,4151,42,0,165000.0
2020-09-02,Bihar,Gaya,4720,4205,42,0,170000.0
2020-09-03,Bihar,Gaya,4779,4226,42,0,180000.0
2020-09-04,Bihar,Gaya,4832,4285,42,0,185000.0
2020-09-05,Bihar,Gaya,4871,4373,42,0,190000.0
2020-09-06,Bihar,Gaya,4909,4424,42,0,196000.0
2020-09-07,Bihar,Gaya,4937,4463,43,0,202000.0
2020-09-08,Bihar,Gaya,4974,4519,43,0,208000.0
2020-09-09,Bihar,Gaya,5003,4539,44,0,213000.0
2020-09-10,Bihar,Gaya,5026,4575,44,0,218000.0
2020-09-11,Bihar,Gaya,5060,4627,44,0,235000.0
2020-09-12,Bihar,Gaya,5094,4665,44,0,228000.0
2020-09-13,Bihar,Gaya,5132,4723,44,0,233000.0
2020-09-14,Bihar,Gaya,5167,4783,44,0,238000.0
2020-09-15,Bihar,Gaya,5206,4828,44,0,243000.0
2020-09-16,Bihar,Gaya,5232,4866,44,0,243000.0
2020-09-17,Bihar,Gaya,5266,4896,44,0,243000.0
2020-09-18,Bihar,Gaya,5285,4926,44,0,243000.0
2020-09-19,Bihar,Gaya,5313,4964,44,0,265000.0
2020-09-20,Bihar,Gaya,5341,4995,44,0,270000.0
2020-09-21,Bihar,Gaya,5374,5028,44,0,277000.0
2020-09-22,Bihar,Gaya,5402,5062,45,0,280000.0
2020-09-23,Bihar,Gaya,5438,5089,45,0,280000.0
2020-09-24,Bihar,Gaya,5462,5111,45,0,290000.0
2020-09-25,Bihar,Gaya,5478,5141,45,0,290000.0
2020-09-26,Bihar,Gaya,5534,5175,45,0,296000.0
2020-09-27,Bihar,Gaya,5581,5205,45,0,296000.0
2020-09-28,Bihar,Gaya,5620,5261,45,0,307000.0
2020-09-29,Bihar,Gaya,5659,5298,45,0,313000.0
2020-09-30,Bihar,Gaya,5726,5331,45,0,313000.0
2020-10-01,Bihar,Gaya,5751,5367,45,0,325000.0
2020-10-02,Bihar,Gaya,5791,5395,45,0,325000.0
2020-10-03,Bihar,Gaya,5813,5419,45,0,325000.0
2020-10-04,Bihar,Gaya,5830,5447,45,0,330000.0
2020-10-05,Bihar,Gaya,5852,5495,45,0,330000.0
2020-10-06,Bihar,Gaya,5890,5528,45,0,340000.0
2020-10-07,Bihar,Gaya,5927,5556,45,0,34000.0
2020-10-08,Bihar,Gaya,5968,5581,45,0,350000.0
2020-10-09,Bihar,Gaya,6011,5637,45,0,355000.0
2020-10-10,Bihar,Gaya,6047,5685,45,0,360000.0
2020-10-11,Bihar,Gaya,6091,5709,45,0,365000.0
2020-10-12,Bihar,Gaya,6102,5737,45,0,371000.0
2020-10-13,Bihar,Gaya,6126,5760,46,0,371000.0
2020-10-14,Bihar,Gaya,6152,5790,46,0,390000.0
2020-10-15,Bihar,Gaya,6197,5818,46,0,390000.0
2020-10-16,Bihar,Gaya,6214,5876,46,0,390000.0
2020-10-17,Bihar,Gaya,6249,5909,46,0,422119.0
2020-10-18,Bihar,Gaya,6261,5946,46,0,428000.0
2020-10-19,Bihar,Gaya,6277,5988,47,0,428000.0
2020-10-20,Bihar,Gaya,6341,6020,48,0,428000.0
2020-10-21,Bihar,Gaya,6387,6064,48,0,428000.0
2020-10-22,Bihar,Gaya,6429,6083,48,0,440000.0
2020-10-23,Bihar,Gaya,6459,6113,48,0,440000.0
2020-10-24,Bihar,Gaya,6501,6128,48,0,440000.0
2020-10-25,Bihar,Gaya,6513,6149,48,0,440000.0
2020-10-26,Bihar,Gaya,6549,6176,48,0,440000.0
2020-10-27,Bihar,Gaya,6570,6193,48,0,440000.0
2020-10-28,Bihar,Gaya,6588,6211,48,0,440000.0
2020-10-29,Bihar,Gaya,6588,6211,48,0,440000.0
