Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Bihar,Jehanabad,1,0,0,0,
2020-04-27,Bihar,Jehanabad,1,0,0,0,
2020-04-28,Bihar,Jehanabad,4,0,0,0,
2020-04-29,Bihar,Jehanabad,4,0,0,0,
2020-04-30,Bihar,Jehanabad,4,0,0,0,
2020-05-01,Bihar,Jehanabad,4,0,0,0,
2020-05-02,Bihar,Jehanabad,4,0,0,0,
2020-05-03,Bihar,Jehanabad,4,0,0,0,
2020-05-04,Bihar,Jehanabad,4,0,0,0,
2020-05-05,Bihar,Jehanabad,4,0,0,0,
2020-05-06,Bihar,Jehanabad,4,0,0,0,
2020-05-07,Bihar,Jehanabad,5,0,0,0,
2020-05-08,Bihar,Jehanabad,5,0,0,0,
2020-05-09,Bihar,Jehanabad,5,1,0,0,
2020-05-10,Bihar,Jehanabad,5,1,0,0,
2020-05-11,Bihar,Jehanabad,5,4,0,0,
2020-05-12,Bihar,Jehanabad,21,4,0,0,
2020-05-13,Bihar,Jehanabad,21,5,0,0,
2020-05-14,Bihar,Jehanabad,26,5,0,0,
2020-05-15,Bihar,Jehanabad,26,5,0,0,
2020-05-16,Bihar,Jehanabad,27,5,0,0,
2020-05-17,Bihar,Jehanabad,27,5,0,0,
2020-05-18,Bihar,Jehanabad,27,5,0,0,
2020-05-19,Bihar,Jehanabad,58,5,0,0,
2020-05-20,Bihar,Jehanabad,58,5,0,0,
2020-05-21,Bihar,Jehanabad,108,5,0,0,
2020-05-22,Bihar,Jehanabad,106,5,0,0,
2020-05-23,Bihar,Jehanabad,106,7,0,0,
2020-05-24,Bihar,Jehanabad,108,7,0,0,
2020-05-25,Bihar,Jehanabad,108,5,0,0,
2020-05-26,Bihar,Jehanabad,112,7,0,0,
2020-05-27,Bihar,Jehanabad,112,7,1,0,
2020-05-28,Bihar,Jehanabad,112,7,1,0,
2020-05-29,Bihar,Jehanabad,131,10,1,0,
2020-05-30,Bihar,Jehanabad,144,24,1,0,
2020-05-31,Bihar,Jehanabad,157,51,1,0,
2020-06-01,Bihar,Jehanabad,161,83,1,0,
2020-06-02,Bihar,Jehanabad,163,83,1,0,
2020-06-03,Bihar,Jehanabad,166,91,1,0,
2020-06-04,Bihar,Jehanabad,173,91,1,0,
2020-06-05,Bihar,Jehanabad,176,91,1,0,
2020-06-06,Bihar,Jehanabad,177,106,1,0,
2020-06-07,Bihar,Jehanabad,178,122,1,0,
2020-06-08,Bihar,Jehanabad,178,123,1,0,
2020-06-09,Bihar,Jehanabad,180,123,1,0,
2020-06-10,Bihar,Jehanabad,180,127,1,0,
2020-06-11,Bihar,Jehanabad,182,144,1,0,
2020-06-12,Bihar,Jehanabad,187,144,2,0,
2020-06-13,Bihar,Jehanabad,188,150,2,0,
2020-06-14,Bihar,Jehanabad,187,161,2,0,
2020-06-15,Bihar,Jehanabad,191,161,2,0,
2020-06-16,Bihar,Jehanabad,193,171,2,0,
2020-06-17,Bihar,Jehanabad,201,174,2,0,
2020-06-18,Bihar,Jehanabad,204,182,2,0,
2020-06-19,Bihar,Jehanabad,211,182,2,0,
2020-06-20,Bihar,Jehanabad,217,182,2,0,
2020-06-21,Bihar,Jehanabad,220,185,2,0,
2020-06-22,Bihar,Jehanabad,221,185,2,0,
2020-06-23,Bihar,Jehanabad,222,188,2,0,
2020-06-24,Bihar,Jehanabad,222,190,2,0,
2020-06-25,Bihar,Jehanabad,224,190,2,0,
2020-06-26,Bihar,Jehanabad,225,201,2,0,
2020-06-27,Bihar,Jehanabad,233,201,2,0,
2020-06-28,Bihar,Jehanabad,246,213,2,0,
2020-06-29,Bihar,Jehanabad,249,217,3,0,
2020-06-30,Bihar,Jehanabad,252,218,3,0,
2020-07-01,Bihar,Jehanabad,252,218,3,0,
2020-07-02,Bihar,Jehanabad,252,218,3,0,
2020-07-03,Bihar,Jehanabad,257,219,3,0,
2020-07-04,Bihar,Jehanabad,257,226,3,0,
2020-07-05,Bihar,Jehanabad,273,237,3,0,
2020-07-06,Bihar,Jehanabad,279,245,3,0,
2020-07-07,Bihar,Jehanabad,287,245,3,0,
2020-07-08,Bihar,Jehanabad,305,245,3,0,
2020-07-09,Bihar,Jehanabad,305,246,3,0,
2020-07-10,Bihar,Jehanabad,306,246,3,0,
2020-07-11,Bihar,Jehanabad,313,259,3,0,
2020-07-12,Bihar,Jehanabad,327,270,3,0,
2020-07-13,Bihar,Jehanabad,344,271,3,0,
2020-07-14,Bihar,Jehanabad,361,282,3,0,
2020-07-15,Bihar,Jehanabad,366,290,3,0,
2020-07-16,Bihar,Jehanabad,389,303,3,0,
2020-07-17,Bihar,Jehanabad,399,308,3,0,
2020-07-18,Bihar,Jehanabad,408,319,4,0,
2020-07-19,Bihar,Jehanabad,455,333,4,0,
2020-07-20,Bihar,Jehanabad,479,345,4,0,
2020-07-21,Bihar,Jehanabad,505,350,4,0,6530.0
2020-07-22,Bihar,Jehanabad,546,354,4,0,6530.0
2020-07-23,Bihar,Jehanabad,621,364,4,0,6530.0
2020-07-24,Bihar,Jehanabad,660,378,4,0,6530.0
2020-07-25,Bihar,Jehanabad,706,431,4,0,6530.0
2020-07-26,Bihar,Jehanabad,755,464,4,0,7410.0
2020-07-27,Bihar,Jehanabad,769,488,4,0,7469.0
2020-07-28,Bihar,Jehanabad,791,524,4,0,7469.0
2020-07-29,Bihar,Jehanabad,829,560,4,0,7704.0
2020-07-30,Bihar,Jehanabad,846,562,5,0,7704.0
2020-07-31,Bihar,Jehanabad,880,608,5,0,7704.0
2020-08-01,Bihar,Jehanabad,924,644,5,0,8980.0
2020-08-02,Bihar,Jehanabad,968,666,5,0,10084.0
2020-08-03,Bihar,Jehanabad,985,707,5,0,10084.0
2020-08-04,Bihar,Jehanabad,1017,733,5,0,10084.0
2020-08-05,Bihar,Jehanabad,1102,750,6,0,10084.0
2020-08-06,Bihar,Jehanabad,1131,763,6,0,10084.0
2020-08-07,Bihar,Jehanabad,1184,788,6,0,10084.0
2020-08-08,Bihar,Jehanabad,1230,816,6,0,10084.0
2020-08-09,Bihar,Jehanabad,1262,847,6,0,10084.0
2020-08-10,Bihar,Jehanabad,1359,890,6,0,10084.0
2020-08-11,Bihar,Jehanabad,1416,942,6,0,10084.0
2020-08-12,Bihar,Jehanabad,1485,975,7,0,33665.0
2020-08-13,Bihar,Jehanabad,1612,1015,7,0,33665.0
2020-08-14,Bihar,Jehanabad,1725,1069,7,0,33665.0
2020-08-15,Bihar,Jehanabad,1814,1117,7,0,33665.0
2020-08-16,Bihar,Jehanabad,1842,1162,7,0,42968.0
2020-08-17,Bihar,Jehanabad,1896,1229,7,0,42968.0
2020-08-18,Bihar,Jehanabad,1942,1267,7,0,51182.0
2020-08-19,Bihar,Jehanabad,1996,1320,7,0,51182.0
2020-08-20,Bihar,Jehanabad,2042,1420,7,0,51182.0
2020-08-21,Bihar,Jehanabad,2068,1487,7,0,56716.0
2020-08-22,Bihar,Jehanabad,2099,1550,7,0,58145.0
2020-08-23,Bihar,Jehanabad,2141,1675,7,0,59554.0
2020-08-24,Bihar,Jehanabad,2176,1767,7,0,60980.0
2020-08-25,Bihar,Jehanabad,2190,1850,7,0,62530.0
2020-08-26,Bihar,Jehanabad,2220,1889,7,0,62530.0
2020-08-27,Bihar,Jehanabad,2239,1948,7,0,65313.0
2020-08-28,Bihar,Jehanabad,2251,1984,7,0,65313.0
2020-08-29,Bihar,Jehanabad,2271,2008,7,0,65313.0
2020-08-30,Bihar,Jehanabad,2317,2058,7,0,70237.0
2020-08-31,Bihar,Jehanabad,2331,2093,7,0,70237.0
2020-09-01,Bihar,Jehanabad,2363,2118,7,0,70237.0
2020-09-02,Bihar,Jehanabad,2393,2154,7,0,74364.0
2020-09-03,Bihar,Jehanabad,2421,2191,7,0,75124.0
2020-09-04,Bihar,Jehanabad,2440,2211,8,0,75124.0
2020-09-05,Bihar,Jehanabad,2474,2224,8,0,75124.0
2020-09-06,Bihar,Jehanabad,2498,2242,8,0,75124.0
2020-09-07,Bihar,Jehanabad,2507,2256,8,0,83699.0
2020-09-08,Bihar,Jehanabad,2548,2305,8,0,83699.0
2020-09-09,Bihar,Jehanabad,2580,2342,8,0,83699.0
2020-09-10,Bihar,Jehanabad,2614,2359,8,0,83699.0
2020-09-11,Bihar,Jehanabad,2630,2381,8,0,83699.0
2020-09-12,Bihar,Jehanabad,2648,2401,8,0,83699.0
2020-09-13,Bihar,Jehanabad,2665,2435,8,0,91969.0
2020-09-14,Bihar,Jehanabad,2670,2457,8,0,93513.0
2020-09-15,Bihar,Jehanabad,2716,2508,8,0,94874.0
2020-09-16,Bihar,Jehanabad,2692,2510,8,0,94874.0
2020-09-17,Bihar,Jehanabad,2698,2528,8,0,94874.0
2020-09-18,Bihar,Jehanabad,2707,2559,8,0,94874.0
2020-09-19,Bihar,Jehanabad,2725,2590,8,0,106056.0
2020-09-20,Bihar,Jehanabad,2744,2617,8,0,112401.0
2020-09-21,Bihar,Jehanabad,2770,2635,8,0,119788.0
2020-09-22,Bihar,Jehanabad,2792,2649,8,0,127868.0
2020-09-23,Bihar,Jehanabad,2815,2658,8,0,127868.0
2020-09-24,Bihar,Jehanabad,2822,2665,8,0,127868.0
2020-09-25,Bihar,Jehanabad,2850,2672,8,0,127868.0
2020-09-26,Bihar,Jehanabad,2874,2685,8,0,127868.0
2020-09-27,Bihar,Jehanabad,2900,2695,8,0,127868.0
2020-09-28,Bihar,Jehanabad,2941,2714,8,0,127868.0
2020-09-29,Bihar,Jehanabad,2950,2731,8,0,127868.0
2020-09-30,Bihar,Jehanabad,2967,2748,8,0,127868.0
2020-10-01,Bihar,Jehanabad,2987,2768,8,0,127868.0
2020-10-02,Bihar,Jehanabad,3032,2793,8,0,145989.0
2020-10-03,Bihar,Jehanabad,3053,2826,9,0,145989.0
2020-10-04,Bihar,Jehanabad,3085,2846,9,0,148594.0
2020-10-05,Bihar,Jehanabad,3098,2879,9,0,149772.0
2020-10-06,Bihar,Jehanabad,3129,2926,9,0,149772.0
2020-10-07,Bihar,Jehanabad,3145,2944,9,0,149772.0
2020-10-08,Bihar,Jehanabad,3167,2955,9,0,149772.0
2020-10-09,Bihar,Jehanabad,3180,2971,9,0,149772.0
2020-10-10,Bihar,Jehanabad,3207,2991,9,0,140772.0
2020-10-11,Bihar,Jehanabad,3238,3017,10,0,149772.0
2020-10-12,Bihar,Jehanabad,3244,3044,10,0,149772.0
2020-10-13,Bihar,Jehanabad,3280,3058,10,0,149772.0
2020-10-14,Bihar,Jehanabad,3302,3099,10,0,159582.0
2020-10-15,Bihar,Jehanabad,3348,3103,10,0,161539.0
2020-10-16,Bihar,Jehanabad,3363,3124,11,0,162630.0
2020-10-17,Bihar,Jehanabad,3386,3155,11,0,163997.0
2020-10-18,Bihar,Jehanabad,3406,3181,11,0,164589.0
2020-10-19,Bihar,Jehanabad,3440,3199,11,0,165893.0
2020-10-20,Bihar,Jehanabad,3471,3221,11,0,165893.0
2020-10-21,Bihar,Jehanabad,3489,3254,11,0,168631.0
2020-10-22,Bihar,Jehanabad,3509,3265,11,0,168631.0
2020-10-23,Bihar,Jehanabad,3546,3290,12,0,168631.0
2020-10-24,Bihar,Jehanabad,3565,3319,12,0,168631.0
2020-10-25,Bihar,Jehanabad,3589,3354,12,0,168631.0
2020-10-26,Bihar,Jehanabad,3601,3376,12,0,168631.0
2020-10-27,Bihar,Jehanabad,3622,3398,13,0,168631.0
2020-10-28,Bihar,Jehanabad,3645,3422,13,0,168631.0
2020-10-29,Bihar,Jehanabad,3645,3422,13,0,168631.0
