Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Bihar,Kaimur,14,0,0,0,
2020-04-27,Bihar,Kaimur,14,0,0,0,
2020-04-28,Bihar,Kaimur,18,0,0,0,
2020-04-29,Bihar,Kaimur,18,0,0,0,
2020-04-30,Bihar,Kaimur,18,0,0,0,
2020-05-01,Bihar,Kaimur,24,0,0,0,
2020-05-02,Bihar,Kaimur,27,0,0,0,
2020-05-03,Bihar,Kaimur,28,0,0,0,
2020-05-04,Bihar,Kaimur,30,0,0,0,
2020-05-05,Bihar,Kaimur,31,0,0,0,
2020-05-06,Bihar,Kaimur,32,0,0,0,
2020-05-07,Bihar,Kaimur,32,16,0,0,
2020-05-08,Bihar,Kaimur,32,16,0,0,
2020-05-09,Bihar,Kaimur,32,25,0,0,
2020-05-10,Bihar,Kaimur,32,24,0,0,
2020-05-11,Bihar,Kaimur,32,24,0,0,
2020-05-12,Bihar,Kaimur,32,24,0,0,
2020-05-13,Bihar,Kaimur,33,27,0,0,
2020-05-14,Bihar,Kaimur,33,27,0,0,
2020-05-15,Bihar,Kaimur,33,32,0,0,
2020-05-16,Bihar,Kaimur,34,32,0,0,
2020-05-17,Bihar,Kaimur,36,32,0,0,
2020-05-18,Bihar,Kaimur,37,32,0,0,
2020-05-19,Bihar,Kaimur,44,32,0,0,
2020-05-20,Bihar,Kaimur,44,32,0,0,
2020-05-21,Bihar,Kaimur,44,32,0,0,
2020-05-22,Bihar,Kaimur,46,32,0,0,
2020-05-23,Bihar,Kaimur,46,32,0,0,
2020-05-24,Bihar,Kaimur,49,32,0,0,
2020-05-25,Bihar,Kaimur,49,32,0,0,
2020-05-26,Bihar,Kaimur,49,32,0,0,
2020-05-27,Bihar,Kaimur,53,35,0,0,
2020-05-28,Bihar,Kaimur,57,35,0,0,
2020-05-29,Bihar,Kaimur,67,35,0,0,
2020-05-30,Bihar,Kaimur,77,35,0,0,
2020-05-31,Bihar,Kaimur,80,35,0,0,
2020-06-01,Bihar,Kaimur,78,35,0,0,
2020-06-02,Bihar,Kaimur,83,35,0,0,
2020-06-03,Bihar,Kaimur,93,39,0,0,
2020-06-04,Bihar,Kaimur,94,51,0,0,
2020-06-05,Bihar,Kaimur,94,51,0,0,
2020-06-06,Bihar,Kaimur,100,51,0,0,
2020-06-07,Bihar,Kaimur,102,51,0,0,
2020-06-08,Bihar,Kaimur,102,56,0,0,
2020-06-09,Bihar,Kaimur,113,60,0,0,
2020-06-10,Bihar,Kaimur,117,60,0,0,
2020-06-11,Bihar,Kaimur,127,60,0,0,
2020-06-12,Bihar,Kaimur,134,60,0,0,
2020-06-13,Bihar,Kaimur,138,74,0,0,
2020-06-14,Bihar,Kaimur,138,77,0,0,
2020-06-15,Bihar,Kaimur,139,83,0,0,
2020-06-16,Bihar,Kaimur,140,83,0,0,
2020-06-17,Bihar,Kaimur,140,85,0,0,
2020-06-18,Bihar,Kaimur,142,86,0,0,
2020-06-19,Bihar,Kaimur,148,86,0,0,
2020-06-20,Bihar,Kaimur,148,86,0,0,
2020-06-21,Bihar,Kaimur,148,86,0,0,
2020-06-22,Bihar,Kaimur,149,86,0,0,
2020-06-23,Bihar,Kaimur,149,86,0,0,
2020-06-24,Bihar,Kaimur,149,86,0,0,
2020-06-25,Bihar,Kaimur,149,139,0,0,
2020-06-26,Bihar,Kaimur,149,140,0,0,
2020-06-27,Bihar,Kaimur,162,140,0,0,
