Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-08,Bihar,Khagaria,4,0,0,0,
2020-05-09,Bihar,Khagaria,5,0,0,0,
2020-05-10,Bihar,Khagaria,11,0,0,0,
2020-05-11,Bihar,Khagaria,11,0,0,0,
2020-05-12,Bihar,Khagaria,27,0,0,0,
2020-05-13,Bihar,Khagaria,30,0,0,0,
2020-05-14,Bihar,Khagaria,36,0,0,0,
2020-05-15,Bihar,Khagaria,41,0,0,0,
2020-05-16,Bihar,Khagaria,43,0,1,0,
2020-05-17,Bihar,Khagaria,54,0,1,0,
2020-05-18,Bihar,Khagaria,55,0,1,0,
2020-05-19,Bihar,Khagaria,55,0,1,0,921.0
2020-05-20,Bihar,Khagaria,70,0,1,0,965.0
2020-05-21,Bihar,Khagaria,91,8,1,0,879.0
2020-05-22,Bihar,Khagaria,105,8,2,0,879.0
2020-05-23,Bihar,Khagaria,117,16,2,0,879.0
2020-05-24,Bihar,Khagaria,119,16,2,0,879.0
2020-05-25,Bihar,Khagaria,122,18,2,0,879.0
2020-05-26,Bihar,Khagaria,145,17,2,0,1268.0
2020-05-27,Bihar,Khagaria,143,17,2,0,1200.0
2020-05-28,Bihar,Khagaria,148,24,2,0,1272.0
2020-05-29,Bihar,Khagaria,153,55,2,0,1321.0
2020-05-30,Bihar,Khagaria,154,71,3,0,1321.0
2020-05-31,Bihar,Khagaria,157,71,3,0,1321.0
2020-06-01,Bihar,Khagaria,169,72,3,0,1371.0
2020-06-02,Bihar,Khagaria,172,89,3,0,1371.0
2020-06-03,Bihar,Khagaria,257,90,3,0,1371.0
2020-06-04,Bihar,Khagaria,269,90,3,0,1371.0
2020-06-05,Bihar,Khagaria,273,91,3,0,1371.0
2020-06-06,Bihar,Khagaria,274,91,3,0,1371.0
2020-06-07,Bihar,Khagaria,279,91,3,0,1371.0
2020-06-08,Bihar,Khagaria,279,110,3,0,2032.0
2020-06-09,Bihar,Khagaria,279,111,3,0,2032.0
2020-06-10,Bihar,Khagaria,280,117,3,0,2032.0
2020-06-11,Bihar,Khagaria,287,124,3,0,2032.0
2020-06-12,Bihar,Khagaria,288,125,3,0,2346.0
2020-06-13,Bihar,Khagaria,291,166,3,0,2445.0
2020-06-14,Bihar,Khagaria,291,231,3,0,2599.0
