Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Bihar,Lakhisarai,1,1,0,0,
2020-04-27,Bihar,Lakhisarai,4,1,0,0,
2020-04-28,Bihar,Lakhisarai,4,1,0,0,
2020-04-29,Bihar,Lakhisarai,4,1,0,0,
2020-04-30,Bihar,Lakhisarai,4,1,0,0,
2020-05-01,Bihar,Lakhisarai,4,1,0,0,
2020-05-02,Bihar,Lakhisarai,4,1,0,0,
2020-05-03,Bihar,Lakhisarai,4,1,0,0,
2020-05-04,Bihar,Lakhisarai,4,1,0,0,
2020-05-05,Bihar,Lakhisarai,4,1,0,0,
2020-05-06,Bihar,Lakhisarai,4,1,0,0,
2020-05-07,Bihar,Lakhisarai,4,2,0,0,
2020-05-08,Bihar,Lakhisarai,4,2,0,0,
2020-05-09,Bihar,Lakhisarai,4,2,0,0,
2020-05-10,Bihar,Lakhisarai,4,5,0,0,
2020-05-11,Bihar,Lakhisarai,4,5,0,0,
2020-05-12,Bihar,Lakhisarai,5,4,0,0,
2020-05-13,Bihar,Lakhisarai,6,5,0,0,
2020-05-14,Bihar,Lakhisarai,12,5,0,0,
2020-05-15,Bihar,Lakhisarai,13,5,0,0,
2020-05-16,Bihar,Lakhisarai,14,5,0,0,
2020-05-17,Bihar,Lakhisarai,14,5,0,0,
2020-05-18,Bihar,Lakhisarai,14,5,0,0,
2020-05-19,Bihar,Lakhisarai,14,5,0,0,
2020-05-20,Bihar,Lakhisarai,14,5,0,0,
2020-05-21,Bihar,Lakhisarai,23,5,0,0,
2020-05-22,Bihar,Lakhisarai,24,5,0,0,
2020-05-23,Bihar,Lakhisarai,26,5,0,0,
2020-05-24,Bihar,Lakhisarai,27,5,0,0,
2020-05-25,Bihar,Lakhisarai,28,7,0,0,
2020-05-26,Bihar,Lakhisarai,32,5,0,0,
2020-05-27,Bihar,Lakhisarai,32,7,0,0,
2020-05-28,Bihar,Lakhisarai,32,7,0,0,
2020-05-29,Bihar,Lakhisarai,37,7,0,0,
2020-05-30,Bihar,Lakhisarai,37,7,0,0,
2020-05-31,Bihar,Lakhisarai,37,15,0,0,
2020-06-01,Bihar,Lakhisarai,38,15,0,0,
2020-06-02,Bihar,Lakhisarai,57,15,0,0,
2020-06-03,Bihar,Lakhisarai,62,18,0,0,
2020-06-04,Bihar,Lakhisarai,63,20,0,0,
2020-06-05,Bihar,Lakhisarai,67,20,0,0,
2020-06-06,Bihar,Lakhisarai,67,20,0,0,
2020-06-07,Bihar,Lakhisarai,67,21,0,0,
2020-06-08,Bihar,Lakhisarai,67,30,0,0,
2020-06-09,Bihar,Lakhisarai,66,30,0,0,
2020-06-10,Bihar,Lakhisarai,66,31,0,0,
2020-06-11,Bihar,Lakhisarai,68,35,0,0,
2020-06-12,Bihar,Lakhisarai,70,40,0,0,
2020-06-13,Bihar,Lakhisarai,71,40,0,0,
2020-06-14,Bihar,Lakhisarai,72,40,0,0,
2020-06-15,Bihar,Lakhisarai,72,43,0,0,
2020-06-16,Bihar,Lakhisarai,73,43,0,0,
2020-06-17,Bihar,Lakhisarai,84,43,0,0,
2020-06-18,Bihar,Lakhisarai,84,43,0,0,
2020-06-19,Bihar,Lakhisarai,84,43,0,0,
2020-06-20,Bihar,Lakhisarai,85,67,0,0,
2020-06-21,Bihar,Lakhisarai,85,67,0,0,
2020-06-22,Bihar,Lakhisarai,87,67,0,0,
2020-06-23,Bihar,Lakhisarai,91,67,0,0,
2020-06-24,Bihar,Lakhisarai,97,67,0,0,
2020-06-25,Bihar,Lakhisarai,108,70,0,0,
2020-06-26,Bihar,Lakhisarai,110,70,0,0,
2020-06-27,Bihar,Lakhisarai,125,83,0,0,
2020-06-28,Bihar,Lakhisarai,127,83,0,0,
2020-06-29,Bihar,Lakhisarai,127,83,0,0,
2020-06-30,Bihar,Lakhisarai,127,83,0,0,
2020-07-01,Bihar,Lakhisarai,130,91,0,0,
2020-07-02,Bihar,Lakhisarai,130,122,0,0,
2020-07-03,Bihar,Lakhisarai,135,124,0,0,
2020-07-04,Bihar,Lakhisarai,136,127,0,0,
2020-07-05,Bihar,Lakhisarai,142,127,0,0,
2020-07-06,Bihar,Lakhisarai,142,127,0,0,
2020-07-07,Bihar,Lakhisarai,147,127,0,0,
2020-07-08,Bihar,Lakhisarai,157,129,0,0,
2020-07-09,Bihar,Lakhisarai,165,132,0,0,
2020-07-10,Bihar,Lakhisarai,169,132,0,0,
2020-07-11,Bihar,Lakhisarai,176,132,0,0,
2020-07-12,Bihar,Lakhisarai,205,140,0,0,
