Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Bihar,Madhepura,1,0,0,0,
2020-04-27,Bihar,Madhepura,1,0,0,0,
2020-04-28,Bihar,Madhepura,1,0,0,0,
2020-04-29,Bihar,Madhepura,2,0,0,0,
2020-04-30,Bihar,Madhepura,2,0,0,0,
2020-05-01,Bihar,Madhepura,2,0,0,0,
2020-05-02,Bihar,Madhepura,2,0,0,0,
2020-05-03,Bihar,Madhepura,2,1,0,0,
2020-05-04,Bihar,Madhepura,2,1,0,0,
2020-05-05,Bihar,Madhepura,2,1,0,0,
2020-05-06,Bihar,Madhepura,2,1,0,0,
2020-05-07,Bihar,Madhepura,2,2,0,0,
2020-05-08,Bihar,Madhepura,2,2,0,0,
2020-05-09,Bihar,Madhepura,2,2,0,0,
2020-05-10,Bihar,Madhepura,9,2,0,0,
2020-05-11,Bihar,Madhepura,9,2,0,0,
2020-05-12,Bihar,Madhepura,9,2,0,0,
2020-05-13,Bihar,Madhepura,9,2,0,0,
2020-05-14,Bihar,Madhepura,9,2,0,0,
2020-05-15,Bihar,Madhepura,16,2,0,0,
2020-05-16,Bihar,Madhepura,16,2,0,0,
2020-05-17,Bihar,Madhepura,18,2,0,0,
2020-05-18,Bihar,Madhepura,18,2,0,0,
2020-05-19,Bihar,Madhepura,20,2,0,0,
2020-05-20,Bihar,Madhepura,20,2,0,0,
2020-05-21,Bihar,Madhepura,20,2,0,0,
2020-05-22,Bihar,Madhepura,22,9,0,0,
2020-05-23,Bihar,Madhepura,41,9,0,0,
2020-05-24,Bihar,Madhepura,41,9,0,0,
2020-05-25,Bihar,Madhepura,42,9,0,0,
2020-05-26,Bihar,Madhepura,43,9,0,0,
2020-05-27,Bihar,Madhepura,52,9,0,0,
2020-05-28,Bihar,Madhepura,52,9,0,0,
2020-05-29,Bihar,Madhepura,52,9,0,0,
2020-05-30,Bihar,Madhepura,63,34,1,0,
2020-05-31,Bihar,Madhepura,80,34,1,0,
2020-06-01,Bihar,Madhepura,83,35,1,0,
2020-06-02,Bihar,Madhepura,91,35,1,0,
2020-06-03,Bihar,Madhepura,93,36,1,0,
2020-06-04,Bihar,Madhepura,97,36,1,0,
2020-06-05,Bihar,Madhepura,97,36,1,0,
2020-06-06,Bihar,Madhepura,97,36,1,0,
2020-06-07,Bihar,Madhepura,97,36,1,0,
2020-06-08,Bihar,Madhepura,99,36,1,0,
2020-06-09,Bihar,Madhepura,116,38,1,0,
2020-06-10,Bihar,Madhepura,124,47,1,0,
2020-06-11,Bihar,Madhepura,140,47,1,0,
2020-06-12,Bihar,Madhepura,140,47,1,0,
2020-06-13,Bihar,Madhepura,141,71,1,0,
2020-06-14,Bihar,Madhepura,142,77,1,0,
2020-06-15,Bihar,Madhepura,145,77,1,0,
2020-06-16,Bihar,Madhepura,145,87,1,0,
2020-06-17,Bihar,Madhepura,148,106,1,0,
2020-06-18,Bihar,Madhepura,148,106,1,0,
2020-06-19,Bihar,Madhepura,148,106,1,0,
2020-06-20,Bihar,Madhepura,153,111,1,0,
2020-06-21,Bihar,Madhepura,156,130,1,0,
2020-06-22,Bihar,Madhepura,160,130,1,0,
2020-06-23,Bihar,Madhepura,162,134,1,0,
2020-06-24,Bihar,Madhepura,162,134,1,0,
2020-06-25,Bihar,Madhepura,168,134,1,0,
2020-06-26,Bihar,Madhepura,168,144,1,0,
2020-06-27,Bihar,Madhepura,187,145,1,0,
2020-06-28,Bihar,Madhepura,187,145,1,0,
2020-06-29,Bihar,Madhepura,193,145,1,0,
2020-06-30,Bihar,Madhepura,203,145,1,0,
