Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-27,Bihar,Madhubani,5,0,0,0,
2020-04-28,Bihar,Madhubani,5,0,0,0,
2020-04-29,Bihar,Madhubani,5,0,0,0,
2020-04-30,Bihar,Madhubani,5,0,0,0,
2020-05-01,Bihar,Madhubani,18,0,0,0,
2020-05-02,Bihar,Madhubani,18,0,0,0,
2020-05-03,Bihar,Madhubani,18,0,0,0,
2020-05-04,Bihar,Madhubani,23,0,0,0,
2020-05-05,Bihar,Madhubani,23,0,0,0,
2020-05-06,Bihar,Madhubani,24,0,0,0,
2020-05-07,Bihar,Madhubani,24,0,0,0,
2020-05-08,Bihar,Madhubani,24,0,0,0,
2020-05-09,Bihar,Madhubani,24,0,0,0,
2020-05-10,Bihar,Madhubani,24,0,0,0,
2020-05-11,Bihar,Madhubani,26,0,0,0,
2020-05-12,Bihar,Madhubani,30,0,0,0,
2020-05-13,Bihar,Madhubani,31,0,0,0,
2020-05-14,Bihar,Madhubani,31,5,0,0,
2020-05-15,Bihar,Madhubani,33,5,0,0,
2020-05-16,Bihar,Madhubani,53,5,0,0,
2020-05-17,Bihar,Madhubani,69,5,0,0,
2020-05-18,Bihar,Madhubani,73,13,0,0,
2020-05-19,Bihar,Madhubani,73,13,0,0,
2020-05-20,Bihar,Madhubani,79,13,0,0,
2020-05-21,Bihar,Madhubani,81,13,0,0,
2020-05-22,Bihar,Madhubani,115,20,0,0,
2020-05-23,Bihar,Madhubani,133,20,0,0,
2020-05-24,Bihar,Madhubani,136,20,0,0,
2020-05-25,Bihar,Madhubani,146,20,0,0,
2020-05-26,Bihar,Madhubani,177,21,0,0,
2020-05-27,Bihar,Madhubani,176,22,0,0,
2020-05-28,Bihar,Madhubani,176,23,0,0,
2020-05-29,Bihar,Madhubani,190,60,0,0,
2020-05-30,Bihar,Madhubani,190,60,0,0,
2020-05-31,Bihar,Madhubani,190,61,0,0,
2020-06-01,Bihar,Madhubani,195,63,0,0,
2020-06-02,Bihar,Madhubani,201,63,0,0,
2020-06-03,Bihar,Madhubani,201,77,0,0,
2020-06-04,Bihar,Madhubani,201,78,0,0,
2020-06-05,Bihar,Madhubani,201,81,0,0,
2020-06-06,Bihar,Madhubani,217,81,0,0,
2020-06-07,Bihar,Madhubani,218,86,0,0,
2020-06-08,Bihar,Madhubani,237,86,0,0,
2020-06-09,Bihar,Madhubani,239,86,0,0,
2020-06-10,Bihar,Madhubani,259,108,0,0,
2020-06-11,Bihar,Madhubani,260,133,0,0,
2020-06-12,Bihar,Madhubani,270,133,0,0,
2020-06-13,Bihar,Madhubani,291,133,0,0,
2020-06-14,Bihar,Madhubani,292,133,0,0,
2020-06-15,Bihar,Madhubani,304,133,1,0,
2020-06-16,Bihar,Madhubani,317,160,1,0,
2020-06-17,Bihar,Madhubani,323,160,1,0,
2020-06-18,Bihar,Madhubani,325,160,1,0,
2020-06-19,Bihar,Madhubani,325,161,1,0,
2020-06-20,Bihar,Madhubani,341,161,1,0,
2020-06-21,Bihar,Madhubani,352,175,1,0,
2020-06-22,Bihar,Madhubani,379,175,1,0,
2020-06-23,Bihar,Madhubani,388,175,1,0,
2020-06-24,Bihar,Madhubani,394,175,1,0,
2020-06-25,Bihar,Madhubani,400,272,1,0,
2020-06-26,Bihar,Madhubani,422,272,2,0,
2020-06-27,Bihar,Madhubani,437,277,2,0,
2020-06-28,Bihar,Madhubani,442,277,2,0,
2020-06-29,Bihar,Madhubani,448,290,2,0,
2020-06-30,Bihar,Madhubani,456,298,2,0,
2020-07-01,Bihar,Madhubani,472,333,2,0,
2020-07-02,Bihar,Madhubani,487,348,2,0,
2020-07-03,Bihar,Madhubani,492,356,2,0,
2020-07-04,Bihar,Madhubani,497,368,2,0,
2020-07-05,Bihar,Madhubani,504,374,2,0,
2020-07-06,Bihar,Madhubani,511,396,2,0,
2020-07-07,Bihar,Madhubani,536,424,2,0,
2020-07-08,Bihar,Madhubani,553,431,2,0,
2020-07-09,Bihar,Madhubani,561,431,2,0,
2020-07-10,Bihar,Madhubani,576,431,2,0,
2020-07-11,Bihar,Madhubani,585,506,2,0,
2020-07-12,Bihar,Madhubani,591,536,2,0,
2020-07-13,Bihar,Madhubani,632,536,2,0,
2020-07-14,Bihar,Madhubani,667,541,2,0,
2020-07-15,Bihar,Madhubani,668,549,2,0,
2020-07-16,Bihar,Madhubani,668,557,2,0,
2020-07-17,Bihar,Madhubani,680,572,2,0,
2020-07-18,Bihar,Madhubani,697,572,2,0,
2020-07-19,Bihar,Madhubani,713,609,2,0,
2020-07-20,Bihar,Madhubani,714,609,2,0,
2020-07-21,Bihar,Madhubani,717,612,2,0,7398.0
2020-07-22,Bihar,Madhubani,718,630,2,0,7398.0
2020-07-23,Bihar,Madhubani,719,630,2,0,7398.0
2020-07-24,Bihar,Madhubani,721,651,2,0,7402.0
2020-07-25,Bihar,Madhubani,775,669,2,0,7512.0
2020-07-26,Bihar,Madhubani,823,681,2,0,10366.0
2020-07-27,Bihar,Madhubani,880,691,2,0,10531.0
2020-07-28,Bihar,Madhubani,935,702,2,0,10531.0
2020-07-29,Bihar,Madhubani,968,717,2,0,11531.0
2020-07-30,Bihar,Madhubani,975,720,2,0,12900.0
2020-07-31,Bihar,Madhubani,1097,723,2,0,12900.0
2020-08-01,Bihar,Madhubani,1186,727,2,0,13187.0
2020-08-02,Bihar,Madhubani,1267,733,2,0,13315.0
2020-08-03,Bihar,Madhubani,1362,794,2,0,13385.0
2020-08-04,Bihar,Madhubani,1411,826,2,0,14893.0
2020-08-05,Bihar,Madhubani,1501,888,2,0,14983.0
2020-08-06,Bihar,Madhubani,1576,911,2,0,19376.0
2020-08-07,Bihar,Madhubani,1663,999,2,0,19376.0
2020-08-08,Bihar,Madhubani,1780,1028,2,0,19376.0
2020-08-09,Bihar,Madhubani,1869,1126,2,0,26503.0
2020-08-10,Bihar,Madhubani,1930,1186,3,0,26703.0
2020-08-11,Bihar,Madhubani,2073,1256,3,0,27845.0
2020-08-12,Bihar,Madhubani,2242,1298,4,0,28245.0
2020-08-13,Bihar,Madhubani,2401,1374,4,0,35657.0
2020-08-14,Bihar,Madhubani,2549,1435,4,0,35657.0
2020-08-15,Bihar,Madhubani,2736,1545,4,0,35657.0
2020-08-16,Bihar,Madhubani,2863,1653,4,0,50153.0
2020-08-17,Bihar,Madhubani,3066,1834,4,0,50153.0
2020-08-18,Bihar,Madhubani,3300,1959,4,0,58009.0
2020-08-19,Bihar,Madhubani,3415,2076,4,0,58009.0
2020-08-20,Bihar,Madhubani,3556,2142,4,0,58009.0
2020-08-21,Bihar,Madhubani,3690,2300,5,0,70012.0
2020-08-22,Bihar,Madhubani,3803,2459,4,0,76012.0
2020-08-23,Bihar,Madhubani,3900,2600,4,0,79012.0
2020-08-24,Bihar,Madhubani,3934,2757,4,0,79012.0
2020-08-25,Bihar,Madhubani,3998,2926,4,0,81012.0
2020-08-26,Bihar,Madhubani,4095,3095,4,0,83036.0
2020-08-27,Bihar,Madhubani,4190,3243,4,0,83036.0
2020-08-28,Bihar,Madhubani,4259,3417,6,0,92036.0
2020-08-29,Bihar,Madhubani,4371,3556,6,0,100137.0
2020-08-30,Bihar,Madhubani,4487,3657,6,0,100137.0
2020-08-31,Bihar,Madhubani,4555,3803,6,0,158300.0
2020-09-01,Bihar,Madhubani,4668,3923,6,0,158300.0
2020-09-02,Bihar,Madhubani,4784,3993,8,0,158300.0
2020-09-03,Bihar,Madhubani,4905,4059,8,0,120109.0
2020-09-04,Bihar,Madhubani,4966,4128,8,0,124188.0
2020-09-05,Bihar,Madhubani,5033,4210,8,0,124188.0
2020-09-06,Bihar,Madhubani,5101,4289,9,0,130000.0
2020-09-07,Bihar,Madhubani,5115,4390,9,0,154386.0
2020-09-08,Bihar,Madhubani,5139,4460,9,0,159856.0
2020-09-09,Bihar,Madhubani,5163,4540,9,0,160853.0
2020-09-10,Bihar,Madhubani,5226,4615,9,0,163943.0
2020-09-11,Bihar,Madhubani,5279,4718,9,0,166344.0
2020-09-12,Bihar,Madhubani,5332,4801,12,0,171300.0
2020-09-13,Bihar,Madhubani,5372,4895,16,0,174300.0
2020-09-14,Bihar,Madhubani,5412,4984,16,0,178287.0
2020-09-15,Bihar,Madhubani,5453,5022,16,0,180096.0
2020-09-16,Bihar,Madhubani,5524,5033,16,0,184096.0
2020-09-17,Bihar,Madhubani,5578,5047,16,0,184096.0
2020-09-18,Bihar,Madhubani,5615,5086,17,0,190009.0
2020-09-19,Bihar,Madhubani,5706,5144,17,0,198229.0
2020-09-20,Bihar,Madhubani,5755,5195,17,0,198229.0
2020-09-21,Bihar,Madhubani,5811,5239,17,0,200365.0
2020-09-22,Bihar,Madhubani,5855,5273,17,0,208369.0
2020-09-23,Bihar,Madhubani,5892,5315,17,0,208639.0
2020-09-24,Bihar,Madhubani,5944,5355,17,0,218632.0
2020-09-25,Bihar,Madhubani,5987,5418,17,0,220062.0
2020-09-26,Bihar,Madhubani,6012,5479,17,0,224061.0
2020-09-27,Bihar,Madhubani,6060,5547,17,0,224061.0
2020-09-28,Bihar,Madhubani,6091,5636,17,0,229112.0
2020-09-29,Bihar,Madhubani,6133,5709,17,0,231112.0
2020-09-30,Bihar,Madhubani,6185,5780,17,0,235000.0
2020-10-01,Bihar,Madhubani,6227,5820,17,0,235000.0
2020-10-02,Bihar,Madhubani,6260,5861,17,0,240115.0
2020-10-03,Bihar,Madhubani,6292,5915,17,0,243694.0
2020-10-04,Bihar,Madhubani,6324,5941,17,0,246321.0
2020-10-05,Bihar,Madhubani,6337,5978,18,0,248556.0
2020-10-06,Bihar,Madhubani,6369,5997,18,0,248556.0
2020-10-07,Bihar,Madhubani,6404,6064,18,0,250689.0
2020-10-08,Bihar,Madhubani,6454,6105,18,0,253100.0
2020-10-09,Bihar,Madhubani,6469,6125,18,0,256258.0
2020-10-10,Bihar,Madhubani,6481,6180,18,0,258258.0
2020-10-11,Bihar,Madhubani,6504,6216,18,0,260369.0
2020-10-12,Bihar,Madhubani,6522,6254,19,0,268555.0
2020-10-13,Bihar,Madhubani,6537,6288,20,0,268555.0
2020-10-14,Bihar,Madhubani,6556,6305,20,0,280236.0
2020-10-15,Bihar,Madhubani,6576,6332,20,0,295236.0
2020-10-16,Bihar,Madhubani,6601,6360,20,0,301962.0
2020-10-17,Bihar,Madhubani,6624,6404,21,0,301962.0
2020-10-18,Bihar,Madhubani,6661,6416,21,0,313364.0
2020-10-19,Bihar,Madhubani,6672,6450,21,0,313364.0
2020-10-20,Bihar,Madhubani,6729,6477,21,0,328517.0
2020-10-21,Bihar,Madhubani,6749,6498,21,0,333003.0
2020-10-22,Bihar,Madhubani,6791,6505,21,0,350063.0
2020-10-23,Bihar,Madhubani,6823,6526,21,0,353865.0
2020-10-24,Bihar,Madhubani,6843,6551,21,0,356222.0
