Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Bihar,Munger,68,11,1,0,
2020-04-27,Bihar,Munger,90,11,1,0,
2020-04-28,Bihar,Munger,92,11,1,0,
2020-04-29,Bihar,Munger,92,11,1,0,
2020-04-30,Bihar,Munger,95,17,1,0,
2020-05-01,Bihar,Munger,95,18,1,0,
2020-05-02,Bihar,Munger,95,21,1,0,
2020-05-03,Bihar,Munger,102,22,1,0,
2020-05-04,Bihar,Munger,102,24,1,0,
2020-05-05,Bihar,Munger,102,30,1,0,
2020-05-06,Bihar,Munger,102,30,1,0,
2020-05-07,Bihar,Munger,102,38,1,0,
2020-05-08,Bihar,Munger,102,42,1,0,
2020-05-09,Bihar,Munger,104,43,1,0,
2020-05-10,Bihar,Munger,115,60,1,0,
2020-05-11,Bihar,Munger,115,60,1,0,
2020-05-12,Bihar,Munger,116,60,1,0,
2020-05-13,Bihar,Munger,122,65,1,0,
2020-05-14,Bihar,Munger,122,68,1,0,
2020-05-15,Bihar,Munger,122,68,1,0,
2020-05-16,Bihar,Munger,125,90,1,0,
2020-05-17,Bihar,Munger,126,90,1,0,
2020-05-18,Bihar,Munger,133,92,1,0,
2020-05-19,Bihar,Munger,133,92,1,0,
2020-05-20,Bihar,Munger,133,92,1,0,
2020-05-21,Bihar,Munger,136,92,1,0,
2020-05-22,Bihar,Munger,140,93,1,0,
2020-05-23,Bihar,Munger,140,93,1,0,
2020-05-24,Bihar,Munger,146,93,1,0,
2020-05-25,Bihar,Munger,148,105,1,0,
2020-05-26,Bihar,Munger,148,106,1,0,
2020-05-27,Bihar,Munger,148,117,1,0,
2020-05-28,Bihar,Munger,148,120,1,0,
2020-05-29,Bihar,Munger,149,120,1,0,
2020-05-30,Bihar,Munger,155,120,1,0,
2020-05-31,Bihar,Munger,157,127,1,0,
2020-06-01,Bihar,Munger,157,127,1,0,
2020-06-02,Bihar,Munger,158,127,1,0,
2020-06-03,Bihar,Munger,158,128,1,0,
2020-06-04,Bihar,Munger,159,132,1,0,
2020-06-05,Bihar,Munger,167,133,1,0,
2020-06-06,Bihar,Munger,182,133,1,0,
2020-06-07,Bihar,Munger,197,133,1,0,
2020-06-08,Bihar,Munger,208,133,1,0,
2020-06-09,Bihar,Munger,216,139,1,0,
2020-06-10,Bihar,Munger,229,139,1,0,
2020-06-11,Bihar,Munger,265,144,1,0,
2020-06-12,Bihar,Munger,265,151,1,0,
2020-06-13,Bihar,Munger,268,151,1,0,
2020-06-14,Bihar,Munger,270,151,1,0,
2020-06-15,Bihar,Munger,272,152,1,0,
2020-06-16,Bihar,Munger,278,154,1,0,
2020-06-17,Bihar,Munger,285,154,1,0,
2020-06-18,Bihar,Munger,286,197,1,0,
2020-06-19,Bihar,Munger,287,204,1,0,
2020-06-20,Bihar,Munger,296,208,1,0,
2020-06-21,Bihar,Munger,298,222,1,0,
2020-06-22,Bihar,Munger,306,222,1,0,
2020-06-23,Bihar,Munger,308,259,1,0,
2020-06-24,Bihar,Munger,321,259,1,0,
2020-06-25,Bihar,Munger,322,268,1,0,
2020-06-26,Bihar,Munger,332,274,1,0,
2020-06-27,Bihar,Munger,333,282,1,0,
2020-06-28,Bihar,Munger,340,283,1,0,
2020-06-29,Bihar,Munger,346,292,1,0,
2020-06-30,Bihar,Munger,364,296,1,0,
2020-07-01,Bihar,Munger,368,298,1,0,
2020-07-02,Bihar,Munger,371,298,1,0,
2020-07-03,Bihar,Munger,391,298,1,0,
2020-07-04,Bihar,Munger,396,303,1,0,
2020-07-05,Bihar,Munger,408,307,1,0,
2020-07-06,Bihar,Munger,419,307,1,0,
2020-07-07,Bihar,Munger,449,322,1,0,
2020-07-08,Bihar,Munger,473,329,1,0,
2020-07-09,Bihar,Munger,502,336,1,0,
2020-07-10,Bihar,Munger,502,350,1,0,
2020-07-11,Bihar,Munger,517,350,1,0,
2020-07-12,Bihar,Munger,578,368,1,0,
2020-07-13,Bihar,Munger,646,398,2,0,
2020-07-14,Bihar,Munger,694,411,3,0,
2020-07-15,Bihar,Munger,726,417,5,0,
2020-07-16,Bihar,Munger,759,441,5,0,
2020-07-17,Bihar,Munger,817,485,5,0,
2020-07-18,Bihar,Munger,826,504,5,0,
2020-07-19,Bihar,Munger,826,540,5,0,
2020-07-20,Bihar,Munger,840,579,5,0,
2020-07-21,Bihar,Munger,845,595,5,0,9800.0
2020-07-22,Bihar,Munger,849,611,5,0,9800.0
2020-07-23,Bihar,Munger,860,615,5,0,9800.0
2020-07-24,Bihar,Munger,867,730,5,0,9911.0
2020-07-25,Bihar,Munger,879,799,8,0,9911.0
2020-07-26,Bihar,Munger,921,811,10,0,10242.0
2020-07-27,Bihar,Munger,943,817,10,0,10373.0
2020-07-28,Bihar,Munger,978,830,11,0,10373.0
2020-07-29,Bihar,Munger,1015,840,11,0,10373.0
2020-07-30,Bihar,Munger,1027,848,12,0,10764.0
2020-07-31,Bihar,Munger,1063,852,12,0,10764.0
2020-08-01,Bihar,Munger,1123,852,15,0,11348.0
2020-08-02,Bihar,Munger,1169,858,15,0,11670.0
2020-08-03,Bihar,Munger,1179,861,17,0,11939.0
2020-08-04,Bihar,Munger,1231,908,17,0,12392.0
2020-08-05,Bihar,Munger,1295,928,18,0,12857.0
2020-08-06,Bihar,Munger,1352,950,18,0,13849.0
2020-08-07,Bihar,Munger,1410,984,19,0,13849.0
2020-08-08,Bihar,Munger,1474,1018,19,0,16162.0
2020-08-09,Bihar,Munger,1567,1035,20,0,17504.0
2020-08-10,Bihar,Munger,1631,1079,22,0,17504.0
2020-08-11,Bihar,Munger,1714,1133,23,0,20072.0
2020-08-12,Bihar,Munger,1766,1144,23,0,21271.0
2020-08-13,Bihar,Munger,1821,1186,23,0,22458.0
2020-08-14,Bihar,Munger,1884,1236,23,0,22458.0
2020-08-15,Bihar,Munger,1940,1293,25,0,22458.0
2020-08-16,Bihar,Munger,1990,1341,26,0,25066.0
2020-08-17,Bihar,Munger,2023,1411,26,0,27813.0
2020-08-18,Bihar,Munger,2074,1477,28,0,28695.0
2020-08-19,Bihar,Munger,2120,1574,28,0,30197.0
2020-08-20,Bihar,Munger,2164,1648,28,0,30197.0
2020-08-21,Bihar,Munger,2187,1710,28,0,32212.0
2020-08-22,Bihar,Munger,2211,1759,28,0,34056.0
2020-08-23,Bihar,Munger,2246,1798,28,0,34630.0
2020-08-24,Bihar,Munger,2250,1859,28,0,35234.0
2020-08-25,Bihar,Munger,2255,1942,28,0,36135.0
2020-08-26,Bihar,Munger,2283,1956,28,0,37200.0
2020-08-27,Bihar,Munger,2290,2001,28,0,38494.0
2020-08-28,Bihar,Munger,2310,2049,28,0,39738.0
2020-08-29,Bihar,Munger,2335,2088,28,0,40962.0
2020-08-30,Bihar,Munger,2358,2128,28,0,40962.0
2020-08-31,Bihar,Munger,2368,2151,28,0,43074.0
2020-09-01,Bihar,Munger,2396,2178,28,0,43074.0
2020-09-02,Bihar,Munger,2436,2208,28,0,43074.0
2020-09-03,Bihar,Munger,2446,2214,28,0,46368.0
2020-09-04,Bihar,Munger,2450,2225,28,0,46368.0
2020-09-05,Bihar,Munger,2455,2243,30,0,48434.0
2020-09-06,Bihar,Munger,2477,2253,30,0,50272.0
2020-09-07,Bihar,Munger,2493,2265,32,0,51481.0
2020-09-08,Bihar,Munger,2513,2299,32,0,52818.0
2020-09-09,Bihar,Munger,2533,2315,32,0,54156.0
2020-09-10,Bihar,Munger,2553,2329,33,0,55200.0
2020-09-11,Bihar,Munger,2565,2356,36,0,56106.0
2020-09-12,Bihar,Munger,2583,2384,36,0,57146.0
2020-09-13,Bihar,Munger,2602,2401,36,0,57146.0
2020-09-14,Bihar,Munger,2619,2411,36,0,59581.0
2020-09-15,Bihar,Munger,2635,2428,36,0,59581.0
2020-09-16,Bihar,Munger,2656,2449,36,0,61616.0
2020-09-17,Bihar,Munger,2675,2457,36,0,61616.0
2020-09-18,Bihar,Munger,2710,2463,36,0,63723.0
2020-09-19,Bihar,Munger,2734,2482,36,0,64838.0
2020-09-20,Bihar,Munger,2767,2500,36,0,65958.0
2020-09-21,Bihar,Munger,2783,2517,36,0,69084.0
2020-09-22,Bihar,Munger,2816,2532,36,0,72528.0
2020-09-23,Bihar,Munger,2847,2542,36,0,73900.0
2020-09-24,Bihar,Munger,2860,2563,36,0,76175.0
2020-09-25,Bihar,Munger,2890,2585,36,0,76175.0
2020-09-26,Bihar,Munger,2908,2608,36,0,76175.0
2020-09-27,Bihar,Munger,2932,2625,36,0,76175.0
2020-09-28,Bihar,Munger,2948,2657,36,0,84917.0
2020-09-29,Bihar,Munger,2982,2690,36,0,84971.0
2020-09-30,Bihar,Munger,3014,2731,36,0,89605.0
2020-10-01,Bihar,Munger,3043,2740,36,0,91730.0
2020-10-02,Bihar,Munger,3063,2763,36,0,91730.0
2020-10-03,Bihar,Munger,3073,2786,36,0,95677.0
2020-10-04,Bihar,Munger,3100,2805,36,0,97529.0
2020-10-05,Bihar,Munger,3109,2822,36,0,99091.0
2020-10-06,Bihar,Munger,3127,2848,36,0,101004.0
2020-10-07,Bihar,Munger,3139,2869,36,0,102655.0
2020-10-08,Bihar,Munger,3164,2894,36,0,104386.0
2020-10-09,Bihar,Munger,3181,2919,37,0,104386.0
2020-10-10,Bihar,Munger,3190,2935,39,0,107717.0
2020-10-11,Bihar,Munger,3213,2960,39,0,107717.0
2020-10-12,Bihar,Munger,3215,2987,39,0,107717.0
2020-10-13,Bihar,Munger,3237,2993,39,0,107717.0
2020-10-14,Bihar,Munger,3278,3015,39,0,112189.0
2020-10-15,Bihar,Munger,3302,3027,39,0,112189.0
2020-10-16,Bihar,Munger,3325,3040,39,0,112198.0
2020-10-17,Bihar,Munger,3351,3058,39,0,112189.0
2020-10-18,Bihar,Munger,3364,3079,39,0,119729.0
2020-10-19,Bihar,Munger,3388,3105,39,0,121344.0
2020-10-20,Bihar,Munger,3433,3115,39,0,122145.0
2020-10-21,Bihar,Munger,3462,3137,39,0,122145.0
2020-10-22,Bihar,Munger,3490,3164,39,0,122145.0
2020-10-23,Bihar,Munger,3513,3188,39,0,122145.0
2020-10-24,Bihar,Munger,3529,3219,40,0,122145.0
2020-10-25,Bihar,Munger,3550,3246,40,0,122145.0
2020-10-26,Bihar,Munger,3559,3272,40,0,122145.0
2020-10-27,Bihar,Munger,3564,3292,40,0,136585.0
