Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Bihar,Nalanda,34,6,0,0,
2020-04-27,Bihar,Nalanda,35,6,0,0,
2020-04-28,Bihar,Nalanda,35,6,0,0,
2020-04-29,Bihar,Nalanda,35,6,0,0,
2020-04-30,Bihar,Nalanda,35,12,0,0,
2020-05-01,Bihar,Nalanda,36,25,0,0,
2020-05-02,Bihar,Nalanda,36,29,0,0,
2020-05-03,Bihar,Nalanda,36,29,0,0,
2020-05-04,Bihar,Nalanda,36,29,0,0,
2020-05-05,Bihar,Nalanda,36,30,0,0,
2020-05-06,Bihar,Nalanda,36,30,0,0,
2020-05-07,Bihar,Nalanda,36,30,0,0,
2020-05-08,Bihar,Nalanda,37,35,0,0,
2020-05-09,Bihar,Nalanda,39,35,0,0,
2020-05-10,Bihar,Nalanda,50,35,0,0,
2020-05-11,Bihar,Nalanda,51,36,0,0,
2020-05-12,Bihar,Nalanda,63,36,0,0,
2020-05-13,Bihar,Nalanda,63,36,0,0,
2020-05-14,Bihar,Nalanda,66,36,0,0,
2020-05-15,Bihar,Nalanda,66,37,0,0,
2020-05-16,Bihar,Nalanda,67,37,0,0,
2020-05-17,Bihar,Nalanda,68,37,0,0,
2020-05-18,Bihar,Nalanda,72,38,0,0,
2020-05-19,Bihar,Nalanda,72,38,0,0,
2020-05-20,Bihar,Nalanda,78,48,0,0,
2020-05-21,Bihar,Nalanda,78,48,0,0,
2020-05-22,Bihar,Nalanda,80,59,0,0,
2020-05-23,Bihar,Nalanda,83,62,0,0,
2020-05-24,Bihar,Nalanda,86,62,0,0,
2020-05-25,Bihar,Nalanda,87,63,0,0,
2020-05-26,Bihar,Nalanda,91,70,1,0,
2020-05-27,Bihar,Nalanda,91,71,1,0,
2020-05-28,Bihar,Nalanda,104,74,1,0,
2020-05-29,Bihar,Nalanda,106,71,1,0,
2020-05-30,Bihar,Nalanda,109,77,1,0,
2020-05-31,Bihar,Nalanda,109,77,1,0,
2020-06-01,Bihar,Nalanda,110,81,1,0,
2020-06-02,Bihar,Nalanda,111,81,1,0,
2020-06-03,Bihar,Nalanda,111,83,1,0,
2020-06-04,Bihar,Nalanda,114,84,1,0,
2020-06-05,Bihar,Nalanda,120,87,1,0,
2020-06-06,Bihar,Nalanda,120,87,1,0,
2020-06-07,Bihar,Nalanda,124,87,1,0,
2020-06-08,Bihar,Nalanda,124,87,1,0,
2020-06-09,Bihar,Nalanda,135,104,1,0,
2020-06-10,Bihar,Nalanda,139,111,1,0,
2020-06-11,Bihar,Nalanda,140,111,1,0,
