Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Bihar,Nawada,3,2,0,0,
2020-04-27,Bihar,Nawada,4,2,0,0,
2020-04-28,Bihar,Nawada,4,2,0,0,
2020-04-29,Bihar,Nawada,4,2,0,0,
2020-04-30,Bihar,Nawada,4,2,0,0,
2020-05-01,Bihar,Nawada,4,2,0,0,
2020-05-02,Bihar,Nawada,4,2,0,0,
2020-05-03,Bihar,Nawada,4,2,0,0,
2020-05-04,Bihar,Nawada,4,2,0,0,
2020-05-05,Bihar,Nawada,4,3,0,0,
2020-05-06,Bihar,Nawada,4,3,0,0,
2020-05-07,Bihar,Nawada,4,3,0,0,
2020-05-08,Bihar,Nawada,5,3,0,0,
2020-05-09,Bihar,Nawada,5,3,0,0,
2020-05-10,Bihar,Nawada,7,3,0,0,
2020-05-11,Bihar,Nawada,13,3,0,0,
2020-05-12,Bihar,Nawada,15,3,0,0,
2020-05-13,Bihar,Nawada,24,3,0,0,
2020-05-14,Bihar,Nawada,24,3,0,0,
2020-05-15,Bihar,Nawada,25,4,0,0,
2020-05-16,Bihar,Nawada,35,4,0,0,
2020-05-17,Bihar,Nawada,35,4,0,0,
2020-05-18,Bihar,Nawada,37,4,0,0,
2020-05-19,Bihar,Nawada,41,4,0,0,
2020-05-20,Bihar,Nawada,41,4,0,0,
2020-05-21,Bihar,Nawada,41,4,0,0,
2020-05-22,Bihar,Nawada,50,4,0,0,
2020-05-23,Bihar,Nawada,58,4,0,0,
2020-05-24,Bihar,Nawada,70,4,0,0,
2020-05-25,Bihar,Nawada,70,13,0,0,
2020-05-26,Bihar,Nawada,70,19,0,0,
2020-05-27,Bihar,Nawada,71,25,0,0,
2020-05-28,Bihar,Nawada,81,25,0,0,
2020-05-29,Bihar,Nawada,84,35,0,0,
2020-05-30,Bihar,Nawada,86,35,0,0,
2020-05-31,Bihar,Nawada,87,35,0,0,
2020-06-01,Bihar,Nawada,93,43,0,0,
2020-06-02,Bihar,Nawada,93,43,0,0,
2020-06-03,Bihar,Nawada,97,44,0,0,
2020-06-04,Bihar,Nawada,105,44,1,0,
2020-06-05,Bihar,Nawada,113,49,1,0,
2020-06-06,Bihar,Nawada,125,49,1,0,
2020-06-07,Bihar,Nawada,139,49,1,0,
2020-06-08,Bihar,Nawada,144,58,1,0,
2020-06-09,Bihar,Nawada,166,71,1,0,
2020-06-10,Bihar,Nawada,173,80,1,0,
2020-06-11,Bihar,Nawada,178,86,1,0,
2020-06-12,Bihar,Nawada,178,119,1,0,
2020-06-13,Bihar,Nawada,180,119,1,0,
2020-06-14,Bihar,Nawada,182,121,1,0,
2020-06-15,Bihar,Nawada,184,138,1,0,
2020-06-16,Bihar,Nawada,189,165,1,0,
2020-06-17,Bihar,Nawada,190,165,1,0,
2020-06-18,Bihar,Nawada,192,165,1,0,
2020-06-19,Bihar,Nawada,200,174,2,0,
2020-06-20,Bihar,Nawada,200,174,2,0,
2020-06-21,Bihar,Nawada,203,182,2,0,
2020-06-22,Bihar,Nawada,203,182,2,0,
2020-06-23,Bihar,Nawada,217,183,2,0,
2020-06-24,Bihar,Nawada,218,188,2,0,
2020-06-25,Bihar,Nawada,229,192,2,0,
2020-06-26,Bihar,Nawada,240,192,2,0,
2020-06-27,Bihar,Nawada,253,196,2,0,
2020-06-28,Bihar,Nawada,258,209,3,0,
2020-06-29,Bihar,Nawada,286,213,3,0,
2020-06-30,Bihar,Nawada,306,213,3,0,
2020-07-01,Bihar,Nawada,312,213,3,0,
2020-07-02,Bihar,Nawada,327,213,3,0,
2020-07-03,Bihar,Nawada,333,223,3,0,5684.0
2020-07-04,Bihar,Nawada,339,272,3,0,5744.0
2020-07-05,Bihar,Nawada,360,276,3,0,5744.0
2020-07-06,Bihar,Nawada,364,276,3,0,5866.0
2020-07-07,Bihar,Nawada,371,287,3,0,5866.0
2020-07-08,Bihar,Nawada,407,302,3,0,6213.0
2020-07-09,Bihar,Nawada,414,308,3,0,6478.0
2020-07-10,Bihar,Nawada,415,308,3,0,6738.0
2020-07-11,Bihar,Nawada,484,314,3,0,6738.0
2020-07-12,Bihar,Nawada,560,391,3,0,6738.0
2020-07-13,Bihar,Nawada,567,391,3,0,6843.0
2020-07-14,Bihar,Nawada,659,415,3,0,7041.0
2020-07-15,Bihar,Nawada,711,419,4,0,7041.0
2020-07-16,Bihar,Nawada,726,436,4,0,7041.0
2020-07-17,Bihar,Nawada,799,495,4,0,7041.0
2020-07-18,Bihar,Nawada,839,581,4,0,7041.0
2020-07-19,Bihar,Nawada,844,591,4,0,7041.0
