Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Bihar,Patna,33,5,0,0,
2020-04-27,Bihar,Patna,39,5,0,0,
2020-04-28,Bihar,Patna,39,5,0,0,
2020-04-29,Bihar,Patna,42,5,0,0,
2020-04-30,Bihar,Patna,44,6,0,0,
2020-05-01,Bihar,Patna,44,6,0,0,
2020-05-02,Bihar,Patna,44,12,0,0,
2020-05-03,Bihar,Patna,44,13,0,0,
2020-05-04,Bihar,Patna,44,13,0,0,
2020-05-05,Bihar,Patna,44,13,0,0,
2020-05-06,Bihar,Patna,46,13,0,0,
2020-05-07,Bihar,Patna,47,18,0,0,
2020-05-08,Bihar,Patna,52,20,0,0,
2020-05-09,Bihar,Patna,52,21,0,0,
2020-05-10,Bihar,Patna,61,23,1,0,
2020-05-11,Bihar,Patna,72,35,1,0,
2020-05-12,Bihar,Patna,90,36,1,0,
2020-05-13,Bihar,Patna,99,35,2,0,
2020-05-14,Bihar,Patna,99,36,2,0,
2020-05-15,Bihar,Patna,100,42,2,0,
2020-05-16,Bihar,Patna,106,42,2,0,
2020-05-17,Bihar,Patna,164,42,2,0,
2020-05-18,Bihar,Patna,165,42,2,0,
2020-05-19,Bihar,Patna,167,42,2,0,
2020-05-20,Bihar,Patna,167,46,2,0,
2020-05-21,Bihar,Patna,168,46,2,0,
2020-05-22,Bihar,Patna,186,52,2,0,
2020-05-23,Bihar,Patna,196,52,2,0,
2020-05-24,Bihar,Patna,200,52,2,0,
2020-05-25,Bihar,Patna,211,70,2,0,
2020-05-26,Bihar,Patna,217,74,2,0,
2020-05-27,Bihar,Patna,218,74,2,0,
2020-05-28,Bihar,Patna,232,74,2,0,
2020-05-29,Bihar,Patna,237,76,2,0,
2020-05-30,Bihar,Patna,240,81,2,0,
2020-05-31,Bihar,Patna,251,102,2,0,
2020-06-01,Bihar,Patna,254,137,2,0,
2020-06-02,Bihar,Patna,261,155,2,0,
2020-06-03,Bihar,Patna,263,170,2,0,
2020-06-04,Bihar,Patna,268,179,2,0,
2020-06-05,Bihar,Patna,268,180,2,0,
2020-06-06,Bihar,Patna,273,183,2,0,
2020-06-07,Bihar,Patna,279,187,2,0,
2020-06-08,Bihar,Patna,288,195,2,0,
2020-06-09,Bihar,Patna,292,196,2,0,
2020-06-10,Bihar,Patna,294,181,2,0,
2020-06-11,Bihar,Patna,297,182,2,0,
2020-06-12,Bihar,Patna,302,193,2,0,
2020-06-13,Bihar,Patna,317,198,2,0,
2020-06-14,Bihar,Patna,329,200,2,0,
2020-06-15,Bihar,Patna,330,204,2,0,
2020-06-16,Bihar,Patna,336,212,2,0,
2020-06-17,Bihar,Patna,344,215,2,0,
