Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-27,Bihar,Purnia,1,0,0,0,
2020-04-28,Bihar,Purnia,1,0,0,0,
2020-04-29,Bihar,Purnia,1,0,0,0,
2020-04-30,Bihar,Purnia,1,0,0,0,
2020-05-01,Bihar,Purnia,1,0,0,0,
2020-05-02,Bihar,Purnia,1,0,0,0,
2020-05-03,Bihar,Purnia,1,0,0,0,
2020-05-04,Bihar,Purnia,1,0,0,0,
2020-05-05,Bihar,Purnia,1,0,0,0,
2020-05-06,Bihar,Purnia,2,0,0,0,
2020-05-07,Bihar,Purnia,2,0,0,0,
2020-05-08,Bihar,Purnia,2,0,0,0,
2020-05-09,Bihar,Purnia,2,0,0,0,
2020-05-10,Bihar,Purnia,2,0,0,0,
2020-05-11,Bihar,Purnia,3,0,0,0,
2020-05-12,Bihar,Purnia,4,0,0,0,
2020-05-13,Bihar,Purnia,4,0,0,0,
2020-05-14,Bihar,Purnia,12,0,0,0,
2020-05-15,Bihar,Purnia,12,0,0,0,
2020-05-16,Bihar,Purnia,29,0,0,0,
2020-05-17,Bihar,Purnia,30,0,0,0,
2020-05-18,Bihar,Purnia,31,2,0,0,
2020-05-19,Bihar,Purnia,31,2,0,0,
2020-05-20,Bihar,Purnia,31,2,0,0,
2020-05-21,Bihar,Purnia,38,2,0,0,
2020-05-22,Bihar,Purnia,36,2,0,0,
2020-05-23,Bihar,Purnia,36,2,0,0,
2020-05-24,Bihar,Purnia,45,2,0,0,
2020-05-25,Bihar,Purnia,45,2,0,0,
2020-05-26,Bihar,Purnia,45,2,0,0,
2020-05-27,Bihar,Purnia,47,7,0,0,
2020-05-28,Bihar,Purnia,59,7,0,0,
2020-05-29,Bihar,Purnia,72,10,0,0,1097.0
2020-05-30,Bihar,Purnia,72,10,0,0,1097.0
2020-05-31,Bihar,Purnia,85,10,0,0,1097.0
2020-06-01,Bihar,Purnia,86,16,0,0,1097.0
2020-06-02,Bihar,Purnia,105,16,0,0,1289.0
2020-06-03,Bihar,Purnia,105,36,0,0,1289.0
2020-06-04,Bihar,Purnia,118,36,0,0,1451.0
2020-06-05,Bihar,Purnia,120,36,0,0,1538.0
2020-06-06,Bihar,Purnia,136,36,0,0,1697.0
2020-06-07,Bihar,Purnia,140,50,0,0,1786.0
2020-06-08,Bihar,Purnia,149,50,0,0,1786.0
2020-06-09,Bihar,Purnia,149,56,0,0,2132.0
2020-06-10,Bihar,Purnia,204,56,0,0,2207.0
2020-06-11,Bihar,Purnia,206,56,0,0,2378.0
2020-06-12,Bihar,Purnia,207,73,0,0,2529.0
2020-06-13,Bihar,Purnia,220,78,0,0,2740.0
2020-06-14,Bihar,Purnia,220,79,0,0,2861.0
2020-06-15,Bihar,Purnia,242,120,0,0,3007.0
2020-06-16,Bihar,Purnia,245,177,0,0,3182.0
2020-06-17,Bihar,Purnia,245,179,0,0,3182.0
2020-06-18,Bihar,Purnia,245,180,0,0,3418.0
2020-06-19,Bihar,Purnia,251,180,0,0,3638.0
2020-06-20,Bihar,Purnia,255,208,0,0,3638.0
2020-06-21,Bihar,Purnia,262,209,0,0,3874.0
2020-06-22,Bihar,Purnia,266,209,0,0,4123.0
2020-06-23,Bihar,Purnia,268,216,0,0,4383.0
2020-06-24,Bihar,Purnia,270,222,0,0,4667.0
2020-06-25,Bihar,Purnia,284,222,0,0,4667.0
2020-06-26,Bihar,Purnia,287,253,0,0,5124.0
2020-06-27,Bihar,Purnia,288,258,0,0,5318.0
2020-06-28,Bihar,Purnia,290,258,0,0,5318.0
2020-06-29,Bihar,Purnia,295,258,0,0,5657.0
2020-06-30,Bihar,Purnia,297,266,0,0,6172.0
2020-07-01,Bihar,Purnia,301,266,0,0,6433.0
2020-07-02,Bihar,Purnia,303,277,0,0,7715.0
2020-07-03,Bihar,Purnia,310,277,0,0,6938.0
2020-07-04,Bihar,Purnia,310,277,0,0,7213.0
2020-07-05,Bihar,Purnia,310,278,0,0,7284.0
2020-07-06,Bihar,Purnia,313,278,0,0,7396.0
2020-07-07,Bihar,Purnia,317,279,0,0,7577.0
2020-07-08,Bihar,Purnia,339,279,0,0,7926.0
2020-07-09,Bihar,Purnia,343,287,0,0,7926.0
2020-07-10,Bihar,Purnia,345,287,0,0,8104.0
2020-07-11,Bihar,Purnia,363,319,0,0,8329.0
2020-07-12,Bihar,Purnia,370,321,0,0,8772.0
2020-07-13,Bihar,Purnia,378,321,0,0,9107.0
2020-07-14,Bihar,Purnia,384,349,1,0,9228.0
2020-07-15,Bihar,Purnia,408,365,1,0,9529.0
2020-07-16,Bihar,Purnia,432,371,2,0,9854.0
2020-07-17,Bihar,Purnia,464,377,2,0,10217.0
2020-07-18,Bihar,Purnia,489,382,2,0,10518.0
2020-07-19,Bihar,Purnia,518,411,2,0,10518.0
