Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-03,Bihar,Sheohar,1,0,0,0,
2020-05-04,Bihar,Sheohar,1,0,0,0,
2020-05-05,Bihar,Sheohar,1,0,0,0,
2020-05-06,Bihar,Sheohar,2,0,0,0,
2020-05-07,Bihar,Sheohar,3,0,0,0,
2020-05-08,Bihar,Sheohar,3,0,0,0,
2020-05-09,Bihar,Sheohar,3,0,0,0,
2020-05-10,Bihar,Sheohar,3,0,0,0,
2020-05-11,Bihar,Sheohar,3,0,0,0,
2020-05-12,Bihar,Sheohar,3,0,0,0,
2020-05-13,Bihar,Sheohar,3,0,0,0,
2020-05-14,Bihar,Sheohar,3,0,0,0,
2020-05-15,Bihar,Sheohar,3,0,0,0,
2020-05-16,Bihar,Sheohar,4,0,0,0,
2020-05-17,Bihar,Sheohar,4,0,0,0,
2020-05-18,Bihar,Sheohar,5,3,0,0,
2020-05-19,Bihar,Sheohar,5,3,0,0,
2020-05-20,Bihar,Sheohar,5,3,0,0,
2020-05-21,Bihar,Sheohar,5,3,0,0,
2020-05-22,Bihar,Sheohar,6,2,0,0,
2020-05-23,Bihar,Sheohar,6,2,0,0,
2020-05-24,Bihar,Sheohar,6,2,0,0,
2020-05-25,Bihar,Sheohar,6,3,0,0,
2020-05-26,Bihar,Sheohar,7,2,0,0,
2020-05-27,Bihar,Sheohar,7,2,0,0,
2020-05-28,Bihar,Sheohar,7,2,0,0,
2020-05-29,Bihar,Sheohar,7,4,0,0,
2020-05-30,Bihar,Sheohar,9,8,0,0,
2020-05-31,Bihar,Sheohar,9,8,0,0,
2020-06-01,Bihar,Sheohar,9,8,0,0,
2020-06-02,Bihar,Sheohar,10,8,0,0,
2020-06-03,Bihar,Sheohar,14,8,0,0,
2020-06-04,Bihar,Sheohar,14,9,1,0,
2020-06-05,Bihar,Sheohar,21,9,1,0,
2020-06-06,Bihar,Sheohar,24,9,1,0,
2020-06-07,Bihar,Sheohar,24,9,1,0,
2020-06-08,Bihar,Sheohar,24,9,1,0,
2020-06-09,Bihar,Sheohar,24,9,1,0,
2020-06-10,Bihar,Sheohar,28,7,1,0,
2020-06-11,Bihar,Sheohar,28,7,1,0,
2020-06-12,Bihar,Sheohar,28,7,1,0,
2020-06-13,Bihar,Sheohar,53,7,1,0,
2020-06-14,Bihar,Sheohar,69,7,1,0,
2020-06-15,Bihar,Sheohar,70,8,1,0,
2020-06-16,Bihar,Sheohar,71,8,1,0,
2020-06-17,Bihar,Sheohar,72,8,1,0,
2020-06-18,Bihar,Sheohar,72,8,1,0,
2020-06-19,Bihar,Sheohar,74,26,1,0,
2020-06-20,Bihar,Sheohar,74,51,1,0,
2020-06-21,Bihar,Sheohar,74,66,1,0,
2020-06-22,Bihar,Sheohar,74,66,1,0,
2020-06-23,Bihar,Sheohar,78,69,1,0,
2020-06-24,Bihar,Sheohar,78,69,1,0,
2020-06-25,Bihar,Sheohar,78,72,1,0,
2020-06-26,Bihar,Sheohar,78,73,1,0,
2020-06-27,Bihar,Sheohar,80,73,1,0,
2020-06-28,Bihar,Sheohar,81,77,1,0,
2020-06-29,Bihar,Sheohar,91,77,1,0,
2020-06-30,Bihar,Sheohar,91,77,1,0,
2020-07-01,Bihar,Sheohar,92,77,1,0,
2020-07-02,Bihar,Sheohar,93,77,1,0,
2020-07-03,Bihar,Sheohar,96,78,1,0,
2020-07-04,Bihar,Sheohar,96,78,1,0,
2020-07-05,Bihar,Sheohar,99,83,1,0,
2020-07-06,Bihar,Sheohar,101,83,1,0,
2020-07-07,Bihar,Sheohar,101,91,1,0,
2020-07-08,Bihar,Sheohar,103,91,1,0,
