Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-08,Bihar,Supaul,1,0,0,0,
2020-05-09,Bihar,Supaul,1,0,0,0,
2020-05-10,Bihar,Supaul,1,0,0,0,
2020-05-11,Bihar,Supaul,3,0,0,0,
2020-05-12,Bihar,Supaul,4,0,0,0,
2020-05-13,Bihar,Supaul,7,0,0,0,
2020-05-14,Bihar,Supaul,9,0,0,0,
2020-05-15,Bihar,Supaul,11,0,0,0,
2020-05-16,Bihar,Supaul,11,0,0,0,
2020-05-17,Bihar,Supaul,14,0,0,0,
2020-05-18,Bihar,Supaul,21,0,0,0,
2020-05-19,Bihar,Supaul,25,0,0,0,
2020-05-20,Bihar,Supaul,27,0,0,0,
2020-05-21,Bihar,Supaul,29,0,0,0,
2020-05-22,Bihar,Supaul,29,0,0,0,
2020-05-23,Bihar,Supaul,44,1,0,0,
2020-05-24,Bihar,Supaul,46,1,0,0,
2020-05-25,Bihar,Supaul,49,1,0,0,
2020-05-26,Bihar,Supaul,57,3,0,0,
2020-05-27,Bihar,Supaul,57,8,0,0,
2020-05-28,Bihar,Supaul,60,12,0,0,
2020-05-29,Bihar,Supaul,60,24,0,0,
2020-05-30,Bihar,Supaul,60,24,0,0,
2020-05-31,Bihar,Supaul,73,24,0,0,
2020-06-01,Bihar,Supaul,81,24,0,0,
2020-06-02,Bihar,Supaul,83,24,0,0,
2020-06-03,Bihar,Supaul,83,33,0,0,
2020-06-04,Bihar,Supaul,90,33,0,0,
2020-06-05,Bihar,Supaul,90,39,0,0,
2020-06-06,Bihar,Supaul,118,39,0,0,
2020-06-07,Bihar,Supaul,154,44,0,0,
2020-06-08,Bihar,Supaul,160,44,0,0,
2020-06-09,Bihar,Supaul,168,47,0,0,
2020-06-10,Bihar,Supaul,168,49,0,0,
2020-06-11,Bihar,Supaul,169,49,0,0,
2020-06-12,Bihar,Supaul,169,49,0,0,
2020-06-13,Bihar,Supaul,172,91,0,0,
2020-06-14,Bihar,Supaul,172,115,0,0,
2020-06-15,Bihar,Supaul,177,148,0,0,
2020-06-16,Bihar,Supaul,182,149,0,0,
2020-06-17,Bihar,Supaul,182,152,0,0,
2020-06-18,Bihar,Supaul,182,153,0,0,
2020-06-19,Bihar,Supaul,182,157,0,0,
2020-06-20,Bihar,Supaul,197,165,0,0,
2020-06-21,Bihar,Supaul,197,166,0,0,
2020-06-22,Bihar,Supaul,202,167,0,0,
2020-06-23,Bihar,Supaul,206,179,0,0,
2020-06-24,Bihar,Supaul,210,179,0,0,
2020-06-25,Bihar,Supaul,222,180,0,0,
2020-06-26,Bihar,Supaul,224,198,0,0,
2020-06-27,Bihar,Supaul,228,203,0,0,
2020-06-28,Bihar,Supaul,235,207,0,0,
2020-06-29,Bihar,Supaul,236,208,0,0,
2020-06-30,Bihar,Supaul,250,210,0,0,
2020-07-01,Bihar,Supaul,265,220,0,0,
2020-07-02,Bihar,Supaul,268,225,0,0,
2020-07-03,Bihar,Supaul,272,233,0,0,
2020-07-04,Bihar,Supaul,272,241,0,0,
2020-07-05,Bihar,Supaul,275,248,0,0,
2020-07-06,Bihar,Supaul,285,262,0,0,
2020-07-07,Bihar,Supaul,306,265,0,0,
2020-07-08,Bihar,Supaul,319,280,0,0,
2020-07-09,Bihar,Supaul,326,288,0,0,
2020-07-10,Bihar,Supaul,345,290,0,0,
2020-07-11,Bihar,Supaul,357,290,0,0,
2020-07-12,Bihar,Supaul,367,297,0,0,
2020-07-13,Bihar,Supaul,370,309,0,0,
2020-07-14,Bihar,Supaul,390,311,0,0,
2020-07-15,Bihar,Supaul,398,324,0,0,
2020-07-16,Bihar,Supaul,414,344,0,0,
2020-07-17,Bihar,Supaul,437,360,0,0,
2020-07-18,Bihar,Supaul,459,366,0,0,
2020-07-19,Bihar,Supaul,493,379,0,0,
2020-07-20,Bihar,Supaul,516,383,0,0,
2020-07-21,Bihar,Supaul,524,391,0,0,8426.0
2020-07-22,Bihar,Supaul,540,401,0,0,8630.0
2020-07-23,Bihar,Supaul,540,402,0,0,8630.0
2020-07-24,Bihar,Supaul,541,425,1,0,8876.0
2020-07-25,Bihar,Supaul,586,448,1,0,9133.0
2020-07-26,Bihar,Supaul,646,465,1,0,9388.0
2020-07-27,Bihar,Supaul,724,485,1,0,9643.0
2020-07-28,Bihar,Supaul,758,519,1,0,9643.0
2020-07-29,Bihar,Supaul,788,542,1,0,10225.0
2020-07-30,Bihar,Supaul,845,558,1,0,10863.0
2020-07-31,Bihar,Supaul,925,621,1,0,10863.0
2020-08-01,Bihar,Supaul,970,644,1,0,12528.0
2020-08-02,Bihar,Supaul,1021,667,2,0,13234.0
2020-08-03,Bihar,Supaul,1078,686,2,0,14198.0
2020-08-04,Bihar,Supaul,1142,719,2,0,15218.0
2020-08-05,Bihar,Supaul,1205,746,2,0,16330.0
2020-08-06,Bihar,Supaul,1238,777,2,0,17537.0
2020-08-07,Bihar,Supaul,1313,814,2,0,17537.0
2020-08-08,Bihar,Supaul,1402,851,3,0,22867.0
2020-08-09,Bihar,Supaul,1449,890,3,0,25845.0
2020-08-10,Bihar,Supaul,1516,946,4,0,25845.0
2020-08-11,Bihar,Supaul,1592,1002,5,0,30615.0
2020-08-12,Bihar,Supaul,1649,1041,6,0,32353.0
2020-08-13,Bihar,Supaul,1713,1106,6,0,33744.0
2020-08-14,Bihar,Supaul,1754,1158,6,0,33744.0
2020-08-15,Bihar,Supaul,1823,1224,7,0,33744.0
2020-08-16,Bihar,Supaul,1857,1262,7,0,31881.0
2020-08-17,Bihar,Supaul,1893,1344,7,0,39469.0
2020-08-18,Bihar,Supaul,1928,1443,7,0,40792.0
2020-08-19,Bihar,Supaul,1974,1512,7,0,42895.0
2020-08-20,Bihar,Supaul,2001,1572,7,0,42895.0
2020-08-21,Bihar,Supaul,2024,1649,7,0,45904.0
2020-08-22,Bihar,Supaul,2073,1706,7,0,47697.0
2020-08-23,Bihar,Supaul,2129,1761,7,0,49652.0
2020-08-24,Bihar,Supaul,2157,1797,7,0,51163.0
2020-08-25,Bihar,Supaul,2186,1859,7,0,52171.0
2020-08-26,Bihar,Supaul,2235,1897,7,0,54252.0
2020-08-27,Bihar,Supaul,2296,1925,7,0,56647.0
2020-08-28,Bihar,Supaul,2332,1960,7,0,58822.0
2020-08-29,Bihar,Supaul,2383,1994,7,0,61184.0
2020-08-30,Bihar,Supaul,2425,2024,7,0,63306.0
2020-08-31,Bihar,Supaul,2456,2062,7,0,66255.0
2020-09-01,Bihar,Supaul,2533,2111,7,0,69296.0
2020-09-02,Bihar,Supaul,2568,2160,7,0,72268.0
2020-09-03,Bihar,Supaul,2628,2197,7,0,75020.0
