Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Bihar,Vaishali,2,0,1,0,
2020-04-27,Bihar,Vaishali,2,0,1,0,
2020-04-28,Bihar,Vaishali,2,0,1,0,
2020-04-29,Bihar,Vaishali,3,0,1,0,
2020-04-30,Bihar,Vaishali,3,0,1,0,
2020-05-01,Bihar,Vaishali,3,0,1,0,
2020-05-02,Bihar,Vaishali,3,0,1,0,
2020-05-03,Bihar,Vaishali,3,1,1,0,
2020-05-04,Bihar,Vaishali,3,1,1,0,
2020-05-05,Bihar,Vaishali,3,1,1,0,
2020-05-06,Bihar,Vaishali,3,1,1,0,
2020-05-07,Bihar,Vaishali,3,2,1,0,
2020-05-08,Bihar,Vaishali,3,2,1,0,
2020-05-09,Bihar,Vaishali,4,2,1,0,
2020-05-10,Bihar,Vaishali,4,2,1,0,
2020-05-11,Bihar,Vaishali,4,2,1,0,
2020-05-12,Bihar,Vaishali,4,2,1,0,
2020-05-13,Bihar,Vaishali,4,2,1,0,
2020-05-14,Bihar,Vaishali,6,2,1,0,
2020-05-15,Bihar,Vaishali,8,2,1,0,
2020-05-16,Bihar,Vaishali,11,2,1,0,
2020-05-17,Bihar,Vaishali,11,2,1,0,
2020-05-18,Bihar,Vaishali,15,2,2,0,
2020-05-19,Bihar,Vaishali,15,2,2,0,
2020-05-20,Bihar,Vaishali,15,2,2,0,
2020-05-21,Bihar,Vaishali,19,2,2,0,
2020-05-22,Bihar,Vaishali,25,2,2,0,
2020-05-23,Bihar,Vaishali,49,2,2,0,
2020-05-24,Bihar,Vaishali,49,2,2,0,
2020-05-25,Bihar,Vaishali,58,4,2,0,
2020-05-26,Bihar,Vaishali,59,6,2,0,
2020-05-27,Bihar,Vaishali,60,11,2,0,
2020-05-28,Bihar,Vaishali,64,11,2,0,
2020-05-29,Bihar,Vaishali,65,11,2,0,
2020-05-30,Bihar,Vaishali,66,11,2,0,
2020-05-31,Bihar,Vaishali,66,27,2,0,
2020-06-01,Bihar,Vaishali,69,28,2,0,
2020-06-02,Bihar,Vaishali,72,28,2,0,
2020-06-03,Bihar,Vaishali,73,28,2,0,
2020-06-04,Bihar,Vaishali,85,28,2,0,
2020-06-05,Bihar,Vaishali,85,38,2,0,
2020-06-06,Bihar,Vaishali,90,38,2,0,
2020-06-07,Bihar,Vaishali,92,49,2,0,
2020-06-08,Bihar,Vaishali,97,49,2,0,
2020-06-09,Bihar,Vaishali,100,49,2,0,
2020-06-10,Bihar,Vaishali,104,57,2,0,
2020-06-11,Bihar,Vaishali,104,60,2,0,
2020-06-12,Bihar,Vaishali,104,66,2,0,
2020-06-13,Bihar,Vaishali,104,77,2,0,
2020-06-14,Bihar,Vaishali,114,78,3,0,
2020-06-15,Bihar,Vaishali,116,83,3,0,
2020-06-16,Bihar,Vaishali,117,86,3,0,
2020-06-17,Bihar,Vaishali,118,86,3,0,
2020-06-18,Bihar,Vaishali,123,97,3,0,
2020-06-19,Bihar,Vaishali,126,97,3,0,
2020-06-20,Bihar,Vaishali,126,97,3,0,
2020-06-21,Bihar,Vaishali,127,100,3,0,
2020-06-22,Bihar,Vaishali,134,100,3,0,
2020-06-23,Bihar,Vaishali,139,102,3,0,
2020-06-24,Bihar,Vaishali,139,102,3,0,
2020-06-25,Bihar,Vaishali,140,103,3,0,
2020-06-26,Bihar,Vaishali,140,112,3,0,
2020-06-27,Bihar,Vaishali,144,113,3,0,
2020-06-28,Bihar,Vaishali,157,115,3,0,
2020-06-29,Bihar,Vaishali,160,121,3,0,
2020-06-30,Bihar,Vaishali,188,121,3,0,
2020-07-01,Bihar,Vaishali,188,124,3,0,
2020-07-02,Bihar,Vaishali,211,127,3,0,
2020-07-03,Bihar,Vaishali,211,136,3,0,
2020-07-04,Bihar,Vaishali,216,140,3,0,
2020-07-05,Bihar,Vaishali,245,141,3,0,
2020-07-06,Bihar,Vaishali,245,156,3,0,
2020-07-07,Bihar,Vaishali,247,174,3,0,
2020-07-08,Bihar,Vaishali,250,175,3,0,
2020-07-09,Bihar,Vaishali,323,180,4,0,
2020-07-10,Bihar,Vaishali,323,199,4,0,
2020-07-11,Bihar,Vaishali,340,211,4,0,
2020-07-12,Bihar,Vaishali,376,239,4,0,
2020-07-13,Bihar,Vaishali,382,253,4,0,
2020-07-14,Bihar,Vaishali,393,255,4,0,
2020-07-15,Bihar,Vaishali,418,255,4,0,
2020-07-16,Bihar,Vaishali,448,257,4,0,
2020-07-17,Bihar,Vaishali,469,333,4,0,
2020-07-18,Bihar,Vaishali,491,334,4,0,
2020-07-19,Bihar,Vaishali,527,359,4,0,
2020-07-20,Bihar,Vaishali,551,397,5,1,
2020-07-21,Bihar,Vaishali,627,414,5,1,10074.0
2020-07-22,Bihar,Vaishali,677,425,5,1,10845.0
2020-07-23,Bihar,Vaishali,679,437,5,1,11135.0
2020-07-24,Bihar,Vaishali,737,494,5,1,11515.0
2020-07-25,Bihar,Vaishali,861,522,5,1,11829.0
2020-07-26,Bihar,Vaishali,935,543,5,1,11829.0
2020-07-27,Bihar,Vaishali,966,566,5,1,12282.0
2020-07-28,Bihar,Vaishali,1053,623,5,1,12282.0
2020-07-29,Bihar,Vaishali,1107,649,5,1,12807.0
2020-07-30,Bihar,Vaishali,1178,700,6,1,13118.0
2020-07-31,Bihar,Vaishali,1301,765,7,1,13118.0
2020-08-01,Bihar,Vaishali,1384,847,7,1,14192.0
2020-08-02,Bihar,Vaishali,1515,859,7,1,14192.0
2020-08-03,Bihar,Vaishali,1630,915,8,1,16398.0
2020-08-04,Bihar,Vaishali,1715,979,8,1,19024.0
2020-08-05,Bihar,Vaishali,1819,1043,9,1,19024.0
2020-08-06,Bihar,Vaishali,1982,1078,9,1,19024.0
2020-08-07,Bihar,Vaishali,2107,1145,11,1,23571.0
2020-08-08,Bihar,Vaishali,2267,1176,13,1,26392.0
2020-08-09,Bihar,Vaishali,2399,1236,13,1,26392.0
2020-08-10,Bihar,Vaishali,2548,1336,14,1,26392.0
2020-08-11,Bihar,Vaishali,2651,1446,17,1,34544.0
2020-08-12,Bihar,Vaishali,2748,1518,17,1,37480.0
2020-08-13,Bihar,Vaishali,2798,1666,18,1,40360.0
2020-08-14,Bihar,Vaishali,2853,1782,21,1,40360.0
2020-08-15,Bihar,Vaishali,2904,1917,21,1,40360.0
2020-08-16,Bihar,Vaishali,2961,2052,21,1,46289.0
2020-08-17,Bihar,Vaishali,2991,2243,21,1,46289.0
2020-08-18,Bihar,Vaishali,3033,2402,21,1,46289.0
2020-08-19,Bihar,Vaishali,3070,2526,21,1,54969.0
2020-08-20,Bihar,Vaishali,3103,2621,22,1,54969.0
2020-08-21,Bihar,Vaishali,3137,2709,22,1,60615.0
2020-08-22,Bihar,Vaishali,3170,2762,24,1,63441.0
2020-08-23,Bihar,Vaishali,3211,2806,24,1,63441.0
2020-08-24,Bihar,Vaishali,3232,2878,24,1,63441.0
2020-08-25,Bihar,Vaishali,3263,2928,24,1,63441.0
2020-08-26,Bihar,Vaishali,3311,2959,24,1,73028.0
2020-08-27,Bihar,Vaishali,3335,2986,24,1,73028.0
2020-08-28,Bihar,Vaishali,3376,3031,24,1,78790.0
2020-08-29,Bihar,Vaishali,3426,3072,25,1,81679.0
2020-08-30,Bihar,Vaishali,3452,3103,25,1,81679.0
2020-08-31,Bihar,Vaishali,3482,3138,25,1,87678.0
2020-09-01,Bihar,Vaishali,3507,3163,25,1,87678.0
2020-09-02,Bihar,Vaishali,3525,3203,25,1,93131.0
2020-09-03,Bihar,Vaishali,3538,3244,26,1,95554.0
2020-09-04,Bihar,Vaishali,3562,3269,27,1,99530.0
2020-09-05,Bihar,Vaishali,3585,3304,27,1,102663.0
2020-09-06,Bihar,Vaishali,3607,3327,27,1,105302.0
2020-09-07,Bihar,Vaishali,3642,3371,27,1,108432.0
2020-09-08,Bihar,Vaishali,3673,3411,27,1,112379.0
2020-09-09,Bihar,Vaishali,3690,3434,27,1,116166.0
2020-09-10,Bihar,Vaishali,3719,3467,27,1,120275.0
2020-09-11,Bihar,Vaishali,3743,3486,27,1,123862.0
2020-09-12,Bihar,Vaishali,3760,3509,27,1,127447.0
2020-09-13,Bihar,Vaishali,3799,3528,27,1,131265.0
2020-09-14,Bihar,Vaishali,3808,3554,27,1,131265.0
2020-09-15,Bihar,Vaishali,3833,3590,27,1,137827.0
2020-09-16,Bihar,Vaishali,3857,3616,28,1,141113.0
2020-09-17,Bihar,Vaishali,3883,3630,28,1,141113.0
2020-09-18,Bihar,Vaishali,3900,3671,28,1,144223.0
2020-09-19,Bihar,Vaishali,3932,3685,28,1,147333.0
2020-09-20,Bihar,Vaishali,3963,3714,28,1,150657.0
