Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-17,Chhattisgarh,Baloda Bazar,6,0,0,0,
2020-05-18,Chhattisgarh,Baloda Bazar,6,0,0,0,
2020-05-19,Chhattisgarh,Baloda Bazar,6,0,0,0,916.0
2020-05-20,Chhattisgarh,Baloda Bazar,8,0,0,0,916.0
2020-05-21,Chhattisgarh,Baloda Bazar,8,0,0,0,1382.0
2020-05-22,Chhattisgarh,Baloda Bazar,12,0,0,0,1382.0
2020-05-23,Chhattisgarh,Baloda Bazar,15,0,0,0,1701.0
2020-05-24,Chhattisgarh,Baloda Bazar,19,0,0,0,1701.0
2020-05-25,Chhattisgarh,Baloda Bazar,19,0,0,0,1949.0
2020-05-26,Chhattisgarh,Baloda Bazar,19,2,0,0,2097.0
2020-05-27,Chhattisgarh,Baloda Bazar,20,4,0,0,2169.0
2020-05-28,Chhattisgarh,Baloda Bazar,20,4,0,0,2171.0
2020-05-29,Chhattisgarh,Baloda Bazar,20,6,0,0,2174.0
2020-05-30,Chhattisgarh,Baloda Bazar,20,6,0,0,2174.0
2020-05-31,Chhattisgarh,Baloda Bazar,20,7,0,0,2174.0
2020-06-01,Chhattisgarh,Baloda Bazar,20,7,0,0,2483.0
2020-06-02,Chhattisgarh,Baloda Bazar,23,7,0,0,2486.0
2020-06-03,Chhattisgarh,Baloda Bazar,59,7,0,0,2533.0
2020-06-04,Chhattisgarh,Baloda Bazar,66,7,0,0,2542.0
2020-06-05,Chhattisgarh,Baloda Bazar,81,12,0,0,2563.0
2020-06-06,Chhattisgarh,Baloda Bazar,96,13,0,0,2588.0
2020-06-07,Chhattisgarh,Baloda Bazar,102,13,0,0,2630.0
2020-06-08,Chhattisgarh,Baloda Bazar,117,14,0,0,2774.0
2020-06-09,Chhattisgarh,Baloda Bazar,120,14,0,0,2982.0
2020-06-10,Chhattisgarh,Baloda Bazar,120,14,0,0,3148.0
2020-06-11,Chhattisgarh,Baloda Bazar,120,15,0,0,3180.0
