Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Chhattisgarh,Bastar,0,0,0,0,3873.0
2020-05-20,Chhattisgarh,Bastar,0,0,0,0,3873.0
2020-05-21,Chhattisgarh,Bastar,0,0,0,0,3990.0
2020-05-22,Chhattisgarh,Bastar,0,0,0,0,3990.0
2020-05-23,Chhattisgarh,Bastar,0,0,0,0,4522.0
2020-05-24,Chhattisgarh,Bastar,0,0,0,0,4522.0
2020-05-25,Chhattisgarh,Bastar,0,0,0,0,4522.0
2020-05-26,Chhattisgarh,Bastar,0,0,0,0,4522.0
2020-05-27,Chhattisgarh,Bastar,0,0,0,0,4522.0
2020-05-28,Chhattisgarh,Bastar,1,0,0,0,4522.0
2020-05-29,Chhattisgarh,Bastar,2,0,0,0,4522.0
2020-05-30,Chhattisgarh,Bastar,2,0,0,0,4522.0
2020-05-31,Chhattisgarh,Bastar,2,0,0,0,4522.0
2020-06-01,Chhattisgarh,Bastar,2,0,0,0,4522.0
2020-06-02,Chhattisgarh,Bastar,3,0,0,0,4522.0
2020-06-03,Chhattisgarh,Bastar,3,0,0,0,4522.0
2020-06-04,Chhattisgarh,Bastar,3,0,0,0,4522.0
2020-06-05,Chhattisgarh,Bastar,3,0,0,0,4522.0
2020-06-06,Chhattisgarh,Bastar,3,0,1,0,4522.0
2020-06-07,Chhattisgarh,Bastar,3,0,1,0,4522.0
2020-06-08,Chhattisgarh,Bastar,3,0,1,0,4522.0
2020-06-09,Chhattisgarh,Bastar,3,0,1,0,4522.0
2020-06-10,Chhattisgarh,Bastar,4,0,1,0,4522.0
2020-06-11,Chhattisgarh,Bastar,5,2,1,0,4522.0
2020-06-12,Chhattisgarh,Bastar,5,2,1,0,4522.0
2020-06-13,Chhattisgarh,Bastar,5,2,1,0,4522.0
2020-06-14,Chhattisgarh,Bastar,5,2,1,0,4522.0
2020-06-15,Chhattisgarh,Bastar,5,2,1,0,4522.0
2020-06-16,Chhattisgarh,Bastar,5,2,1,0,4522.0
2020-06-17,Chhattisgarh,Bastar,5,2,1,0,4522.0
2020-06-18,Chhattisgarh,Bastar,5,3,1,0,4522.0
2020-06-19,Chhattisgarh,Bastar,5,3,1,0,4522.0
2020-06-20,Chhattisgarh,Bastar,5,3,1,0,4522.0
2020-06-21,Chhattisgarh,Bastar,5,3,1,0,4522.0
2020-06-22,Chhattisgarh,Bastar,5,3,1,0,4522.0
2020-06-23,Chhattisgarh,Bastar,5,4,1,0,4522.0
2020-06-24,Chhattisgarh,Bastar,5,4,1,0,4522.0
2020-06-25,Chhattisgarh,Bastar,7,4,1,0,4522.0
2020-06-26,Chhattisgarh,Bastar,7,4,1,0,4522.0
2020-06-27,Chhattisgarh,Bastar,7,4,1,0,4522.0
2020-06-28,Chhattisgarh,Bastar,7,4,1,0,4522.0
2020-06-29,Chhattisgarh,Bastar,7,5,1,0,4522.0
2020-06-30,Chhattisgarh,Bastar,7,6,1,0,4522.0
2020-07-01,Chhattisgarh,Bastar,7,6,1,0,4522.0
2020-07-02,Chhattisgarh,Bastar,18,7,1,0,4522.0
2020-07-03,Chhattisgarh,Bastar,21,7,1,0,4522.0
2020-07-04,Chhattisgarh,Bastar,23,7,1,0,4522.0
2020-07-05,Chhattisgarh,Bastar,23,7,1,0,4522.0
2020-07-06,Chhattisgarh,Bastar,40,7,1,0,4522.0
2020-07-07,Chhattisgarh,Bastar,40,7,1,0,4522.0
2020-07-08,Chhattisgarh,Bastar,52,14,1,0,4522.0
2020-07-09,Chhattisgarh,Bastar,52,25,1,0,4522.0
2020-07-10,Chhattisgarh,Bastar,52,25,1,0,4522.0
2020-07-11,Chhattisgarh,Bastar,61,25,1,0,4522.0
2020-07-12,Chhattisgarh,Bastar,64,42,1,0,4522.0
2020-07-13,Chhattisgarh,Bastar,64,44,1,0,4522.0
2020-07-14,Chhattisgarh,Bastar,65,44,1,0,4522.0
2020-07-15,Chhattisgarh,Bastar,65,52,1,0,4522.0
2020-07-16,Chhattisgarh,Bastar,65,61,1,0,4522.0
2020-07-17,Chhattisgarh,Bastar,65,61,1,0,4522.0
2020-07-18,Chhattisgarh,Bastar,76,64,1,0,4522.0
2020-07-19,Chhattisgarh,Bastar,101,68,1,0,4522.0
2020-07-20,Chhattisgarh,Bastar,101,68,1,0,4522.0
2020-07-21,Chhattisgarh,Bastar,102,68,1,0,4522.0
2020-07-22,Chhattisgarh,Bastar,108,74,1,0,4522.0
2020-07-23,Chhattisgarh,Bastar,118,74,1,0,4522.0
2020-07-24,Chhattisgarh,Bastar,136,74,1,0,4522.0
2020-07-25,Chhattisgarh,Bastar,147,74,1,0,4522.0
2020-07-26,Chhattisgarh,Bastar,168,100,1,0,4522.0
2020-07-27,Chhattisgarh,Bastar,170,100,1,0,4522.0
2020-07-28,Chhattisgarh,Bastar,188,100,1,0,4522.0
2020-07-29,Chhattisgarh,Bastar,191,104,1,0,4522.0
2020-07-30,Chhattisgarh,Bastar,192,104,1,0,4522.0
2020-07-31,Chhattisgarh,Bastar,196,126,1,0,4522.0
2020-08-01,Chhattisgarh,Bastar,198,132,1,0,4522.0
2020-08-02,Chhattisgarh,Bastar,199,132,1,0,4522.0
2020-08-03,Chhattisgarh,Bastar,199,149,1,0,4522.0
2020-08-04,Chhattisgarh,Bastar,236,152,1,0,4522.0
2020-08-05,Chhattisgarh,Bastar,254,153,1,0,4522.0
2020-08-06,Chhattisgarh,Bastar,282,155,1,0,4522.0
2020-08-07,Chhattisgarh,Bastar,296,174,1,0,4522.0
2020-08-08,Chhattisgarh,Bastar,308,181,2,0,4522.0
2020-08-09,Chhattisgarh,Bastar,317,185,2,0,4522.0
2020-08-10,Chhattisgarh,Bastar,321,189,2,0,4522.0
2020-08-11,Chhattisgarh,Bastar,328,192,2,0,4522.0
2020-08-12,Chhattisgarh,Bastar,354,209,2,0,4522.0
2020-08-13,Chhattisgarh,Bastar,369,209,2,0,4522.0
2020-08-14,Chhattisgarh,Bastar,391,212,2,0,4522.0
2020-08-15,Chhattisgarh,Bastar,391,220,2,0,4522.0
2020-08-16,Chhattisgarh,Bastar,391,221,2,0,4522.0
2020-08-17,Chhattisgarh,Bastar,394,231,2,0,4522.0
2020-08-18,Chhattisgarh,Bastar,442,234,2,0,4522.0
2020-08-19,Chhattisgarh,Bastar,449,253,2,0,4522.0
2020-08-20,Chhattisgarh,Bastar,455,259,2,0,4522.0
2020-08-21,Chhattisgarh,Bastar,481,266,2,0,4522.0
2020-08-22,Chhattisgarh,Bastar,482,279,2,0,4522.0
2020-08-23,Chhattisgarh,Bastar,499,283,2,0,4522.0
2020-08-24,Chhattisgarh,Bastar,554,304,2,0,4522.0
2020-08-25,Chhattisgarh,Bastar,602,304,2,0,4522.0
2020-08-26,Chhattisgarh,Bastar,625,307,2,0,4522.0
2020-08-27,Chhattisgarh,Bastar,692,313,2,0,4522.0
2020-08-28,Chhattisgarh,Bastar,732,327,2,0,4522.0
2020-08-29,Chhattisgarh,Bastar,791,336,2,0,4522.0
2020-08-30,Chhattisgarh,Bastar,803,337,2,0,4522.0
2020-08-31,Chhattisgarh,Bastar,854,347,2,0,4522.0
2020-09-01,Chhattisgarh,Bastar,896,350,2,0,4522.0
2020-09-02,Chhattisgarh,Bastar,938,360,3,0,4522.0
2020-09-03,Chhattisgarh,Bastar,944,366,3,0,4522.0
2020-09-04,Chhattisgarh,Bastar,997,441,3,0,4522.0
2020-09-05,Chhattisgarh,Bastar,1018,450,4,0,4522.0
2020-09-06,Chhattisgarh,Bastar,1104,488,4,0,4522.0
2020-09-07,Chhattisgarh,Bastar,1113,536,5,0,4522.0
2020-09-08,Chhattisgarh,Bastar,1133,545,5,0,4522.0
2020-09-09,Chhattisgarh,Bastar,1183,580,5,0,4522.0
2020-09-10,Chhattisgarh,Bastar,1253,711,5,0,4522.0
2020-09-11,Chhattisgarh,Bastar,1327,768,5,0,4522.0
2020-09-12,Chhattisgarh,Bastar,1452,808,5,0,4522.0
2020-09-13,Chhattisgarh,Bastar,1464,863,5,0,4522.0
2020-09-14,Chhattisgarh,Bastar,1511,905,5,0,4522.0
2020-09-15,Chhattisgarh,Bastar,1647,960,5,0,4522.0
2020-09-16,Chhattisgarh,Bastar,1647,970,5,0,4522.0
2020-09-17,Chhattisgarh,Bastar,1872,995,5,0,4522.0
2020-09-18,Chhattisgarh,Bastar,2035,1039,6,0,4522.0
2020-09-19,Chhattisgarh,Bastar,2071,1042,6,0,4522.0
2020-09-20,Chhattisgarh,Bastar,2096,1043,6,0,4522.0
2020-09-21,Chhattisgarh,Bastar,2205,1056,6,0,4522.0
2020-09-22,Chhattisgarh,Bastar,2264,1060,6,0,4522.0
2020-09-23,Chhattisgarh,Bastar,2451,1194,6,0,4522.0
2020-09-24,Chhattisgarh,Bastar,2567,1197,6,0,4522.0
2020-09-25,Chhattisgarh,Bastar,2671,1288,6,0,4522.0
2020-09-26,Chhattisgarh,Bastar,2859,1290,8,0,4522.0
2020-09-27,Chhattisgarh,Bastar,2943,1332,17,0,4522.0
2020-09-28,Chhattisgarh,Bastar,3112,1401,17,0,4522.0
2020-09-29,Chhattisgarh,Bastar,3156,1736,18,0,4522.0
2020-09-30,Chhattisgarh,Bastar,3276,1809,19,0,4522.0
2020-10-01,Chhattisgarh,Bastar,3351,2018,19,0,4522.0
2020-10-02,Chhattisgarh,Bastar,3434,2281,19,0,4522.0
2020-10-03,Chhattisgarh,Bastar,3557,2325,19,0,4522.0
2020-10-04,Chhattisgarh,Bastar,3637,2406,19,0,4522.0
2020-10-05,Chhattisgarh,Bastar,3746,2488,19,0,4522.0
2020-10-06,Chhattisgarh,Bastar,3930,2743,19,0,4522.0
2020-10-07,Chhattisgarh,Bastar,4085,3616,22,0,4522.0
2020-10-08,Chhattisgarh,Bastar,4196,3679,22,0,4522.0
2020-10-09,Chhattisgarh,Bastar,4363,3803,22,0,4522.0
2020-10-10,Chhattisgarh,Bastar,4493,3817,22,0,4522.0
2020-10-11,Chhattisgarh,Bastar,4634,4010,22,0,4522.0
2020-10-12,Chhattisgarh,Bastar,4777,4133,22,0,4522.0
2020-10-13,Chhattisgarh,Bastar,4878,4241,22,0,4522.0
2020-10-14,Chhattisgarh,Bastar,5012,4362,22,0,4522.0
2020-10-15,Chhattisgarh,Bastar,5138,4473,22,0,4522.0
2020-10-16,Chhattisgarh,Bastar,5259,4616,22,0,4522.0
2020-10-17,Chhattisgarh,Bastar,5385,4770,22,0,4522.0
2020-10-18,Chhattisgarh,Bastar,5441,4877,22,0,4522.0
2020-10-19,Chhattisgarh,Bastar,5535,5055,22,0,4522.0
2020-10-20,Chhattisgarh,Bastar,5642,5228,22,0,4522.0
2020-10-21,Chhattisgarh,Bastar,5725,5300,22,0,4522.0
2020-10-22,Chhattisgarh,Bastar,5818,5453,22,0,4522.0
2020-10-23,Chhattisgarh,Bastar,5911,5697,22,0,4522.0
2020-10-24,Chhattisgarh,Bastar,6013,5767,22,0,4522.0
2020-10-25,Chhattisgarh,Bastar,6079,5912,22,0,4522.0
2020-10-26,Chhattisgarh,Bastar,6135,6022,22,0,4522.0
2020-10-27,Chhattisgarh,Bastar,6167,6031,22,0,4522.0
2020-10-28,Chhattisgarh,Bastar,6210,6036,22,0,4522.0
2020-10-29,Chhattisgarh,Bastar,6210,6036,22,0,4522.0
