Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Chhattisgarh,Bijapur,0,0,0,0,429.0
2020-05-20,Chhattisgarh,Bijapur,0,0,0,0,429.0
2020-05-21,Chhattisgarh,Bijapur,0,0,0,0,520.0
2020-05-22,Chhattisgarh,Bijapur,0,0,0,0,520.0
2020-05-23,Chhattisgarh,Bijapur,0,0,0,0,573.0
2020-05-24,Chhattisgarh,Bijapur,0,0,0,0,573.0
2020-05-25,Chhattisgarh,Bijapur,0,0,0,0,609.0
2020-05-26,Chhattisgarh,Bijapur,0,0,0,0,670.0
2020-05-27,Chhattisgarh,Bijapur,0,0,0,0,697.0
2020-05-28,Chhattisgarh,Bijapur,0,0,0,0,717.0
2020-05-29,Chhattisgarh,Bijapur,0,0,0,0,745.0
2020-05-30,Chhattisgarh,Bijapur,0,0,0,0,745.0
2020-05-31,Chhattisgarh,Bijapur,0,0,0,0,745.0
2020-06-01,Chhattisgarh,Bijapur,0,0,0,0,799.0
2020-06-02,Chhattisgarh,Bijapur,0,0,0,0,814.0
2020-06-03,Chhattisgarh,Bijapur,0,0,0,0,829.0
2020-06-04,Chhattisgarh,Bijapur,0,0,0,0,880.0
2020-06-05,Chhattisgarh,Bijapur,0,0,0,0,931.0
2020-06-06,Chhattisgarh,Bijapur,0,0,0,0,997.0
2020-06-07,Chhattisgarh,Bijapur,0,0,0,0,1038.0
2020-06-08,Chhattisgarh,Bijapur,0,0,0,0,1069.0
2020-06-09,Chhattisgarh,Bijapur,0,0,0,0,1095.0
2020-06-10,Chhattisgarh,Bijapur,0,0,0,0,1129.0
2020-06-11,Chhattisgarh,Bijapur,0,0,0,0,1158.0
2020-06-12,Chhattisgarh,Bijapur,0,0,0,0,1158.0
2020-06-13,Chhattisgarh,Bijapur,0,0,0,0,1214.0
2020-06-14,Chhattisgarh,Bijapur,0,0,0,0,1239.0
2020-06-15,Chhattisgarh,Bijapur,0,0,0,0,1239.0
2020-06-16,Chhattisgarh,Bijapur,0,0,0,0,1239.0
2020-06-17,Chhattisgarh,Bijapur,0,0,0,0,1239.0
2020-06-18,Chhattisgarh,Bijapur,0,0,0,0,1239.0
2020-06-19,Chhattisgarh,Bijapur,0,0,0,0,1239.0
2020-06-20,Chhattisgarh,Bijapur,0,0,0,0,1239.0
2020-06-21,Chhattisgarh,Bijapur,0,0,0,0,1239.0
