Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Chhattisgarh,Dhamtari,0,0,0,0,525.0
2020-05-20,Chhattisgarh,Dhamtari,0,0,0,0,525.0
2020-05-21,Chhattisgarh,Dhamtari,0,0,0,0,698.0
2020-05-22,Chhattisgarh,Dhamtari,0,0,0,0,698.0
2020-05-23,Chhattisgarh,Dhamtari,0,0,0,0,699.0
2020-05-24,Chhattisgarh,Dhamtari,0,0,0,0,699.0
2020-05-25,Chhattisgarh,Dhamtari,2,0,0,0,755.0
2020-05-26,Chhattisgarh,Dhamtari,2,0,0,0,757.0
2020-05-27,Chhattisgarh,Dhamtari,2,0,0,0,761.0
2020-05-28,Chhattisgarh,Dhamtari,2,0,0,0,836.0
2020-05-29,Chhattisgarh,Dhamtari,3,0,0,0,904.0
2020-05-30,Chhattisgarh,Dhamtari,3,0,0,0,904.0
2020-05-31,Chhattisgarh,Dhamtari,3,0,0,0,904.0
2020-06-01,Chhattisgarh,Dhamtari,6,1,0,0,1180.0
2020-06-02,Chhattisgarh,Dhamtari,6,1,0,0,1212.0
2020-06-03,Chhattisgarh,Dhamtari,6,1,0,0,1297.0
2020-06-04,Chhattisgarh,Dhamtari,6,1,0,0,1315.0
2020-06-05,Chhattisgarh,Dhamtari,6,1,0,0,1366.0
2020-06-06,Chhattisgarh,Dhamtari,6,1,0,0,1364.0
2020-06-07,Chhattisgarh,Dhamtari,6,1,0,0,1413.0
2020-06-08,Chhattisgarh,Dhamtari,6,2,0,0,1416.0
2020-06-09,Chhattisgarh,Dhamtari,6,2,0,0,1442.0
2020-06-10,Chhattisgarh,Dhamtari,6,2,0,0,1443.0
2020-06-11,Chhattisgarh,Dhamtari,6,2,0,0,1437.0
2020-06-12,Chhattisgarh,Dhamtari,7,5,0,0,1487.0
2020-06-13,Chhattisgarh,Dhamtari,8,5,0,0,1488.0
2020-06-14,Chhattisgarh,Dhamtari,8,5,0,0,1501.0
2020-06-15,Chhattisgarh,Dhamtari,8,5,1,0,1501.0
2020-06-16,Chhattisgarh,Dhamtari,8,5,1,0,1501.0
2020-06-17,Chhattisgarh,Dhamtari,8,5,1,0,1501.0
