Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-17,Chhattisgarh,Gariaband,1,0,0,0,
2020-05-18,Chhattisgarh,Gariaband,1,0,0,0,
2020-05-19,Chhattisgarh,Gariaband,1,0,0,0,908.0
2020-05-20,Chhattisgarh,Gariaband,1,0,0,0,908.0
2020-05-21,Chhattisgarh,Gariaband,1,0,0,0,1064.0
2020-05-22,Chhattisgarh,Gariaband,4,0,0,0,1064.0
2020-05-23,Chhattisgarh,Gariaband,4,0,0,0,1067.0
2020-05-24,Chhattisgarh,Gariaband,4,0,0,0,1067.0
2020-05-25,Chhattisgarh,Gariaband,5,0,0,0,1079.0
2020-05-26,Chhattisgarh,Gariaband,5,1,0,0,1169.0
2020-05-27,Chhattisgarh,Gariaband,5,1,0,0,1171.0
2020-05-28,Chhattisgarh,Gariaband,5,1,0,0,1193.0
2020-05-29,Chhattisgarh,Gariaband,5,4,0,0,1216.0
2020-05-30,Chhattisgarh,Gariaband,5,4,0,0,1216.0
2020-05-31,Chhattisgarh,Gariaband,5,4,0,0,1216.0
2020-06-01,Chhattisgarh,Gariaband,6,4,0,0,1345.0
2020-06-02,Chhattisgarh,Gariaband,7,4,0,0,1436.0
2020-06-03,Chhattisgarh,Gariaband,7,4,0,0,1558.0
2020-06-04,Chhattisgarh,Gariaband,10,4,0,0,1738.0
2020-06-05,Chhattisgarh,Gariaband,10,4,0,0,1824.0
2020-06-06,Chhattisgarh,Gariaband,10,4,0,0,1830.0
2020-06-07,Chhattisgarh,Gariaband,10,4,0,0,1850.0
2020-06-08,Chhattisgarh,Gariaband,10,4,0,0,4042.0
2020-06-09,Chhattisgarh,Gariaband,10,4,0,0,1916.0
2020-06-10,Chhattisgarh,Gariaband,10,4,0,0,1883.0
2020-06-11,Chhattisgarh,Gariaband,10,4,0,0,1877.0
2020-06-12,Chhattisgarh,Gariaband,10,5,0,0,1923.0
2020-06-13,Chhattisgarh,Gariaband,10,7,0,0,2034.0
2020-06-14,Chhattisgarh,Gariaband,12,7,0,0,2096.0
2020-06-15,Chhattisgarh,Gariaband,12,7,0,0,2096.0
2020-06-16,Chhattisgarh,Gariaband,17,8,0,0,2096.0
2020-06-17,Chhattisgarh,Gariaband,21,8,0,0,2096.0
2020-06-18,Chhattisgarh,Gariaband,21,9,0,0,2096.0
2020-06-19,Chhattisgarh,Gariaband,21,9,0,0,2096.0
2020-06-20,Chhattisgarh,Gariaband,22,9,0,0,2096.0
2020-06-21,Chhattisgarh,Gariaband,26,9,0,0,2096.0
2020-06-22,Chhattisgarh,Gariaband,26,10,0,0,2096.0
2020-06-23,Chhattisgarh,Gariaband,26,15,0,0,2096.0
2020-06-24,Chhattisgarh,Gariaband,26,16,0,0,2096.0
2020-06-25,Chhattisgarh,Gariaband,29,20,0,0,2096.0
2020-06-26,Chhattisgarh,Gariaband,29,20,0,0,2096.0
2020-06-27,Chhattisgarh,Gariaband,29,21,0,0,2096.0
2020-06-28,Chhattisgarh,Gariaband,35,24,0,0,2096.0
2020-06-29,Chhattisgarh,Gariaband,41,24,0,0,2096.0
2020-06-30,Chhattisgarh,Gariaband,41,24,0,0,2096.0
2020-07-01,Chhattisgarh,Gariaband,41,24,0,0,2096.0
2020-07-02,Chhattisgarh,Gariaband,41,27,0,0,2096.0
2020-07-03,Chhattisgarh,Gariaband,41,27,0,0,2096.0
2020-07-04,Chhattisgarh,Gariaband,41,27,0,0,2096.0
2020-07-05,Chhattisgarh,Gariaband,41,27,0,0,2096.0
2020-07-06,Chhattisgarh,Gariaband,41,27,0,0,2096.0
2020-07-07,Chhattisgarh,Gariaband,47,40,0,0,2096.0
2020-07-08,Chhattisgarh,Gariaband,48,40,0,0,2096.0
2020-07-09,Chhattisgarh,Gariaband,48,42,0,0,2096.0
2020-07-10,Chhattisgarh,Gariaband,48,43,0,0,2096.0
2020-07-11,Chhattisgarh,Gariaband,48,43,0,0,2096.0
2020-07-12,Chhattisgarh,Gariaband,49,43,0,0,2096.0
2020-07-13,Chhattisgarh,Gariaband,57,45,0,0,2096.0
2020-07-14,Chhattisgarh,Gariaband,58,47,0,0,2096.0
2020-07-15,Chhattisgarh,Gariaband,60,47,0,0,2096.0
2020-07-16,Chhattisgarh,Gariaband,60,48,0,0,2096.0
2020-07-17,Chhattisgarh,Gariaband,65,48,0,0,2096.0
2020-07-18,Chhattisgarh,Gariaband,65,49,0,0,2096.0
2020-07-19,Chhattisgarh,Gariaband,66,49,0,0,2096.0
2020-07-20,Chhattisgarh,Gariaband,66,49,0,0,2096.0
2020-07-21,Chhattisgarh,Gariaband,66,54,0,0,2096.0
2020-07-22,Chhattisgarh,Gariaband,76,55,0,0,2096.0
2020-07-23,Chhattisgarh,Gariaband,80,58,0,0,2096.0
2020-07-24,Chhattisgarh,Gariaband,81,58,0,0,2096.0
2020-07-25,Chhattisgarh,Gariaband,81,58,0,0,2096.0
2020-07-26,Chhattisgarh,Gariaband,81,60,0,0,2096.0
2020-07-27,Chhattisgarh,Gariaband,85,61,0,0,2096.0
2020-07-28,Chhattisgarh,Gariaband,91,62,0,0,2096.0
2020-07-29,Chhattisgarh,Gariaband,94,67,0,0,2096.0
2020-07-30,Chhattisgarh,Gariaband,95,73,0,0,2096.0
2020-07-31,Chhattisgarh,Gariaband,96,73,1,0,2096.0
2020-08-01,Chhattisgarh,Gariaband,97,73,1,0,2096.0
2020-08-02,Chhattisgarh,Gariaband,97,80,1,0,2096.0
2020-08-03,Chhattisgarh,Gariaband,97,82,1,0,2096.0
2020-08-04,Chhattisgarh,Gariaband,97,83,1,0,2096.0
2020-08-05,Chhattisgarh,Gariaband,98,83,1,0,2096.0
2020-08-06,Chhattisgarh,Gariaband,106,83,1,0,2096.0
2020-08-07,Chhattisgarh,Gariaband,109,83,1,0,2096.0
2020-08-08,Chhattisgarh,Gariaband,117,90,1,0,2096.0
2020-08-09,Chhattisgarh,Gariaband,119,90,1,0,2096.0
2020-08-10,Chhattisgarh,Gariaband,122,90,1,0,2096.0
2020-08-11,Chhattisgarh,Gariaband,124,94,1,0,2096.0
2020-08-12,Chhattisgarh,Gariaband,126,95,1,0,2096.0
2020-08-13,Chhattisgarh,Gariaband,131,96,1,0,2096.0
2020-08-14,Chhattisgarh,Gariaband,138,96,1,0,2096.0
2020-08-15,Chhattisgarh,Gariaband,142,100,1,0,2096.0
2020-08-16,Chhattisgarh,Gariaband,143,107,1,0,2096.0
2020-08-17,Chhattisgarh,Gariaband,143,118,1,0,2096.0
2020-08-18,Chhattisgarh,Gariaband,148,118,1,0,2096.0
2020-08-19,Chhattisgarh,Gariaband,167,118,1,0,2096.0
2020-08-20,Chhattisgarh,Gariaband,175,122,1,0,2096.0
2020-08-21,Chhattisgarh,Gariaband,189,123,1,0,2096.0
2020-08-22,Chhattisgarh,Gariaband,219,124,1,0,2096.0
2020-08-23,Chhattisgarh,Gariaband,224,128,1,0,2096.0
2020-08-24,Chhattisgarh,Gariaband,232,134,1,0,2096.0
