Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-21,Chhattisgarh,Gaurela Pendra Marwahi,0,0,0,0,270.0
2020-05-22,Chhattisgarh,Gaurela Pendra Marwahi,0,0,0,0,270.0
2020-05-23,Chhattisgarh,Gaurela Pendra Marwahi,2,0,0,0,272.0
2020-05-24,Chhattisgarh,Gaurela Pendra Marwahi,2,0,0,0,272.0
2020-05-25,Chhattisgarh,Gaurela Pendra Marwahi,3,0,0,0,273.0
2020-05-26,Chhattisgarh,Gaurela Pendra Marwahi,3,0,0,0,273.0
2020-05-27,Chhattisgarh,Gaurela Pendra Marwahi,3,0,0,0,273.0
2020-05-28,Chhattisgarh,Gaurela Pendra Marwahi,3,0,0,0,273.0
2020-05-29,Chhattisgarh,Gaurela Pendra Marwahi,3,0,0,0,273.0
2020-05-30,Chhattisgarh,Gaurela Pendra Marwahi,3,0,0,0,273.0
2020-05-31,Chhattisgarh,Gaurela Pendra Marwahi,3,0,0,0,273.0
2020-06-01,Chhattisgarh,Gaurela Pendra Marwahi,3,0,0,0,273.0
2020-06-02,Chhattisgarh,Gaurela Pendra Marwahi,3,0,0,0,273.0
2020-06-03,Chhattisgarh,Gaurela Pendra Marwahi,3,0,0,0,273.0
2020-06-04,Chhattisgarh,Gaurela Pendra Marwahi,3,0,0,0,273.0
2020-06-05,Chhattisgarh,Gaurela Pendra Marwahi,3,0,0,0,273.0
2020-06-06,Chhattisgarh,Gaurela Pendra Marwahi,3,0,0,0,273.0
2020-06-07,Chhattisgarh,Gaurela Pendra Marwahi,3,0,0,0,273.0
2020-06-08,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-09,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-10,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-11,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-12,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-13,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-14,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-15,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-16,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-17,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-18,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-19,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-20,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-21,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-22,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-23,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-24,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-25,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-26,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-27,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-28,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-29,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-06-30,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-07-01,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-07-02,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-07-03,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-07-04,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-07-05,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-07-06,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-07-07,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-07-08,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-07-09,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-07-10,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-07-11,Chhattisgarh,Gaurela Pendra Marwahi,3,3,0,0,273.0
2020-07-12,Chhattisgarh,Gaurela Pendra Marwahi,6,5,0,0,273.0
2020-07-13,Chhattisgarh,Gaurela Pendra Marwahi,7,5,0,0,273.0
2020-07-14,Chhattisgarh,Gaurela Pendra Marwahi,7,5,0,0,273.0
2020-07-15,Chhattisgarh,Gaurela Pendra Marwahi,9,6,0,0,273.0
2020-07-16,Chhattisgarh,Gaurela Pendra Marwahi,9,6,0,0,273.0
2020-07-17,Chhattisgarh,Gaurela Pendra Marwahi,9,6,0,0,273.0
2020-07-18,Chhattisgarh,Gaurela Pendra Marwahi,9,6,0,0,273.0
2020-07-19,Chhattisgarh,Gaurela Pendra Marwahi,9,6,0,0,273.0
2020-07-20,Chhattisgarh,Gaurela Pendra Marwahi,9,6,0,0,273.0
2020-07-21,Chhattisgarh,Gaurela Pendra Marwahi,14,9,0,0,273.0
2020-07-22,Chhattisgarh,Gaurela Pendra Marwahi,14,9,0,0,273.0
2020-07-23,Chhattisgarh,Gaurela Pendra Marwahi,14,9,0,0,273.0
2020-07-24,Chhattisgarh,Gaurela Pendra Marwahi,14,9,0,0,273.0
2020-07-25,Chhattisgarh,Gaurela Pendra Marwahi,14,9,0,0,273.0
2020-07-26,Chhattisgarh,Gaurela Pendra Marwahi,14,9,0,0,273.0
2020-07-27,Chhattisgarh,Gaurela Pendra Marwahi,14,9,0,0,273.0
2020-07-28,Chhattisgarh,Gaurela Pendra Marwahi,14,9,0,0,273.0
2020-07-29,Chhattisgarh,Gaurela Pendra Marwahi,14,10,0,0,273.0
2020-07-30,Chhattisgarh,Gaurela Pendra Marwahi,15,10,0,0,273.0
2020-07-31,Chhattisgarh,Gaurela Pendra Marwahi,30,12,0,0,273.0
2020-08-01,Chhattisgarh,Gaurela Pendra Marwahi,30,12,0,0,273.0
2020-08-02,Chhattisgarh,Gaurela Pendra Marwahi,31,25,0,0,273.0
2020-08-03,Chhattisgarh,Gaurela Pendra Marwahi,31,25,0,0,273.0
2020-08-04,Chhattisgarh,Gaurela Pendra Marwahi,32,30,0,0,273.0
2020-08-05,Chhattisgarh,Gaurela Pendra Marwahi,32,30,0,0,273.0
2020-08-06,Chhattisgarh,Gaurela Pendra Marwahi,32,31,0,0,273.0
2020-08-07,Chhattisgarh,Gaurela Pendra Marwahi,33,31,0,0,273.0
2020-08-08,Chhattisgarh,Gaurela Pendra Marwahi,33,31,0,0,273.0
2020-08-09,Chhattisgarh,Gaurela Pendra Marwahi,33,31,0,0,273.0
2020-08-10,Chhattisgarh,Gaurela Pendra Marwahi,33,31,0,0,273.0
2020-08-11,Chhattisgarh,Gaurela Pendra Marwahi,33,31,0,0,273.0
2020-08-12,Chhattisgarh,Gaurela Pendra Marwahi,33,31,0,0,273.0
2020-08-13,Chhattisgarh,Gaurela Pendra Marwahi,33,31,0,0,273.0
2020-08-14,Chhattisgarh,Gaurela Pendra Marwahi,33,31,0,0,273.0
2020-08-15,Chhattisgarh,Gaurela Pendra Marwahi,33,31,0,0,273.0
2020-08-16,Chhattisgarh,Gaurela Pendra Marwahi,33,31,0,0,273.0
2020-08-17,Chhattisgarh,Gaurela Pendra Marwahi,33,31,0,0,273.0
2020-08-18,Chhattisgarh,Gaurela Pendra Marwahi,33,31,0,0,273.0
2020-08-19,Chhattisgarh,Gaurela Pendra Marwahi,33,33,0,0,273.0
2020-08-20,Chhattisgarh,Gaurela Pendra Marwahi,33,33,0,0,273.0
2020-08-21,Chhattisgarh,Gaurela Pendra Marwahi,33,33,0,0,273.0
2020-08-22,Chhattisgarh,Gaurela Pendra Marwahi,33,33,0,0,273.0
2020-08-23,Chhattisgarh,Gaurela Pendra Marwahi,34,33,0,0,273.0
2020-08-24,Chhattisgarh,Gaurela Pendra Marwahi,35,33,0,0,273.0
2020-08-25,Chhattisgarh,Gaurela Pendra Marwahi,36,33,0,0,273.0
2020-08-26,Chhattisgarh,Gaurela Pendra Marwahi,37,33,0,0,273.0
2020-08-27,Chhattisgarh,Gaurela Pendra Marwahi,40,33,0,0,273.0
2020-08-28,Chhattisgarh,Gaurela Pendra Marwahi,40,33,0,0,273.0
2020-08-29,Chhattisgarh,Gaurela Pendra Marwahi,40,33,0,0,273.0
2020-08-30,Chhattisgarh,Gaurela Pendra Marwahi,40,33,0,0,273.0
2020-08-31,Chhattisgarh,Gaurela Pendra Marwahi,47,33,0,0,273.0
2020-09-01,Chhattisgarh,Gaurela Pendra Marwahi,48,33,0,0,273.0
2020-09-02,Chhattisgarh,Gaurela Pendra Marwahi,50,33,0,0,273.0
2020-09-03,Chhattisgarh,Gaurela Pendra Marwahi,50,33,0,0,273.0
