Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-15,Chhattisgarh,Janjgir Champa,5,0,0,0,
2020-05-16,Chhattisgarh,Janjgir Champa,5,0,0,0,
2020-05-17,Chhattisgarh,Janjgir Champa,5,0,0,0,
2020-05-18,Chhattisgarh,Janjgir Champa,11,0,0,0,
2020-05-19,Chhattisgarh,Janjgir Champa,11,0,0,0,964.0
2020-05-20,Chhattisgarh,Janjgir Champa,11,0,0,0,964.0
2020-05-21,Chhattisgarh,Janjgir Champa,14,0,0,0,1119.0
2020-05-22,Chhattisgarh,Janjgir Champa,15,3,0,0,1119.0
2020-05-23,Chhattisgarh,Janjgir Champa,15,3,0,0,1508.0
2020-05-24,Chhattisgarh,Janjgir Champa,15,3,0,0,1508.0
2020-05-25,Chhattisgarh,Janjgir Champa,15,3,0,0,1717.0
2020-05-26,Chhattisgarh,Janjgir Champa,15,5,0,0,1792.0
2020-05-27,Chhattisgarh,Janjgir Champa,15,5,0,0,1874.0
2020-05-28,Chhattisgarh,Janjgir Champa,15,5,0,0,1999.0
2020-05-29,Chhattisgarh,Janjgir Champa,15,10,0,0,2056.0
2020-05-30,Chhattisgarh,Janjgir Champa,15,10,0,0,2056.0
2020-05-31,Chhattisgarh,Janjgir Champa,15,12,0,0,2056.0
2020-06-01,Chhattisgarh,Janjgir Champa,15,12,0,0,2308.0
2020-06-02,Chhattisgarh,Janjgir Champa,16,12,0,0,2391.0
2020-06-03,Chhattisgarh,Janjgir Champa,18,14,0,0,2733.0
2020-06-04,Chhattisgarh,Janjgir Champa,47,14,0,0,2661.0
2020-06-05,Chhattisgarh,Janjgir Champa,47,14,0,0,2828.0
2020-06-06,Chhattisgarh,Janjgir Champa,55,16,0,0,3072.0
2020-06-07,Chhattisgarh,Janjgir Champa,57,16,0,0,3398.0
2020-06-08,Chhattisgarh,Janjgir Champa,68,16,0,0,3447.0
2020-06-09,Chhattisgarh,Janjgir Champa,69,16,0,0,3522.0
2020-06-10,Chhattisgarh,Janjgir Champa,95,16,0,0,3518.0
2020-06-11,Chhattisgarh,Janjgir Champa,109,28,0,0,3666.0
2020-06-12,Chhattisgarh,Janjgir Champa,122,28,0,0,3871.0
2020-06-13,Chhattisgarh,Janjgir Champa,125,18,0,0,4062.0
2020-06-14,Chhattisgarh,Janjgir Champa,136,24,0,0,4016.0
2020-06-15,Chhattisgarh,Janjgir Champa,139,37,0,0,4016.0
2020-06-16,Chhattisgarh,Janjgir Champa,140,45,0,0,4016.0
2020-06-17,Chhattisgarh,Janjgir Champa,151,76,0,0,4016.0
2020-06-18,Chhattisgarh,Janjgir Champa,162,79,0,0,4016.0
2020-06-19,Chhattisgarh,Janjgir Champa,180,87,0,0,4016.0
2020-06-20,Chhattisgarh,Janjgir Champa,205,87,0,0,4016.0
2020-06-21,Chhattisgarh,Janjgir Champa,208,87,0,0,4016.0
2020-06-22,Chhattisgarh,Janjgir Champa,209,87,0,0,4016.0
2020-06-23,Chhattisgarh,Janjgir Champa,215,95,0,0,4016.0
2020-06-24,Chhattisgarh,Janjgir Champa,220,107,0,0,4016.0
2020-06-25,Chhattisgarh,Janjgir Champa,221,121,0,0,4016.0
2020-06-26,Chhattisgarh,Janjgir Champa,221,148,1,0,4016.0
2020-06-27,Chhattisgarh,Janjgir Champa,228,159,1,0,4016.0
2020-06-28,Chhattisgarh,Janjgir Champa,231,172,1,0,4016.0
2020-06-29,Chhattisgarh,Janjgir Champa,234,182,1,0,4016.0
2020-06-30,Chhattisgarh,Janjgir Champa,234,194,1,0,4016.0
2020-07-01,Chhattisgarh,Janjgir Champa,234,217,1,0,4016.0
2020-07-02,Chhattisgarh,Janjgir Champa,239,217,1,0,4016.0
