Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Chhattisgarh,Korba,28,24,0,0,
2020-04-27,Chhattisgarh,Korba,28,24,0,0,
2020-04-28,Chhattisgarh,Korba,28,26,0,0,
2020-04-29,Chhattisgarh,Korba,28,26,0,0,
2020-04-30,Chhattisgarh,Korba,28,28,0,0,
2020-05-01,Chhattisgarh,Korba,28,28,0,0,
2020-05-02,Chhattisgarh,Korba,28,28,0,0,
2020-05-03,Chhattisgarh,Korba,28,28,0,0,
2020-05-04,Chhattisgarh,Korba,28,28,0,0,
2020-05-05,Chhattisgarh,Korba,28,28,0,0,
2020-05-06,Chhattisgarh,Korba,28,28,0,0,
2020-05-07,Chhattisgarh,Korba,28,28,0,0,
2020-05-08,Chhattisgarh,Korba,28,28,0,0,
2020-05-09,Chhattisgarh,Korba,28,28,0,0,
2020-05-10,Chhattisgarh,Korba,28,28,0,0,
2020-05-11,Chhattisgarh,Korba,28,28,0,0,
2020-05-12,Chhattisgarh,Korba,28,28,0,0,
2020-05-13,Chhattisgarh,Korba,28,28,0,0,
2020-05-14,Chhattisgarh,Korba,28,28,0,0,
2020-05-15,Chhattisgarh,Korba,28,28,0,0,
2020-05-16,Chhattisgarh,Korba,28,28,0,0,
2020-05-17,Chhattisgarh,Korba,28,28,0,0,
2020-05-18,Chhattisgarh,Korba,28,28,0,0,
2020-05-19,Chhattisgarh,Korba,29,28,0,0,5474.0
2020-05-20,Chhattisgarh,Korba,29,28,0,0,5474.0
2020-05-21,Chhattisgarh,Korba,29,28,0,0,6374.0
2020-05-22,Chhattisgarh,Korba,41,28,0,0,6374.0
2020-05-23,Chhattisgarh,Korba,41,28,0,0,6588.0
2020-05-24,Chhattisgarh,Korba,41,28,0,0,6588.0
2020-05-25,Chhattisgarh,Korba,41,28,0,0,7633.0
2020-05-26,Chhattisgarh,Korba,41,29,0,0,7633.0
2020-05-27,Chhattisgarh,Korba,41,29,0,0,7808.0
2020-05-28,Chhattisgarh,Korba,41,29,0,0,7809.0
2020-05-29,Chhattisgarh,Korba,42,29,0,0,7813.0
2020-05-30,Chhattisgarh,Korba,42,29,0,0,7813.0
2020-05-31,Chhattisgarh,Korba,47,32,0,0,7813.0
2020-06-01,Chhattisgarh,Korba,51,32,0,0,7831.0
2020-06-02,Chhattisgarh,Korba,54,32,0,0,7834.0
2020-06-03,Chhattisgarh,Korba,54,32,0,0,7835.0
2020-06-04,Chhattisgarh,Korba,54,32,0,0,7835.0
2020-06-05,Chhattisgarh,Korba,94,34,0,0,7878.0
2020-06-06,Chhattisgarh,Korba,97,34,0,0,7882.0
2020-06-07,Chhattisgarh,Korba,108,34,0,0,8358.0
2020-06-08,Chhattisgarh,Korba,125,38,0,0,8381.0
2020-06-09,Chhattisgarh,Korba,125,38,0,0,8640.0
2020-06-10,Chhattisgarh,Korba,127,38,0,0,8698.0
2020-06-11,Chhattisgarh,Korba,164,50,0,0,9139.0
2020-06-12,Chhattisgarh,Korba,179,59,0,0,9366.0
2020-06-13,Chhattisgarh,Korba,192,76,0,0,9734.0
2020-06-14,Chhattisgarh,Korba,239,79,0,0,10034.0
2020-06-15,Chhattisgarh,Korba,253,76,0,0,10034.0
2020-06-16,Chhattisgarh,Korba,249,108,0,0,10034.0
2020-06-17,Chhattisgarh,Korba,253,135,0,0,10034.0
2020-06-18,Chhattisgarh,Korba,257,120,0,0,10034.0
2020-06-19,Chhattisgarh,Korba,257,159,0,0,10034.0
2020-06-20,Chhattisgarh,Korba,259,162,0,0,10034.0
2020-06-21,Chhattisgarh,Korba,298,165,0,0,10034.0
2020-06-22,Chhattisgarh,Korba,304,173,0,0,10034.0
2020-06-23,Chhattisgarh,Korba,305,173,0,0,10034.0
2020-06-24,Chhattisgarh,Korba,306,201,0,0,10034.0
2020-06-25,Chhattisgarh,Korba,306,234,0,0,10034.0
2020-06-26,Chhattisgarh,Korba,306,247,0,0,10034.0
2020-06-27,Chhattisgarh,Korba,306,249,0,0,10034.0
2020-06-28,Chhattisgarh,Korba,306,260,0,0,10034.0
2020-06-29,Chhattisgarh,Korba,307,260,0,0,10034.0
2020-06-30,Chhattisgarh,Korba,309,264,0,0,10034.0
2020-07-01,Chhattisgarh,Korba,307,269,0,0,10034.0
2020-07-02,Chhattisgarh,Korba,308,290,0,0,10034.0
2020-07-03,Chhattisgarh,Korba,308,290,0,0,10034.0
2020-07-04,Chhattisgarh,Korba,308,299,0,0,10034.0
2020-07-05,Chhattisgarh,Korba,319,304,0,0,10034.0
2020-07-06,Chhattisgarh,Korba,323,304,0,0,10034.0
2020-07-07,Chhattisgarh,Korba,323,304,0,0,10034.0
2020-07-08,Chhattisgarh,Korba,330,308,0,0,10034.0
2020-07-09,Chhattisgarh,Korba,339,312,0,0,10034.0
2020-07-10,Chhattisgarh,Korba,340,312,0,0,10034.0
