Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-15,Chhattisgarh,Koriya,1,0,0,0,
2020-05-16,Chhattisgarh,Koriya,1,0,0,0,
2020-05-17,Chhattisgarh,Koriya,1,0,0,0,
2020-05-18,Chhattisgarh,Koriya,1,0,0,0,
2020-05-19,Chhattisgarh,Koriya,1,0,0,0,555.0
2020-05-20,Chhattisgarh,Koriya,1,0,0,0,555.0
2020-05-21,Chhattisgarh,Koriya,1,0,0,0,611.0
2020-05-22,Chhattisgarh,Koriya,1,0,0,0,611.0
2020-05-23,Chhattisgarh,Koriya,5,0,0,0,615.0
2020-05-24,Chhattisgarh,Koriya,6,0,0,0,615.0
2020-05-25,Chhattisgarh,Koriya,8,0,0,0,658.0
2020-05-26,Chhattisgarh,Koriya,8,1,0,0,776.0
2020-05-27,Chhattisgarh,Koriya,8,1,0,0,849.0
2020-05-28,Chhattisgarh,Koriya,9,1,0,0,965.0
2020-05-29,Chhattisgarh,Koriya,9,1,0,0,1147.0
2020-05-30,Chhattisgarh,Koriya,29,1,0,0,1147.0
2020-05-31,Chhattisgarh,Koriya,29,1,0,0,1147.0
2020-06-01,Chhattisgarh,Koriya,29,1,0,0,1282.0
2020-06-02,Chhattisgarh,Koriya,30,1,0,0,1446.0
2020-06-03,Chhattisgarh,Koriya,38,3,0,0,1736.0
2020-06-04,Chhattisgarh,Koriya,38,5,0,0,1896.0
2020-06-05,Chhattisgarh,Koriya,39,5,0,0,1903.0
2020-06-06,Chhattisgarh,Koriya,38,5,0,0,1902.0
2020-06-07,Chhattisgarh,Koriya,38,5,0,0,1908.0
2020-06-08,Chhattisgarh,Koriya,45,7,0,0,2027.0
2020-06-09,Chhattisgarh,Koriya,45,7,0,0,2237.0
2020-06-10,Chhattisgarh,Koriya,46,7,0,0,2454.0
2020-06-11,Chhattisgarh,Koriya,46,7,0,0,2487.0
2020-06-12,Chhattisgarh,Koriya,46,23,0,0,2605.0
2020-06-13,Chhattisgarh,Koriya,47,23,0,0,2653.0
2020-06-14,Chhattisgarh,Koriya,47,23,0,0,2689.0
2020-06-15,Chhattisgarh,Koriya,48,29,0,0,2689.0
2020-06-16,Chhattisgarh,Koriya,49,29,0,0,2689.0
2020-06-17,Chhattisgarh,Koriya,49,32,0,0,2689.0
2020-06-18,Chhattisgarh,Koriya,55,41,0,0,2689.0
2020-06-19,Chhattisgarh,Koriya,56,42,0,0,2689.0
2020-06-20,Chhattisgarh,Koriya,54,42,0,0,2689.0
2020-06-21,Chhattisgarh,Koriya,54,42,0,0,2689.0
2020-06-22,Chhattisgarh,Koriya,54,42,0,0,2689.0
2020-06-23,Chhattisgarh,Koriya,56,42,0,0,2689.0
2020-06-24,Chhattisgarh,Koriya,56,49,0,0,2689.0
