Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Chhattisgarh,Mungeli,0,0,0,0,522.0
2020-05-20,Chhattisgarh,Mungeli,1,0,0,0,522.0
2020-05-21,Chhattisgarh,Mungeli,1,0,0,0,671.0
2020-05-22,Chhattisgarh,Mungeli,3,0,0,0,671.0
2020-05-23,Chhattisgarh,Mungeli,12,0,0,0,734.0
2020-05-24,Chhattisgarh,Mungeli,13,0,0,0,734.0
2020-05-25,Chhattisgarh,Mungeli,43,0,0,0,905.0
2020-05-26,Chhattisgarh,Mungeli,70,0,0,0,1114.0
2020-05-27,Chhattisgarh,Mungeli,70,0,0,0,1128.0
2020-05-28,Chhattisgarh,Mungeli,81,0,0,0,1238.0
2020-05-29,Chhattisgarh,Mungeli,82,0,0,0,1472.0
2020-05-30,Chhattisgarh,Mungeli,82,1,0,0,1472.0
2020-05-31,Chhattisgarh,Mungeli,82,1,0,0,1472.0
2020-06-01,Chhattisgarh,Mungeli,84,3,0,0,1799.0
2020-06-02,Chhattisgarh,Mungeli,85,7,0,0,2033.0
2020-06-03,Chhattisgarh,Mungeli,86,24,0,0,2262.0
2020-06-04,Chhattisgarh,Mungeli,86,39,0,0,2311.0
2020-06-05,Chhattisgarh,Mungeli,86,41,0,0,2372.0
2020-06-06,Chhattisgarh,Mungeli,86,52,0,0,2387.0
2020-06-07,Chhattisgarh,Mungeli,86,52,0,0,2491.0
2020-06-08,Chhattisgarh,Mungeli,106,53,0,0,2503.0
2020-06-09,Chhattisgarh,Mungeli,106,56,0,0,2609.0
2020-06-10,Chhattisgarh,Mungeli,108,56,0,0,2765.0
2020-06-11,Chhattisgarh,Mungeli,110,56,0,0,2768.0
2020-06-12,Chhattisgarh,Mungeli,110,62,0,0,2866.0
2020-06-13,Chhattisgarh,Mungeli,110,62,0,0,2907.0
2020-06-14,Chhattisgarh,Mungeli,110,82,0,0,2922.0
2020-06-15,Chhattisgarh,Mungeli,116,82,0,0,2922.0
2020-06-16,Chhattisgarh,Mungeli,116,82,0,0,2922.0
2020-06-17,Chhattisgarh,Mungeli,117,103,0,0,2922.0
2020-06-18,Chhattisgarh,Mungeli,115,103,0,0,2922.0
2020-06-19,Chhattisgarh,Mungeli,119,103,0,0,2922.0
2020-06-20,Chhattisgarh,Mungeli,119,103,0,0,2922.0
2020-06-21,Chhattisgarh,Mungeli,119,103,0,0,2922.0
2020-06-22,Chhattisgarh,Mungeli,121,103,0,0,2922.0
2020-06-23,Chhattisgarh,Mungeli,121,103,0,0,2922.0
2020-06-24,Chhattisgarh,Mungeli,121,104,0,0,2922.0
2020-06-25,Chhattisgarh,Mungeli,121,104,0,0,2922.0
2020-06-26,Chhattisgarh,Mungeli,121,104,0,0,2922.0
2020-06-27,Chhattisgarh,Mungeli,121,111,0,0,2922.0
2020-06-28,Chhattisgarh,Mungeli,121,120,0,0,2922.0
2020-06-29,Chhattisgarh,Mungeli,121,120,0,0,2922.0
2020-06-30,Chhattisgarh,Mungeli,121,121,0,0,2922.0
2020-07-01,Chhattisgarh,Mungeli,122,121,0,0,2922.0
2020-07-02,Chhattisgarh,Mungeli,123,121,0,0,2922.0
2020-07-03,Chhattisgarh,Mungeli,123,121,0,0,2922.0
2020-07-04,Chhattisgarh,Mungeli,123,121,0,0,2922.0
2020-07-05,Chhattisgarh,Mungeli,123,121,0,0,2922.0
2020-07-06,Chhattisgarh,Mungeli,123,121,0,0,2922.0
2020-07-07,Chhattisgarh,Mungeli,123,122,0,0,2922.0
2020-07-08,Chhattisgarh,Mungeli,123,122,0,0,2922.0
2020-07-09,Chhattisgarh,Mungeli,123,122,0,0,2922.0
2020-07-10,Chhattisgarh,Mungeli,123,123,0,0,2922.0
2020-07-11,Chhattisgarh,Mungeli,123,123,0,0,2922.0
2020-07-12,Chhattisgarh,Mungeli,123,123,0,0,2922.0
2020-07-13,Chhattisgarh,Mungeli,132,123,0,0,2922.0
2020-07-14,Chhattisgarh,Mungeli,132,123,0,0,2922.0
2020-07-15,Chhattisgarh,Mungeli,132,123,0,0,2922.0
2020-07-16,Chhattisgarh,Mungeli,132,123,0,0,2922.0
2020-07-17,Chhattisgarh,Mungeli,135,123,0,0,2922.0
2020-07-18,Chhattisgarh,Mungeli,135,123,0,0,2922.0
2020-07-19,Chhattisgarh,Mungeli,136,123,0,0,2922.0
2020-07-20,Chhattisgarh,Mungeli,136,123,0,0,2922.0
2020-07-21,Chhattisgarh,Mungeli,136,123,0,0,2922.0
2020-07-22,Chhattisgarh,Mungeli,147,123,0,0,2922.0
2020-07-23,Chhattisgarh,Mungeli,163,123,0,0,2922.0
2020-07-24,Chhattisgarh,Mungeli,163,132,0,0,2922.0
2020-07-25,Chhattisgarh,Mungeli,163,132,0,0,2922.0
2020-07-26,Chhattisgarh,Mungeli,166,134,0,0,2922.0
2020-07-27,Chhattisgarh,Mungeli,166,134,0,0,2922.0
2020-07-28,Chhattisgarh,Mungeli,170,138,0,0,2922.0
2020-07-29,Chhattisgarh,Mungeli,170,152,0,0,2922.0
2020-07-30,Chhattisgarh,Mungeli,172,162,0,0,2922.0
2020-07-31,Chhattisgarh,Mungeli,172,162,0,0,2922.0
2020-08-01,Chhattisgarh,Mungeli,175,162,0,0,2922.0
2020-08-02,Chhattisgarh,Mungeli,175,162,0,0,2922.0
2020-08-03,Chhattisgarh,Mungeli,179,162,0,0,2922.0
2020-08-04,Chhattisgarh,Mungeli,175,168,0,0,2922.0
2020-08-05,Chhattisgarh,Mungeli,174,167,0,0,2922.0
2020-08-06,Chhattisgarh,Mungeli,174,168,0,0,2922.0
2020-08-07,Chhattisgarh,Mungeli,178,168,0,0,2922.0
2020-08-08,Chhattisgarh,Mungeli,179,168,0,0,2922.0
2020-08-09,Chhattisgarh,Mungeli,182,170,0,0,2922.0
2020-08-10,Chhattisgarh,Mungeli,182,171,0,0,2922.0
2020-08-11,Chhattisgarh,Mungeli,183,171,0,0,2922.0
2020-08-12,Chhattisgarh,Mungeli,184,171,0,0,2922.0
2020-08-13,Chhattisgarh,Mungeli,184,173,0,0,2922.0
2020-08-14,Chhattisgarh,Mungeli,184,173,0,0,2922.0
2020-08-15,Chhattisgarh,Mungeli,184,173,0,0,2922.0
2020-08-16,Chhattisgarh,Mungeli,184,173,0,0,2922.0
2020-08-17,Chhattisgarh,Mungeli,185,174,0,0,2922.0
2020-08-18,Chhattisgarh,Mungeli,186,180,0,0,2922.0
2020-08-19,Chhattisgarh,Mungeli,190,180,0,0,2922.0
2020-08-20,Chhattisgarh,Mungeli,198,181,0,0,2922.0
2020-08-21,Chhattisgarh,Mungeli,199,183,0,0,2922.0
2020-08-22,Chhattisgarh,Mungeli,204,184,0,0,2922.0
2020-08-23,Chhattisgarh,Mungeli,206,186,0,0,2922.0
2020-08-24,Chhattisgarh,Mungeli,225,186,0,0,2922.0
2020-08-25,Chhattisgarh,Mungeli,226,186,0,0,2922.0
2020-08-26,Chhattisgarh,Mungeli,238,186,0,0,2922.0
2020-08-27,Chhattisgarh,Mungeli,254,186,0,0,2922.0
2020-08-28,Chhattisgarh,Mungeli,282,187,0,0,2922.0
2020-08-29,Chhattisgarh,Mungeli,312,190,0,0,2922.0
2020-08-30,Chhattisgarh,Mungeli,316,190,0,0,2922.0
2020-08-31,Chhattisgarh,Mungeli,335,218,0,0,2922.0
2020-09-01,Chhattisgarh,Mungeli,357,223,0,0,2922.0
2020-09-02,Chhattisgarh,Mungeli,378,223,0,0,2922.0
2020-09-03,Chhattisgarh,Mungeli,402,228,0,0,2922.0
2020-09-04,Chhattisgarh,Mungeli,413,242,0,0,2922.0
2020-09-05,Chhattisgarh,Mungeli,425,276,0,0,2922.0
2020-09-06,Chhattisgarh,Mungeli,425,276,0,0,2922.0
2020-09-07,Chhattisgarh,Mungeli,444,276,0,0,2922.0
2020-09-08,Chhattisgarh,Mungeli,506,289,0,0,2922.0
2020-09-09,Chhattisgarh,Mungeli,527,303,0,0,2922.0
2020-09-10,Chhattisgarh,Mungeli,564,304,0,0,2922.0
2020-09-11,Chhattisgarh,Mungeli,566,316,0,0,2922.0
2020-09-12,Chhattisgarh,Mungeli,672,316,0,0,2922.0
2020-09-13,Chhattisgarh,Mungeli,731,316,0,0,2922.0
2020-09-14,Chhattisgarh,Mungeli,781,319,0,0,2922.0
2020-09-15,Chhattisgarh,Mungeli,856,333,0,0,2922.0
2020-09-16,Chhattisgarh,Mungeli,857,334,0,0,2922.0
2020-09-17,Chhattisgarh,Mungeli,922,337,0,0,2922.0
2020-09-18,Chhattisgarh,Mungeli,973,352,1,0,2922.0
2020-09-19,Chhattisgarh,Mungeli,1033,352,1,0,2922.0
2020-09-20,Chhattisgarh,Mungeli,1034,352,1,0,2922.0
2020-09-21,Chhattisgarh,Mungeli,1035,352,1,0,2922.0
2020-09-22,Chhattisgarh,Mungeli,1102,376,1,0,2922.0
2020-09-23,Chhattisgarh,Mungeli,1128,459,1,0,2922.0
2020-09-24,Chhattisgarh,Mungeli,1194,512,1,0,2922.0
2020-09-25,Chhattisgarh,Mungeli,1241,793,1,0,2922.0
2020-09-26,Chhattisgarh,Mungeli,1283,826,2,0,2922.0
2020-09-27,Chhattisgarh,Mungeli,1339,826,2,0,2922.0
2020-09-28,Chhattisgarh,Mungeli,1487,844,3,0,2922.0
2020-09-29,Chhattisgarh,Mungeli,1531,904,3,0,2922.0
2020-09-30,Chhattisgarh,Mungeli,1561,911,3,0,2922.0
2020-10-01,Chhattisgarh,Mungeli,1591,1023,3,0,2922.0
2020-10-02,Chhattisgarh,Mungeli,1628,1074,4,0,2922.0
2020-10-03,Chhattisgarh,Mungeli,1689,1159,4,0,2922.0
2020-10-04,Chhattisgarh,Mungeli,1709,1232,4,0,2922.0
2020-10-05,Chhattisgarh,Mungeli,1741,1304,4,0,2922.0
2020-10-06,Chhattisgarh,Mungeli,1769,1376,4,0,2922.0
2020-10-07,Chhattisgarh,Mungeli,1839,1437,4,0,2922.0
2020-10-08,Chhattisgarh,Mungeli,1873,1460,6,0,2922.0
2020-10-09,Chhattisgarh,Mungeli,1919,1529,6,0,2922.0
2020-10-10,Chhattisgarh,Mungeli,1951,1582,6,0,2922.0
2020-10-11,Chhattisgarh,Mungeli,1991,1631,6,0,2922.0
2020-10-12,Chhattisgarh,Mungeli,2027,1706,6,0,2922.0
2020-10-13,Chhattisgarh,Mungeli,2056,1727,6,0,2922.0
2020-10-14,Chhattisgarh,Mungeli,2122,1767,6,0,2922.0
2020-10-15,Chhattisgarh,Mungeli,2149,1784,6,0,2922.0
2020-10-16,Chhattisgarh,Mungeli,2195,1834,6,0,2922.0
2020-10-17,Chhattisgarh,Mungeli,2233,1876,6,0,2922.0
2020-10-18,Chhattisgarh,Mungeli,2255,1909,6,0,2922.0
2020-10-19,Chhattisgarh,Mungeli,2321,1953,6,0,2922.0
2020-10-20,Chhattisgarh,Mungeli,2354,2006,7,0,2922.0
2020-10-21,Chhattisgarh,Mungeli,2393,2052,7,0,2922.0
2020-10-22,Chhattisgarh,Mungeli,2454,2066,7,0,2922.0
2020-10-23,Chhattisgarh,Mungeli,2519,2113,7,0,2922.0
2020-10-24,Chhattisgarh,Mungeli,2550,2115,7,0,2922.0
2020-10-25,Chhattisgarh,Mungeli,2566,2115,7,0,2922.0
2020-10-26,Chhattisgarh,Mungeli,2616,2242,12,0,2922.0
2020-10-27,Chhattisgarh,Mungeli,2636,2287,12,0,2922.0
2020-10-28,Chhattisgarh,Mungeli,2686,2342,12,0,2922.0
2020-10-29,Chhattisgarh,Mungeli,2686,2342,12,0,2922.0
