Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Chhattisgarh,Narayanpur,0,0,0,0,369.0
2020-05-20,Chhattisgarh,Narayanpur,0,0,0,0,369.0
2020-05-21,Chhattisgarh,Narayanpur,0,0,0,0,480.0
2020-05-22,Chhattisgarh,Narayanpur,0,0,0,0,480.0
2020-05-23,Chhattisgarh,Narayanpur,0,0,0,0,533.0
2020-05-24,Chhattisgarh,Narayanpur,0,0,0,0,533.0
2020-05-25,Chhattisgarh,Narayanpur,0,0,0,0,542.0
2020-05-26,Chhattisgarh,Narayanpur,0,0,0,0,542.0
2020-05-27,Chhattisgarh,Narayanpur,0,0,0,0,556.0
2020-05-28,Chhattisgarh,Narayanpur,0,0,0,0,579.0
2020-05-29,Chhattisgarh,Narayanpur,0,0,0,0,579.0
2020-05-30,Chhattisgarh,Narayanpur,0,0,0,0,579.0
2020-05-31,Chhattisgarh,Narayanpur,0,0,0,0,579.0
2020-06-01,Chhattisgarh,Narayanpur,0,0,0,0,630.0
2020-06-02,Chhattisgarh,Narayanpur,0,0,0,0,630.0
2020-06-03,Chhattisgarh,Narayanpur,0,0,0,0,658.0
2020-06-04,Chhattisgarh,Narayanpur,0,0,0,0,683.0
2020-06-05,Chhattisgarh,Narayanpur,0,0,0,0,705.0
2020-06-06,Chhattisgarh,Narayanpur,0,0,0,0,721.0
2020-06-07,Chhattisgarh,Narayanpur,0,0,0,0,743.0
2020-06-08,Chhattisgarh,Narayanpur,0,0,0,0,748.0
2020-06-09,Chhattisgarh,Narayanpur,0,0,0,0,748.0
2020-06-10,Chhattisgarh,Narayanpur,0,0,0,0,761.0
2020-06-11,Chhattisgarh,Narayanpur,0,0,0,0,777.0
2020-06-12,Chhattisgarh,Narayanpur,0,0,0,0,778.0
2020-06-13,Chhattisgarh,Narayanpur,0,0,0,0,804.0
2020-06-14,Chhattisgarh,Narayanpur,0,0,0,0,804.0
2020-06-15,Chhattisgarh,Narayanpur,0,0,0,0,804.0
2020-06-16,Chhattisgarh,Narayanpur,2,0,0,0,804.0
2020-06-17,Chhattisgarh,Narayanpur,2,0,0,0,804.0
2020-06-18,Chhattisgarh,Narayanpur,2,0,0,0,804.0
2020-06-19,Chhattisgarh,Narayanpur,2,0,0,0,804.0
2020-06-20,Chhattisgarh,Narayanpur,6,0,0,0,804.0
2020-06-21,Chhattisgarh,Narayanpur,6,0,0,0,804.0
2020-06-22,Chhattisgarh,Narayanpur,6,0,0,0,804.0
2020-06-23,Chhattisgarh,Narayanpur,9,2,0,0,804.0
2020-06-24,Chhattisgarh,Narayanpur,9,2,0,0,804.0
2020-06-25,Chhattisgarh,Narayanpur,9,2,0,0,804.0
2020-06-26,Chhattisgarh,Narayanpur,9,2,0,0,804.0
2020-06-27,Chhattisgarh,Narayanpur,9,2,0,0,804.0
2020-06-28,Chhattisgarh,Narayanpur,10,6,0,0,804.0
2020-06-29,Chhattisgarh,Narayanpur,11,9,0,0,804.0
2020-06-30,Chhattisgarh,Narayanpur,11,9,0,0,804.0
2020-07-01,Chhattisgarh,Narayanpur,12,9,0,0,804.0
2020-07-02,Chhattisgarh,Narayanpur,12,9,0,0,804.0
2020-07-03,Chhattisgarh,Narayanpur,15,10,0,0,804.0
2020-07-04,Chhattisgarh,Narayanpur,23,10,0,0,804.0
2020-07-05,Chhattisgarh,Narayanpur,23,13,0,0,804.0
2020-07-06,Chhattisgarh,Narayanpur,24,15,0,0,804.0
2020-07-07,Chhattisgarh,Narayanpur,30,15,0,0,804.0
2020-07-08,Chhattisgarh,Narayanpur,47,16,0,0,804.0
2020-07-09,Chhattisgarh,Narayanpur,70,23,0,0,804.0
2020-07-10,Chhattisgarh,Narayanpur,92,23,0,0,804.0
2020-07-11,Chhattisgarh,Narayanpur,94,23,0,0,804.0
2020-07-12,Chhattisgarh,Narayanpur,97,23,0,0,804.0
2020-07-13,Chhattisgarh,Narayanpur,98,25,0,0,804.0
2020-07-14,Chhattisgarh,Narayanpur,116,31,0,0,804.0
2020-07-15,Chhattisgarh,Narayanpur,135,32,0,0,804.0
