Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-08,Chhattisgarh,Other State,1,0,0,0,
2020-06-09,Chhattisgarh,Other State,1,0,0,0,
2020-06-10,Chhattisgarh,Other State,1,0,0,0,
2020-06-11,Chhattisgarh,Other State,1,0,0,0,
2020-06-12,Chhattisgarh,Other State,1,0,0,0,
2020-06-13,Chhattisgarh,Other State,1,0,0,0,
2020-06-14,Chhattisgarh,Other State,1,1,0,0,
2020-06-15,Chhattisgarh,Other State,1,1,0,0,
2020-06-16,Chhattisgarh,Other State,1,1,0,0,
2020-06-17,Chhattisgarh,Other State,1,1,0,0,
2020-06-18,Chhattisgarh,Other State,1,1,0,0,
2020-06-19,Chhattisgarh,Other State,1,1,0,0,
2020-06-20,Chhattisgarh,Other State,1,1,0,0,
2020-06-21,Chhattisgarh,Other State,1,1,0,0,
2020-06-22,Chhattisgarh,Other State,1,1,0,0,
2020-06-23,Chhattisgarh,Other State,1,1,0,0,
2020-06-24,Chhattisgarh,Other State,1,1,0,0,
2020-06-25,Chhattisgarh,Other State,1,1,0,0,
2020-06-26,Chhattisgarh,Other State,1,1,0,0,
2020-06-27,Chhattisgarh,Other State,1,1,0,0,
2020-06-28,Chhattisgarh,Other State,1,1,0,0,
2020-06-29,Chhattisgarh,Other State,1,1,0,0,
2020-06-30,Chhattisgarh,Other State,1,1,0,0,
2020-07-01,Chhattisgarh,Other State,1,1,0,0,
2020-07-02,Chhattisgarh,Other State,1,1,0,0,
2020-07-03,Chhattisgarh,Other State,1,1,0,0,
2020-07-04,Chhattisgarh,Other State,1,1,0,0,
2020-07-05,Chhattisgarh,Other State,1,1,0,0,
2020-07-06,Chhattisgarh,Other State,1,1,0,0,
2020-07-07,Chhattisgarh,Other State,1,1,0,0,
2020-07-08,Chhattisgarh,Other State,1,1,0,0,
2020-07-09,Chhattisgarh,Other State,1,1,0,0,
2020-07-10,Chhattisgarh,Other State,3,1,1,0,
2020-07-11,Chhattisgarh,Other State,3,1,1,0,
2020-07-12,Chhattisgarh,Other State,3,1,1,0,
2020-07-13,Chhattisgarh,Other State,3,1,1,0,
2020-07-14,Chhattisgarh,Other State,3,1,1,0,
2020-07-15,Chhattisgarh,Other State,3,1,1,0,
2020-07-16,Chhattisgarh,Other State,5,1,1,0,
2020-07-17,Chhattisgarh,Other State,5,1,2,0,
2020-07-18,Chhattisgarh,Other State,7,1,2,0,
2020-07-19,Chhattisgarh,Other State,7,1,2,0,
2020-07-20,Chhattisgarh,Other State,7,1,2,0,
2020-07-21,Chhattisgarh,Other State,7,2,2,0,
2020-07-22,Chhattisgarh,Other State,7,2,2,0,
2020-07-23,Chhattisgarh,Other State,7,2,2,0,
2020-07-24,Chhattisgarh,Other State,7,2,2,0,
2020-07-25,Chhattisgarh,Other State,7,4,2,0,
2020-07-26,Chhattisgarh,Other State,7,4,2,0,
2020-07-27,Chhattisgarh,Other State,7,4,2,0,
2020-07-28,Chhattisgarh,Other State,7,4,2,0,
2020-07-29,Chhattisgarh,Other State,7,4,2,0,
2020-07-30,Chhattisgarh,Other State,7,5,2,0,
2020-07-31,Chhattisgarh,Other State,8,5,2,0,
2020-08-01,Chhattisgarh,Other State,8,5,2,0,
2020-08-02,Chhattisgarh,Other State,8,5,2,0,
2020-08-03,Chhattisgarh,Other State,8,5,2,0,
2020-08-04,Chhattisgarh,Other State,8,6,2,0,
2020-08-05,Chhattisgarh,Other State,10,6,3,0,
2020-08-06,Chhattisgarh,Other State,16,6,3,0,
2020-08-07,Chhattisgarh,Other State,16,6,4,0,
2020-08-08,Chhattisgarh,Other State,17,6,4,0,
2020-08-09,Chhattisgarh,Other State,18,6,4,0,
2020-08-10,Chhattisgarh,Other State,19,6,5,0,
2020-08-11,Chhattisgarh,Other State,21,6,5,0,
2020-08-12,Chhattisgarh,Other State,24,6,5,0,
2020-08-13,Chhattisgarh,Other State,25,6,5,0,
2020-08-14,Chhattisgarh,Other State,28,6,5,0,
2020-08-15,Chhattisgarh,Other State,32,6,5,0,
2020-08-16,Chhattisgarh,Other State,33,6,5,0,
2020-08-17,Chhattisgarh,Other State,33,6,5,0,
2020-08-18,Chhattisgarh,Other State,33,6,5,0,
2020-08-19,Chhattisgarh,Other State,33,7,5,0,
2020-08-20,Chhattisgarh,Other State,33,7,5,0,
2020-08-21,Chhattisgarh,Other State,33,9,5,0,
2020-08-22,Chhattisgarh,Other State,34,11,5,0,
2020-08-23,Chhattisgarh,Other State,35,11,5,0,
2020-08-24,Chhattisgarh,Other State,37,12,5,0,
2020-08-25,Chhattisgarh,Other State,42,15,5,0,
2020-08-26,Chhattisgarh,Other State,46,16,5,0,
2020-08-27,Chhattisgarh,Other State,48,17,6,0,
2020-08-28,Chhattisgarh,Other State,50,19,6,0,
2020-08-29,Chhattisgarh,Other State,50,19,7,0,
2020-08-30,Chhattisgarh,Other State,52,19,7,0,
2020-08-31,Chhattisgarh,Other State,52,22,7,0,
2020-09-01,Chhattisgarh,Other State,55,22,7,0,
2020-09-02,Chhattisgarh,Other State,68,22,9,0,
2020-09-03,Chhattisgarh,Other State,70,22,9,0,
2020-09-04,Chhattisgarh,Other State,79,22,9,0,
2020-09-05,Chhattisgarh,Other State,86,23,9,0,
2020-09-06,Chhattisgarh,Other State,93,24,10,0,
2020-09-07,Chhattisgarh,Other State,99,30,10,0,
2020-09-08,Chhattisgarh,Other State,106,35,11,0,
2020-09-09,Chhattisgarh,Other State,114,40,11,0,
2020-09-10,Chhattisgarh,Other State,117,41,11,0,
2020-09-11,Chhattisgarh,Other State,127,49,11,0,
2020-09-12,Chhattisgarh,Other State,129,49,12,0,
2020-09-13,Chhattisgarh,Other State,133,49,12,0,
2020-09-14,Chhattisgarh,Other State,139,49,12,0,
2020-09-15,Chhattisgarh,Other State,141,49,12,0,
2020-09-16,Chhattisgarh,Other State,141,49,13,0,
2020-09-17,Chhattisgarh,Other State,142,118,13,0,
2020-09-18,Chhattisgarh,Other State,143,118,14,0,
2020-09-19,Chhattisgarh,Other State,147,118,15,0,
2020-09-20,Chhattisgarh,Other State,147,118,15,0,
2020-09-21,Chhattisgarh,Other State,149,118,15,0,
2020-09-22,Chhattisgarh,Other State,151,118,15,0,
2020-09-23,Chhattisgarh,Other State,154,118,16,0,
2020-09-24,Chhattisgarh,Other State,154,121,16,0,
2020-09-25,Chhattisgarh,Other State,156,121,16,0,
2020-09-26,Chhattisgarh,Other State,159,124,17,0,
2020-09-27,Chhattisgarh,Other State,162,125,17,0,
2020-09-28,Chhattisgarh,Other State,162,131,19,0,
2020-09-29,Chhattisgarh,Other State,162,132,20,0,
2020-09-30,Chhattisgarh,Other State,162,132,20,0,
2020-10-01,Chhattisgarh,Other State,162,140,20,0,
2020-10-02,Chhattisgarh,Other State,164,140,20,0,
2020-10-03,Chhattisgarh,Other State,170,141,20,0,
2020-10-04,Chhattisgarh,Other State,174,141,20,0,
2020-10-05,Chhattisgarh,Other State,177,141,20,0,
2020-10-06,Chhattisgarh,Other State,179,141,20,0,
2020-10-07,Chhattisgarh,Other State,181,146,23,0,
2020-10-08,Chhattisgarh,Other State,186,146,23,0,
2020-10-09,Chhattisgarh,Other State,187,146,25,0,
2020-10-10,Chhattisgarh,Other State,188,146,27,0,
2020-10-11,Chhattisgarh,Other State,188,146,28,0,
2020-10-12,Chhattisgarh,Other State,189,146,28,0,
2020-10-13,Chhattisgarh,Other State,193,148,28,0,
2020-10-14,Chhattisgarh,Other State,201,151,29,0,
2020-10-15,Chhattisgarh,Other State,203,151,31,0,
2020-10-16,Chhattisgarh,Other State,203,151,31,0,
2020-10-17,Chhattisgarh,Other State,203,154,31,0,
