Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-18,Chhattisgarh,Raigarh,2,0,0,0,
2020-05-19,Chhattisgarh,Raigarh,2,0,0,0,1969.0
2020-05-20,Chhattisgarh,Raigarh,5,0,0,0,1969.0
2020-05-21,Chhattisgarh,Raigarh,5,0,0,0,2236.0
2020-05-22,Chhattisgarh,Raigarh,5,0,0,0,2236.0
2020-05-23,Chhattisgarh,Raigarh,9,0,0,0,2271.0
2020-05-24,Chhattisgarh,Raigarh,10,0,0,0,2271.0
2020-05-25,Chhattisgarh,Raigarh,10,0,0,0,2615.0
2020-05-26,Chhattisgarh,Raigarh,10,0,0,0,2593.0
2020-05-27,Chhattisgarh,Raigarh,11,0,0,0,2594.0
2020-05-28,Chhattisgarh,Raigarh,13,0,0,0,2653.0
2020-05-29,Chhattisgarh,Raigarh,13,0,0,0,2870.0
2020-05-30,Chhattisgarh,Raigarh,13,0,0,0,2870.0
2020-05-31,Chhattisgarh,Raigarh,13,0,0,0,2870.0
2020-06-01,Chhattisgarh,Raigarh,20,0,0,0,3172.0
2020-06-02,Chhattisgarh,Raigarh,19,0,0,0,3295.0
2020-06-03,Chhattisgarh,Raigarh,20,6,0,0,3686.0
2020-06-04,Chhattisgarh,Raigarh,26,6,0,0,3689.0
2020-06-05,Chhattisgarh,Raigarh,39,6,0,0,3964.0
2020-06-06,Chhattisgarh,Raigarh,45,6,0,0,4142.0
2020-06-07,Chhattisgarh,Raigarh,46,12,0,0,4346.0
2020-06-08,Chhattisgarh,Raigarh,53,13,0,0,4532.0
2020-06-09,Chhattisgarh,Raigarh,53,14,0,0,4686.0
2020-06-10,Chhattisgarh,Raigarh,53,14,0,0,4661.0
2020-06-11,Chhattisgarh,Raigarh,62,16,0,0,4598.0
2020-06-12,Chhattisgarh,Raigarh,62,16,0,0,4845.0
2020-06-13,Chhattisgarh,Raigarh,62,24,0,0,4996.0
2020-06-14,Chhattisgarh,Raigarh,68,30,0,0,5084.0
2020-06-15,Chhattisgarh,Raigarh,68,53,1,0,5084.0
2020-06-16,Chhattisgarh,Raigarh,68,53,1,0,5084.0
2020-06-17,Chhattisgarh,Raigarh,74,54,1,0,5084.0
2020-06-18,Chhattisgarh,Raigarh,76,55,1,0,5084.0
2020-06-19,Chhattisgarh,Raigarh,76,60,1,0,5084.0
2020-06-20,Chhattisgarh,Raigarh,83,64,1,0,5084.0
2020-06-21,Chhattisgarh,Raigarh,85,70,1,0,5084.0
2020-06-22,Chhattisgarh,Raigarh,85,71,1,0,5084.0
2020-06-23,Chhattisgarh,Raigarh,91,71,1,0,5084.0
2020-06-24,Chhattisgarh,Raigarh,94,72,1,0,5084.0
2020-06-25,Chhattisgarh,Raigarh,98,73,1,0,5084.0
2020-06-26,Chhattisgarh,Raigarh,103,73,1,0,5084.0
2020-06-27,Chhattisgarh,Raigarh,107,76,1,0,5084.0
2020-06-28,Chhattisgarh,Raigarh,119,81,1,0,5084.0
2020-06-29,Chhattisgarh,Raigarh,121,86,1,0,5084.0
2020-06-30,Chhattisgarh,Raigarh,121,86,1,0,5084.0
2020-07-01,Chhattisgarh,Raigarh,123,92,1,0,5084.0
2020-07-02,Chhattisgarh,Raigarh,124,98,1,0,5084.0
2020-07-03,Chhattisgarh,Raigarh,129,102,1,0,5084.0
2020-07-04,Chhattisgarh,Raigarh,132,106,1,0,5084.0
2020-07-05,Chhattisgarh,Raigarh,134,121,1,0,5084.0
2020-07-06,Chhattisgarh,Raigarh,134,122,1,0,5084.0
2020-07-07,Chhattisgarh,Raigarh,139,125,1,0,5084.0
2020-07-08,Chhattisgarh,Raigarh,139,128,1,0,5084.0
2020-07-09,Chhattisgarh,Raigarh,139,130,1,0,5084.0
2020-07-10,Chhattisgarh,Raigarh,146,131,2,0,5084.0
2020-07-11,Chhattisgarh,Raigarh,146,131,2,0,5084.0
2020-07-12,Chhattisgarh,Raigarh,147,134,2,0,5084.0
2020-07-13,Chhattisgarh,Raigarh,148,135,2,0,5084.0
2020-07-14,Chhattisgarh,Raigarh,150,135,2,0,5084.0
2020-07-15,Chhattisgarh,Raigarh,150,141,2,0,5084.0
2020-07-16,Chhattisgarh,Raigarh,153,141,2,0,5084.0
2020-07-17,Chhattisgarh,Raigarh,156,141,2,0,5084.0
2020-07-18,Chhattisgarh,Raigarh,163,146,2,0,5084.0
2020-07-19,Chhattisgarh,Raigarh,164,146,2,0,5084.0
2020-07-20,Chhattisgarh,Raigarh,166,147,2,0,5084.0
2020-07-21,Chhattisgarh,Raigarh,166,148,2,0,5084.0
2020-07-22,Chhattisgarh,Raigarh,175,150,2,0,5084.0
2020-07-23,Chhattisgarh,Raigarh,175,152,2,0,5084.0
2020-07-24,Chhattisgarh,Raigarh,185,152,2,0,5084.0
2020-07-25,Chhattisgarh,Raigarh,194,153,2,0,5084.0
2020-07-26,Chhattisgarh,Raigarh,201,158,2,0,5084.0
2020-07-27,Chhattisgarh,Raigarh,207,158,2,0,5084.0
2020-07-28,Chhattisgarh,Raigarh,215,159,2,0,5084.0
2020-07-29,Chhattisgarh,Raigarh,218,163,2,0,5084.0
2020-07-30,Chhattisgarh,Raigarh,219,163,2,0,5084.0
2020-07-31,Chhattisgarh,Raigarh,219,172,2,0,5084.0
2020-08-01,Chhattisgarh,Raigarh,223,177,2,0,5084.0
2020-08-02,Chhattisgarh,Raigarh,240,184,2,0,5084.0
2020-08-03,Chhattisgarh,Raigarh,256,190,2,0,5084.0
2020-08-04,Chhattisgarh,Raigarh,259,197,2,0,5084.0
2020-08-05,Chhattisgarh,Raigarh,269,202,2,0,5084.0
2020-08-06,Chhattisgarh,Raigarh,288,202,2,0,5084.0
2020-08-07,Chhattisgarh,Raigarh,306,208,4,0,5084.0
2020-08-08,Chhattisgarh,Raigarh,322,208,4,0,5084.0
2020-08-09,Chhattisgarh,Raigarh,331,208,5,0,5084.0
2020-08-10,Chhattisgarh,Raigarh,392,227,5,0,5084.0
2020-08-11,Chhattisgarh,Raigarh,421,242,5,0,5084.0
2020-08-12,Chhattisgarh,Raigarh,463,245,5,0,5084.0
2020-08-13,Chhattisgarh,Raigarh,492,247,5,0,5084.0
2020-08-14,Chhattisgarh,Raigarh,530,270,5,0,5084.0
2020-08-15,Chhattisgarh,Raigarh,574,286,5,0,5084.0
2020-08-16,Chhattisgarh,Raigarh,610,289,5,0,5084.0
2020-08-17,Chhattisgarh,Raigarh,617,291,5,0,5084.0
2020-08-18,Chhattisgarh,Raigarh,691,312,5,0,5084.0
2020-08-19,Chhattisgarh,Raigarh,757,320,7,0,5084.0
2020-08-20,Chhattisgarh,Raigarh,793,321,8,0,5084.0
2020-08-21,Chhattisgarh,Raigarh,839,363,8,0,5084.0
2020-08-22,Chhattisgarh,Raigarh,898,459,7,0,5084.0
2020-08-23,Chhattisgarh,Raigarh,973,483,8,0,5084.0
2020-08-24,Chhattisgarh,Raigarh,1104,525,8,0,5084.0
2020-08-25,Chhattisgarh,Raigarh,1224,573,11,0,5084.0
2020-08-26,Chhattisgarh,Raigarh,1321,604,11,0,5084.0
2020-08-27,Chhattisgarh,Raigarh,1400,617,12,0,5084.0
2020-08-28,Chhattisgarh,Raigarh,1471,646,12,0,5084.0
2020-08-29,Chhattisgarh,Raigarh,1532,750,14,0,5084.0
2020-08-30,Chhattisgarh,Raigarh,1576,841,14,0,5084.0
2020-08-31,Chhattisgarh,Raigarh,1696,906,15,0,5084.0
2020-09-01,Chhattisgarh,Raigarh,1799,987,15,0,5084.0
2020-09-02,Chhattisgarh,Raigarh,1956,1048,17,0,5084.0
2020-09-03,Chhattisgarh,Raigarh,2056,1152,17,0,5084.0
2020-09-04,Chhattisgarh,Raigarh,2170,1188,18,0,5084.0
2020-09-05,Chhattisgarh,Raigarh,2393,1283,18,0,5084.0
2020-09-06,Chhattisgarh,Raigarh,2560,1305,20,0,5084.0
2020-09-07,Chhattisgarh,Raigarh,2642,1348,21,0,5084.0
2020-09-08,Chhattisgarh,Raigarh,2799,1410,21,0,5084.0
2020-09-09,Chhattisgarh,Raigarh,2957,1419,21,0,5084.0
2020-09-10,Chhattisgarh,Raigarh,3153,1579,22,0,5084.0
2020-09-11,Chhattisgarh,Raigarh,3207,1694,24,0,5084.0
2020-09-12,Chhattisgarh,Raigarh,3387,1804,35,0,5084.0
2020-09-13,Chhattisgarh,Raigarh,3537,1928,26,0,5084.0
2020-09-14,Chhattisgarh,Raigarh,3750,2122,30,0,5084.0
2020-09-15,Chhattisgarh,Raigarh,3871,2191,31,0,5084.0
2020-09-16,Chhattisgarh,Raigarh,4165,2306,34,0,5084.0
2020-09-17,Chhattisgarh,Raigarh,4494,2323,34,0,5084.0
2020-09-18,Chhattisgarh,Raigarh,4662,2559,36,0,5084.0
2020-09-19,Chhattisgarh,Raigarh,4778,2644,36,0,5084.0
2020-09-20,Chhattisgarh,Raigarh,4827,2828,36,0,5084.0
2020-09-21,Chhattisgarh,Raigarh,4905,3000,36,0,5084.0
2020-09-22,Chhattisgarh,Raigarh,5102,3082,36,0,5084.0
2020-09-23,Chhattisgarh,Raigarh,5153,3271,36,0,5084.0
2020-09-24,Chhattisgarh,Raigarh,5164,3429,36,0,5084.0
2020-09-25,Chhattisgarh,Raigarh,5377,3744,36,0,5084.0
2020-09-26,Chhattisgarh,Raigarh,5658,4390,36,0,5084.0
2020-09-27,Chhattisgarh,Raigarh,5885,4449,36,0,5084.0
2020-09-28,Chhattisgarh,Raigarh,6103,4588,36,0,5084.0
2020-09-29,Chhattisgarh,Raigarh,6296,4743,42,0,5084.0
2020-09-30,Chhattisgarh,Raigarh,6536,4883,58,0,5084.0
2020-10-01,Chhattisgarh,Raigarh,6887,5077,58,0,5084.0
2020-10-02,Chhattisgarh,Raigarh,7105,5260,58,0,5084.0
2020-10-03,Chhattisgarh,Raigarh,7324,5549,66,0,5084.0
2020-10-04,Chhattisgarh,Raigarh,7508,5837,68,0,5084.0
2020-10-05,Chhattisgarh,Raigarh,7695,6043,68,0,5084.0
2020-10-06,Chhattisgarh,Raigarh,7945,6213,71,0,5084.0
2020-10-07,Chhattisgarh,Raigarh,8183,6336,74,0,5084.0
2020-10-08,Chhattisgarh,Raigarh,8455,6555,77,0,5084.0
2020-10-09,Chhattisgarh,Raigarh,8684,6794,83,0,5084.0
2020-10-10,Chhattisgarh,Raigarh,8893,7074,85,0,5084.0
2020-10-11,Chhattisgarh,Raigarh,9030,7228,85,0,5084.0
2020-10-12,Chhattisgarh,Raigarh,9259,7397,85,0,5084.0
2020-10-13,Chhattisgarh,Raigarh,9523,7586,91,0,5084.0
2020-10-14,Chhattisgarh,Raigarh,9749,7750,94,0,5084.0
2020-10-15,Chhattisgarh,Raigarh,10001,7980,99,0,5084.0
2020-10-16,Chhattisgarh,Raigarh,10242,8206,112,0,5084.0
2020-10-17,Chhattisgarh,Raigarh,10466,8493,114,0,5084.0
2020-10-18,Chhattisgarh,Raigarh,10642,8652,116,0,5084.0
2020-10-19,Chhattisgarh,Raigarh,10814,8900,119,0,5084.0
2020-10-20,Chhattisgarh,Raigarh,11096,9160,120,0,5084.0
2020-10-21,Chhattisgarh,Raigarh,11343,9303,120,0,5084.0
2020-10-22,Chhattisgarh,Raigarh,11582,9512,120,0,5084.0
2020-10-23,Chhattisgarh,Raigarh,11764,9618,122,0,5084.0
2020-10-24,Chhattisgarh,Raigarh,11939,9810,126,0,5084.0
2020-10-25,Chhattisgarh,Raigarh,12026,9994,129,0,5084.0
2020-10-26,Chhattisgarh,Raigarh,12176,10124,130,0,5084.0
2020-10-27,Chhattisgarh,Raigarh,12382,10322,131,0,5084.0
2020-10-28,Chhattisgarh,Raigarh,12617,10433,135,0,5084.0
2020-10-29,Chhattisgarh,Raigarh,12617,10433,135,0,5084.0
