Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-04-27,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-04-28,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-04-29,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-04-30,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-01,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-02,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-03,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-04,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-05,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-06,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-07,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-08,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-09,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-10,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-11,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-12,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-13,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-14,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-15,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-16,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-17,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-18,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-19,Chhattisgarh,Rajnandgaon,5,1,0,0,2295.0
2020-05-20,Chhattisgarh,Rajnandgaon,6,1,0,0,2295.0
2020-05-21,Chhattisgarh,Rajnandgaon,10,1,0,0,3471.0
2020-05-22,Chhattisgarh,Rajnandgaon,12,1,0,0,3471.0
2020-05-23,Chhattisgarh,Rajnandgaon,22,1,0,0,3890.0
2020-05-24,Chhattisgarh,Rajnandgaon,22,1,0,0,3890.0
2020-05-25,Chhattisgarh,Rajnandgaon,23,1,0,0,4001.0
2020-05-26,Chhattisgarh,Rajnandgaon,35,1,0,0,4035.0
2020-05-27,Chhattisgarh,Rajnandgaon,36,1,0,0,4081.0
2020-05-28,Chhattisgarh,Rajnandgaon,35,1,0,0,4235.0
2020-05-29,Chhattisgarh,Rajnandgaon,35,1,0,0,4242.0
2020-05-30,Chhattisgarh,Rajnandgaon,35,1,0,0,4242.0
2020-05-31,Chhattisgarh,Rajnandgaon,36,1,0,0,4242.0
2020-06-01,Chhattisgarh,Rajnandgaon,37,1,0,0,4436.0
2020-06-02,Chhattisgarh,Rajnandgaon,37,1,0,0,4457.0
2020-06-03,Chhattisgarh,Rajnandgaon,37,1,0,0,4463.0
2020-06-04,Chhattisgarh,Rajnandgaon,45,1,0,0,4608.0
2020-06-05,Chhattisgarh,Rajnandgaon,47,1,0,0,4715.0
2020-06-06,Chhattisgarh,Rajnandgaon,51,1,0,0,5170.0
2020-06-07,Chhattisgarh,Rajnandgaon,52,1,0,0,5185.0
2020-06-08,Chhattisgarh,Rajnandgaon,57,35,0,0,5202.0
2020-06-09,Chhattisgarh,Rajnandgaon,59,36,0,0,5223.0
2020-06-10,Chhattisgarh,Rajnandgaon,59,36,0,0,5232.0
2020-06-11,Chhattisgarh,Rajnandgaon,65,36,0,0,5287.0
2020-06-12,Chhattisgarh,Rajnandgaon,66,37,0,0,5306.0
2020-06-13,Chhattisgarh,Rajnandgaon,79,46,0,0,5484.0
2020-06-14,Chhattisgarh,Rajnandgaon,79,46,0,0,5571.0
2020-06-15,Chhattisgarh,Rajnandgaon,85,51,0,0,5571.0
2020-06-16,Chhattisgarh,Rajnandgaon,91,58,0,0,5571.0
2020-06-17,Chhattisgarh,Rajnandgaon,92,59,0,0,5571.0
2020-06-18,Chhattisgarh,Rajnandgaon,97,64,0,0,5571.0
2020-06-19,Chhattisgarh,Rajnandgaon,100,68,1,0,5571.0
2020-06-20,Chhattisgarh,Rajnandgaon,157,70,1,0,5571.0
2020-06-21,Chhattisgarh,Rajnandgaon,171,84,1,0,5571.0
2020-06-22,Chhattisgarh,Rajnandgaon,186,84,2,0,5571.0
2020-06-23,Chhattisgarh,Rajnandgaon,207,85,2,0,5571.0
2020-06-24,Chhattisgarh,Rajnandgaon,209,88,2,0,5571.0
2020-06-25,Chhattisgarh,Rajnandgaon,213,88,2,0,5571.0
2020-06-26,Chhattisgarh,Rajnandgaon,218,99,2,0,5571.0
2020-06-27,Chhattisgarh,Rajnandgaon,243,100,2,0,5571.0
2020-06-28,Chhattisgarh,Rajnandgaon,268,163,2,0,5571.0
2020-06-29,Chhattisgarh,Rajnandgaon,273,195,2,0,5571.0
2020-06-30,Chhattisgarh,Rajnandgaon,274,209,2,0,5571.0
2020-07-01,Chhattisgarh,Rajnandgaon,292,211,2,0,5571.0
2020-07-02,Chhattisgarh,Rajnandgaon,291,216,2,0,5571.0
2020-07-03,Chhattisgarh,Rajnandgaon,298,222,2,0,5571.0
