Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Chhattisgarh,Sukma,0,0,0,0,533.0
2020-05-20,Chhattisgarh,Sukma,0,0,0,0,533.0
2020-05-21,Chhattisgarh,Sukma,0,0,0,0,961.0
2020-05-22,Chhattisgarh,Sukma,0,0,0,0,961.0
2020-05-23,Chhattisgarh,Sukma,0,0,0,0,928.0
2020-05-24,Chhattisgarh,Sukma,0,0,0,0,928.0
2020-05-25,Chhattisgarh,Sukma,0,0,0,0,992.0
2020-05-26,Chhattisgarh,Sukma,0,0,0,0,1016.0
2020-05-27,Chhattisgarh,Sukma,0,0,0,0,1059.0
2020-05-28,Chhattisgarh,Sukma,0,0,0,0,1110.0
2020-05-29,Chhattisgarh,Sukma,0,0,0,0,1124.0
2020-05-30,Chhattisgarh,Sukma,0,0,0,0,1124.0
2020-05-31,Chhattisgarh,Sukma,0,0,0,0,1124.0
2020-06-01,Chhattisgarh,Sukma,0,0,0,0,1168.0
2020-06-02,Chhattisgarh,Sukma,0,0,0,0,1181.0
2020-06-03,Chhattisgarh,Sukma,0,0,0,0,1267.0
2020-06-04,Chhattisgarh,Sukma,0,0,0,0,1344.0
2020-06-05,Chhattisgarh,Sukma,0,0,0,0,1449.0
2020-06-06,Chhattisgarh,Sukma,0,0,0,0,1545.0
2020-06-07,Chhattisgarh,Sukma,0,0,0,0,1612.0
2020-06-08,Chhattisgarh,Sukma,0,0,0,0,1592.0
2020-06-09,Chhattisgarh,Sukma,0,0,0,0,1652.0
2020-06-10,Chhattisgarh,Sukma,0,0,0,0,1684.0
2020-06-11,Chhattisgarh,Sukma,0,0,0,0,1749.0
2020-06-12,Chhattisgarh,Sukma,0,0,0,0,1722.0
2020-06-13,Chhattisgarh,Sukma,0,0,0,0,1729.0
2020-06-14,Chhattisgarh,Sukma,0,0,0,0,1723.0
2020-06-15,Chhattisgarh,Sukma,0,0,0,0,1723.0
2020-06-16,Chhattisgarh,Sukma,0,0,0,0,1723.0
2020-06-17,Chhattisgarh,Sukma,0,0,0,0,1723.0
2020-06-18,Chhattisgarh,Sukma,0,0,0,0,1723.0
2020-06-19,Chhattisgarh,Sukma,0,0,0,0,1723.0
2020-06-20,Chhattisgarh,Sukma,3,0,0,0,1723.0
2020-06-21,Chhattisgarh,Sukma,3,0,0,0,1723.0
2020-06-22,Chhattisgarh,Sukma,3,0,0,0,1723.0
2020-06-23,Chhattisgarh,Sukma,3,0,0,0,1723.0
2020-06-24,Chhattisgarh,Sukma,3,0,0,0,1723.0
2020-06-25,Chhattisgarh,Sukma,5,0,0,0,1723.0
2020-06-26,Chhattisgarh,Sukma,5,0,0,0,1723.0
2020-06-27,Chhattisgarh,Sukma,5,0,0,0,1723.0
2020-06-28,Chhattisgarh,Sukma,5,3,0,0,1723.0
