Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-18,Chhattisgarh,Surguja,1,0,0,0,
2020-05-19,Chhattisgarh,Surguja,1,0,0,0,659.0
2020-05-20,Chhattisgarh,Surguja,2,0,0,0,659.0
2020-05-21,Chhattisgarh,Surguja,3,0,0,0,679.0
2020-05-22,Chhattisgarh,Surguja,3,0,0,0,679.0
2020-05-23,Chhattisgarh,Surguja,6,0,0,0,761.0
2020-05-24,Chhattisgarh,Surguja,6,0,0,0,761.0
2020-05-25,Chhattisgarh,Surguja,7,0,0,0,924.0
2020-05-26,Chhattisgarh,Surguja,7,0,0,0,1194.0
2020-05-27,Chhattisgarh,Surguja,7,0,0,0,1194.0
2020-05-28,Chhattisgarh,Surguja,7,0,0,0,1282.0
2020-05-29,Chhattisgarh,Surguja,7,0,0,0,1317.0
2020-05-30,Chhattisgarh,Surguja,7,0,0,0,1317.0
2020-05-31,Chhattisgarh,Surguja,9,0,0,0,1317.0
2020-06-01,Chhattisgarh,Surguja,9,1,0,0,1405.0
2020-06-02,Chhattisgarh,Surguja,9,1,0,0,1430.0
2020-06-03,Chhattisgarh,Surguja,9,4,0,0,1431.0
2020-06-04,Chhattisgarh,Surguja,9,6,0,0,1513.0
2020-06-05,Chhattisgarh,Surguja,9,6,0,0,1593.0
2020-06-06,Chhattisgarh,Surguja,14,7,0,0,1782.0
2020-06-07,Chhattisgarh,Surguja,14,7,0,0,1783.0
2020-06-08,Chhattisgarh,Surguja,24,7,0,0,1892.0
2020-06-09,Chhattisgarh,Surguja,24,7,0,0,1908.0
2020-06-10,Chhattisgarh,Surguja,26,7,0,0,1883.0
2020-06-11,Chhattisgarh,Surguja,27,8,0,0,1906.0
2020-06-12,Chhattisgarh,Surguja,27,9,0,0,1947.0
2020-06-13,Chhattisgarh,Surguja,27,9,0,0,1956.0
2020-06-14,Chhattisgarh,Surguja,27,11,0,0,2008.0
2020-06-15,Chhattisgarh,Surguja,27,26,0,0,2008.0
2020-06-16,Chhattisgarh,Surguja,27,26,0,0,2008.0
2020-06-17,Chhattisgarh,Surguja,27,27,0,0,2008.0
2020-06-18,Chhattisgarh,Surguja,25,25,0,0,2008.0
2020-06-19,Chhattisgarh,Surguja,42,25,0,0,2008.0
2020-06-20,Chhattisgarh,Surguja,42,25,0,0,2008.0
2020-06-21,Chhattisgarh,Surguja,43,25,0,0,2008.0
2020-06-22,Chhattisgarh,Surguja,43,25,0,0,2008.0
