Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-20,Chhattisgarh,Unknown,4,0,0,0,
2020-05-21,Chhattisgarh,Unknown,0,0,0,0,
2020-05-24,Chhattisgarh,Unknown,7,0,0,0,
2020-05-25,Chhattisgarh,Unknown,0,3,0,0,
2020-05-26,Chhattisgarh,Unknown,0,0,0,0,
2020-05-27,Chhattisgarh,Unknown,-1,0,0,0,
2020-05-28,Chhattisgarh,Unknown,0,0,0,0,
2020-05-31,Chhattisgarh,Unknown,2,0,0,0,
2020-06-01,Chhattisgarh,Unknown,2,0,0,0,
2020-06-02,Chhattisgarh,Unknown,0,0,0,0,
2020-06-04,Chhattisgarh,Unknown,2,0,0,0,
2020-06-05,Chhattisgarh,Unknown,0,0,0,0,
2020-06-14,Chhattisgarh,Unknown,9,2,3,0,
2020-06-15,Chhattisgarh,Unknown,0,0,0,0,
