Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Delhi,Delhi,2918,877,54,0,37613.0
2020-04-27,Delhi,Delhi,3108,877,54,0,39911.0
2020-04-28,Delhi,Delhi,3314,1078,54,0,43370.0
2020-04-29,Delhi,Delhi,3439,1092,56,0,47225.0
2020-04-30,Delhi,Delhi,3515,1094,59,0,47225.0
2020-05-01,Delhi,Delhi,3738,1167,61,0,47225.0
2020-05-02,Delhi,Delhi,4122,1256,64,0,58210.0
2020-05-03,Delhi,Delhi,4549,1362,64,0,60246.0
2020-05-04,Delhi,Delhi,4898,1431,64,0,64108.0
2020-05-05,Delhi,Delhi,5104,1468,64,0,67852.0
2020-05-06,Delhi,Delhi,5532,1542,65,0,71934.0
2020-05-07,Delhi,Delhi,5980,1931,66,0,77234.0
2020-05-08,Delhi,Delhi,6318,2020,68,0,81367.0
2020-05-09,Delhi,Delhi,6542,2020,68,0,84226.0
2020-05-10,Delhi,Delhi,6923,2069,73,0,93810.0
2020-05-11,Delhi,Delhi,7233,2129,73,0,97678.0
2020-05-12,Delhi,Delhi,7639,2512,86,0,106109.0
2020-05-13,Delhi,Delhi,7998,2858,106,0,113345.0
2020-05-14,Delhi,Delhi,8470,3045,115,0,119736.0
2020-05-15,Delhi,Delhi,8895,3518,123,0,125189.0
2020-05-16,Delhi,Delhi,9333,3926,129,0,130845.0
2020-05-17,Delhi,Delhi,9755,4202,148,0,135791.0
2020-05-18,Delhi,Delhi,10054,4485,160,0,139727.0
2020-05-19,Delhi,Delhi,10554,4750,166,0,145854.0
2020-05-20,Delhi,Delhi,11088,5192,176,0,150282.0
2020-05-21,Delhi,Delhi,11659,5567,194,0,154385.0
2020-05-22,Delhi,Delhi,12319,5897,208,0,160255.0
2020-05-23,Delhi,Delhi,12910,6267,231,0,165047.0
2020-05-24,Delhi,Delhi,13418,6540,261,0,169873.0
2020-05-25,Delhi,Delhi,14053,6771,276,0,174469.0
2020-05-26,Delhi,Delhi,14465,6954,288,0,178579.0
2020-05-27,Delhi,Delhi,15257,7264,303,0,184362.0
2020-05-28,Delhi,Delhi,16281,7495,316,0,191977.0
2020-05-29,Delhi,Delhi,17386,7846,398,0,199626.0
2020-05-30,Delhi,Delhi,18549,8075,416,0,206739.0
2020-05-31,Delhi,Delhi,19844,8478,473,0,212784.0
2020-06-01,Delhi,Delhi,20834,8746,523,0,217537.0
2020-06-02,Delhi,Delhi,22132,9243,556,0,223607.0
2020-06-03,Delhi,Delhi,23645,9542,615,0,230145.0
2020-06-04,Delhi,Delhi,25004,9898,659,0,236506.0
2020-06-05,Delhi,Delhi,26334,10315,708,0,241693.0
2020-06-06,Delhi,Delhi,27654,10664,761,0,246873.0
2020-06-07,Delhi,Delhi,28936,10999,812,0,251915.0
2020-06-08,Delhi,Delhi,29943,11357,874,0,255615.0
2020-06-09,Delhi,Delhi,31309,11861,905,0,261079.0
2020-06-10,Delhi,Delhi,32810,12245,984,0,266156.0
2020-06-11,Delhi,Delhi,34687,12731,1085,0,271516.0
2020-06-12,Delhi,Delhi,36824,13398,1214,0,277463.0
2020-06-13,Delhi,Delhi,38958,14945,1271,0,283239.0
2020-06-14,Delhi,Delhi,41182,15823,1327,0,290592.0
2020-06-15,Delhi,Delhi,42829,16427,1400,0,296697.0
2020-06-16,Delhi,Delhi,44688,16500,1837,0,304483.0
2020-06-17,Delhi,Delhi,47102,17457,1904,0,312576.0
2020-06-18,Delhi,Delhi,49979,21341,1969,0,321302.0
2020-06-19,Delhi,Delhi,53116,23569,2035,0,334376.0
2020-06-20,Delhi,Delhi,56746,31294,2112,0,351909.0
2020-06-21,Delhi,Delhi,59746,33013,2175,0,370014.0
2020-06-22,Delhi,Delhi,62655,36602,2233,0,384696.0
2020-06-23,Delhi,Delhi,66602,39313,2301,0,401648.0
2020-06-24,Delhi,Delhi,70390,41437,2365,0,420707.0
2020-06-25,Delhi,Delhi,73780,44765,2429,0,438012.0
2020-06-26,Delhi,Delhi,77240,47091,2492,0,459156.0
2020-06-27,Delhi,Delhi,80188,49301,2558,0,478336.0
2020-06-28,Delhi,Delhi,83077,52607,2623,0,498416.0
