Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Goa,Unknown,7,7,0,0,1206.0
2020-04-27,Goa,Unknown,7,7,0,0,1541.0
2020-04-28,Goa,Unknown,7,7,0,0,1776.0
2020-04-29,Goa,Unknown,7,7,0,0,1871.0
2020-04-30,Goa,Unknown,7,7,0,0,2031.0
2020-05-01,Goa,Unknown,7,7,0,0,2181.0
2020-05-02,Goa,Unknown,7,7,0,0,2372.0
2020-05-03,Goa,Unknown,7,7,0,0,2548.0
2020-05-04,Goa,Unknown,7,7,0,0,2899.0
2020-05-05,Goa,Unknown,7,7,0,0,3096.0
2020-05-06,Goa,Unknown,7,7,0,0,3411.0
2020-05-07,Goa,Unknown,7,7,0,0,3411.0
2020-05-08,Goa,Unknown,7,7,0,0,4140.0
2020-05-09,Goa,Unknown,7,7,0,0,4524.0
2020-05-10,Goa,Unknown,7,7,0,0,4848.0
2020-05-11,Goa,Unknown,7,7,0,0,5307.0
2020-05-12,Goa,Unknown,7,7,0,0,5307.0
2020-05-13,Goa,Unknown,7,7,0,0,5307.0
2020-05-14,Goa,Unknown,15,7,0,0,6736.0
2020-05-15,Goa,Unknown,15,7,0,0,7304.0
2020-05-16,Goa,Unknown,20,7,0,0,8011.0
2020-05-17,Goa,Unknown,29,7,0,0,8785.0
2020-05-18,Goa,Unknown,38,7,0,0,8785.0
2020-05-19,Goa,Unknown,46,7,0,0,9549.0
2020-05-20,Goa,Unknown,50,7,0,0,10136.0
2020-05-21,Goa,Unknown,52,7,0,0,10859.0
2020-05-22,Goa,Unknown,54,16,0,0,11362.0
2020-05-23,Goa,Unknown,55,16,0,0,11945.0
2020-05-24,Goa,Unknown,66,16,0,0,12499.0
2020-05-25,Goa,Unknown,67,19,0,0,12860.0
2020-05-26,Goa,Unknown,67,28,0,0,13303.0
2020-05-27,Goa,Unknown,68,37,0,0,13911.0
2020-05-28,Goa,Unknown,69,38,0,0,14782.0
2020-05-29,Goa,Unknown,69,41,0,0,16141.0
2020-05-30,Goa,Unknown,70,42,0,0,17871.0
2020-05-31,Goa,Unknown,71,44,0,0,19491.0
2020-06-01,Goa,Unknown,73,50,0,0,20780.0
2020-06-02,Goa,Unknown,79,57,0,0,22378.0
2020-06-03,Goa,Unknown,126,57,0,0,23816.0
2020-06-04,Goa,Unknown,166,57,0,0,25300.0
2020-06-05,Goa,Unknown,196,65,0,0,26208.0
2020-06-06,Goa,Unknown,267,65,0,0,27402.0
2020-06-07,Goa,Unknown,300,65,0,0,29739.0
2020-06-08,Goa,Unknown,330,67,0,0,31455.0
2020-06-09,Goa,Unknown,359,67,0,0,32194.0
2020-06-10,Goa,Unknown,387,67,0,0,35332.0
2020-06-11,Goa,Unknown,417,67,0,0,37858.0
2020-06-12,Goa,Unknown,463,69,0,0,39298.0
2020-06-13,Goa,Unknown,523,70,0,0,40723.0
2020-06-14,Goa,Unknown,564,74,0,0,41835.0
2020-06-15,Goa,Unknown,592,85,0,0,42703.0
2020-06-16,Goa,Unknown,629,85,0,0,44378.0
2020-06-17,Goa,Unknown,656,96,0,0,45685.0
2020-06-18,Goa,Unknown,705,109,0,0,46996.0
2020-06-19,Goa,Unknown,725,118,0,0,49718.0
2020-06-20,Goa,Unknown,754,129,0,0,51404.0
2020-06-21,Goa,Unknown,818,135,0,0,52301.0
2020-06-22,Goa,Unknown,864,152,1,0,53050.0
2020-06-23,Goa,Unknown,909,205,2,0,54781.0
2020-06-24,Goa,Unknown,951,289,2,0,56925.0
2020-06-25,Goa,Unknown,995,335,2,0,58584.0
2020-06-26,Goa,Unknown,1039,370,2,0,60350.0
2020-06-27,Goa,Unknown,1128,420,2,0,61687.0
2020-06-28,Goa,Unknown,1198,478,3,0,62945.0
2020-06-29,Goa,Unknown,1251,524,3,0,64375.0
2020-06-30,Goa,Unknown,1315,596,3,0,66491.0
2020-07-01,Goa,Unknown,1387,670,4,0,67822.0
2020-07-02,Goa,Unknown,1482,734,4,0,70738.0
2020-07-03,Goa,Unknown,1576,772,4,0,72691.0
2020-07-04,Goa,Unknown,1684,825,6,0,74314.0
2020-07-05,Goa,Unknown,1761,936,7,0,75791.0
2020-07-06,Goa,Unknown,1813,1061,7,0,77033.0
2020-07-07,Goa,Unknown,1903,1156,8,0,79864.0
2020-07-08,Goa,Unknown,2039,1207,8,0,82555.0
2020-07-09,Goa,Unknown,2151,1273,9,0,84945.0
2020-07-10,Goa,Unknown,2251,1347,9,0,87865.0
2020-07-11,Goa,Unknown,2368,1428,12,0,90817.0
2020-07-12,Goa,Unknown,2453,1487,14,0,92191.0
2020-07-13,Goa,Unknown,2583,1540,17,0,93968.0
2020-07-14,Goa,Unknown,2753,1607,18,0,96692.0
2020-07-15,Goa,Unknown,2951,1674,18,0,99234.0
2020-07-16,Goa,Unknown,3108,1817,19,0,101554.0
2020-07-17,Goa,Unknown,3304,1946,21,0,103527.0
2020-07-18,Goa,Unknown,3484,2038,21,0,105731.0
2020-07-19,Goa,Unknown,3657,2218,22,0,107266.0
2020-07-20,Goa,Unknown,3853,2361,23,0,108459.0
2020-07-21,Goa,Unknown,4027,2449,26,0,111296.0
2020-07-22,Goa,Unknown,4176,2541,28,0,114309.0
2020-07-23,Goa,Unknown,4350,2655,29,0,117321.0
2020-07-24,Goa,Unknown,4540,2865,29,0,119455.0
2020-07-25,Goa,Unknown,4686,3047,33,0,121771.0
2020-07-26,Goa,Unknown,4861,3277,35,0,123130.0
2020-07-27,Goa,Unknown,5119,3410,36,0,124746.0
2020-07-28,Goa,Unknown,5287,3595,36,0,126655.0
2020-07-29,Goa,Unknown,5489,3784,39,0,128289.0
2020-07-30,Goa,Unknown,5704,4005,42,0,129719.0
2020-07-31,Goa,Unknown,5913,4211,45,0,131318.0
2020-08-01,Goa,Unknown,6193,4438,48,0,132830.0
2020-08-02,Goa,Unknown,6530,4668,53,0,134395.0
2020-08-03,Goa,Unknown,6816,4876,56,0,135692.0
2020-08-04,Goa,Unknown,7075,5114,60,0,137575.0
2020-08-05,Goa,Unknown,7423,5287,64,0,139566.0
2020-08-06,Goa,Unknown,7614,5453,66,0,142192.0
2020-08-07,Goa,Unknown,7947,5595,70,0,144814.0
2020-08-08,Goa,Unknown,8206,5802,72,0,147138.0
2020-08-09,Goa,Unknown,8712,5995,75,0,149304.0
2020-08-10,Goa,Unknown,9029,6208,80,0,151202.0
2020-08-11,Goa,Unknown,9444,6480,86,0,153792.0
2020-08-12,Goa,Unknown,9924,6641,89,0,156498.0
2020-08-13,Goa,Unknown,10494,6912,91,0,159159.0
2020-08-14,Goa,Unknown,10970,7157,93,0,162126.0
2020-08-15,Goa,Unknown,11339,7488,98,0,163874.0
2020-08-16,Goa,Unknown,11639,7775,104,0,165356.0
2020-08-17,Goa,Unknown,11994,8058,111,0,167381.0
2020-08-18,Goa,Unknown,12333,8356,116,0,170125.0
2020-08-19,Goa,Unknown,12675,8713,124,0,172549.0
2020-08-20,Goa,Unknown,13099,9063,126,0,175100.0
2020-08-21,Goa,Unknown,13484,9540,135,0,178175.0
2020-08-22,Goa,Unknown,13790,10019,140,0,179836.0
2020-08-23,Goa,Unknown,13999,10472,144,0,180716.0
2020-08-24,Goa,Unknown,14138,10909,148,0,182409.0
2020-08-25,Goa,Unknown,14530,11224,157,0,184872.0
2020-08-26,Goa,Unknown,15027,11511,165,0,187140.0
2020-08-27,Goa,Unknown,15483,11867,171,0,189667.0
2020-08-28,Goa,Unknown,16006,12296,175,0,192589.0
2020-08-29,Goa,Unknown,16553,12729,178,0,195084.0
2020-08-30,Goa,Unknown,17004,13186,183,0,197216.0
2020-08-31,Goa,Unknown,17418,13577,192,0,199224.0
2020-09-01,Goa,Unknown,18006,13850,194,0,202730.0
2020-09-02,Goa,Unknown,18642,14059,204,0,204438.0
2020-09-03,Goa,Unknown,19355,14361,212,0,206760.0
2020-09-04,Goa,Unknown,19863,14747,220,0,208917.0
2020-09-05,Goa,Unknown,20455,15281,229,0,211048.0
2020-09-06,Goa,Unknown,20829,15839,236,0,212150.0
2020-09-07,Goa,Unknown,21173,16427,245,0,213469.0
2020-09-08,Goa,Unknown,21630,16875,256,0,215345.0
2020-09-09,Goa,Unknown,22251,17156,262,0,217485.0
2020-09-10,Goa,Unknown,22890,17592,268,0,219666.0
2020-09-11,Goa,Unknown,23445,18065,276,0,221433.0
2020-09-12,Goa,Unknown,24185,18576,286,0,223892.0
2020-09-13,Goa,Unknown,24592,19129,290,0,225051.0
2020-09-14,Goa,Unknown,24898,19648,304,0,225910.0
2020-09-15,Goa,Unknown,25511,20094,315,0,227810.0
2020-09-16,Goa,Unknown,26139,20445,319,0,229876.0
2020-09-17,Goa,Unknown,26783,20844,327,0,231801.0
2020-09-18,Goa,Unknown,27379,21314,335,0,233674.0
2020-09-19,Goa,Unknown,28022,21760,342,0,235787.0
2020-09-20,Goa,Unknown,28429,22297,351,0,237198.0
2020-09-21,Goa,Unknown,28753,22726,360,0,238343.0
2020-09-22,Goa,Unknown,29343,23462,368,0,240206.0
2020-09-23,Goa,Unknown,29879,23857,376,0,242078.0
2020-09-24,Goa,Unknown,30552,24347,383,0,244189.0
2020-09-25,Goa,Unknown,31071,25071,386,0,246170.0
2020-09-26,Goa,Unknown,31574,25759,391,0,248153.0
2020-09-27,Goa,Unknown,31958,26460,401,0,249581.0
2020-09-28,Goa,Unknown,32396,27072,407,0,251033.0
2020-09-29,Goa,Unknown,32777,27781,419,0,252783.0
2020-09-30,Goa,Unknown,33418,28125,428,0,254801.0
2020-10-01,Goa,Unknown,33942,28525,440,0,256897.0
2020-10-02,Goa,Unknown,34455,29004,442,0,258285.0
2020-10-03,Goa,Unknown,34900,29527,450,0,259777.0
2020-10-04,Goa,Unknown,35328,30033,456,0,260955.0
2020-10-05,Goa,Unknown,35719,30456,460,0,262241.0
2020-10-06,Goa,Unknown,36238,31050,468,0,264139.0
2020-10-07,Goa,Unknown,36670,31444,477,0,265959.0
2020-10-08,Goa,Unknown,37102,31902,484,0,267362.0
2020-10-09,Goa,Unknown,37591,32317,491,0,269205.0
2020-10-10,Goa,Unknown,37934,32777,499,0,270616.0
2020-10-11,Goa,Unknown,38366,33203,507,0,271962.0
2020-10-12,Goa,Unknown,38674,33698,511,0,273404.0
2020-10-13,Goa,Unknown,39082,34252,514,0,274974.0
2020-10-14,Goa,Unknown,39438,34731,519,0,276457.0
2020-10-15,Goa,Unknown,39770,35161,525,0,278039.0
2020-10-16,Goa,Unknown,40091,35610,531,0,279295.0
2020-10-17,Goa,Unknown,40400,36035,538,0,280703.0
2020-10-18,Goa,Unknown,40587,36395,544,0,281949.0
2020-10-19,Goa,Unknown,40746,36914,549,0,282691.0
2020-10-20,Goa,Unknown,41031,37275,555,0,284193.0
2020-10-21,Goa,Unknown,41339,37683,557,0,285455.0
2020-10-22,Goa,Unknown,41586,38031,564,0,286711.0
2020-10-23,Goa,Unknown,41813,38421,568,0,287887.0
2020-10-24,Goa,Unknown,42031,38769,570,0,289332.0
2020-10-25,Goa,Unknown,42242,39090,576,0,290350.0
2020-10-26,Goa,Unknown,42532,39433,582,0,291630.0
2020-10-27,Goa,Unknown,42747,39778,585,0,293591.0
2020-10-28,Goa,Unknown,42968,39974,592,0,295392.0
2020-10-29,Goa,Unknown,42968,39974,592,0,295392.0
