Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Gujarat,Ahmedabad,2181,140,104,0,
2020-04-27,Gujarat,Ahmedabad,2379,212,109,0,
2020-04-28,Gujarat,Ahmedabad,2543,241,128,0,
2020-04-29,Gujarat,Ahmedabad,2777,263,137,0,
2020-04-30,Gujarat,Ahmedabad,3026,316,149,0,
2020-05-01,Gujarat,Ahmedabad,3293,399,165,0,
2020-05-02,Gujarat,Ahmedabad,3543,462,185,0,
2020-05-03,Gujarat,Ahmedabad,3817,533,208,0,
2020-05-04,Gujarat,Ahmedabad,4076,620,234,0,
2020-05-05,Gujarat,Ahmedabad,4425,704,273,0,
2020-05-06,Gujarat,Ahmedabad,4716,778,298,0,
2020-05-07,Gujarat,Ahmedabad,4991,886,321,0,
2020-05-08,Gujarat,Ahmedabad,5260,1001,343,0,
2020-05-09,Gujarat,Ahmedabad,5540,1107,363,0,
2020-05-10,Gujarat,Ahmedabad,5818,1373,381,0,
2020-05-11,Gujarat,Ahmedabad,6086,1482,400,0,
2020-05-12,Gujarat,Ahmedabad,6353,1874,421,0,
2020-05-13,Gujarat,Ahmedabad,6645,2112,446,0,
2020-05-14,Gujarat,Ahmedabad,6910,2247,465,0,
2020-05-15,Gujarat,Ahmedabad,7171,2382,479,0,
2020-05-16,Gujarat,Ahmedabad,8144,2545,493,0,
2020-05-17,Gujarat,Ahmedabad,8420,2660,524,0,
2020-05-18,Gujarat,Ahmedabad,8683,2841,555,0,
2020-05-19,Gujarat,Ahmedabad,8945,3023,576,0,63813.0
2020-05-20,Gujarat,Ahmedabad,9216,3130,602,0,65469.0
2020-05-21,Gujarat,Ahmedabad,9449,3330,619,0,66960.0
2020-05-22,Gujarat,Ahmedabad,9724,3658,645,0,69291.0
2020-05-23,Gujarat,Ahmedabad,10001,3864,669,0,69291.0
2020-05-24,Gujarat,Ahmedabad,10280,4051,697,0,72563.0
2020-05-25,Gujarat,Ahmedabad,10590,4187,722,0,73577.0
2020-05-26,Gujarat,Ahmedabad,10841,4623,745,0,74319.0
2020-05-27,Gujarat,Ahmedabad,11097,4950,764,0,75478.0
2020-05-28,Gujarat,Ahmedabad,11344,5331,780,0,76668.0
2020-05-29,Gujarat,Ahmedabad,11597,5799,798,0,76668.0
2020-05-30,Gujarat,Ahmedabad,11881,6317,822,0,78936.0
2020-05-31,Gujarat,Ahmedabad,12180,6918,842,0,78936.0
2020-06-01,Gujarat,Ahmedabad,12494,7708,864,0,82514.0
2020-06-02,Gujarat,Ahmedabad,12773,8727,888,0,84213.0
2020-06-03,Gujarat,Ahmedabad,13063,8932,910,0,86704.0
2020-06-04,Gujarat,Ahmedabad,13354,9228,938,0,88692.0
2020-06-05,Gujarat,Ahmedabad,13678,9479,968,0,90386.0
2020-06-06,Gujarat,Ahmedabad,13967,9689,994,0,92001.0
2020-06-07,Gujarat,Ahmedabad,14285,9912,1015,0,93854.0
2020-06-08,Gujarat,Ahmedabad,14631,10130,1039,0,95455.0
2020-06-09,Gujarat,Ahmedabad,14962,10378,1066,0,97186.0
2020-06-10,Gujarat,Ahmedabad,15305,10644,1092,0,98792.0
2020-06-11,Gujarat,Ahmedabad,15635,10875,1117,0,100794.0
2020-06-12,Gujarat,Ahmedabad,15962,11118,1139,0,102415.0
2020-06-13,Gujarat,Ahmedabad,16306,11373,1165,0,104654.0
2020-06-14,Gujarat,Ahmedabad,16640,11597,1187,0,106274.0
2020-06-15,Gujarat,Ahmedabad,16967,11822,1210,0,107754.0
2020-06-16,Gujarat,Ahmedabad,17299,12057,1231,0,109234.0
2020-06-17,Gujarat,Ahmedabad,17629,12280,1253,0,111531.0
2020-06-18,Gujarat,Ahmedabad,17946,12561,1275,0,113421.0
2020-06-19,Gujarat,Ahmedabad,18258,12767,1296,0,115448.0
2020-06-20,Gujarat,Ahmedabad,18564,13185,1312,0,117192.0
2020-06-21,Gujarat,Ahmedabad,18837,13612,1332,0,119040.0
2020-06-22,Gujarat,Ahmedabad,19151,14013,1348,0,120411.0
2020-06-23,Gujarat,Ahmedabad,19386,14434,1363,0,122339.0
2020-06-24,Gujarat,Ahmedabad,19601,14835,1378,0,124130.0
2020-06-25,Gujarat,Ahmedabad,19839,15051,1390,0,125667.0
2020-06-26,Gujarat,Ahmedabad,20058,15261,1398,0,127674.0
2020-06-27,Gujarat,Ahmedabad,20269,15479,1410,0,129521.0
2020-06-28,Gujarat,Ahmedabad,20480,15660,1423,0,131620.0
2020-06-29,Gujarat,Ahmedabad,20716,15831,1432,0,132988.0
2020-06-30,Gujarat,Ahmedabad,20913,15968,1441,0,135230.0
2020-07-01,Gujarat,Ahmedabad,21128,16093,1449,0,137587.0
2020-07-02,Gujarat,Ahmedabad,21339,16254,1456,0,139468.0
2020-07-03,Gujarat,Ahmedabad,21543,16385,1466,0,141299.0
2020-07-04,Gujarat,Ahmedabad,21715,16613,1475,0,142872.0
2020-07-05,Gujarat,Ahmedabad,21892,16829,1484,0,144747.0
2020-07-06,Gujarat,Ahmedabad,22075,17069,1491,0,145791.0
2020-07-07,Gujarat,Ahmedabad,22262,17193,1496,0,147381.0
2020-07-08,Gujarat,Ahmedabad,22418,17363,1501,0,149088.0
2020-07-09,Gujarat,Ahmedabad,22580,17502,1506,0,150711.0
2020-07-10,Gujarat,Ahmedabad,22745,17663,1511,0,152126.0
2020-07-11,Gujarat,Ahmedabad,22923,17789,1515,0,153556.0
2020-07-12,Gujarat,Ahmedabad,23095,17922,1519,0,155225.0
2020-07-13,Gujarat,Ahmedabad,23259,18047,1522,0,156345.0
2020-07-14,Gujarat,Ahmedabad,23426,18227,1525,0,158507.0
2020-07-15,Gujarat,Ahmedabad,23599,18439,1527,0,160519.0
2020-07-16,Gujarat,Ahmedabad,23780,18627,1532,0,163398.0
2020-07-17,Gujarat,Ahmedabad,23964,18792,1537,0,166362.0
2020-07-18,Gujarat,Ahmedabad,24163,18961,1541,0,168413.0
2020-07-19,Gujarat,Ahmedabad,24375,19128,1547,0,171229.0
2020-07-20,Gujarat,Ahmedabad,24568,19328,1551,0,173785.0
2020-07-21,Gujarat,Ahmedabad,24767,19533,1557,0,176792.0
2020-07-22,Gujarat,Ahmedabad,24963,19745,1560,0,179889.0
2020-07-23,Gujarat,Ahmedabad,25173,19948,1565,0,183583.0
2020-07-24,Gujarat,Ahmedabad,25349,20153,1568,0,186745.0
2020-07-25,Gujarat,Ahmedabad,25529,20323,1572,0,189777.0
2020-07-26,Gujarat,Ahmedabad,25692,20491,1575,0,201340.0
2020-07-27,Gujarat,Ahmedabad,25876,20954,1579,0,217613.0
2020-07-28,Gujarat,Ahmedabad,26032,21120,1583,0,226750.0
2020-07-29,Gujarat,Ahmedabad,26184,21237,1588,0,236404.0
2020-07-30,Gujarat,Ahmedabad,26341,21356,1593,0,247152.0
