Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-13,Gujarat,Amreli,1,0,0,0,
2020-05-14,Gujarat,Amreli,1,0,0,0,
2020-05-15,Gujarat,Amreli,1,0,0,0,
2020-05-16,Gujarat,Amreli,1,0,0,0,
2020-05-17,Gujarat,Amreli,2,0,0,0,
2020-05-18,Gujarat,Amreli,2,0,0,0,
2020-05-19,Gujarat,Amreli,2,0,0,0,
2020-05-20,Gujarat,Amreli,2,0,0,0,2211.0
2020-05-21,Gujarat,Amreli,2,0,0,0,2297.0
2020-05-22,Gujarat,Amreli,2,0,0,0,2387.0
2020-05-23,Gujarat,Amreli,4,0,0,0,2387.0
2020-05-24,Gujarat,Amreli,4,0,0,0,2515.0
2020-05-25,Gujarat,Amreli,6,0,0,0,2580.0
2020-05-26,Gujarat,Amreli,7,0,0,0,2644.0
2020-05-27,Gujarat,Amreli,8,0,0,0,2719.0
2020-05-28,Gujarat,Amreli,8,2,0,0,2782.0
2020-05-29,Gujarat,Amreli,8,2,0,0,2782.0
2020-05-30,Gujarat,Amreli,9,2,0,0,2908.0
2020-05-31,Gujarat,Amreli,10,2,1,0,2908.0
2020-06-01,Gujarat,Amreli,10,2,1,0,3013.0
2020-06-02,Gujarat,Amreli,10,2,1,0,3095.0
2020-06-03,Gujarat,Amreli,10,2,1,0,3180.0
2020-06-04,Gujarat,Amreli,10,2,1,0,3261.0
2020-06-05,Gujarat,Amreli,14,2,1,0,3330.0
2020-06-06,Gujarat,Amreli,14,4,1,0,3417.0
2020-06-07,Gujarat,Amreli,15,6,1,0,3518.0
2020-06-08,Gujarat,Amreli,16,6,1,0,3592.0
2020-06-09,Gujarat,Amreli,19,8,2,0,3637.0
2020-06-10,Gujarat,Amreli,19,9,2,0,3748.0
2020-06-11,Gujarat,Amreli,19,9,2,0,3816.0
2020-06-12,Gujarat,Amreli,21,9,2,0,3903.0
2020-06-13,Gujarat,Amreli,24,9,4,0,3985.0
2020-06-14,Gujarat,Amreli,27,9,4,0,4057.0
2020-06-15,Gujarat,Amreli,28,10,4,0,4117.0
2020-06-16,Gujarat,Amreli,32,11,4,0,4177.0
2020-06-17,Gujarat,Amreli,34,11,4,0,4255.0
2020-06-18,Gujarat,Amreli,36,11,4,0,4332.0
2020-06-19,Gujarat,Amreli,36,11,4,0,4398.0
2020-06-20,Gujarat,Amreli,40,13,4,0,4467.0
2020-06-21,Gujarat,Amreli,44,13,4,0,4524.0
2020-06-22,Gujarat,Amreli,46,14,4,0,4587.0
2020-06-23,Gujarat,Amreli,47,17,5,0,4647.0
2020-06-24,Gujarat,Amreli,51,21,5,0,4735.0
2020-06-25,Gujarat,Amreli,54,23,5,0,4831.0
2020-06-26,Gujarat,Amreli,59,25,5,0,4927.0
2020-06-27,Gujarat,Amreli,62,28,5,0,5022.0
2020-06-28,Gujarat,Amreli,72,29,5,0,5097.0
2020-06-29,Gujarat,Amreli,82,32,6,0,5191.0
2020-06-30,Gujarat,Amreli,85,33,6,0,5282.0
2020-07-01,Gujarat,Amreli,88,36,7,0,5377.0
2020-07-02,Gujarat,Amreli,95,42,7,0,5484.0
2020-07-03,Gujarat,Amreli,95,42,7,0,5622.0
2020-07-04,Gujarat,Amreli,97,46,7,0,5746.0
2020-07-05,Gujarat,Amreli,98,46,7,0,5859.0
2020-07-06,Gujarat,Amreli,105,48,7,0,6097.0
2020-07-07,Gujarat,Amreli,111,48,7,0,6249.0
2020-07-08,Gujarat,Amreli,118,66,8,0,6454.0
2020-07-09,Gujarat,Amreli,126,75,8,0,6571.0
2020-07-10,Gujarat,Amreli,129,78,8,0,6694.0
2020-07-11,Gujarat,Amreli,133,80,8,0,6848.0
2020-07-12,Gujarat,Amreli,149,83,8,0,6973.0
2020-07-13,Gujarat,Amreli,178,85,8,0,7103.0
2020-07-14,Gujarat,Amreli,180,88,8,0,7215.0
2020-07-15,Gujarat,Amreli,194,90,8,0,7475.0
2020-07-16,Gujarat,Amreli,200,93,8,0,7608.0
2020-07-17,Gujarat,Amreli,203,95,8,0,7740.0
2020-07-18,Gujarat,Amreli,213,109,8,0,8111.0
2020-07-19,Gujarat,Amreli,226,116,8,0,8358.0
2020-07-20,Gujarat,Amreli,239,116,8,0,8785.0
2020-07-21,Gujarat,Amreli,246,135,8,0,9170.0
2020-07-22,Gujarat,Amreli,262,149,8,0,9540.0
2020-07-23,Gujarat,Amreli,265,161,8,0,9944.0
2020-07-24,Gujarat,Amreli,291,165,8,0,10458.0
2020-07-25,Gujarat,Amreli,294,169,8,0,10781.0
2020-07-26,Gujarat,Amreli,333,175,8,0,11215.0
2020-07-27,Gujarat,Amreli,355,186,8,0,11420.0
2020-07-28,Gujarat,Amreli,381,195,8,0,11721.0
2020-07-29,Gujarat,Amreli,405,202,8,0,11985.0
2020-07-30,Gujarat,Amreli,429,230,8,0,12302.0
2020-07-31,Gujarat,Amreli,455,234,8,0,12649.0
2020-08-01,Gujarat,Amreli,466,241,8,0,12953.0
2020-08-02,Gujarat,Amreli,483,254,8,0,13395.0
2020-08-03,Gujarat,Amreli,502,273,8,0,13674.0
2020-08-04,Gujarat,Amreli,520,296,8,0,13909.0
2020-08-05,Gujarat,Amreli,550,311,8,0,14082.0
2020-08-06,Gujarat,Amreli,570,324,8,0,14588.0
2020-08-07,Gujarat,Amreli,591,347,9,0,15022.0
2020-08-08,Gujarat,Amreli,624,358,10,0,15345.0
2020-08-09,Gujarat,Amreli,659,375,10,0,15995.0
2020-08-10,Gujarat,Amreli,701,400,11,0,16540.0
2020-08-11,Gujarat,Amreli,731,406,11,0,17145.0
2020-08-12,Gujarat,Amreli,766,425,11,0,17761.0
2020-08-13,Gujarat,Amreli,799,425,11,0,18261.0
2020-08-14,Gujarat,Amreli,828,452,11,0,18896.0
2020-08-15,Gujarat,Amreli,858,459,11,0,19685.0
2020-08-16,Gujarat,Amreli,883,469,11,0,20366.0
2020-08-17,Gujarat,Amreli,911,496,11,0,20969.0
2020-08-18,Gujarat,Amreli,926,510,13,0,21348.0
2020-08-19,Gujarat,Amreli,953,537,13,0,22116.0
2020-08-20,Gujarat,Amreli,978,619,13,0,23102.0
2020-08-21,Gujarat,Amreli,1007,644,13,0,24509.0
2020-08-22,Gujarat,Amreli,1074,665,13,0,25854.0
2020-08-23,Gujarat,Amreli,1089,685,13,0,26968.0
2020-08-24,Gujarat,Amreli,1105,725,13,0,28371.0
2020-08-25,Gujarat,Amreli,1119,739,15,0,29761.0
2020-08-26,Gujarat,Amreli,1153,779,15,0,31428.0
2020-08-27,Gujarat,Amreli,1183,792,16,0,32743.0
2020-08-28,Gujarat,Amreli,1211,808,17,0,34088.0
2020-08-29,Gujarat,Amreli,1236,836,18,0,35029.0
2020-08-30,Gujarat,Amreli,1257,850,19,0,35597.0
2020-08-31,Gujarat,Amreli,1287,876,19,0,36466.0
2020-09-01,Gujarat,Amreli,1318,889,19,0,37901.0
2020-09-02,Gujarat,Amreli,1344,928,19,0,39680.0
2020-09-03,Gujarat,Amreli,1373,953,19,0,41660.0
2020-09-04,Gujarat,Amreli,1399,979,19,0,43305.0
2020-09-05,Gujarat,Amreli,1427,1011,19,0,45139.0
2020-09-06,Gujarat,Amreli,1450,1075,19,0,46293.0
2020-09-07,Gujarat,Amreli,1474,1099,20,0,47616.0
2020-09-08,Gujarat,Amreli,1501,1120,20,0,48495.0
2020-09-09,Gujarat,Amreli,1530,1141,20,0,49923.0
2020-09-10,Gujarat,Amreli,1560,1166,22,0,51082.0
2020-09-11,Gujarat,Amreli,1586,1180,22,0,52330.0
2020-09-12,Gujarat,Amreli,1611,1219,22,0,53590.0
2020-09-13,Gujarat,Amreli,1636,1245,22,0,54393.0
2020-09-14,Gujarat,Amreli,1664,1279,22,0,55846.0
2020-09-15,Gujarat,Amreli,1694,1299,22,0,57386.0
2020-09-16,Gujarat,Amreli,1721,1309,22,0,58973.0
2020-09-17,Gujarat,Amreli,1747,1337,22,0,60622.0
2020-09-18,Gujarat,Amreli,1773,1351,22,0,61853.0
2020-09-19,Gujarat,Amreli,1802,1372,23,0,63103.0
2020-09-20,Gujarat,Amreli,1826,1402,23,0,63792.0
2020-09-21,Gujarat,Amreli,1858,1420,23,0,64989.0
2020-09-22,Gujarat,Amreli,1887,1439,24,0,66292.0
2020-09-23,Gujarat,Amreli,1914,1471,24,0,67653.0
2020-09-24,Gujarat,Amreli,1942,1521,24,0,68766.0
2020-09-25,Gujarat,Amreli,1976,1535,24,0,70525.0
2020-09-26,Gujarat,Amreli,2008,1557,24,0,71782.0
2020-09-27,Gujarat,Amreli,2038,1570,24,0,72609.0
2020-09-28,Gujarat,Amreli,2065,1591,24,0,73979.0
2020-09-29,Gujarat,Amreli,2089,1630,24,0,75304.0
2020-09-30,Gujarat,Amreli,2119,1658,24,0,77036.0
2020-10-01,Gujarat,Amreli,2150,1694,24,0,78353.0
2020-10-02,Gujarat,Amreli,2178,1717,24,0,79695.0
2020-10-03,Gujarat,Amreli,2205,1731,24,0,81075.0
2020-10-04,Gujarat,Amreli,2232,1752,24,0,81905.0
2020-10-05,Gujarat,Amreli,2262,1768,24,0,83060.0
2020-10-06,Gujarat,Amreli,2295,1809,24,0,84304.0
2020-10-07,Gujarat,Amreli,2328,1854,24,0,85471.0
2020-10-08,Gujarat,Amreli,2362,1877,25,0,86610.0
2020-10-09,Gujarat,Amreli,2387,1897,25,0,87821.0
2020-10-10,Gujarat,Amreli,2409,1920,25,0,88915.0
2020-10-11,Gujarat,Amreli,2429,1941,25,0,89369.0
2020-10-12,Gujarat,Amreli,2450,1957,25,0,90193.0
2020-10-13,Gujarat,Amreli,2469,1983,25,0,91172.0
2020-10-14,Gujarat,Amreli,2497,2003,25,0,92153.0
2020-10-15,Gujarat,Amreli,2521,2031,25,0,93146.0
2020-10-16,Gujarat,Amreli,2546,2046,25,0,94151.0
2020-10-17,Gujarat,Amreli,2566,2076,25,0,95336.0
2020-10-18,Gujarat,Amreli,2585,2095,25,0,96304.0
2020-10-19,Gujarat,Amreli,2603,2111,25,0,97224.0
2020-10-20,Gujarat,Amreli,2623,2135,25,0,98380.0
2020-10-21,Gujarat,Amreli,2642,2157,25,0,99580.0
2020-10-22,Gujarat,Amreli,2667,2183,25,0,100909.0
2020-10-23,Gujarat,Amreli,2685,2202,25,0,102232.0
2020-10-24,Gujarat,Amreli,2704,2228,25,0,103491.0
2020-10-25,Gujarat,Amreli,2711,2242,25,0,104187.0
2020-10-26,Gujarat,Amreli,2728,2262,25,0,105123.0
2020-10-27,Gujarat,Amreli,2745,2286,25,0,106151.0
2020-10-28,Gujarat,Amreli,2765,2306,25,0,107185.0
2020-10-29,Gujarat,Amreli,2765,2306,25,0,107185.0
