Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Gujarat,Dang,1,0,0,0,
2020-04-27,Gujarat,Dang,2,0,0,0,
2020-04-28,Gujarat,Dang,2,0,0,0,
2020-04-29,Gujarat,Dang,2,0,0,0,
2020-04-30,Gujarat,Dang,2,0,0,0,
2020-05-01,Gujarat,Dang,2,0,0,0,
2020-05-02,Gujarat,Dang,2,0,0,0,
2020-05-03,Gujarat,Dang,2,0,0,0,
2020-05-04,Gujarat,Dang,2,0,0,0,
2020-05-05,Gujarat,Dang,2,0,0,0,
2020-05-06,Gujarat,Dang,2,1,0,0,
2020-05-07,Gujarat,Dang,2,1,0,0,
2020-05-08,Gujarat,Dang,2,1,0,0,
2020-05-09,Gujarat,Dang,2,1,0,0,
2020-05-10,Gujarat,Dang,2,2,0,0,
2020-05-11,Gujarat,Dang,2,2,0,0,
2020-05-12,Gujarat,Dang,2,2,0,0,
2020-05-13,Gujarat,Dang,2,2,0,0,
2020-05-14,Gujarat,Dang,2,2,0,0,
2020-05-15,Gujarat,Dang,2,2,0,0,
2020-05-16,Gujarat,Dang,2,2,0,0,
2020-05-17,Gujarat,Dang,2,2,0,0,
2020-05-18,Gujarat,Dang,2,2,0,0,
2020-05-19,Gujarat,Dang,2,2,0,0,
2020-05-20,Gujarat,Dang,2,2,0,0,
2020-05-21,Gujarat,Dang,2,2,0,0,479.0
2020-05-22,Gujarat,Dang,2,2,0,0,510.0
2020-05-23,Gujarat,Dang,2,2,0,0,510.0
2020-05-24,Gujarat,Dang,2,2,0,0,534.0
2020-05-25,Gujarat,Dang,2,2,0,0,547.0
2020-05-26,Gujarat,Dang,2,2,0,0,565.0
2020-05-27,Gujarat,Dang,2,2,0,0,597.0
2020-05-28,Gujarat,Dang,2,2,0,0,617.0
2020-05-29,Gujarat,Dang,2,2,0,0,617.0
2020-05-30,Gujarat,Dang,2,2,0,0,661.0
2020-05-31,Gujarat,Dang,2,2,0,0,661.0
2020-06-01,Gujarat,Dang,2,2,0,0,714.0
2020-06-02,Gujarat,Dang,2,2,0,0,738.0
2020-06-03,Gujarat,Dang,2,2,0,0,771.0
2020-06-04,Gujarat,Dang,2,2,0,0,815.0
2020-06-05,Gujarat,Dang,4,2,0,0,850.0
2020-06-06,Gujarat,Dang,4,2,0,0,875.0
2020-06-07,Gujarat,Dang,4,2,0,0,905.0
2020-06-08,Gujarat,Dang,4,2,0,0,927.0
2020-06-09,Gujarat,Dang,4,2,0,0,948.0
2020-06-10,Gujarat,Dang,4,2,0,0,972.0
2020-06-11,Gujarat,Dang,4,2,0,0,989.0
2020-06-12,Gujarat,Dang,4,2,0,0,1012.0
2020-06-13,Gujarat,Dang,4,2,0,0,1030.0
2020-06-14,Gujarat,Dang,4,2,0,0,1046.0
2020-06-15,Gujarat,Dang,4,2,0,0,1061.0
2020-06-16,Gujarat,Dang,4,4,0,0,1076.0
2020-06-17,Gujarat,Dang,4,4,0,0,1098.0
2020-06-18,Gujarat,Dang,4,4,0,0,1119.0
2020-06-19,Gujarat,Dang,4,4,0,0,1139.0
2020-06-20,Gujarat,Dang,4,4,0,0,1158.0
2020-06-21,Gujarat,Dang,4,4,0,0,1171.0
2020-06-22,Gujarat,Dang,4,4,0,0,1188.0
2020-06-23,Gujarat,Dang,4,4,0,0,1206.0
2020-06-24,Gujarat,Dang,4,4,0,0,1224.0
2020-06-25,Gujarat,Dang,4,4,0,0,1249.0
