Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-03,Gujarat,Devbhumi Dwarka,3,0,0,0,
2020-05-04,Gujarat,Devbhumi Dwarka,3,0,0,0,
2020-05-05,Gujarat,Devbhumi Dwarka,3,0,0,0,
2020-05-06,Gujarat,Devbhumi Dwarka,3,0,0,0,
2020-05-07,Gujarat,Devbhumi Dwarka,4,0,0,0,
2020-05-08,Gujarat,Devbhumi Dwarka,4,0,0,0,
2020-05-09,Gujarat,Devbhumi Dwarka,4,0,0,0,
2020-05-10,Gujarat,Devbhumi Dwarka,4,0,0,0,
2020-05-11,Gujarat,Devbhumi Dwarka,4,0,0,0,
2020-05-12,Gujarat,Devbhumi Dwarka,5,0,0,0,
2020-05-13,Gujarat,Devbhumi Dwarka,12,0,0,0,
2020-05-14,Gujarat,Devbhumi Dwarka,12,0,0,0,
2020-05-15,Gujarat,Devbhumi Dwarka,12,0,0,0,
2020-05-16,Gujarat,Devbhumi Dwarka,12,2,0,0,
2020-05-17,Gujarat,Devbhumi Dwarka,12,2,0,0,
2020-05-18,Gujarat,Devbhumi Dwarka,12,2,0,0,
2020-05-19,Gujarat,Devbhumi Dwarka,12,2,0,0,
2020-05-20,Gujarat,Devbhumi Dwarka,12,2,0,0,1253.0
2020-05-21,Gujarat,Devbhumi Dwarka,12,4,0,0,1363.0
2020-05-22,Gujarat,Devbhumi Dwarka,12,4,0,0,1437.0
2020-05-23,Gujarat,Devbhumi Dwarka,12,11,0,0,1437.0
2020-05-24,Gujarat,Devbhumi Dwarka,12,11,0,0,1562.0
2020-05-25,Gujarat,Devbhumi Dwarka,12,11,0,0,1599.0
2020-05-26,Gujarat,Devbhumi Dwarka,12,11,0,0,1660.0
2020-05-27,Gujarat,Devbhumi Dwarka,12,11,0,0,1725.0
2020-05-28,Gujarat,Devbhumi Dwarka,12,11,0,0,1792.0
2020-05-29,Gujarat,Devbhumi Dwarka,12,11,0,0,1792.0
2020-05-30,Gujarat,Devbhumi Dwarka,12,11,0,0,1892.0
2020-05-31,Gujarat,Devbhumi Dwarka,13,11,0,0,1892.0
2020-06-01,Gujarat,Devbhumi Dwarka,13,11,0,0,2004.0
2020-06-02,Gujarat,Devbhumi Dwarka,13,11,0,0,2070.0
2020-06-03,Gujarat,Devbhumi Dwarka,13,11,0,0,2155.0
2020-06-04,Gujarat,Devbhumi Dwarka,14,11,0,0,2224.0
2020-06-05,Gujarat,Devbhumi Dwarka,15,11,0,0,2309.0
2020-06-06,Gujarat,Devbhumi Dwarka,15,11,0,0,2377.0
2020-06-07,Gujarat,Devbhumi Dwarka,15,11,0,0,2449.0
2020-06-08,Gujarat,Devbhumi Dwarka,15,11,0,0,2504.0
2020-06-09,Gujarat,Devbhumi Dwarka,15,11,0,0,2558.0
2020-06-10,Gujarat,Devbhumi Dwarka,15,12,0,0,2607.0
2020-06-11,Gujarat,Devbhumi Dwarka,15,12,0,0,2677.0
2020-06-12,Gujarat,Devbhumi Dwarka,15,12,0,0,2726.0
2020-06-13,Gujarat,Devbhumi Dwarka,15,12,0,0,2785.0
2020-06-14,Gujarat,Devbhumi Dwarka,15,13,0,0,2842.0
2020-06-15,Gujarat,Devbhumi Dwarka,15,14,0,0,2897.0
2020-06-16,Gujarat,Devbhumi Dwarka,16,14,0,0,2952.0
2020-06-17,Gujarat,Devbhumi Dwarka,18,14,0,0,3005.0
2020-06-18,Gujarat,Devbhumi Dwarka,18,14,0,0,3062.0
2020-06-19,Gujarat,Devbhumi Dwarka,18,14,0,0,3104.0
2020-06-20,Gujarat,Devbhumi Dwarka,19,14,0,0,3159.0
2020-06-21,Gujarat,Devbhumi Dwarka,20,14,0,0,3221.0
2020-06-22,Gujarat,Devbhumi Dwarka,20,14,0,0,3273.0
2020-06-23,Gujarat,Devbhumi Dwarka,20,14,1,0,3334.0
2020-06-24,Gujarat,Devbhumi Dwarka,20,15,1,0,3391.0
2020-06-25,Gujarat,Devbhumi Dwarka,20,15,1,0,3454.0
2020-06-26,Gujarat,Devbhumi Dwarka,20,15,1,0,3504.0
2020-06-27,Gujarat,Devbhumi Dwarka,20,15,1,0,3556.0
2020-06-28,Gujarat,Devbhumi Dwarka,20,15,1,0,3611.0
2020-06-29,Gujarat,Devbhumi Dwarka,22,15,1,0,3686.0
2020-06-30,Gujarat,Devbhumi Dwarka,23,15,1,0,3762.0
2020-07-01,Gujarat,Devbhumi Dwarka,23,16,2,0,3852.0
2020-07-02,Gujarat,Devbhumi Dwarka,24,16,2,0,3945.0
2020-07-03,Gujarat,Devbhumi Dwarka,25,16,2,0,4038.0
2020-07-04,Gujarat,Devbhumi Dwarka,26,16,2,0,4121.0
2020-07-05,Gujarat,Devbhumi Dwarka,27,18,2,0,4232.0
2020-07-06,Gujarat,Devbhumi Dwarka,27,18,2,0,4300.0
2020-07-07,Gujarat,Devbhumi Dwarka,28,18,3,0,4393.0
2020-07-08,Gujarat,Devbhumi Dwarka,28,18,3,0,4439.0
2020-07-09,Gujarat,Devbhumi Dwarka,28,21,3,0,4511.0
2020-07-10,Gujarat,Devbhumi Dwarka,28,21,3,0,4601.0
2020-07-11,Gujarat,Devbhumi Dwarka,29,21,3,0,4684.0
2020-07-12,Gujarat,Devbhumi Dwarka,29,22,3,0,4767.0
2020-07-13,Gujarat,Devbhumi Dwarka,29,22,3,0,4846.0
2020-07-14,Gujarat,Devbhumi Dwarka,29,23,3,0,4948.0
2020-07-15,Gujarat,Devbhumi Dwarka,29,23,3,0,5033.0
2020-07-16,Gujarat,Devbhumi Dwarka,29,23,3,0,5123.0
2020-07-17,Gujarat,Devbhumi Dwarka,30,23,3,0,5221.0
2020-07-18,Gujarat,Devbhumi Dwarka,30,24,3,0,5328.0
2020-07-19,Gujarat,Devbhumi Dwarka,30,24,3,0,5424.0
2020-07-20,Gujarat,Devbhumi Dwarka,33,25,3,0,5514.0
2020-07-21,Gujarat,Devbhumi Dwarka,34,25,3,0,5634.0
2020-07-22,Gujarat,Devbhumi Dwarka,34,25,3,0,5740.0
2020-07-23,Gujarat,Devbhumi Dwarka,34,26,3,0,5871.0
2020-07-24,Gujarat,Devbhumi Dwarka,36,26,3,0,5974.0
2020-07-25,Gujarat,Devbhumi Dwarka,39,26,3,0,6079.0
2020-07-26,Gujarat,Devbhumi Dwarka,43,26,3,0,6183.0
2020-07-27,Gujarat,Devbhumi Dwarka,45,26,3,0,6278.0
2020-07-28,Gujarat,Devbhumi Dwarka,45,28,3,0,6301.0
2020-07-29,Gujarat,Devbhumi Dwarka,46,31,3,0,6683.0
2020-07-30,Gujarat,Devbhumi Dwarka,47,31,3,0,6701.0
2020-07-31,Gujarat,Devbhumi Dwarka,47,33,3,0,6904.0
2020-08-01,Gujarat,Devbhumi Dwarka,51,33,3,0,7181.0
2020-08-02,Gujarat,Devbhumi Dwarka,64,37,4,0,7425.0
2020-08-03,Gujarat,Devbhumi Dwarka,69,41,4,0,7640.0
2020-08-04,Gujarat,Devbhumi Dwarka,71,43,4,0,7696.0
2020-08-05,Gujarat,Devbhumi Dwarka,72,45,4,0,7925.0
2020-08-06,Gujarat,Devbhumi Dwarka,73,47,4,0,8124.0
2020-08-07,Gujarat,Devbhumi Dwarka,74,48,4,0,8289.0
2020-08-08,Gujarat,Devbhumi Dwarka,78,52,4,0,8444.0
2020-08-09,Gujarat,Devbhumi Dwarka,83,52,4,0,8582.0
2020-08-10,Gujarat,Devbhumi Dwarka,88,52,4,0,9160.0
2020-08-11,Gujarat,Devbhumi Dwarka,95,56,4,0,9777.0
2020-08-12,Gujarat,Devbhumi Dwarka,96,56,4,0,9955.0
2020-08-13,Gujarat,Devbhumi Dwarka,102,69,4,0,10200.0
2020-08-14,Gujarat,Devbhumi Dwarka,105,69,4,0,10503.0
2020-08-15,Gujarat,Devbhumi Dwarka,110,69,4,0,10656.0
2020-08-16,Gujarat,Devbhumi Dwarka,126,69,4,0,10843.0
2020-08-17,Gujarat,Devbhumi Dwarka,135,69,4,0,10994.0
2020-08-18,Gujarat,Devbhumi Dwarka,140,74,4,0,11161.0
2020-08-19,Gujarat,Devbhumi Dwarka,143,74,4,0,11664.0
2020-08-20,Gujarat,Devbhumi Dwarka,147,74,4,0,12326.0
2020-08-21,Gujarat,Devbhumi Dwarka,153,74,4,0,12942.0
2020-08-22,Gujarat,Devbhumi Dwarka,163,74,4,0,13542.0
2020-08-23,Gujarat,Devbhumi Dwarka,170,74,4,0,14639.0
2020-08-24,Gujarat,Devbhumi Dwarka,183,74,4,0,14931.0
2020-08-25,Gujarat,Devbhumi Dwarka,186,74,4,0,15556.0
2020-08-26,Gujarat,Devbhumi Dwarka,197,91,4,0,15964.0
2020-08-27,Gujarat,Devbhumi Dwarka,214,91,4,0,16648.0
2020-08-28,Gujarat,Devbhumi Dwarka,229,91,4,0,17236.0
2020-08-29,Gujarat,Devbhumi Dwarka,238,91,4,0,17586.0
2020-08-30,Gujarat,Devbhumi Dwarka,252,126,4,0,17855.0
2020-08-31,Gujarat,Devbhumi Dwarka,264,128,4,0,18124.0
2020-09-01,Gujarat,Devbhumi Dwarka,283,133,4,0,18461.0
2020-09-02,Gujarat,Devbhumi Dwarka,296,188,4,0,18878.0
2020-09-03,Gujarat,Devbhumi Dwarka,308,204,4,0,19270.0
2020-09-04,Gujarat,Devbhumi Dwarka,318,222,4,0,19632.0
2020-09-05,Gujarat,Devbhumi Dwarka,333,230,4,0,19972.0
2020-09-06,Gujarat,Devbhumi Dwarka,345,250,4,0,20928.0
2020-09-07,Gujarat,Devbhumi Dwarka,357,254,4,0,21893.0
2020-09-08,Gujarat,Devbhumi Dwarka,376,259,4,0,22427.0
2020-09-09,Gujarat,Devbhumi Dwarka,394,259,4,0,23273.0
2020-09-10,Gujarat,Devbhumi Dwarka,399,311,4,0,24291.0
2020-09-11,Gujarat,Devbhumi Dwarka,404,329,4,0,24819.0
2020-09-12,Gujarat,Devbhumi Dwarka,413,340,4,0,25416.0
2020-09-13,Gujarat,Devbhumi Dwarka,419,379,4,0,26303.0
2020-09-14,Gujarat,Devbhumi Dwarka,424,396,4,0,27141.0
2020-09-15,Gujarat,Devbhumi Dwarka,428,411,4,0,27970.0
2020-09-16,Gujarat,Devbhumi Dwarka,436,429,4,0,28815.0
2020-09-17,Gujarat,Devbhumi Dwarka,447,429,5,0,29633.0
2020-09-18,Gujarat,Devbhumi Dwarka,455,429,5,0,30474.0
2020-09-19,Gujarat,Devbhumi Dwarka,469,429,5,0,31270.0
2020-09-20,Gujarat,Devbhumi Dwarka,480,429,5,0,32065.0
2020-09-21,Gujarat,Devbhumi Dwarka,489,429,5,0,33097.0
2020-09-22,Gujarat,Devbhumi Dwarka,498,429,5,0,33977.0
2020-09-23,Gujarat,Devbhumi Dwarka,506,429,5,0,34670.0
2020-09-24,Gujarat,Devbhumi Dwarka,517,429,5,0,35394.0
2020-09-25,Gujarat,Devbhumi Dwarka,526,429,5,0,36296.0
2020-09-26,Gujarat,Devbhumi Dwarka,532,429,5,0,37297.0
2020-09-27,Gujarat,Devbhumi Dwarka,539,429,5,0,38192.0
2020-09-28,Gujarat,Devbhumi Dwarka,545,447,5,0,38767.0
2020-09-29,Gujarat,Devbhumi Dwarka,553,447,5,0,39333.0
2020-09-30,Gujarat,Devbhumi Dwarka,563,447,5,0,40227.0
2020-10-01,Gujarat,Devbhumi Dwarka,571,457,5,0,40923.0
2020-10-02,Gujarat,Devbhumi Dwarka,581,457,5,0,41361.0
2020-10-03,Gujarat,Devbhumi Dwarka,587,457,5,0,41778.0
2020-10-04,Gujarat,Devbhumi Dwarka,593,467,5,0,42221.0
2020-10-05,Gujarat,Devbhumi Dwarka,600,478,5,0,42610.0
2020-10-06,Gujarat,Devbhumi Dwarka,605,478,5,0,43002.0
2020-10-07,Gujarat,Devbhumi Dwarka,612,478,5,0,43114.0
2020-10-08,Gujarat,Devbhumi Dwarka,618,478,5,0,43215.0
2020-10-09,Gujarat,Devbhumi Dwarka,627,478,5,0,43623.0
2020-10-10,Gujarat,Devbhumi Dwarka,632,488,5,0,44013.0
2020-10-11,Gujarat,Devbhumi Dwarka,638,499,5,0,44366.0
2020-10-12,Gujarat,Devbhumi Dwarka,646,512,5,0,44734.0
2020-10-13,Gujarat,Devbhumi Dwarka,655,527,5,0,45120.0
2020-10-14,Gujarat,Devbhumi Dwarka,666,541,5,0,45486.0
2020-10-15,Gujarat,Devbhumi Dwarka,673,548,5,0,45943.0
2020-10-16,Gujarat,Devbhumi Dwarka,682,558,5,0,46380.0
2020-10-17,Gujarat,Devbhumi Dwarka,688,558,5,0,46827.0
2020-10-18,Gujarat,Devbhumi Dwarka,695,558,5,0,47294.0
2020-10-19,Gujarat,Devbhumi Dwarka,700,573,5,0,47773.0
2020-10-20,Gujarat,Devbhumi Dwarka,704,585,5,0,48245.0
2020-10-21,Gujarat,Devbhumi Dwarka,709,597,5,0,48752.0
2020-10-22,Gujarat,Devbhumi Dwarka,715,597,5,0,49282.0
2020-10-23,Gujarat,Devbhumi Dwarka,720,610,5,0,49872.0
2020-10-24,Gujarat,Devbhumi Dwarka,726,610,5,0,50337.0
2020-10-25,Gujarat,Devbhumi Dwarka,732,610,5,0,50744.0
2020-10-26,Gujarat,Devbhumi Dwarka,739,630,5,0,51182.0
2020-10-27,Gujarat,Devbhumi Dwarka,745,637,5,0,51689.0
2020-10-28,Gujarat,Devbhumi Dwarka,752,647,5,0,52170.0
2020-10-29,Gujarat,Devbhumi Dwarka,752,647,5,0,52170.0
