Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Gujarat,Gir Somnath,3,2,0,0,
2020-04-27,Gujarat,Gir Somnath,3,2,0,0,
2020-04-28,Gujarat,Gir Somnath,3,2,0,0,
2020-04-29,Gujarat,Gir Somnath,3,2,0,0,
2020-04-30,Gujarat,Gir Somnath,3,2,0,0,
2020-05-01,Gujarat,Gir Somnath,3,3,0,0,
2020-05-02,Gujarat,Gir Somnath,3,3,0,0,
2020-05-03,Gujarat,Gir Somnath,3,3,0,0,
2020-05-04,Gujarat,Gir Somnath,3,3,0,0,
2020-05-05,Gujarat,Gir Somnath,3,3,0,0,
2020-05-06,Gujarat,Gir Somnath,3,3,0,0,
2020-05-07,Gujarat,Gir Somnath,3,3,0,0,
2020-05-08,Gujarat,Gir Somnath,4,3,0,0,
2020-05-09,Gujarat,Gir Somnath,4,3,0,0,
2020-05-10,Gujarat,Gir Somnath,12,3,0,0,
2020-05-11,Gujarat,Gir Somnath,12,3,0,0,
2020-05-12,Gujarat,Gir Somnath,17,3,0,0,
2020-05-13,Gujarat,Gir Somnath,18,3,0,0,
2020-05-14,Gujarat,Gir Somnath,22,3,0,0,
2020-05-15,Gujarat,Gir Somnath,23,3,0,0,
2020-05-16,Gujarat,Gir Somnath,23,3,0,0,
2020-05-17,Gujarat,Gir Somnath,25,3,0,0,
2020-05-18,Gujarat,Gir Somnath,25,3,0,0,
2020-05-19,Gujarat,Gir Somnath,28,3,0,0,
2020-05-20,Gujarat,Gir Somnath,28,3,0,0,1228.0
2020-05-21,Gujarat,Gir Somnath,34,3,0,0,1302.0
2020-05-22,Gujarat,Gir Somnath,38,3,0,0,1359.0
2020-05-23,Gujarat,Gir Somnath,44,3,0,0,1359.0
2020-05-24,Gujarat,Gir Somnath,44,21,0,0,1467.0
2020-05-25,Gujarat,Gir Somnath,44,22,0,0,1502.0
2020-05-26,Gujarat,Gir Somnath,44,22,0,0,1547.0
2020-05-27,Gujarat,Gir Somnath,44,23,0,0,1585.0
2020-05-28,Gujarat,Gir Somnath,45,23,0,0,1634.0
2020-05-29,Gujarat,Gir Somnath,45,27,0,0,1634.0
2020-05-30,Gujarat,Gir Somnath,45,27,0,0,1678.0
2020-05-31,Gujarat,Gir Somnath,45,34,0,0,1678.0
2020-06-01,Gujarat,Gir Somnath,45,34,0,0,1800.0
2020-06-02,Gujarat,Gir Somnath,45,36,0,0,1923.0
2020-06-03,Gujarat,Gir Somnath,45,42,0,0,1976.0
2020-06-04,Gujarat,Gir Somnath,45,42,0,0,1976.0
2020-06-05,Gujarat,Gir Somnath,45,44,0,0,2080.0
