Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-05,Gujarat,Junagadh,2,0,0,0,
2020-05-06,Gujarat,Junagadh,2,0,0,0,
2020-05-07,Gujarat,Junagadh,2,0,0,0,
2020-05-08,Gujarat,Junagadh,2,0,0,0,
2020-05-09,Gujarat,Junagadh,2,0,0,0,
2020-05-10,Gujarat,Junagadh,2,0,0,0,
2020-05-11,Gujarat,Junagadh,3,0,0,0,
2020-05-12,Gujarat,Junagadh,3,2,0,0,
2020-05-13,Gujarat,Junagadh,4,2,0,0,
2020-05-14,Gujarat,Junagadh,4,2,0,0,
2020-05-15,Gujarat,Junagadh,4,2,0,0,
2020-05-16,Gujarat,Junagadh,5,2,0,0,
2020-05-17,Gujarat,Junagadh,6,2,0,0,
2020-05-18,Gujarat,Junagadh,9,2,0,0,
2020-05-19,Gujarat,Junagadh,12,3,0,0,
2020-05-20,Gujarat,Junagadh,13,3,0,0,3716.0
2020-05-21,Gujarat,Junagadh,15,3,0,0,4250.0
2020-05-22,Gujarat,Junagadh,18,4,0,0,4713.0
2020-05-23,Gujarat,Junagadh,26,4,0,0,4713.0
2020-05-24,Gujarat,Junagadh,26,4,0,0,5415.0
2020-05-25,Gujarat,Junagadh,26,8,0,0,5680.0
2020-05-26,Gujarat,Junagadh,27,8,0,0,5780.0
2020-05-27,Gujarat,Junagadh,27,9,0,0,6133.0
2020-05-28,Gujarat,Junagadh,28,12,0,0,6395.0
2020-05-29,Gujarat,Junagadh,29,12,0,0,6395.0
2020-05-30,Gujarat,Junagadh,29,16,0,0,6966.0
2020-05-31,Gujarat,Junagadh,30,24,0,0,6966.0
2020-06-01,Gujarat,Junagadh,30,24,0,0,7455.0
2020-06-02,Gujarat,Junagadh,30,25,1,0,7831.0
2020-06-03,Gujarat,Junagadh,31,26,1,0,8240.0
2020-06-04,Gujarat,Junagadh,31,26,1,0,8638.0
2020-06-05,Gujarat,Junagadh,32,27,1,0,9003.0
2020-06-06,Gujarat,Junagadh,32,27,1,0,9342.0
2020-06-07,Gujarat,Junagadh,32,27,1,0,9686.0
2020-06-08,Gujarat,Junagadh,36,27,1,0,9988.0
2020-06-09,Gujarat,Junagadh,37,28,1,0,10269.0
2020-06-10,Gujarat,Junagadh,39,29,1,0,10417.0
2020-06-11,Gujarat,Junagadh,42,29,1,0,10591.0
2020-06-12,Gujarat,Junagadh,42,29,1,0,10736.0
2020-06-13,Gujarat,Junagadh,43,29,1,0,11024.0
2020-06-14,Gujarat,Junagadh,43,29,1,0,11335.0
2020-06-15,Gujarat,Junagadh,47,29,1,0,11622.0
2020-06-16,Gujarat,Junagadh,47,30,1,0,11909.0
2020-06-17,Gujarat,Junagadh,52,30,1,0,12045.0
2020-06-18,Gujarat,Junagadh,53,30,1,0,12314.0
2020-06-19,Gujarat,Junagadh,57,32,1,0,12575.0
2020-06-20,Gujarat,Junagadh,57,34,1,0,12836.0
2020-06-21,Gujarat,Junagadh,59,34,1,0,13104.0
2020-06-22,Gujarat,Junagadh,66,34,1,0,13299.0
2020-06-23,Gujarat,Junagadh,66,39,1,0,13326.0
2020-06-24,Gujarat,Junagadh,70,43,1,0,13489.0
2020-06-25,Gujarat,Junagadh,74,46,1,0,13730.0
2020-06-26,Gujarat,Junagadh,76,47,1,0,13916.0
2020-06-27,Gujarat,Junagadh,80,48,2,0,14036.0
2020-06-28,Gujarat,Junagadh,90,48,2,0,14175.0
2020-06-29,Gujarat,Junagadh,93,48,2,0,14285.0
2020-06-30,Gujarat,Junagadh,101,48,3,0,14408.0
2020-07-01,Gujarat,Junagadh,108,54,3,0,14638.0
2020-07-02,Gujarat,Junagadh,121,55,4,0,14809.0
2020-07-03,Gujarat,Junagadh,147,57,4,0,15106.0
2020-07-04,Gujarat,Junagadh,157,57,4,0,15392.0
2020-07-05,Gujarat,Junagadh,170,62,4,0,15444.0
2020-07-06,Gujarat,Junagadh,185,63,4,0,15589.0
2020-07-07,Gujarat,Junagadh,198,67,4,0,15785.0
2020-07-08,Gujarat,Junagadh,209,67,4,0,16004.0
2020-07-09,Gujarat,Junagadh,228,70,4,0,16210.0
2020-07-10,Gujarat,Junagadh,246,70,5,0,16446.0
2020-07-11,Gujarat,Junagadh,270,70,5,0,16657.0
2020-07-12,Gujarat,Junagadh,312,123,7,0,16882.0
2020-07-13,Gujarat,Junagadh,358,171,7,0,17000.0
2020-07-14,Gujarat,Junagadh,383,183,7,0,17308.0
2020-07-15,Gujarat,Junagadh,426,228,7,0,17512.0
2020-07-16,Gujarat,Junagadh,465,290,7,0,17831.0
2020-07-17,Gujarat,Junagadh,498,301,7,0,18198.0
2020-07-18,Gujarat,Junagadh,538,333,7,0,18501.0
2020-07-19,Gujarat,Junagadh,553,358,7,0,18778.0
2020-07-20,Gujarat,Junagadh,572,384,7,0,19097.0
2020-07-21,Gujarat,Junagadh,584,406,7,0,19359.0
2020-07-22,Gujarat,Junagadh,614,420,9,0,19591.0
2020-07-23,Gujarat,Junagadh,657,434,9,0,19952.0
2020-07-24,Gujarat,Junagadh,685,469,9,0,20128.0
2020-07-25,Gujarat,Junagadh,722,494,10,0,20524.0
2020-07-26,Gujarat,Junagadh,742,517,10,0,20717.0
2020-07-27,Gujarat,Junagadh,768,543,11,0,20977.0
2020-07-28,Gujarat,Junagadh,784,569,11,0,21527.0
2020-07-29,Gujarat,Junagadh,815,595,11,0,21807.0
2020-07-30,Gujarat,Junagadh,849,621,11,0,22162.0
2020-07-31,Gujarat,Junagadh,869,642,12,0,22739.0
2020-08-01,Gujarat,Junagadh,911,673,13,0,23210.0
2020-08-02,Gujarat,Junagadh,951,691,13,0,23842.0
2020-08-03,Gujarat,Junagadh,972,719,14,0,24180.0
2020-08-04,Gujarat,Junagadh,1009,737,18,0,24580.0
2020-08-05,Gujarat,Junagadh,1034,802,20,0,25370.0
2020-08-06,Gujarat,Junagadh,1078,818,20,0,25876.0
2020-08-07,Gujarat,Junagadh,1124,839,20,0,26219.0
2020-08-08,Gujarat,Junagadh,1156,872,22,0,26555.0
2020-08-09,Gujarat,Junagadh,1183,916,23,0,27118.0
2020-08-10,Gujarat,Junagadh,1201,945,23,0,27794.0
2020-08-11,Gujarat,Junagadh,1220,961,23,0,28520.0
2020-08-12,Gujarat,Junagadh,1239,969,23,0,29076.0
2020-08-13,Gujarat,Junagadh,1256,995,23,0,29835.0
2020-08-14,Gujarat,Junagadh,1295,1009,23,0,30430.0
2020-08-15,Gujarat,Junagadh,1322,1040,24,0,31214.0
2020-08-16,Gujarat,Junagadh,1356,1048,24,0,32188.0
2020-08-17,Gujarat,Junagadh,1377,1072,24,0,33142.0
2020-08-18,Gujarat,Junagadh,1398,1089,24,0,34056.0
2020-08-19,Gujarat,Junagadh,1418,1113,24,0,34777.0
2020-08-20,Gujarat,Junagadh,1445,1151,24,0,36160.0
2020-08-21,Gujarat,Junagadh,1477,1195,24,0,37406.0
2020-08-22,Gujarat,Junagadh,1509,1222,26,0,38561.0
2020-08-23,Gujarat,Junagadh,1536,1228,28,0,39374.0
2020-08-24,Gujarat,Junagadh,1562,1235,28,0,40304.0
2020-08-25,Gujarat,Junagadh,1590,1260,30,0,41566.0
2020-08-26,Gujarat,Junagadh,1619,1285,30,0,42707.0
2020-08-27,Gujarat,Junagadh,1647,1314,30,0,43841.0
2020-08-28,Gujarat,Junagadh,1672,1353,30,0,44993.0
2020-08-29,Gujarat,Junagadh,1700,1394,30,0,46116.0
2020-08-30,Gujarat,Junagadh,1730,1437,30,0,46769.0
2020-08-31,Gujarat,Junagadh,1765,1484,30,0,47649.0
2020-09-01,Gujarat,Junagadh,1790,1532,30,0,48891.0
2020-09-02,Gujarat,Junagadh,1820,1573,30,0,50111.0
2020-09-03,Gujarat,Junagadh,1847,1597,30,0,51345.0
2020-09-04,Gujarat,Junagadh,1876,1621,31,0,52673.0
2020-09-05,Gujarat,Junagadh,1906,1647,31,0,53888.0
2020-09-06,Gujarat,Junagadh,1935,1670,31,0,54640.0
2020-09-07,Gujarat,Junagadh,1971,1683,31,0,55962.0
2020-09-08,Gujarat,Junagadh,2007,1712,31,0,57482.0
2020-09-09,Gujarat,Junagadh,2044,1737,31,0,58941.0
2020-09-10,Gujarat,Junagadh,2081,1770,31,0,60479.0
2020-09-11,Gujarat,Junagadh,2116,1812,31,0,61824.0
2020-09-12,Gujarat,Junagadh,2155,1848,31,0,63194.0
2020-09-13,Gujarat,Junagadh,2191,1870,31,0,64063.0
2020-09-14,Gujarat,Junagadh,2230,1903,31,0,65496.0
2020-09-15,Gujarat,Junagadh,2265,1937,31,0,67104.0
2020-09-16,Gujarat,Junagadh,2303,1969,31,0,68855.0
2020-09-17,Gujarat,Junagadh,2340,2004,31,0,70821.0
2020-09-18,Gujarat,Junagadh,2377,2028,31,0,72685.0
2020-09-19,Gujarat,Junagadh,2412,2061,31,0,74532.0
2020-09-20,Gujarat,Junagadh,2449,2087,32,0,75448.0
2020-09-21,Gujarat,Junagadh,2486,2119,32,0,76805.0
2020-09-22,Gujarat,Junagadh,2521,2168,32,0,78138.0
2020-09-23,Gujarat,Junagadh,2559,2193,32,0,79403.0
2020-09-24,Gujarat,Junagadh,2595,2207,32,0,80992.0
2020-09-25,Gujarat,Junagadh,2628,2245,32,0,82292.0
2020-09-26,Gujarat,Junagadh,2664,2269,32,0,83656.0
2020-09-27,Gujarat,Junagadh,2693,2291,33,0,84794.0
2020-09-28,Gujarat,Junagadh,2726,2314,33,0,86364.0
2020-09-29,Gujarat,Junagadh,2758,2346,33,0,87905.0
2020-09-30,Gujarat,Junagadh,2793,2390,33,0,89340.0
2020-10-01,Gujarat,Junagadh,2820,2424,33,0,90530.0
2020-10-02,Gujarat,Junagadh,2851,2461,33,0,91420.0
2020-10-03,Gujarat,Junagadh,2881,2477,33,0,92390.0
2020-10-04,Gujarat,Junagadh,2914,2527,33,0,93042.0
2020-10-05,Gujarat,Junagadh,2945,2578,33,0,93950.0
2020-10-06,Gujarat,Junagadh,2980,2619,33,0,94819.0
2020-10-07,Gujarat,Junagadh,3019,2643,33,0,95859.0
2020-10-08,Gujarat,Junagadh,3060,2672,33,0,96934.0
2020-10-09,Gujarat,Junagadh,3097,2722,33,0,98120.0
2020-10-10,Gujarat,Junagadh,3134,2769,33,0,99083.0
2020-10-11,Gujarat,Junagadh,3163,2804,33,0,99774.0
2020-10-12,Gujarat,Junagadh,3193,2841,33,0,100687.0
2020-10-13,Gujarat,Junagadh,3227,2874,33,0,101562.0
2020-10-14,Gujarat,Junagadh,3268,2906,33,0,102507.0
2020-10-15,Gujarat,Junagadh,3302,2945,33,0,103365.0
2020-10-16,Gujarat,Junagadh,3330,2989,33,0,104208.0
2020-10-17,Gujarat,Junagadh,3371,3020,33,0,105154.0
2020-10-18,Gujarat,Junagadh,3403,3058,33,0,105729.0
2020-10-19,Gujarat,Junagadh,3426,3087,33,0,106530.0
2020-10-20,Gujarat,Junagadh,3447,3121,33,0,107258.0
2020-10-21,Gujarat,Junagadh,3473,3149,33,0,108142.0
2020-10-22,Gujarat,Junagadh,3493,3178,33,0,108937.0
2020-10-23,Gujarat,Junagadh,3516,3205,33,0,109716.0
2020-10-24,Gujarat,Junagadh,3534,3234,33,0,110533.0
2020-10-25,Gujarat,Junagadh,3552,3254,33,0,111126.0
2020-10-26,Gujarat,Junagadh,3570,3276,33,0,111963.0
2020-10-27,Gujarat,Junagadh,3588,3295,33,0,112787.0
2020-10-28,Gujarat,Junagadh,3610,3313,33,0,113639.0
2020-10-29,Gujarat,Junagadh,3610,3313,33,0,113639.0
