Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Gujarat,Kheda,6,1,0,0,
2020-04-27,Gujarat,Kheda,6,1,0,0,
2020-04-28,Gujarat,Kheda,6,1,0,0,
2020-04-29,Gujarat,Kheda,6,2,0,0,
2020-04-30,Gujarat,Kheda,6,2,0,0,
2020-05-01,Gujarat,Kheda,6,2,0,0,
2020-05-02,Gujarat,Kheda,9,2,0,0,
2020-05-03,Gujarat,Kheda,9,2,0,0,
2020-05-04,Gujarat,Kheda,12,2,0,0,
2020-05-05,Gujarat,Kheda,16,3,1,0,
2020-05-06,Gujarat,Kheda,17,3,1,0,
2020-05-07,Gujarat,Kheda,20,3,1,0,
2020-05-08,Gujarat,Kheda,27,3,1,0,
2020-05-09,Gujarat,Kheda,29,4,1,0,
2020-05-10,Gujarat,Kheda,29,8,1,0,
2020-05-11,Gujarat,Kheda,29,8,1,0,
2020-05-12,Gujarat,Kheda,32,8,1,0,
2020-05-13,Gujarat,Kheda,33,10,1,0,
2020-05-14,Gujarat,Kheda,33,14,1,0,
2020-05-15,Gujarat,Kheda,34,15,1,0,
2020-05-16,Gujarat,Kheda,40,19,1,0,
2020-05-17,Gujarat,Kheda,46,22,1,0,
2020-05-18,Gujarat,Kheda,47,24,1,0,
2020-05-19,Gujarat,Kheda,51,25,1,0,
2020-05-20,Gujarat,Kheda,53,25,1,0,1940.0
2020-05-21,Gujarat,Kheda,54,26,2,0,2046.0
2020-05-22,Gujarat,Kheda,57,28,3,0,2199.0
2020-05-23,Gujarat,Kheda,59,29,3,0,2199.0
2020-05-24,Gujarat,Kheda,62,30,3,0,2370.0
2020-05-25,Gujarat,Kheda,63,35,3,0,2422.0
2020-05-26,Gujarat,Kheda,63,41,4,0,2475.0
2020-05-27,Gujarat,Kheda,63,44,4,0,2814.0
2020-05-28,Gujarat,Kheda,64,45,4,0,2595.0
2020-05-29,Gujarat,Kheda,76,47,4,0,2595.0
2020-05-30,Gujarat,Kheda,76,48,4,0,2662.0
2020-05-31,Gujarat,Kheda,79,51,4,0,2662.0
2020-06-01,Gujarat,Kheda,79,54,4,0,2828.0
2020-06-02,Gujarat,Kheda,82,58,4,0,2896.0
2020-06-03,Gujarat,Kheda,87,58,4,0,2989.0
2020-06-04,Gujarat,Kheda,91,58,4,0,3115.0
2020-06-05,Gujarat,Kheda,94,58,4,0,3225.0
2020-06-06,Gujarat,Kheda,96,59,4,0,3305.0
2020-06-07,Gujarat,Kheda,100,59,4,0,3442.0
2020-06-08,Gujarat,Kheda,101,60,4,0,3505.0
2020-06-09,Gujarat,Kheda,104,63,4,0,3582.0
2020-06-10,Gujarat,Kheda,110,63,4,0,3664.0
2020-06-11,Gujarat,Kheda,112,67,5,0,3826.0
2020-06-12,Gujarat,Kheda,112,69,5,0,3931.0
2020-06-13,Gujarat,Kheda,114,71,5,0,4028.0
2020-06-14,Gujarat,Kheda,116,72,5,0,4128.0
2020-06-15,Gujarat,Kheda,117,75,5,0,4199.0
2020-06-16,Gujarat,Kheda,119,78,5,0,4270.0
2020-06-17,Gujarat,Kheda,123,79,5,0,4459.0
2020-06-18,Gujarat,Kheda,124,81,5,0,4560.0
2020-06-19,Gujarat,Kheda,126,86,5,0,4651.0
2020-06-20,Gujarat,Kheda,128,86,5,0,4752.0
2020-06-21,Gujarat,Kheda,129,87,5,0,4839.0
2020-06-22,Gujarat,Kheda,132,90,5,0,4912.0
2020-06-23,Gujarat,Kheda,122,92,5,0,4989.0
2020-06-24,Gujarat,Kheda,125,94,5,0,5139.0
2020-06-25,Gujarat,Kheda,131,97,5,0,5236.0
2020-06-26,Gujarat,Kheda,136,102,5,0,5357.0
2020-06-27,Gujarat,Kheda,139,105,5,0,5452.0
2020-06-28,Gujarat,Kheda,145,108,5,0,5566.0
2020-06-29,Gujarat,Kheda,152,109,6,0,5640.0
2020-06-30,Gujarat,Kheda,158,115,6,0,5740.0
2020-07-01,Gujarat,Kheda,167,115,7,0,5881.0
2020-07-02,Gujarat,Kheda,172,119,8,0,5913.0
2020-07-03,Gujarat,Kheda,186,119,10,0,6290.0
2020-07-04,Gujarat,Kheda,196,125,10,0,6508.0
2020-07-05,Gujarat,Kheda,208,128,11,0,6651.0
2020-07-06,Gujarat,Kheda,217,135,12,0,6779.0
2020-07-07,Gujarat,Kheda,228,140,13,0,6899.0
2020-07-08,Gujarat,Kheda,231,145,13,0,6967.0
2020-07-09,Gujarat,Kheda,256,159,13,0,7189.0
2020-07-10,Gujarat,Kheda,273,170,13,0,7370.0
2020-07-11,Gujarat,Kheda,293,176,13,0,7579.0
2020-07-12,Gujarat,Kheda,309,182,14,0,7776.0
2020-07-13,Gujarat,Kheda,328,199,14,0,8042.0
2020-07-14,Gujarat,Kheda,343,205,14,0,8165.0
2020-07-15,Gujarat,Kheda,367,218,14,0,8391.0
2020-07-16,Gujarat,Kheda,387,234,14,0,8417.0
2020-07-17,Gujarat,Kheda,408,242,14,0,8598.0
2020-07-18,Gujarat,Kheda,423,261,14,0,8785.0
2020-07-19,Gujarat,Kheda,435,278,14,0,9099.0
2020-07-20,Gujarat,Kheda,448,295,14,0,9365.0
2020-07-21,Gujarat,Kheda,462,302,14,0,9624.0
2020-07-22,Gujarat,Kheda,476,326,14,0,9912.0
2020-07-23,Gujarat,Kheda,489,344,14,0,10219.0
2020-07-24,Gujarat,Kheda,497,354,14,0,10468.0
2020-07-25,Gujarat,Kheda,508,375,14,0,10799.0
2020-07-26,Gujarat,Kheda,517,399,14,0,10929.0
2020-07-27,Gujarat,Kheda,533,417,14,0,11125.0
2020-07-28,Gujarat,Kheda,546,429,14,0,11591.0
2020-07-29,Gujarat,Kheda,556,441,14,0,11830.0
2020-07-30,Gujarat,Kheda,571,459,14,0,12098.0
2020-07-31,Gujarat,Kheda,585,474,15,0,12417.0
2020-08-01,Gujarat,Kheda,605,487,15,0,12655.0
2020-08-02,Gujarat,Kheda,622,502,15,0,12945.0
2020-08-03,Gujarat,Kheda,642,513,15,0,13240.0
2020-08-04,Gujarat,Kheda,653,524,15,0,13398.0
