Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Gujarat,Kutch,6,3,1,0,
2020-04-27,Gujarat,Kutch,6,3,1,0,
2020-04-28,Gujarat,Kutch,6,4,1,0,
2020-04-29,Gujarat,Kutch,6,4,1,0,
2020-04-30,Gujarat,Kutch,6,5,1,0,
2020-05-01,Gujarat,Kutch,7,5,1,0,
2020-05-02,Gujarat,Kutch,7,5,1,0,
2020-05-03,Gujarat,Kutch,7,5,1,0,
2020-05-04,Gujarat,Kutch,7,5,1,0,
2020-05-05,Gujarat,Kutch,7,5,1,0,
2020-05-06,Gujarat,Kutch,7,5,1,0,
2020-05-07,Gujarat,Kutch,7,5,1,0,
2020-05-08,Gujarat,Kutch,7,5,1,0,
2020-05-09,Gujarat,Kutch,7,5,1,0,
2020-05-10,Gujarat,Kutch,8,6,1,0,
2020-05-11,Gujarat,Kutch,8,6,1,0,
2020-05-12,Gujarat,Kutch,14,6,1,0,
2020-05-13,Gujarat,Kutch,14,6,1,0,
2020-05-14,Gujarat,Kutch,14,6,1,0,
2020-05-15,Gujarat,Kutch,14,6,1,0,
2020-05-16,Gujarat,Kutch,14,6,1,0,
2020-05-17,Gujarat,Kutch,28,6,1,0,
2020-05-18,Gujarat,Kutch,31,6,1,0,
2020-05-19,Gujarat,Kutch,52,6,1,0,
2020-05-20,Gujarat,Kutch,57,6,1,0,2087.0
2020-05-21,Gujarat,Kutch,61,6,1,0,2115.0
2020-05-22,Gujarat,Kutch,64,6,1,0,2330.0
2020-05-23,Gujarat,Kutch,64,12,1,0,2330.0
2020-05-24,Gujarat,Kutch,64,12,1,0,2515.0
2020-05-25,Gujarat,Kutch,64,12,1,0,2578.0
2020-05-26,Gujarat,Kutch,66,12,1,0,2660.0
2020-05-27,Gujarat,Kutch,68,13,1,0,2543.0
2020-05-28,Gujarat,Kutch,75,25,2,0,2966.0
2020-05-29,Gujarat,Kutch,68,43,2,0,2966.0
2020-05-30,Gujarat,Kutch,69,43,2,0,3089.0
2020-05-31,Gujarat,Kutch,69,48,2,0,3089.0
2020-06-01,Gujarat,Kutch,69,48,2,0,3379.0
2020-06-02,Gujarat,Kutch,71,55,2,0,3488.0
2020-06-03,Gujarat,Kutch,71,55,3,0,3681.0
2020-06-04,Gujarat,Kutch,72,55,4,0,3819.0
2020-06-05,Gujarat,Kutch,72,55,4,0,3961.0
2020-06-06,Gujarat,Kutch,77,56,4,0,4134.0
2020-06-07,Gujarat,Kutch,78,61,5,0,4232.0
2020-06-08,Gujarat,Kutch,79,66,5,0,4337.0
2020-06-09,Gujarat,Kutch,80,67,5,0,4517.0
2020-06-10,Gujarat,Kutch,82,67,5,0,4652.0
2020-06-11,Gujarat,Kutch,84,68,5,0,4749.0
2020-06-12,Gujarat,Kutch,88,68,5,0,4895.0
2020-06-13,Gujarat,Kutch,92,70,5,0,5026.0
2020-06-14,Gujarat,Kutch,92,70,5,0,5158.0
2020-06-15,Gujarat,Kutch,93,70,5,0,5260.0
2020-06-16,Gujarat,Kutch,96,70,5,0,5362.0
2020-06-17,Gujarat,Kutch,96,74,5,0,5450.0
2020-06-18,Gujarat,Kutch,96,74,5,0,5545.0
2020-06-19,Gujarat,Kutch,100,75,5,0,5699.0
2020-06-20,Gujarat,Kutch,101,78,5,0,5820.0
2020-06-21,Gujarat,Kutch,101,78,5,0,5947.0
2020-06-22,Gujarat,Kutch,102,82,5,0,6118.0
2020-06-23,Gujarat,Kutch,117,86,5,0,6231.0
2020-06-24,Gujarat,Kutch,122,87,5,0,6357.0
2020-06-25,Gujarat,Kutch,127,87,5,0,6481.0
2020-06-26,Gujarat,Kutch,130,90,5,0,6616.0
2020-06-27,Gujarat,Kutch,141,92,5,0,6723.0
2020-06-28,Gujarat,Kutch,151,92,5,0,6846.0
2020-06-29,Gujarat,Kutch,153,93,5,0,6935.0
2020-06-30,Gujarat,Kutch,162,93,5,0,7014.0
2020-07-01,Gujarat,Kutch,165,96,5,0,7261.0
2020-07-02,Gujarat,Kutch,170,96,5,0,7390.0
2020-07-03,Gujarat,Kutch,175,96,5,0,7543.0
2020-07-04,Gujarat,Kutch,182,99,6,0,7776.0
2020-07-05,Gujarat,Kutch,184,106,6,0,8028.0
2020-07-06,Gujarat,Kutch,195,109,6,0,8229.0
2020-07-07,Gujarat,Kutch,209,110,6,0,8417.0
2020-07-08,Gujarat,Kutch,219,121,6,0,8565.0
2020-07-09,Gujarat,Kutch,224,125,6,0,8727.0
2020-07-10,Gujarat,Kutch,228,132,6,0,8948.0
2020-07-11,Gujarat,Kutch,238,143,7,0,9126.0
2020-07-12,Gujarat,Kutch,245,145,7,0,9333.0
2020-07-13,Gujarat,Kutch,252,153,7,0,9459.0
2020-07-14,Gujarat,Kutch,259,160,7,0,9673.0
2020-07-15,Gujarat,Kutch,273,163,7,0,9905.0
2020-07-16,Gujarat,Kutch,284,163,7,0,10034.0
2020-07-17,Gujarat,Kutch,299,176,7,0,10235.0
2020-07-18,Gujarat,Kutch,309,183,9,0,10452.0
2020-07-19,Gujarat,Kutch,328,198,9,0,10668.0
2020-07-20,Gujarat,Kutch,344,206,9,0,10738.0
2020-07-21,Gujarat,Kutch,353,213,10,0,11061.0
2020-07-22,Gujarat,Kutch,374,221,10,0,11211.0
2020-07-23,Gujarat,Kutch,398,229,12,0,11412.0
2020-07-24,Gujarat,Kutch,420,234,15,0,11605.0
2020-07-25,Gujarat,Kutch,439,236,16,0,11830.0
2020-07-26,Gujarat,Kutch,459,239,16,0,12085.0
2020-07-27,Gujarat,Kutch,471,239,16,0,12223.0
2020-07-28,Gujarat,Kutch,481,265,16,0,12446.0
2020-07-29,Gujarat,Kutch,494,280,16,0,12626.0
2020-07-30,Gujarat,Kutch,506,289,17,0,12876.0
2020-07-31,Gujarat,Kutch,526,310,17,0,13098.0
2020-08-01,Gujarat,Kutch,546,325,17,0,13296.0
2020-08-02,Gujarat,Kutch,562,340,17,0,13577.0
2020-08-03,Gujarat,Kutch,579,350,18,0,13698.0
2020-08-04,Gujarat,Kutch,602,364,18,0,13793.0
2020-08-05,Gujarat,Kutch,629,386,18,0,14254.0
2020-08-06,Gujarat,Kutch,656,409,20,0,14512.0
2020-08-07,Gujarat,Kutch,680,425,20,0,14783.0
2020-08-08,Gujarat,Kutch,702,434,22,0,15007.0
2020-08-09,Gujarat,Kutch,727,452,24,0,15747.0
2020-08-10,Gujarat,Kutch,759,465,24,0,16275.0
2020-08-11,Gujarat,Kutch,782,465,24,0,17129.0
2020-08-12,Gujarat,Kutch,809,492,24,0,18179.0
2020-08-13,Gujarat,Kutch,831,525,25,0,18843.0
2020-08-14,Gujarat,Kutch,853,553,25,0,19592.0
2020-08-15,Gujarat,Kutch,882,563,25,0,20436.0
2020-08-16,Gujarat,Kutch,913,590,26,0,21465.0
2020-08-17,Gujarat,Kutch,937,612,26,0,21851.0
2020-08-18,Gujarat,Kutch,954,633,28,0,22158.0
2020-08-19,Gujarat,Kutch,984,653,28,0,23108.0
2020-08-20,Gujarat,Kutch,1019,681,28,0,24094.0
2020-08-21,Gujarat,Kutch,1057,700,28,0,25148.0
2020-08-22,Gujarat,Kutch,1081,727,29,0,25977.0
2020-08-23,Gujarat,Kutch,1113,746,29,0,26715.0
2020-08-24,Gujarat,Kutch,1138,772,29,0,27507.0
2020-08-25,Gujarat,Kutch,1160,792,29,0,28019.0
2020-08-26,Gujarat,Kutch,1184,810,29,0,28621.0
2020-08-27,Gujarat,Kutch,1211,836,30,0,29655.0
2020-08-28,Gujarat,Kutch,1233,858,30,0,30723.0
2020-08-29,Gujarat,Kutch,1261,879,30,0,32065.0
2020-08-30,Gujarat,Kutch,1287,900,30,0,33188.0
2020-08-31,Gujarat,Kutch,1307,930,30,0,33922.0
2020-09-01,Gujarat,Kutch,1327,963,30,0,35147.0
2020-09-02,Gujarat,Kutch,1344,979,30,0,36338.0
2020-09-03,Gujarat,Kutch,1358,1005,30,0,37481.0
2020-09-04,Gujarat,Kutch,1383,1031,30,0,38657.0
2020-09-05,Gujarat,Kutch,1403,1031,30,0,40122.0
2020-09-06,Gujarat,Kutch,1432,1085,31,0,41447.0
2020-09-07,Gujarat,Kutch,1467,1097,31,0,42602.0
2020-09-08,Gujarat,Kutch,1499,1116,31,0,43878.0
2020-09-09,Gujarat,Kutch,1512,1135,31,0,44972.0
2020-09-10,Gujarat,Kutch,1532,1153,31,0,46444.0
2020-09-11,Gujarat,Kutch,1557,1167,31,0,47871.0
2020-09-12,Gujarat,Kutch,1575,1175,31,0,49144.0
2020-09-13,Gujarat,Kutch,1603,1175,31,0,50842.0
2020-09-14,Gujarat,Kutch,1633,1194,31,0,52089.0
2020-09-15,Gujarat,Kutch,1652,1214,31,0,54085.0
2020-09-16,Gujarat,Kutch,1686,1230,31,0,55932.0
2020-09-17,Gujarat,Kutch,1716,1249,31,0,57899.0
2020-09-18,Gujarat,Kutch,1750,1249,31,0,59663.0
2020-09-19,Gujarat,Kutch,1776,1293,32,0,60938.0
2020-09-20,Gujarat,Kutch,1811,1310,32,0,62527.0
2020-09-21,Gujarat,Kutch,1838,1327,32,0,63427.0
2020-09-22,Gujarat,Kutch,1871,1349,32,0,64396.0
2020-09-23,Gujarat,Kutch,1898,1374,32,0,65400.0
2020-09-24,Gujarat,Kutch,1931,1396,32,0,66804.0
2020-09-25,Gujarat,Kutch,1961,1424,32,0,67853.0
2020-09-26,Gujarat,Kutch,2003,1449,32,0,69004.0
2020-09-27,Gujarat,Kutch,2037,1483,32,0,70129.0
2020-09-28,Gujarat,Kutch,2074,1483,32,0,71666.0
2020-09-29,Gujarat,Kutch,2098,1518,32,0,72686.0
2020-09-30,Gujarat,Kutch,2122,1518,33,0,73724.0
2020-10-01,Gujarat,Kutch,2148,1518,33,0,74843.0
2020-10-02,Gujarat,Kutch,2179,1518,33,0,76735.0
2020-10-03,Gujarat,Kutch,2208,1518,33,0,78225.0
2020-10-04,Gujarat,Kutch,2227,1518,33,0,80154.0
2020-10-05,Gujarat,Kutch,2254,1518,33,0,81812.0
2020-10-06,Gujarat,Kutch,2272,1518,33,0,82909.0
2020-10-07,Gujarat,Kutch,2299,1518,33,0,83097.0
2020-10-08,Gujarat,Kutch,2319,1518,33,0,83272.0
2020-10-09,Gujarat,Kutch,2348,1683,33,0,83476.0
2020-10-10,Gujarat,Kutch,2373,1864,33,0,84560.0
2020-10-11,Gujarat,Kutch,2391,2020,33,0,86397.0
2020-10-12,Gujarat,Kutch,2415,2048,33,0,87622.0
2020-10-13,Gujarat,Kutch,2430,2072,33,0,88826.0
2020-10-14,Gujarat,Kutch,2450,2072,33,0,90088.0
2020-10-15,Gujarat,Kutch,2481,2123,33,0,91337.0
2020-10-16,Gujarat,Kutch,2504,2150,33,0,92602.0
2020-10-17,Gujarat,Kutch,2519,2150,33,0,93987.0
2020-10-18,Gujarat,Kutch,2534,2150,33,0,96014.0
2020-10-19,Gujarat,Kutch,2555,2173,33,0,97397.0
2020-10-20,Gujarat,Kutch,2571,2196,33,0,98753.0
2020-10-21,Gujarat,Kutch,2597,2220,33,0,99974.0
2020-10-22,Gujarat,Kutch,2619,2245,33,0,101222.0
2020-10-23,Gujarat,Kutch,2637,2267,33,0,102499.0
2020-10-24,Gujarat,Kutch,2650,2289,33,0,103959.0
2020-10-25,Gujarat,Kutch,2666,2312,33,0,105932.0
2020-10-26,Gujarat,Kutch,2680,2333,33,0,107389.0
2020-10-27,Gujarat,Kutch,2692,2351,33,0,108761.0
2020-10-28,Gujarat,Kutch,2706,2371,33,0,109971.0
2020-10-29,Gujarat,Kutch,2706,2371,33,0,109971.0
