Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Gujarat,Mahisagar,10,0,0,0,
2020-04-27,Gujarat,Mahisagar,10,0,0,0,
2020-04-28,Gujarat,Mahisagar,10,0,0,0,
2020-04-29,Gujarat,Mahisagar,11,0,0,0,
2020-04-30,Gujarat,Mahisagar,11,5,0,0,
2020-05-01,Gujarat,Mahisagar,17,5,0,0,
2020-05-02,Gujarat,Mahisagar,23,5,0,0,
2020-05-03,Gujarat,Mahisagar,33,6,0,0,
2020-05-04,Gujarat,Mahisagar,36,6,0,0,
2020-05-05,Gujarat,Mahisagar,40,7,1,0,
2020-05-06,Gujarat,Mahisagar,42,7,1,0,
2020-05-07,Gujarat,Mahisagar,42,7,1,0,
2020-05-08,Gujarat,Mahisagar,43,7,1,0,
2020-05-09,Gujarat,Mahisagar,44,8,1,0,
2020-05-10,Gujarat,Mahisagar,44,13,1,0,
2020-05-11,Gujarat,Mahisagar,44,17,1,0,
2020-05-12,Gujarat,Mahisagar,46,28,1,0,
2020-05-13,Gujarat,Mahisagar,47,35,1,0,
2020-05-14,Gujarat,Mahisagar,47,35,1,0,
2020-05-15,Gujarat,Mahisagar,48,35,1,0,
2020-05-16,Gujarat,Mahisagar,48,35,1,0,
2020-05-17,Gujarat,Mahisagar,48,38,1,0,
2020-05-18,Gujarat,Mahisagar,50,38,1,0,
2020-05-19,Gujarat,Mahisagar,53,38,1,0,
2020-05-20,Gujarat,Mahisagar,68,38,1,0,1322.0
2020-05-21,Gujarat,Mahisagar,77,38,1,0,1360.0
2020-05-22,Gujarat,Mahisagar,77,40,1,0,1446.0
2020-05-23,Gujarat,Mahisagar,79,40,1,0,1446.0
2020-05-24,Gujarat,Mahisagar,81,41,1,0,1825.0
2020-05-25,Gujarat,Mahisagar,88,41,1,0,1882.0
2020-05-26,Gujarat,Mahisagar,91,41,1,0,1905.0
2020-05-27,Gujarat,Mahisagar,105,41,2,0,1983.0
2020-05-28,Gujarat,Mahisagar,113,41,2,0,2018.0
2020-05-29,Gujarat,Mahisagar,114,41,2,0,2018.0
2020-05-30,Gujarat,Mahisagar,115,41,2,0,2083.0
2020-05-31,Gujarat,Mahisagar,115,41,2,0,2083.0
2020-06-01,Gujarat,Mahisagar,116,41,2,0,2129.0
2020-06-02,Gujarat,Mahisagar,116,41,2,0,1543.0
2020-06-03,Gujarat,Mahisagar,116,41,2,0,1557.0
2020-06-04,Gujarat,Mahisagar,116,92,2,0,1639.0
2020-06-05,Gujarat,Mahisagar,116,98,2,0,1785.0
2020-06-06,Gujarat,Mahisagar,116,107,2,0,1890.0
2020-06-07,Gujarat,Mahisagar,116,107,2,0,1981.0
2020-06-08,Gujarat,Mahisagar,116,107,2,0,2803.0
2020-06-09,Gujarat,Mahisagar,116,107,2,0,2854.0
2020-06-10,Gujarat,Mahisagar,116,107,2,0,2165.0
2020-06-11,Gujarat,Mahisagar,116,107,2,0,3014.0
2020-06-12,Gujarat,Mahisagar,116,107,2,0,2440.0
2020-06-13,Gujarat,Mahisagar,117,107,2,0,2550.0
2020-06-14,Gujarat,Mahisagar,120,107,2,0,2622.0
2020-06-15,Gujarat,Mahisagar,120,107,2,0,2650.0
2020-06-16,Gujarat,Mahisagar,120,107,2,0,3465.0
2020-06-17,Gujarat,Mahisagar,121,107,2,0,3601.0
2020-06-18,Gujarat,Mahisagar,121,107,2,0,3716.0
2020-06-19,Gujarat,Mahisagar,122,107,2,0,3786.0
2020-06-20,Gujarat,Mahisagar,124,107,2,0,3911.0
2020-06-21,Gujarat,Mahisagar,124,107,2,0,3990.0
2020-06-22,Gujarat,Mahisagar,126,108,2,0,4160.0
2020-06-23,Gujarat,Mahisagar,130,108,2,0,3333.0
2020-06-24,Gujarat,Mahisagar,133,110,2,0,4276.0
2020-06-25,Gujarat,Mahisagar,133,110,2,0,4373.0
2020-06-26,Gujarat,Mahisagar,134,110,2,0,4476.0
2020-06-27,Gujarat,Mahisagar,135,110,2,0,4561.0
2020-06-28,Gujarat,Mahisagar,135,110,2,0,4628.0
2020-06-29,Gujarat,Mahisagar,135,112,2,0,4785.0
2020-06-30,Gujarat,Mahisagar,137,113,2,0,4825.0
2020-07-01,Gujarat,Mahisagar,139,115,2,0,4948.0
2020-07-02,Gujarat,Mahisagar,140,115,2,0,5077.0
2020-07-03,Gujarat,Mahisagar,147,118,2,0,5170.0
2020-07-04,Gujarat,Mahisagar,149,118,2,0,5313.0
2020-07-05,Gujarat,Mahisagar,152,118,2,0,5401.0
2020-07-06,Gujarat,Mahisagar,154,118,2,0,5590.0
2020-07-07,Gujarat,Mahisagar,161,118,2,0,5597.0
2020-07-08,Gujarat,Mahisagar,165,118,2,0,5734.0
2020-07-09,Gujarat,Mahisagar,165,118,2,0,5843.0
2020-07-10,Gujarat,Mahisagar,165,118,2,0,5970.0
2020-07-11,Gujarat,Mahisagar,171,118,2,0,6090.0
2020-07-12,Gujarat,Mahisagar,172,118,2,0,6235.0
2020-07-13,Gujarat,Mahisagar,177,127,2,0,6415.0
2020-07-14,Gujarat,Mahisagar,186,127,2,0,6501.0
2020-07-15,Gujarat,Mahisagar,195,134,2,0,6649.0
2020-07-16,Gujarat,Mahisagar,197,134,2,0,6783.0
2020-07-17,Gujarat,Mahisagar,200,143,2,0,7083.0
2020-07-18,Gujarat,Mahisagar,207,143,2,0,7314.0
2020-07-19,Gujarat,Mahisagar,212,143,2,0,7362.0
2020-07-20,Gujarat,Mahisagar,223,143,2,0,7618.0
2020-07-21,Gujarat,Mahisagar,229,143,2,0,7764.0
2020-07-22,Gujarat,Mahisagar,247,143,2,0,7989.0
2020-07-23,Gujarat,Mahisagar,254,143,2,0,8154.0
2020-07-24,Gujarat,Mahisagar,256,174,2,0,8365.0
2020-07-25,Gujarat,Mahisagar,266,174,2,0,8549.0
2020-07-26,Gujarat,Mahisagar,269,174,2,0,8693.0
2020-07-27,Gujarat,Mahisagar,280,195,2,0,8813.0
2020-07-28,Gujarat,Mahisagar,300,195,2,0,9072.0
2020-07-29,Gujarat,Mahisagar,312,195,2,0,9385.0
2020-07-30,Gujarat,Mahisagar,328,210,2,0,9767.0
2020-07-31,Gujarat,Mahisagar,340,210,2,0,10182.0
2020-08-01,Gujarat,Mahisagar,351,210,2,0,10537.0
2020-08-02,Gujarat,Mahisagar,352,210,2,0,10747.0
2020-08-03,Gujarat,Mahisagar,359,210,2,0,10827.0
2020-08-04,Gujarat,Mahisagar,371,210,2,0,11046.0
2020-08-05,Gujarat,Mahisagar,380,210,2,0,11354.0
2020-08-06,Gujarat,Mahisagar,391,210,2,0,11632.0
2020-08-07,Gujarat,Mahisagar,403,210,2,0,11897.0
2020-08-08,Gujarat,Mahisagar,412,210,2,0,12163.0
2020-08-09,Gujarat,Mahisagar,421,210,2,0,12168.0
2020-08-10,Gujarat,Mahisagar,430,331,2,0,12815.0
2020-08-11,Gujarat,Mahisagar,440,331,2,0,13076.0
2020-08-12,Gujarat,Mahisagar,442,331,2,0,13232.0
2020-08-13,Gujarat,Mahisagar,458,331,2,0,13637.0
2020-08-14,Gujarat,Mahisagar,462,369,2,0,13933.0
2020-08-15,Gujarat,Mahisagar,464,369,2,0,14202.0
2020-08-16,Gujarat,Mahisagar,473,369,2,0,14295.0
2020-08-17,Gujarat,Mahisagar,481,369,2,0,14526.0
2020-08-18,Gujarat,Mahisagar,496,412,2,0,14983.0
2020-08-19,Gujarat,Mahisagar,501,425,2,0,15496.0
2020-08-20,Gujarat,Mahisagar,509,425,2,0,16321.0
2020-08-21,Gujarat,Mahisagar,517,425,2,0,16982.0
2020-08-22,Gujarat,Mahisagar,525,425,2,0,17378.0
2020-08-23,Gujarat,Mahisagar,528,425,2,0,17771.0
2020-08-24,Gujarat,Mahisagar,539,425,2,0,18971.0
2020-08-25,Gujarat,Mahisagar,545,440,2,0,19789.0
2020-08-26,Gujarat,Mahisagar,555,491,2,0,20574.0
2020-08-27,Gujarat,Mahisagar,566,491,2,0,21372.0
2020-08-28,Gujarat,Mahisagar,575,491,2,0,22385.0
2020-08-29,Gujarat,Mahisagar,583,567,2,0,23247.0
2020-08-30,Gujarat,Mahisagar,591,567,2,0,23848.0
2020-08-31,Gujarat,Mahisagar,601,579,2,0,24873.0
2020-09-01,Gujarat,Mahisagar,611,590,2,0,25679.0
2020-09-02,Gujarat,Mahisagar,619,601,2,0,26581.0
2020-09-03,Gujarat,Mahisagar,628,607,2,0,27415.0
2020-09-04,Gujarat,Mahisagar,635,607,2,0,28477.0
2020-09-05,Gujarat,Mahisagar,643,626,2,0,29689.0
2020-09-06,Gujarat,Mahisagar,648,626,2,0,30527.0
2020-09-07,Gujarat,Mahisagar,651,626,2,0,31564.0
2020-09-08,Gujarat,Mahisagar,666,626,2,0,32789.0
2020-09-09,Gujarat,Mahisagar,682,626,3,0,34002.0
2020-09-10,Gujarat,Mahisagar,703,626,3,0,35167.0
2020-09-11,Gujarat,Mahisagar,719,626,3,0,36323.0
2020-09-12,Gujarat,Mahisagar,729,626,3,0,37408.0
2020-09-13,Gujarat,Mahisagar,737,626,3,0,38267.0
2020-09-14,Gujarat,Mahisagar,747,626,3,0,39202.0
2020-09-15,Gujarat,Mahisagar,766,626,4,0,40269.0
2020-09-16,Gujarat,Mahisagar,787,626,4,0,41584.0
2020-09-17,Gujarat,Mahisagar,806,662,4,0,42794.0
2020-09-18,Gujarat,Mahisagar,817,662,4,0,43983.0
2020-09-19,Gujarat,Mahisagar,833,720,4,0,45056.0
2020-09-20,Gujarat,Mahisagar,839,720,4,0,45246.0
2020-09-21,Gujarat,Mahisagar,853,720,4,0,45997.0
2020-09-22,Gujarat,Mahisagar,868,720,4,0,47098.0
2020-09-23,Gujarat,Mahisagar,881,720,4,0,48090.0
2020-09-24,Gujarat,Mahisagar,900,782,4,0,48866.0
2020-09-25,Gujarat,Mahisagar,912,801,4,0,49847.0
2020-09-26,Gujarat,Mahisagar,929,801,4,0,50781.0
2020-09-27,Gujarat,Mahisagar,940,801,4,0,51550.0
2020-09-28,Gujarat,Mahisagar,967,860,4,0,52424.0
2020-09-29,Gujarat,Mahisagar,986,884,4,0,53291.0
2020-09-30,Gujarat,Mahisagar,1001,891,4,0,54026.0
2020-10-01,Gujarat,Mahisagar,1013,891,4,0,54948.0
2020-10-02,Gujarat,Mahisagar,1024,891,4,0,55803.0
2020-10-03,Gujarat,Mahisagar,1029,891,4,0,56444.0
2020-10-04,Gujarat,Mahisagar,1035,891,4,0,57066.0
2020-10-05,Gujarat,Mahisagar,1051,950,5,0,57981.0
2020-10-06,Gujarat,Mahisagar,1063,969,5,0,58678.0
2020-10-07,Gujarat,Mahisagar,1072,978,5,0,59346.0
2020-10-08,Gujarat,Mahisagar,1084,991,5,0,60032.0
2020-10-09,Gujarat,Mahisagar,1093,991,5,0,60612.0
