Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Gujarat,Mehsana,7,2,0,0,
2020-04-27,Gujarat,Mehsana,7,2,0,0,
2020-04-28,Gujarat,Mehsana,7,2,0,0,
2020-04-29,Gujarat,Mehsana,8,2,0,0,
2020-04-30,Gujarat,Mehsana,11,5,0,0,
2020-05-01,Gujarat,Mehsana,11,5,0,0,
2020-05-02,Gujarat,Mehsana,11,7,0,0,
2020-05-03,Gujarat,Mehsana,32,7,0,0,
2020-05-04,Gujarat,Mehsana,32,7,0,0,
2020-05-05,Gujarat,Mehsana,42,7,0,0,
2020-05-06,Gujarat,Mehsana,42,8,0,0,
2020-05-07,Gujarat,Mehsana,42,8,1,0,
2020-05-08,Gujarat,Mehsana,42,8,1,0,
2020-05-09,Gujarat,Mehsana,42,8,1,0,
2020-05-10,Gujarat,Mehsana,50,20,1,0,
2020-05-11,Gujarat,Mehsana,52,37,2,0,
2020-05-12,Gujarat,Mehsana,59,37,2,0,
2020-05-13,Gujarat,Mehsana,67,37,2,0,
2020-05-14,Gujarat,Mehsana,73,37,2,0,
2020-05-15,Gujarat,Mehsana,73,40,3,0,
2020-05-16,Gujarat,Mehsana,75,40,3,0,
2020-05-17,Gujarat,Mehsana,75,40,3,0,
2020-05-18,Gujarat,Mehsana,75,46,3,0,
2020-05-19,Gujarat,Mehsana,80,51,3,0,
2020-05-20,Gujarat,Mehsana,80,51,3,0,987.0
2020-05-21,Gujarat,Mehsana,93,51,4,0,1053.0
2020-05-22,Gujarat,Mehsana,95,51,4,0,1056.0
2020-05-23,Gujarat,Mehsana,99,54,4,0,1056.0
2020-05-24,Gujarat,Mehsana,101,55,4,0,1170.0
2020-05-25,Gujarat,Mehsana,102,56,4,0,1186.0
2020-05-26,Gujarat,Mehsana,103,58,4,0,1222.0
2020-05-27,Gujarat,Mehsana,104,60,4,0,1266.0
2020-05-28,Gujarat,Mehsana,105,60,4,0,1309.0
2020-05-29,Gujarat,Mehsana,112,70,4,0,1309.0
2020-05-30,Gujarat,Mehsana,112,73,5,0,1413.0
2020-05-31,Gujarat,Mehsana,114,73,5,0,1413.0
2020-06-01,Gujarat,Mehsana,120,73,5,0,1488.0
2020-06-02,Gujarat,Mehsana,125,76,6,0,2170.0
2020-06-03,Gujarat,Mehsana,129,76,6,0,2228.0
2020-06-04,Gujarat,Mehsana,138,78,6,0,2361.0
2020-06-05,Gujarat,Mehsana,147,80,6,0,2450.0
2020-06-06,Gujarat,Mehsana,153,83,6,0,2576.0
2020-06-07,Gujarat,Mehsana,159,84,7,0,2679.0
2020-06-08,Gujarat,Mehsana,160,87,7,0,2052.0
2020-06-09,Gujarat,Mehsana,161,92,8,0,2069.0
2020-06-10,Gujarat,Mehsana,165,96,8,0,2935.0
2020-06-11,Gujarat,Mehsana,170,102,8,0,2270.0
2020-06-12,Gujarat,Mehsana,177,107,8,0,3101.0
2020-06-13,Gujarat,Mehsana,183,111,8,0,3193.0
2020-06-14,Gujarat,Mehsana,185,118,9,0,3295.0
2020-06-15,Gujarat,Mehsana,187,118,9,0,3380.0
2020-06-16,Gujarat,Mehsana,190,118,9,0,2678.0
2020-06-17,Gujarat,Mehsana,193,118,9,0,2741.0
2020-06-18,Gujarat,Mehsana,193,118,9,0,2832.0
2020-06-19,Gujarat,Mehsana,205,124,10,0,2945.0
2020-06-20,Gujarat,Mehsana,209,124,10,0,3018.0
2020-06-21,Gujarat,Mehsana,211,128,10,0,3086.0
