Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Gujarat,Narmada,12,0,0,0,
2020-04-27,Gujarat,Narmada,12,1,0,0,
2020-04-28,Gujarat,Narmada,12,1,0,0,
2020-04-29,Gujarat,Narmada,12,10,0,0,
2020-04-30,Gujarat,Narmada,12,10,0,0,
2020-05-01,Gujarat,Narmada,12,10,0,0,
2020-05-02,Gujarat,Narmada,12,10,0,0,
2020-05-03,Gujarat,Narmada,12,10,0,0,
2020-05-04,Gujarat,Narmada,12,10,0,0,
2020-05-05,Gujarat,Narmada,12,12,0,0,
2020-05-06,Gujarat,Narmada,12,12,0,0,
2020-05-07,Gujarat,Narmada,12,12,0,0,
2020-05-08,Gujarat,Narmada,12,12,0,0,
2020-05-09,Gujarat,Narmada,12,12,0,0,
2020-05-10,Gujarat,Narmada,12,12,0,0,
2020-05-11,Gujarat,Narmada,13,12,0,0,
2020-05-12,Gujarat,Narmada,13,12,0,0,
2020-05-13,Gujarat,Narmada,13,12,0,0,
2020-05-14,Gujarat,Narmada,13,12,0,0,
2020-05-15,Gujarat,Narmada,13,12,0,0,
2020-05-16,Gujarat,Narmada,13,12,0,0,
2020-05-17,Gujarat,Narmada,13,12,0,0,
2020-05-18,Gujarat,Narmada,13,12,0,0,
2020-05-19,Gujarat,Narmada,13,12,0,0,
2020-05-20,Gujarat,Narmada,13,12,0,0,1290.0
2020-05-21,Gujarat,Narmada,15,13,0,0,1332.0
2020-05-22,Gujarat,Narmada,15,13,0,0,1366.0
2020-05-23,Gujarat,Narmada,15,13,0,0,1366.0
2020-05-24,Gujarat,Narmada,15,13,0,0,1396.0
2020-05-25,Gujarat,Narmada,18,13,0,0,1408.0
2020-05-26,Gujarat,Narmada,18,13,0,0,1439.0
2020-05-27,Gujarat,Narmada,18,13,0,0,1468.0
2020-05-28,Gujarat,Narmada,18,13,0,0,1492.0
2020-05-29,Gujarat,Narmada,18,13,0,0,1492.0
2020-05-30,Gujarat,Narmada,18,13,0,0,1519.0
2020-05-31,Gujarat,Narmada,18,13,0,0,1519.0
2020-06-01,Gujarat,Narmada,18,15,0,0,2085.0
2020-06-02,Gujarat,Narmada,19,15,0,0,2320.0
2020-06-03,Gujarat,Narmada,19,15,0,0,2564.0
2020-06-04,Gujarat,Narmada,23,18,0,0,2636.0
2020-06-05,Gujarat,Narmada,23,18,0,0,2676.0
2020-06-06,Gujarat,Narmada,23,18,0,0,2728.0
2020-06-07,Gujarat,Narmada,23,18,0,0,2779.0
2020-06-08,Gujarat,Narmada,23,18,0,0,2813.0
2020-06-09,Gujarat,Narmada,23,18,0,0,2851.0
2020-06-10,Gujarat,Narmada,23,18,0,0,2890.0
2020-06-11,Gujarat,Narmada,24,19,0,0,2930.0
2020-06-12,Gujarat,Narmada,25,19,0,0,2968.0
2020-06-13,Gujarat,Narmada,30,19,0,0,3013.0
2020-06-14,Gujarat,Narmada,31,23,0,0,3055.0
2020-06-15,Gujarat,Narmada,32,23,0,0,3088.0
2020-06-16,Gujarat,Narmada,32,23,0,0,3121.0
2020-06-17,Gujarat,Narmada,33,23,0,0,3207.0
2020-06-18,Gujarat,Narmada,34,23,0,0,3250.0
2020-06-19,Gujarat,Narmada,38,23,0,0,3285.0
2020-06-20,Gujarat,Narmada,46,23,0,0,3325.0
2020-06-21,Gujarat,Narmada,46,23,0,0,3363.0
2020-06-22,Gujarat,Narmada,53,25,0,0,3380.0
2020-06-23,Gujarat,Narmada,59,30,0,0,3417.0
2020-06-24,Gujarat,Narmada,68,30,0,0,3485.0
2020-06-25,Gujarat,Narmada,79,32,0,0,3539.0
2020-06-26,Gujarat,Narmada,85,32,0,0,3582.0
2020-06-27,Gujarat,Narmada,88,33,0,0,3614.0
2020-06-28,Gujarat,Narmada,89,33,0,0,3650.0
2020-06-29,Gujarat,Narmada,89,37,0,0,3674.0
2020-06-30,Gujarat,Narmada,90,44,0,0,3702.0
2020-07-01,Gujarat,Narmada,91,46,0,0,3733.0
2020-07-02,Gujarat,Narmada,91,53,0,0,3768.0
2020-07-03,Gujarat,Narmada,94,59,0,0,3808.0
2020-07-04,Gujarat,Narmada,94,68,0,0,3894.0
2020-07-05,Gujarat,Narmada,95,79,0,0,3989.0
2020-07-06,Gujarat,Narmada,95,85,0,0,4018.0
2020-07-07,Gujarat,Narmada,96,88,0,0,4114.0
2020-07-08,Gujarat,Narmada,100,88,0,0,4172.0
2020-07-09,Gujarat,Narmada,101,88,0,0,4231.0
2020-07-10,Gujarat,Narmada,101,90,0,0,4267.0
2020-07-11,Gujarat,Narmada,108,90,0,0,4342.0
2020-07-12,Gujarat,Narmada,108,94,0,0,4390.0
2020-07-13,Gujarat,Narmada,108,94,0,0,4421.0
2020-07-14,Gujarat,Narmada,112,95,0,0,4471.0
2020-07-15,Gujarat,Narmada,118,96,0,0,4561.0
2020-07-16,Gujarat,Narmada,121,96,0,0,4804.0
2020-07-17,Gujarat,Narmada,122,98,0,0,5049.0
2020-07-18,Gujarat,Narmada,128,102,0,0,5294.0
2020-07-19,Gujarat,Narmada,131,102,0,0,5535.0
2020-07-20,Gujarat,Narmada,138,103,0,0,5718.0
2020-07-21,Gujarat,Narmada,157,110,0,0,5875.0
2020-07-22,Gujarat,Narmada,171,110,0,0,5999.0
2020-07-23,Gujarat,Narmada,211,110,0,0,6153.0
2020-07-24,Gujarat,Narmada,220,115,0,0,6285.0
