Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Gujarat,Porbandar,3,3,0,0,
2020-04-27,Gujarat,Porbandar,3,3,0,0,
2020-04-28,Gujarat,Porbandar,3,3,0,0,
2020-04-29,Gujarat,Porbandar,3,3,0,0,
2020-04-30,Gujarat,Porbandar,3,3,0,0,
2020-05-01,Gujarat,Porbandar,3,3,0,0,
2020-05-02,Gujarat,Porbandar,3,3,0,0,
2020-05-03,Gujarat,Porbandar,3,3,0,0,
2020-05-04,Gujarat,Porbandar,3,3,0,0,
2020-05-05,Gujarat,Porbandar,3,3,0,0,
2020-05-06,Gujarat,Porbandar,3,3,0,0,
2020-05-07,Gujarat,Porbandar,3,3,0,0,
2020-05-08,Gujarat,Porbandar,3,3,0,0,
2020-05-09,Gujarat,Porbandar,3,3,0,0,
2020-05-10,Gujarat,Porbandar,3,3,0,0,
2020-05-11,Gujarat,Porbandar,3,3,0,0,
2020-05-12,Gujarat,Porbandar,3,3,0,0,
2020-05-13,Gujarat,Porbandar,3,3,0,0,
2020-05-14,Gujarat,Porbandar,4,3,0,0,
2020-05-15,Gujarat,Porbandar,4,3,0,0,
2020-05-16,Gujarat,Porbandar,4,3,0,0,
2020-05-17,Gujarat,Porbandar,5,3,0,0,
2020-05-18,Gujarat,Porbandar,5,3,0,0,
2020-05-19,Gujarat,Porbandar,5,3,0,0,
2020-05-20,Gujarat,Porbandar,5,3,0,0,
2020-05-21,Gujarat,Porbandar,5,3,0,0,1373.0
2020-05-22,Gujarat,Porbandar,5,3,0,0,1408.0
2020-05-23,Gujarat,Porbandar,6,4,0,0,1408.0
2020-05-24,Gujarat,Porbandar,6,4,0,0,1465.0
2020-05-25,Gujarat,Porbandar,7,4,0,0,1543.0
2020-05-26,Gujarat,Porbandar,7,4,0,0,1581.0
2020-05-27,Gujarat,Porbandar,8,4,0,0,1615.0
2020-05-28,Gujarat,Porbandar,8,4,0,0,1654.0
2020-05-29,Gujarat,Porbandar,8,4,0,0,1654.0
2020-05-30,Gujarat,Porbandar,9,4,0,0,1716.0
2020-05-31,Gujarat,Porbandar,10,4,2,0,1716.0
2020-06-01,Gujarat,Porbandar,12,4,2,0,1813.0
2020-06-02,Gujarat,Porbandar,12,4,2,0,1866.0
2020-06-03,Gujarat,Porbandar,12,6,2,0,1921.0
2020-06-04,Gujarat,Porbandar,12,6,2,0,1965.0
2020-06-05,Gujarat,Porbandar,12,6,2,0,2010.0
2020-06-06,Gujarat,Porbandar,12,6,2,0,2055.0
2020-06-07,Gujarat,Porbandar,12,6,2,0,2099.0
2020-06-08,Gujarat,Porbandar,12,6,2,0,2133.0
2020-06-09,Gujarat,Porbandar,12,6,2,0,2167.0
2020-06-10,Gujarat,Porbandar,14,9,2,0,2222.0
2020-06-11,Gujarat,Porbandar,14,9,2,0,2260.0
2020-06-12,Gujarat,Porbandar,14,9,2,0,2293.0
2020-06-13,Gujarat,Porbandar,14,9,2,0,2329.0
2020-06-14,Gujarat,Porbandar,14,9,2,0,2365.0
2020-06-15,Gujarat,Porbandar,14,9,2,0,2402.0
2020-06-16,Gujarat,Porbandar,14,9,2,0,2439.0
2020-06-17,Gujarat,Porbandar,14,9,2,0,2532.0
2020-06-18,Gujarat,Porbandar,14,10,2,0,2567.0
2020-06-19,Gujarat,Porbandar,14,10,2,0,2605.0
2020-06-20,Gujarat,Porbandar,14,10,2,0,2642.0
2020-06-21,Gujarat,Porbandar,14,10,2,0,2678.0
2020-06-22,Gujarat,Porbandar,14,10,2,0,2692.0
2020-06-23,Gujarat,Porbandar,14,10,2,0,2692.0
2020-06-24,Gujarat,Porbandar,14,10,2,0,2727.0
2020-06-25,Gujarat,Porbandar,14,10,2,0,2773.0
2020-06-26,Gujarat,Porbandar,14,10,2,0,2820.0
2020-06-27,Gujarat,Porbandar,14,10,2,0,2857.0
2020-06-28,Gujarat,Porbandar,16,10,2,0,2920.0
2020-06-29,Gujarat,Porbandar,16,10,2,0,2943.0
2020-06-30,Gujarat,Porbandar,19,10,2,0,2988.0
2020-07-01,Gujarat,Porbandar,19,10,2,0,3076.0
2020-07-02,Gujarat,Porbandar,20,10,2,0,3129.0
2020-07-03,Gujarat,Porbandar,21,13,2,0,3205.0
2020-07-04,Gujarat,Porbandar,21,13,2,0,3262.0
2020-07-05,Gujarat,Porbandar,21,13,2,0,3412.0
2020-07-06,Gujarat,Porbandar,21,13,2,0,3467.0
2020-07-07,Gujarat,Porbandar,21,15,2,0,3551.0
2020-07-08,Gujarat,Porbandar,21,16,2,0,3618.0
2020-07-09,Gujarat,Porbandar,22,17,2,0,3682.0
2020-07-10,Gujarat,Porbandar,23,17,2,0,3746.0
2020-07-11,Gujarat,Porbandar,24,17,2,0,3824.0
2020-07-12,Gujarat,Porbandar,24,19,2,0,3877.0
2020-07-13,Gujarat,Porbandar,28,19,2,0,3945.0
2020-07-14,Gujarat,Porbandar,30,21,2,0,3994.0
2020-07-15,Gujarat,Porbandar,30,22,2,0,4094.0
2020-07-16,Gujarat,Porbandar,30,22,2,0,4159.0
2020-07-17,Gujarat,Porbandar,30,22,2,0,4234.0
2020-07-18,Gujarat,Porbandar,30,22,2,0,4288.0
2020-07-19,Gujarat,Porbandar,31,23,2,0,4369.0
2020-07-20,Gujarat,Porbandar,32,23,2,0,4505.0
2020-07-21,Gujarat,Porbandar,34,26,2,0,4604.0
2020-07-22,Gujarat,Porbandar,34,26,2,0,4687.0
2020-07-23,Gujarat,Porbandar,35,27,2,0,4785.0
2020-07-24,Gujarat,Porbandar,36,27,2,0,4875.0
2020-07-25,Gujarat,Porbandar,39,29,2,0,4972.0
2020-07-26,Gujarat,Porbandar,41,30,2,0,5051.0
2020-07-27,Gujarat,Porbandar,44,31,2,0,5153.0
2020-07-28,Gujarat,Porbandar,48,31,2,0,5247.0
2020-07-29,Gujarat,Porbandar,62,31,2,0,5423.0
2020-07-30,Gujarat,Porbandar,64,33,2,0,5584.0
2020-07-31,Gujarat,Porbandar,73,34,2,0,5958.0
2020-08-01,Gujarat,Porbandar,83,34,3,0,6047.0
2020-08-02,Gujarat,Porbandar,90,34,3,0,6138.0
2020-08-03,Gujarat,Porbandar,94,34,3,0,6357.0
2020-08-04,Gujarat,Porbandar,97,45,3,0,6455.0
2020-08-05,Gujarat,Porbandar,114,45,3,0,6620.0
2020-08-06,Gujarat,Porbandar,115,45,3,0,6712.0
2020-08-07,Gujarat,Porbandar,124,45,3,0,6839.0
2020-08-08,Gujarat,Porbandar,129,106,3,0,7016.0
2020-08-09,Gujarat,Porbandar,136,106,3,0,7145.0
2020-08-10,Gujarat,Porbandar,161,106,4,0,7450.0
2020-08-11,Gujarat,Porbandar,165,106,4,0,7657.0
2020-08-12,Gujarat,Porbandar,168,106,4,0,7921.0
2020-08-13,Gujarat,Porbandar,173,106,4,0,8023.0
2020-08-14,Gujarat,Porbandar,177,106,4,0,8429.0
2020-08-15,Gujarat,Porbandar,187,106,4,0,8776.0
2020-08-16,Gujarat,Porbandar,197,106,4,0,9088.0
2020-08-17,Gujarat,Porbandar,205,157,4,0,9583.0
2020-08-18,Gujarat,Porbandar,214,162,4,0,10442.0
2020-08-19,Gujarat,Porbandar,224,185,4,0,10844.0
2020-08-20,Gujarat,Porbandar,237,185,4,0,11383.0
2020-08-21,Gujarat,Porbandar,245,185,4,0,11852.0
2020-08-22,Gujarat,Porbandar,255,185,4,0,12362.0
2020-08-23,Gujarat,Porbandar,264,185,4,0,12892.0
2020-08-24,Gujarat,Porbandar,275,201,4,0,13462.0
2020-08-25,Gujarat,Porbandar,283,201,4,0,14262.0
2020-08-26,Gujarat,Porbandar,295,218,4,0,14991.0
2020-08-27,Gujarat,Porbandar,300,286,4,0,15492.0
2020-08-28,Gujarat,Porbandar,305,286,4,0,16008.0
2020-08-29,Gujarat,Porbandar,310,286,4,0,16591.0
2020-08-30,Gujarat,Porbandar,312,286,4,0,17179.0
2020-08-31,Gujarat,Porbandar,321,286,4,0,17737.0
2020-09-01,Gujarat,Porbandar,329,286,4,0,18340.0
2020-09-02,Gujarat,Porbandar,332,286,4,0,18929.0
2020-09-03,Gujarat,Porbandar,333,286,4,0,19511.0
2020-09-04,Gujarat,Porbandar,333,286,4,0,20098.0
2020-09-05,Gujarat,Porbandar,335,286,4,0,20686.0
2020-09-06,Gujarat,Porbandar,338,324,4,0,21279.0
2020-09-07,Gujarat,Porbandar,344,324,4,0,21890.0
2020-09-08,Gujarat,Porbandar,347,334,4,0,22502.0
2020-09-09,Gujarat,Porbandar,354,334,4,0,23139.0
2020-09-10,Gujarat,Porbandar,362,338,4,0,23871.0
2020-09-11,Gujarat,Porbandar,364,343,4,0,24471.0
2020-09-12,Gujarat,Porbandar,370,354,4,0,25074.0
2020-09-13,Gujarat,Porbandar,375,356,4,0,25698.0
2020-09-14,Gujarat,Porbandar,377,356,4,0,26301.0
2020-09-15,Gujarat,Porbandar,382,361,4,0,26977.0
2020-09-16,Gujarat,Porbandar,385,361,4,0,27616.0
2020-09-17,Gujarat,Porbandar,390,363,4,0,28330.0
2020-09-18,Gujarat,Porbandar,397,371,4,0,29114.0
2020-09-19,Gujarat,Porbandar,402,371,4,0,29799.0
2020-09-20,Gujarat,Porbandar,408,381,4,0,30432.0
2020-09-21,Gujarat,Porbandar,417,386,4,0,31652.0
2020-09-22,Gujarat,Porbandar,422,396,4,0,32181.0
2020-09-23,Gujarat,Porbandar,429,396,4,0,32681.0
2020-09-24,Gujarat,Porbandar,438,408,4,0,33194.0
2020-09-25,Gujarat,Porbandar,442,415,4,0,34388.0
2020-09-26,Gujarat,Porbandar,447,415,4,0,35353.0
2020-09-27,Gujarat,Porbandar,450,415,4,0,36010.0
2020-09-28,Gujarat,Porbandar,453,415,4,0,36456.0
2020-09-29,Gujarat,Porbandar,457,415,4,0,36924.0
2020-09-30,Gujarat,Porbandar,464,415,4,0,37778.0
2020-10-01,Gujarat,Porbandar,469,415,4,0,38246.0
2020-10-02,Gujarat,Porbandar,476,437,4,0,38694.0
2020-10-03,Gujarat,Porbandar,478,455,4,0,39161.0
2020-10-04,Gujarat,Porbandar,483,463,4,0,39628.0
2020-10-05,Gujarat,Porbandar,494,470,4,0,40077.0
2020-10-06,Gujarat,Porbandar,496,470,4,0,40506.0
2020-10-07,Gujarat,Porbandar,500,470,4,0,41014.0
2020-10-08,Gujarat,Porbandar,505,470,4,0,41519.0
2020-10-09,Gujarat,Porbandar,506,470,4,0,42031.0
2020-10-10,Gujarat,Porbandar,509,470,4,0,42581.0
2020-10-11,Gujarat,Porbandar,511,470,4,0,43087.0
2020-10-12,Gujarat,Porbandar,512,485,4,0,43600.0
2020-10-13,Gujarat,Porbandar,513,495,4,0,44122.0
2020-10-14,Gujarat,Porbandar,519,501,4,0,44625.0
2020-10-15,Gujarat,Porbandar,521,504,4,0,45126.0
2020-10-16,Gujarat,Porbandar,524,507,4,0,45619.0
2020-10-17,Gujarat,Porbandar,530,511,4,0,46122.0
2020-10-18,Gujarat,Porbandar,531,515,4,0,46607.0
2020-10-19,Gujarat,Porbandar,531,515,4,0,47092.0
2020-10-20,Gujarat,Porbandar,536,518,4,0,47581.0
2020-10-21,Gujarat,Porbandar,540,520,4,0,48086.0
2020-10-22,Gujarat,Porbandar,545,520,4,0,48579.0
2020-10-23,Gujarat,Porbandar,546,527,4,0,49075.0
2020-10-24,Gujarat,Porbandar,549,529,4,0,49571.0
2020-10-25,Gujarat,Porbandar,550,532,4,0,50057.0
2020-10-26,Gujarat,Porbandar,551,533,4,0,50547.0
2020-10-27,Gujarat,Porbandar,552,535,4,0,51044.0
2020-10-28,Gujarat,Porbandar,552,535,4,0,51547.0
2020-10-29,Gujarat,Porbandar,552,535,4,0,51547.0
